School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Chiefland Middle High School,https://www.schooldigger.com/go/FL/schools/0114001199/school.aspx,Levy,https://www.schooldigger.com/go/FL/district/01140/search.aspx,808 N Main St,Chiefland,https://www.schooldigger.com/go/FL/city/Chiefland/search.aspx,32626,Levy County,(352) 493-6000,6,12,Yes,No,No,No,830,37.7,21.9,68.90%,10.50%,0.70%,1.10%,7.50%,0.20%,6.00%,74.00%,44
East River High,https://www.schooldigger.com/go/FL/schools/0144007614/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,650 East River Falcons Way,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32833,Orange County,(407) 956-8550,9,12,No,No,No,No,2006,92,21.8,42.30%,12.90%,0.10%,3.80%,46.40%,0.60%,3.20%,33.00%,43.7
Monarch High School,https://www.schooldigger.com/go/FL/schools/0018004050/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,5050 Wiles Rd,Coconut Creek,https://www.schooldigger.com/go/FL/city/Coconut+Creek/search.aspx,33073,Broward County,(754) 322-1400,9,12,No,No,No,No,2376,94,25.2,42.90%,24.10%,0.20%,3.40%,41.60%,0.20%,2.90%,27.60%,43.6
Miami Killian Senior High School,https://www.schooldigger.com/go/FL/schools/0039000602/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,10655 SW 97th Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33176,Miami-Dade County,(305) 271-3311,9,12,No,No,Yes,No,870,46,18.9,50.00%,20.10%,0.00%,0.80%,73.00%,0.00%,1.00%,5.10%,43.6
Highlands Virtual School,https://www.schooldigger.com/go/FL/schools/0084008630/school.aspx,Highlands,https://www.schooldigger.com/go/FL/district/00840/search.aspx,426 School St,Sebring,https://www.schooldigger.com/go/FL/city/Sebring/search.aspx,33870,Highlands County,(863) 471-5610,KG,12,No,No,No,Yes,133,0,,51.10%,11.30%,0.80%,0.00%,30.10%,0.00%,2.30%,55.60%,43.4
Pine Ridge High School,https://www.schooldigger.com/go/FL/schools/0192002970/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,926 Howland Blvd,Deltona,https://www.schooldigger.com/go/FL/city/Deltona/search.aspx,32738,Volusia County,(386) 860-3225,9,12,Yes,No,No,No,1630,80,20.3,59.50%,16.00%,0.40%,1.00%,42.10%,0.60%,3.80%,36.10%,43.4
Frank W. Springstead High School,https://www.schooldigger.com/go/FL/schools/0081000896/school.aspx,Hernando,https://www.schooldigger.com/go/FL/district/00810/search.aspx,3300 Mariner Blvd,Spring Hill,https://www.schooldigger.com/go/FL/city/Spring+Hill/search.aspx,34609,Hernando County,(352) 797-7010,9,12,No,No,Yes,No,1893,84,22.5,52.40%,6.80%,0.20%,3.10%,29.80%,0.00%,6.00%,54.00%,43.3
Chipley High School,https://www.schooldigger.com/go/FL/schools/0201002027/school.aspx,Washington,https://www.schooldigger.com/go/FL/district/02010/search.aspx,1545 Brickyard Rd,Chipley,https://www.schooldigger.com/go/FL/city/Chipley/search.aspx,32428,Washington County,(850) 638-6100,9,12,Yes,No,No,No,555,30,18.5,40.90%,13.50%,0.40%,0.90%,4.00%,0.00%,5.40%,75.90%,43.3
Broward Math And Science Schools,https://www.schooldigger.com/go/FL/schools/0018008373/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,6101 NW 31st St,Margate,https://www.schooldigger.com/go/FL/city/Margate/search.aspx,33063,Broward County,(954) 969-8488,KG,12,Yes,Yes,No,No,288,0,,50.70%,49.00%,0.00%,2.10%,35.40%,0.30%,3.10%,10.10%,43.2
Dr. Michael M. Krop Senior High,https://www.schooldigger.com/go/FL/schools/0039003345/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1410 NE 215th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33179,Miami-Dade County,(305) 652-6808,9,12,No,No,Yes,No,2181,78,27.9,45.80%,39.90%,0.00%,1.00%,44.20%,0.10%,1.10%,13.70%,42.9
Manatee High School,https://www.schooldigger.com/go/FL/schools/0123001223/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,902 33rd Street Ct W,Bradenton,https://www.schooldigger.com/go/FL/city/Bradenton/search.aspx,34205,Manatee County,(941) 714-7300,9,12,No,No,No,No,1996,92,21.6,60.50%,14.90%,0.10%,1.30%,36.80%,0.10%,4.50%,42.30%,42.9
Cape Coral High School,https://www.schooldigger.com/go/FL/schools/0108002075/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,2300 Santa Barbara Blvd,Cape Coral,https://www.schooldigger.com/go/FL/city/Cape+Coral/search.aspx,33991,Lee County,(239) 574-6766,9,12,No,No,Yes,No,1936,81.2,23.8,43.00%,7.90%,0.10%,3.00%,45.10%,0.00%,3.60%,40.30%,42.6
Winthrop College Prep Academy,https://www.schooldigger.com/go/FL/schools/0087008893/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,800 Corporate Dr,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33578,Hillsborough County,(813) 678-2030,9,12,No,Yes,No,No,946,36,26.2,37.80%,24.50%,0.40%,2.70%,40.50%,0.70%,7.40%,23.70%,42.6
Alonzo & Tracy Mourning Senior High School,https://www.schooldigger.com/go/FL/schools/0039007635/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,2601 NE 151st St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33160,Miami-Dade County,(305) 919-2000,9,12,No,No,No,No,1536,57,26.9,41.50%,14.80%,0.00%,1.10%,58.70%,0.10%,0.80%,24.40%,42.4
Middleton High School,https://www.schooldigger.com/go/FL/schools/0087003862/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,4801 N 22nd St,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33610,Hillsborough County,(813) 233-3360,9,12,Yes,No,Yes,No,1565,70,22.3,52.60%,45.90%,0.60%,18.80%,19.10%,0.40%,3.80%,11.40%,42.3
Lyman High School,https://www.schooldigger.com/go/FL/schools/0171001887/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,865 S Ronald Reagan Blvd,Longwood,https://www.schooldigger.com/go/FL/city/Longwood/search.aspx,32750,Seminole County,(407) 746-2050,9,12,No,No,Yes,No,2056,107,19.2,54.40%,18.50%,0.30%,3.60%,35.20%,0.30%,4.10%,37.90%,42.3
Central School,https://www.schooldigger.com/go/FL/schools/0165001813/school.aspx,Santa Rosa,https://www.schooldigger.com/go/FL/district/01650/search.aspx,6180 Central School Rd,Milton,https://www.schooldigger.com/go/FL/city/Milton/search.aspx,32570,Santa Rosa County,(850) 983-5640,PK,12,Yes,No,No,No,696,43,16.1,54.70%,1.30%,1.00%,0.10%,5.00%,0.00%,4.90%,87.60%,42.3
Fort White High School,https://www.schooldigger.com/go/FL/schools/0036004331/school.aspx,Columbia,https://www.schooldigger.com/go/FL/district/00360/search.aspx,17828 SW State Road 47,Fort White,https://www.schooldigger.com/go/FL/city/Fort+White/search.aspx,32038,Columbia County,(386) 319-7272,6,12,No,No,No,No,1117,65,17.1,58.80%,9.30%,0.10%,0.10%,12.40%,0.00%,6.50%,71.50%,42.3
J. P. Taravella High School,https://www.schooldigger.com/go/FL/schools/0018002117/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,10600 Riverside Dr,Coral Springs,https://www.schooldigger.com/go/FL/city/Coral+Springs/search.aspx,33071,Broward County,(754) 322-2300,9,12,No,No,No,No,2516,100.6,25,36.70%,41.60%,0.20%,3.00%,34.00%,0.00%,2.80%,18.40%,42.2
Baker County Senior High School,https://www.schooldigger.com/go/FL/schools/0006000035/school.aspx,Baker,https://www.schooldigger.com/go/FL/district/00060/search.aspx,1 Wildcat Dr,Glen St Mary,https://www.schooldigger.com/go/FL/city/Glen+St+Mary/search.aspx,32040,Baker County,(904) 259-6286,9,12,No,No,No,No,1436,80,17.9,43.20%,13.80%,0.30%,0.60%,3.30%,0.10%,5.00%,76.90%,42.1
Holmes County High School,https://www.schooldigger.com/go/FL/schools/0090001044/school.aspx,Holmes,https://www.schooldigger.com/go/FL/district/00900/search.aspx,105 Blue Devil Dr,Bonifay,https://www.schooldigger.com/go/FL/city/Bonifay/search.aspx,32425,Holmes County,(850) 547-9000,9,12,Yes,No,No,No,485,27,17.9,55.10%,3.70%,0.40%,0.40%,4.30%,0.00%,4.50%,86.60%,42
Suwannee High School,https://www.schooldigger.com/go/FL/schools/0183001946/school.aspx,Suwannee,https://www.schooldigger.com/go/FL/district/01830/search.aspx,1314 Pine Ave SW,Live Oak,https://www.schooldigger.com/go/FL/city/Live+Oak/search.aspx,32064,Suwannee County,(386) 647-4000,9,12,Yes,No,No,No,1202,52.1,23,58.70%,17.90%,0.20%,0.80%,24.60%,0.00%,4.30%,52.20%,41.9
St. Cloud High School,https://www.schooldigger.com/go/FL/schools/0147001473/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,2000 Bulldog Lane,Saint Cloud,https://www.schooldigger.com/go/FL/city/Saint+Cloud/search.aspx,34769,Osceola County,(407) 891-3100,9,12,Yes,No,No,No,2369,104,22.7,54.60%,6.00%,0.20%,1.70%,56.80%,0.20%,3.00%,32.20%,41.7
Countryside High School,https://www.schooldigger.com/go/FL/schools/0156002242/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,3000 State Road 580,Clearwater,https://www.schooldigger.com/go/FL/city/Clearwater/search.aspx,33761,Pinellas County,(727) 725-7956,9,12,No,No,Yes,No,1593,79,20.1,38.90%,10.50%,0.10%,2.90%,26.60%,0.30%,5.20%,54.40%,41.7
Gainesville High School,https://www.schooldigger.com/go/FL/schools/0003000013/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,1900 NW 13th St,Gainesville,https://www.schooldigger.com/go/FL/city/Gainesville/search.aspx,32609,Alachua County,(352) 955-6707,9,12,No,No,Yes,No,1791,73,24.5,46.70%,31.00%,0.20%,5.10%,20.70%,0.10%,7.30%,35.70%,41.4
Belleview High School,https://www.schooldigger.com/go/FL/schools/0126002914/school.aspx,Marion,https://www.schooldigger.com/go/FL/district/01260/search.aspx,10400 SE 36th Ave,Belleview,https://www.schooldigger.com/go/FL/city/Belleview/search.aspx,34420,Marion County,(352) 671-6210,9,12,Yes,No,Yes,No,1835,76,24.1,54.10%,10.70%,0.80%,1.00%,32.50%,0.20%,4.50%,50.30%,41.3
Four Corners Upper School,https://www.schooldigger.com/go/FL/schools/0147008141/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,9160 Bella Citta Blvd,Davenport,https://www.schooldigger.com/go/FL/city/Davenport/search.aspx,33896,Polk County,(407) 589-4600,6,12,Yes,Yes,No,No,1400,61,22.9,57.20%,12.90%,0.10%,1.70%,60.40%,0.20%,2.40%,22.40%,41.3
Gateway High School,https://www.schooldigger.com/go/FL/schools/0108008840/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,13820 Griffin Dr,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33913,Lee County,(239) 303-7480,9,12,Yes,No,No,No,2312,80.5,28.7,52.20%,20.50%,0.10%,1.60%,52.40%,0.10%,2.80%,22.50%,41.2
Taylor County High School,https://www.schooldigger.com/go/FL/schools/0186002002/school.aspx,Taylor,https://www.schooldigger.com/go/FL/district/01860/search.aspx,900 N Johnson Stripling Rd,Perry,https://www.schooldigger.com/go/FL/city/Perry/search.aspx,32347,Taylor County,(850) 838-2525,9,12,No,No,No,No,671,29,23.1,74.80%,28.80%,0.10%,1.60%,3.90%,0.30%,5.50%,59.80%,41.2
Sports Leadership Arts Management Charter High School (Nort,https://www.schooldigger.com/go/FL/schools/0039008726/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,16551 NE 16 Ave,North Miami Beach,https://www.schooldigger.com/go/FL/city/North+Miami+Beach/search.aspx,33162,Miami-Dade County,(305) 333-5702,9,12,Yes,Yes,No,No,257,4,64.2,96.90%,19.50%,0.00%,0.40%,77.80%,0.00%,0.00%,2.30%,41
Coral Springs High School,https://www.schooldigger.com/go/FL/schools/0018000225/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,7201 W Sample Rd,Coral Springs,https://www.schooldigger.com/go/FL/city/Coral+Springs/search.aspx,33065,Broward County,(754) 322-0500,9,12,No,No,No,No,2161,97,22.2,42.60%,46.80%,0.20%,4.00%,32.50%,0.40%,2.10%,14.00%,41
Miramar High School,https://www.schooldigger.com/go/FL/schools/0018000253/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,3601 SW 89th Ave,Miramar,https://www.schooldigger.com/go/FL/city/Miramar/search.aspx,33025,Broward County,(754) 323-1350,9,12,No,No,Yes,No,1951,79.5,24.5,48.90%,78.30%,0.20%,1.30%,14.90%,0.20%,1.30%,3.80%,40.9
Seminole High School,https://www.schooldigger.com/go/FL/schools/0156001680/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,8401 131st St,Seminole,https://www.schooldigger.com/go/FL/city/Seminole/search.aspx,33776,Pinellas County,(727) 547-7536,9,12,No,No,Yes,No,1388,65,21.3,38.70%,6.10%,0.10%,2.00%,12.80%,0.20%,4.90%,73.80%,40.9
Sarasota Virtual Instruction Program,https://www.schooldigger.com/go/FL/schools/0168007714/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,1960 Landings Blvd,Sarasota,https://www.schooldigger.com/go/FL/city/Sarasota/search.aspx,34231,Sarasota County,(941) 927-9000,KG,12,No,No,No,Yes,89,0,,,0.00%,0.00%,1.10%,18.00%,0.00%,5.60%,75.30%,40.8
Piper High School,https://www.schooldigger.com/go/FL/schools/0018000264/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,8000 NW 44th St,Lauderhill,https://www.schooldigger.com/go/FL/city/Lauderhill/search.aspx,33351,Broward County,(754) 322-1700,9,12,No,No,No,No,2418,98,24.6,47.80%,72.10%,0.10%,1.60%,16.60%,0.30%,2.10%,7.20%,40.8
Seminole High School,https://www.schooldigger.com/go/FL/schools/0171001872/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,2701 Ridgewood Ave,Sanford,https://www.schooldigger.com/go/FL/city/Sanford/search.aspx,32773,Seminole County,(407) 320-5050,6,12,No,No,Yes,No,3919,183.5,21.3,54.00%,28.70%,0.40%,11.20%,26.60%,0.40%,3.90%,28.80%,40.6
Treasure Coast High School,https://www.schooldigger.com/go/FL/schools/0177004148/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,1000 SW Darwin Blvd,Port St Lucie,https://www.schooldigger.com/go/FL/city/Port+St+Lucie/search.aspx,34953,St. Lucie County,(772) 807-4300,9,12,Yes,No,No,No,3114,113.1,27.5,49.40%,35.90%,0.10%,1.50%,35.30%,0.10%,4.50%,22.50%,40.5
St. Lucie West Centennial High,https://www.schooldigger.com/go/FL/schools/0177003503/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,1485 SW Cashmere Blvd,Port St Lucie,https://www.schooldigger.com/go/FL/city/Port+St+Lucie/search.aspx,34986,St. Lucie County,(772) 344-4400,9,12,Yes,No,No,No,2702,112.8,23.9,49.90%,32.10%,0.10%,1.80%,34.30%,0.50%,4.30%,26.90%,40.5
Lecanto High School,https://www.schooldigger.com/go/FL/schools/0027002425/school.aspx,Citrus,https://www.schooldigger.com/go/FL/district/00270/search.aspx,3810 W Educational Path,Lecanto,https://www.schooldigger.com/go/FL/city/Lecanto/search.aspx,34461,Citrus County,(352) 746-2334,9,12,No,No,Yes,No,1763,83.1,21.1,43.20%,5.10%,0.70%,2.90%,12.40%,0.30%,5.40%,73.10%,40
Miami Beach Senior High School,https://www.schooldigger.com/go/FL/schools/0039000594/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,2231 Prairie Ave,Miami Beach,https://www.schooldigger.com/go/FL/city/Miami+Beach/search.aspx,33139,Miami-Dade County,(305) 532-4515,9,12,No,No,No,No,2168,85,25.5,35.40%,3.30%,0.00%,1.00%,68.40%,0.00%,1.30%,26.00%,39.9
South Lake High School,https://www.schooldigger.com/go/FL/schools/0105001714/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,15600 Silver Eagle Rd,Groveland,https://www.schooldigger.com/go/FL/city/Groveland/search.aspx,34736,Lake County,(352) 394-2100,9,12,No,No,No,No,2189,100,21.8,33.20%,16.10%,1.10%,3.00%,37.40%,0.40%,3.20%,38.90%,39.8
Key West High School,https://www.schooldigger.com/go/FL/schools/0132001294/school.aspx,Monroe,https://www.schooldigger.com/go/FL/district/01320/search.aspx,2100 Flagler Ave,Key West,https://www.schooldigger.com/go/FL/city/Key+West/search.aspx,33040,Monroe County,(305) 293-1549,9,12,No,No,No,No,1302,74,17.5,37.30%,15.10%,0.20%,2.50%,40.20%,0.10%,3.50%,38.50%,39.6
East Bay High School,https://www.schooldigger.com/go/FL/schools/0087000945/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,7710 Old Big Bend Rd,Gibsonton,https://www.schooldigger.com/go/FL/city/Gibsonton/search.aspx,33534,Hillsborough County,(813) 671-5134,9,12,Yes,No,No,No,1891,90.5,20.8,50.60%,26.80%,0.30%,1.40%,37.90%,0.00%,4.80%,28.90%,39.4
Citrus High School,https://www.schooldigger.com/go/FL/schools/0027000305/school.aspx,Citrus,https://www.schooldigger.com/go/FL/district/00270/search.aspx,600 W Highland Blvd,Inverness,https://www.schooldigger.com/go/FL/city/Inverness/search.aspx,34452,Citrus County,(352) 726-2241,9,12,No,No,Yes,No,1486,80.5,18.4,50.10%,3.20%,0.20%,0.90%,9.40%,0.00%,6.10%,80.20%,39.4
Hardee Senior High School,https://www.schooldigger.com/go/FL/schools/0075000877/school.aspx,Hardee,https://www.schooldigger.com/go/FL/district/00750/search.aspx,830 Altman Rd,Wauchula,https://www.schooldigger.com/go/FL/city/Wauchula/search.aspx,33873,Hardee County,(863) 773-3181,9,12,Yes,No,No,No,1335,65,20.5,61.30%,4.90%,0.00%,1.10%,65.60%,0.10%,1.60%,26.70%,39.4
Miami Springs Senior High School,https://www.schooldigger.com/go/FL/schools/0039000607/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,751 Dove Ave,Miami Springs,https://www.schooldigger.com/go/FL/city/Miami+Springs/search.aspx,33166,Miami-Dade County,(305) 885-3585,9,12,Yes,No,Yes,No,1067,44,24.2,60.60%,11.50%,0.00%,0.10%,85.30%,0.00%,0.00%,3.10%,39.4
Jule F Sumner High School,https://www.schooldigger.com/go/FL/schools/0087008579/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,10650 County Road 672,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33579,Hillsborough County,(813) 272-4000,9,12,No,No,No,No,3722,152.5,24.4,43.90%,32.10%,0.20%,1.50%,42.10%,0.20%,5.30%,18.80%,39.3
Lee County Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0108007800/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,2855 Colonial Blvd,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33966,Lee County,(239) 337-8178,PK,12,No,No,No,Yes,737,35,21,19.50%,6.20%,0.30%,0.90%,36.00%,0.00%,4.30%,52.20%,39.2
Estero High School,https://www.schooldigger.com/go/FL/schools/0108002566/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,21900 River Ranch Rd,Estero,https://www.schooldigger.com/go/FL/city/Estero/search.aspx,33928,Lee County,(239) 947-9400,9,12,No,No,Yes,No,1523,58.5,26,30.70%,2.70%,0.10%,3.20%,42.20%,0.10%,1.70%,50.00%,39.1
Ida S. Baker High School,https://www.schooldigger.com/go/FL/schools/0108003965/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,3500 Agualinda Blvd,Cape Coral,https://www.schooldigger.com/go/FL/city/Cape+Coral/search.aspx,33914,Lee County,(239) 458-6690,9,12,No,No,No,No,2116,78.7,26.8,41.10%,5.70%,0.20%,1.20%,44.70%,0.00%,3.00%,45.20%,39
Tradition Preparatory High School,https://www.schooldigger.com/go/FL/schools/0177008957/school.aspx,St. Lucie,https://www.schooldigger.com/go/FL/district/01770/search.aspx,800 Corporate Drive,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33334,Broward County,(772) 236-7034,9,12,No,Yes,No,No,965,43,22.4,37.50%,25.00%,0.00%,0.80%,38.20%,0.10%,4.80%,31.10%,38.9
Pahokee Middle-Senior High,https://www.schooldigger.com/go/FL/schools/0150002624/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,900 Larrimore Rd,Pahokee,https://www.schooldigger.com/go/FL/city/Pahokee/search.aspx,33476,Palm Beach County,(561) 924-6400,6,12,Yes,No,Yes,No,916,50,18.3,83.20%,60.40%,0.00%,0.80%,34.80%,0.10%,0.40%,3.50%,38.6
Crossroad Academy,https://www.schooldigger.com/go/FL/schools/0060003066/school.aspx,Gadsden,https://www.schooldigger.com/go/FL/district/00600/search.aspx,470 Strong Rd,Quincy,https://www.schooldigger.com/go/FL/city/Quincy/search.aspx,32351,Gadsden County,(850) 875-9626,PK,12,Yes,Yes,No,No,536,31,17.2,80.20%,64.90%,0.90%,0.20%,31.70%,0.20%,1.50%,0.60%,38.5
Dr. Phillips High,https://www.schooldigger.com/go/FL/schools/0144002572/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,6500 Turkey Lake Rd,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32819,Orange County,(407) 355-3200,8,12,No,No,Yes,No,3042,133,22.8,42.40%,33.30%,0.30%,4.00%,43.00%,0.30%,1.80%,17.30%,38.5
Northeast High School,https://www.schooldigger.com/go/FL/schools/0156001647/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,5500 16th St N,St Petersburg,https://www.schooldigger.com/go/FL/city/St+Petersburg/search.aspx,33703,Pinellas County,(727) 570-3138,9,12,No,No,Yes,No,1762,84,20.9,46.50%,19.60%,0.10%,6.40%,18.90%,0.20%,4.90%,49.80%,38.4
Immokalee High School,https://www.schooldigger.com/go/FL/schools/0033000355/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,701 Immokalee Dr,Immokalee,https://www.schooldigger.com/go/FL/city/Immokalee/search.aspx,34142,Collier County,(239) 377-1800,9,12,Yes,No,No,No,2055,84.6,24.2,76.50%,14.00%,0.20%,0.00%,83.40%,0.00%,0.20%,2.00%,38.4
Heritage High School,https://www.schooldigger.com/go/FL/schools/0015007530/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,2351 Malabar Rd NW,Palm Bay,https://www.schooldigger.com/go/FL/city/Palm+Bay/search.aspx,32907,Brevard County,(321) 722-4178,9,12,No,No,No,No,2023,85,23.8,58.60%,28.10%,0.30%,1.40%,24.50%,0.20%,8.50%,37.00%,38.2
Umatilla High School,https://www.schooldigger.com/go/FL/schools/0105001105/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,320 N Trowell Ave,Umatilla,https://www.schooldigger.com/go/FL/city/Umatilla/search.aspx,32784,Lake County,(352) 669-3131,9,12,Yes,No,No,No,915,46,19.8,43.60%,4.70%,0.30%,0.70%,15.60%,0.00%,3.50%,75.20%,38.2
Columbia High School,https://www.schooldigger.com/go/FL/schools/0036000358/school.aspx,Columbia,https://www.schooldigger.com/go/FL/district/00360/search.aspx,469 SE Fighting Tiger Dr,Lake City,https://www.schooldigger.com/go/FL/city/Lake+City/search.aspx,32025,Columbia County,(386) 755-8080,9,12,No,No,No,No,1727,76.4,22.6,58.30%,29.60%,0.50%,1.60%,6.60%,0.10%,5.10%,56.60%,38.1
Bronson Middle/High School,https://www.schooldigger.com/go/FL/schools/0114001197/school.aspx,Levy,https://www.schooldigger.com/go/FL/district/01140/search.aspx,351 Ishie Ave,Bronson,https://www.schooldigger.com/go/FL/city/Bronson/search.aspx,32621,Levy County,(352) 486-5261,6,12,Yes,No,No,No,523,26.6,19.6,65.80%,10.30%,0.20%,0.00%,18.40%,0.00%,4.40%,66.70%,38.1
Edgewater High,https://www.schooldigger.com/go/FL/schools/0144001364/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,3100 Edgewater Dr,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32804,Orange County,(407) 835-4900,9,12,No,No,Yes,No,2011,87,23.1,51.40%,48.50%,0.10%,1.90%,20.20%,0.10%,3.50%,25.50%,38
First Coast High School,https://www.schooldigger.com/go/FL/schools/0048002745/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,590 Duval Station Rd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32218,Duval County,(904) 757-0080,9,12,Yes,No,No,No,2137,92,23.2,48.30%,60.30%,0.20%,1.60%,9.40%,0.10%,5.00%,23.40%,37.9
Central Florida Leadership Academy Charter,https://www.schooldigger.com/go/FL/schools/0144007869/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,427 N Primrose Dr,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32803,Orange County,(407) 480-2352,6,12,No,Yes,No,No,92,10,9.2,47.80%,29.30%,0.00%,3.30%,42.40%,1.10%,6.50%,17.40%,37.9
Nassau Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0135007722/school.aspx,Nassau,https://www.schooldigger.com/go/FL/district/01350/search.aspx,1201 Atlantic Ave,Fernandina Beach,https://www.schooldigger.com/go/FL/city/Fernandina+Beach/search.aspx,32034,Nassau County,(904) 491-9913,KG,12,No,No,No,Yes,86,44,1.9,44.20%,7.00%,0.00%,1.20%,11.60%,0.00%,0.00%,80.20%,37.9
Weeki Wachee High School,https://www.schooldigger.com/go/FL/schools/0081006808/school.aspx,Hernando,https://www.schooldigger.com/go/FL/district/00810/search.aspx,12150 Vespa Way,Weeki Wachee,https://www.schooldigger.com/go/FL/city/Weeki+Wachee/search.aspx,34614,Hernando County,(352) 797-7029,9,12,No,No,No,No,1402,65,21.5,56.10%,5.70%,0.30%,0.60%,25.00%,0.00%,4.60%,63.80%,37.6
Miami-Dade Virtual High School Franchise,https://www.schooldigger.com/go/FL/schools/0039007230/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,560 NW 151st Street,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33169,Miami-Dade County,(305) 995-1928,KG,12,No,No,No,Yes,668,34,19.6,3.00%,19.60%,0.10%,0.60%,72.80%,0.00%,1.00%,5.80%,37.6
