rank,name,founded,Address,city,state,zip,revenue,Growth,Headcount,Industry,Raw_revenue
2131,Tri Source International,1/1/2013,25000 Avenue Stanford Ste. 248 ,Valencia,CA,91355,2.5 million,172,350,Business Products & Services,2458965
2132,Futuri Media,1/1/2009,"4141 Rockside Road, Ste 300 ",Seven Hills,OH,44131,9.1 million,171,85,Software,9131833
2133,Teriyaki Madness,1/1/2003,950 S Cherry St #850,Denver,CO,80246,3.1 million,171,15,Food & Beverage,3084757
2134,ADVANCED CARE PEDIATRICS,1/1/2010,"3525 PIEDMONT RD BLDG 5, STE415 ",Atlanta,GA,30305,6 million,171,163,Health,5960274
2135,Credence Management Solutions,1/1/2005,8609 Westwood Center Dr. Suite 300,Vienna,VA,22182,59.5 million,171,338,Government Services,59464251
2136,Brilliant,1/1/2009,125 South Wacker Drive Suite 1150,Chicago,IL,60606,31.4 million,171,78,Human Resources,31369623
2137,Proforma IdeaPress,1/1/2007,6835 Shiloh Road East STE C4,Alpharetta,GA,30005,2.7 million,171,21,Business Products & Services,2716473
2138,CrossRealms,1/1/2008,55 W. Monroe Street Suite 3330,Chicago,IL,60603,4 million,171,31,IT Services,4039179
2139,MemberSuite,1/1/2008,47 Perimeter Center East Ste 300 ,Atlanta,GA,30346,3.9 million,171,55,Software,3916298
2140,The FaverGray Company,1/1/2005,415 Pablo Ave. Suite 200,Jacksonville Beach,FL,32250,239.8 million,171,66,Construction,239817370
2141,ISPA Technology,1/1/2003,6138 Redwood Square Centre Suite 203,Centreville,VA,20121,11.9 million,171,116,Government Services,11942528
2142,Mid Atlantic Professionals,1/1/2002,20400 observation drive suite 204,Germantown,MD,20876,42.8 million,170,792,Government Services,42785287
2143,FirstLight HomeCare Franchising,1/1/2009,7870 East Kemper Road Suite 440,Cincinnati,OH,45249,5.4 million,170,21,Health,5362856
2144,Everett Financial,1/1/1999,14801 Quorum Drive Suite 300,Dallas,TX,75254,448.7 million,170,1851,Financial Services,448700108
2145,Atlas Professional Services,1/1/2006,9560 W Linebaugh Ave ,Tampa,FL,33626,6.9 million,170,27,IT Services,6899891
2146,Ready Wireless,1/1/2008,955 Kacena Rd. Suite A,Hiawatha,IA,52233,77.4 million,170,200,Telecommunications,77444000
2147,Kupanda Capital,1/1/2012,805 15th St NW Suite 200,Washington,DC,20005,2.5 million,170,7,Financial Services,2513305
2148,IdeaTek Telcom,1/1/1999,111 Old Mill Ln ,Buhler,KS,67522,2.3 million,170,26,Telecommunications,2344087
2149,Pediatric Therapy,1/1/2008,2586 Trailridge Drive East Suite 100,Lafayette,CO,80026,49.2 million,170,650,Education,49205742
2150,EverQuote,1/1/2011,210 Broadway ,Cambridge,MA,2139,122.8 million,169,200,Advertising & Marketing,122778014
2151,DeveloperTown,1/1/2010,5255 Winthrop Ave ,Indianapolis,IN,46220,8.2 million,169,48,Software,8199550
2152,The Rox Group,1/1/2007,6 Union Hill Road ,Conshohocken,PA,19428,17.9 million,169,19,Consumer Products & Services,17866944
2153,Just Ryt Foods,1/1/2010,1723 NW 33rd St ,Pompano Beach,FL,33064,3.7 million,169,20,Food & Beverage,3709935
2154,Davenport Group,1/1/2001,4166 Lexington Avenue North ,St Paul,MN,55126,24.2 million,169,35,IT Services,24153000
2155,CME4Life,1/1/2010,2801 Wehrle Dr Suite 9,Williamsville,NY,14221,3.1 million,169,8,Health,3099371
2156,Total Server Solutions,1/1/2005,34 Peachtree ST Suite 400,Atlanta,GA,30303,12.7 million,169,28,IT Services,12734865
2157,Hanapin Marketing,1/1/2004,501 N. Morton Street Suite 212,Bloomington,IN,47404,6.8 million,169,58,Business Products & Services,6824428
2158,AlerStallings,1/1/2011,6025 Frantz Road ,Dublin,OH,43017,3.6 million,169,37,Consumer Products & Services,3554566
2159,Charles IT,1/1/2006,98 Washington Street Suite 300,Middletown,CT,6457,3.4 million,169,23,IT Services,3410469
2160,Starnes Publishing,1/1/2008,1833 27th Avenue South 2700,Homewood,AL,35209,2.9 million,169,28,Media,2920625
2161,HumanN,1/1/2010,"1220 South Capital of TX Highway Building 1, Suite 210",Austin,TX,78746,28.2 million,169,21,Health,28185946
2162,Ishpi Information Technologies,1/1/2006,401 Seacoast Parkway ,Mt.,SC,29464,61.1 million,168,410,IT Services,61053415
2163,InterLinc Mortgage Services,1/1/2004,10613 West Same Houston Parkway North Suite 200,Houston,TX,77064,72.4 million,168,450,Financial Services,72394615
2164,Chelsoft Solutions Co.,1/1/2010,527 N.Murlen Rd. Suite B 527 N.Murlen Rd. Suite B,Olathe,KS,66062,4.5 million,168,49,IT Services,4503300
2165,Go Local Interactive,1/1/2011,10975 Benson Dr. Suite 250,Overland Park,KS,66210,11.8 million,168,57,Advertising & Marketing,11821363
2166,MileStone Community Builders,1/1/2009,9111 Jollyville Road Suite 111,Austin,TX,78759,238.2 million,168,128,Real Estate,238151639
2167,Propio Language Services,1/1/1998,11020 King Street Suie 420,Overland Park,KS,66210,7.2 million,168,20,Business Products & Services,7158508
2168,Commercial Fleet Financing,1/1/1995,1445 Macarthur Dr. #216,Carrollton,TX,75007,6.4 million,168,28,Financial Services,6446820
2169,Builders Choice,1/1/1999,252 Fallbrook Dr. Suite 300 ,Houston,TX,77038,11.9 million,168,35,Construction,11900518
2170,Silicus Technologies,1/1/2000,2700 Post Oak Blvd Ste 1625 ,Houston,TX,77056,16.2 million,168,650,IT Services,16244330
2171,Silk Worldwide,1/1/2011,5010 Wright Rd Ste 100,Stafford,TX,77477,10 million,168,26,Consumer Products & Services,9975955
2172,HomeCity Real Estate,1/1/2000,7000 Bee Caves Rd Suite 350,Austin,TX,78746,13 million,168,126,Real Estate,12996503
2173,LensDirect.com,1/1/1992,401 Franklin Avenue Suite 102A,Garden City,NY,11530,3.5 million,168,15,Health,3503250
2174,EPIC Insurance Brokers and Consultants,1/1/2007,135 Main Street 21st Floor,San Francisco,CA,94105,203.5 million,168,780,Insurance,203451601
2175,Dedicated Networks,1/1/2005,14000 Unity St. NW ,Ramsey,MN,55303,27.5 million,168,105,Computer Hardware,27529625
2176,College Hunks Hauling Junk and Moving,1/1/2004,1513 E 9th Ave ,Tampa,FL,33605,46.9 million,168,110,Consumer Products & Services,46929191
2177,TOURtech,1/1/2003,7711 Welborn Street Suite 105,Raleigh,NC,27615,4 million,167,14,IT Services,3987604
2178,Insight Technology Solutions,1/1/1999,17251 Melford Boulevard Suite 100,Bowie,MD,20715,18.8 million,167,122,Government Services,18840473
2179,YourCause,1/1/2008,6111 West PLano Parkway 6111 West PLano Parkway,Plano,TX,75093,9.1 million,167,88,Software,9076582
2180,GreenForm,1/1/2012,2301 E 28th St ,Chattanooga,TN,37407,7.2 million,167,40,Construction,7178270
2181,Staff Smart,1/1/2007,11590 W. Bernardo Ct. Suite 220,San Diego,CA,92127,3.6 million,167,28,IT Services,3613838
2182,QC Manufacturing,1/1/2009,43352 Business Park Dr ,Temecula,CA,92590,12.1 million,167,75,Manufacturing,12052702
2183,Mission Critical Facilities International,1/1/2010,PO Box 342463 ,Austin,TX,78734,7.8 million,167,11,IT Services,7766459
2184,Owenby Law,1/1/2004,6136 Atlantic Blvd ,Jacksonville,FL,32211,2.2 million,167,19,Business Products & Services,2205714
2185,Delta Defense,1/1/2003,1000 Freedom Way ,West Bend,WI,53095,37.5 million,167,110,Media,37481000
2186,OrangePeople,1/1/2006,300 Spectrum Center Drive ,Irvine,CA,92618,12.2 million,167,65,IT Services,12205299
2187,Rimini Street,1/1/2005,3993 Howard Hughes Parkway Suite 500,Las Vegas,NV,89169,160.2 million,167,853,IT Services,160174569
2188,Renters Warehouse,1/1/2007,"13200 Pioneer Trail, Ste. 100 ",Eden Prairie,MN,55347,23.8 million,167,276,Real Estate,23811291
2189,Crawford Thomas Recruiting,1/1/2007,"429 South Keller Road, 2nd Floor ",Orlando,FL,32810,8 million,167,85,Human Resources,7987229
2190,Avani Technology Solutions,1/1/2008,687 Lee Rd Suite 208,Rochester,NY,14606,20.1 million,167,200,IT Services,20113421
2191,DentalPost,1/1/2005,3522 Ashford Dunwoody Rd NE # 152,Atlanta,GA,30319,4.1 million,166,7,Health,4101760
2192,The Junkluggers,1/1/2006,77 Selleck Street ,Stamford,CT,6902,8 million,166,55,Consumer Products & Services,8034591
2193,HomeSpec BasementFix,1/1/1994,850 Minion ,Ypsilanti,MI,48198,4.4 million,166,45,Construction,4449844
2194,Barracks Townhomes,1/1/2009,305 Deacon West Drive ,College Station,TX,77845,42.7 million,166,21,Construction,42736834
2195,WGI,1/1/1972,2035 Vista Parkway ,West Palm Beach,FL,33411,55.8 million,166,313,Engineering,55833444
2196,Magellan Jets,1/1/2008,1250 Hancock Street Suite 802 North Tower,Quincy,MA,2169,38.4 million,166,38,Travel & Hospitality,38365085
2197,Grote Automotive,1/1/2007,1630 N Coliseum Blvd ,Fort Wayne,IN,46805,33.9 million,166,51,Retail,33918317
2198,REDCOM Design & Construction,1/1/1982,433 North Ave East P.O. Box 160,Westfield,NJ,7090,63.3 million,166,85,Construction,63268910
2199,Butler Seattle,1/1/1994,PO Box 77793 ,Seattle,WA,98177,3.2 million,166,25,Logistics & Transportation,3222802
2200,ZoomInfo,1/1/2000,307 waverly oaks ,waltham,MA,2452,39.8 million,166,166,Advertising & Marketing,39798000
2201,EST Group,1/1/2005,"1907 Ascension Blvd., Ste. 100 ",Arlington,TX,76006,28.7 million,166,65,IT Services,28702538
2202,ZestFinance,1/1/2009,1377 N Serrano Ave ,Los Angeles,CA,90027,77.4 million,166,72,Financial Services,77411997
2203,PT Solutions Physical Therapy,1/1/2003,"1990 Vaughn Rd, STE 330 ",Kennesaw,GA,30341,57.3 million,166,802,Health,57308949
2204,Be The Change Revolutions,1/1/2012,"1440 G Street NW, 8th floor ",Washington,DC,20005,2.7 million,166,26,Advertising & Marketing,2730470
2205,Dirt Cheap Signs,1/1/1994,7301 Bar K Ranch Rd ,Lago Vista,TX,78645,4.6 million,166,31,Business Products & Services,4586657
2206,Automated Pet Care Products,1/1/2000,2900 Auburn Ct. ,Auburn Hills,MI,48326,14 million,166,55,Consumer Products & Services,13978435
2207,INTEX Millwork Solutions,1/1/2006,20 Bogden Blvd. ,Millville,NJ,8332,13.6 million,165,50,Manufacturing,13593415
2208,The Lockwood Group,1/1/2007,1055 Washington Blvd 8th Fl,Stamford,CT,6901,20.4 million,165,119,Health,20385000
2209,Clearwater Compliance,1/1/2010,1212 Laurel St. $1406 1212 Laurel St. $1406,Nashville,TN,37203,6.1 million,165,28,Health,6136805
2210,DFPG Investments,1/1/2010,9017 S. Riverside Drive Suite 210,Sandy,UT,84070,17.5 million,165,18,Financial Services,17496573
2211,Prosperity Organic Foods,1/1/2005,816 W Bannock Street Suite 100,Boise,ID,83702,2.4 million,165,8,Consumer Products & Services,2372099
2212,DataShield,1/1/2011,4518 F St.,Omaha,NE,68117,2.1 million,165,20,Business Products & Services,2134562
2213,Datatility,1/1/2003,21721 Filigree Court Suite 2050,Ashburn,VA,20147,5.5 million,165,17,IT Services,5534069
2214,Sandler Partners,1/1/2003,1200 Artesia Blvd Suite 305,Hermosa Beach,CA,90254,60.7 million,165,56,Telecommunications,60737142
2215,Behavioral Health Works,1/1/2009,1301 E. Orangewood Ave ,Anaheim,CA,92805,10.9 million,165,500,Health,10888255
2216,Commonwealth,1/1/1985,11013 Kenwood Road ,Cincinnati,OH,45242,7.5 million,165,80,Logistics & Transportation,7498264
2217,EnableComp,1/1/2000,206 Gothic Court Suite 308 ,Franklin,TN,37067,14.3 million,165,142,Health,14303844
2218,AchieveIt,1/1/2010,1117 Perimeter Center West ,Atlanta,GA,30338,2.1 million,165,28,Software,2126000
2219,ILM Corporation of Virginia,1/1/1976,600 Lafayette Blvd ,Fredericksburg,VA,22401,5.3 million,164,15,Business Products & Services,5265523
2220,ANNUITAS,1/1/2005,3340 Peachtree Road NE Suite 1010,Atlanta,GA,30326,4.6 million,164,23,Business Products & Services,4640545
2221,MaxBotix,1/1/2004,13860 Shawkia Drive 13860,Bainerd,MN,56401,3.6 million,164,30,Manufacturing,3611029
2222,Exude,1/1/1996,2218 Race Street ,Philadelphia,PA,19103,8.6 million,164,50,Insurance,8636766
2223,Pro-Care Medical Center,1/1/2004,1015 West 39 1/2 St. ,Austin,TX,78756,7.5 million,164,55,Health,7467471
2224,Orbit Logic,1/1/2000,7852 Walker Drive Suite 400,Greenbelt,MD,20770,7.9 million,164,25,Software,7856656
2225,YakAttack,1/1/2009,PO Box 444 ,Burkeville,VA,23922,3 million,164,31,Consumer Products & Services,3016176
2226,Yext,1/1/2006,1 Madison Ave ,New York City,NY,10010,89.7 million,164,630,Software,89724123
2227,Domega,1/1/2010,"1365 W Business Park Dr, Ste 200 ",Orem,UT,84058,6.4 million,164,38,Business Products & Services,6416000
2228,Ship My Orders,1/1/2012,4031 Industrial Center Dr Ste 705,North Las Vegas,NV,89030,3.4 million,164,27,Logistics & Transportation,3436975
2229,AKT Enterprises,1/1/2005,6424 Forest City Road ,Orlando,FL,32810,18.5 million,164,125,Advertising & Marketing,18462658
2230,First Choice Bank,1/1/2005,17785 Center Court Drive N Suite 750,Cerritos,CA,90703,34.1 million,164,99,Financial Services,34129000
2231,QFS,1/1/2001,75 Taaffe PL ,Brooklyn,NY,11205,18.3 million,164,1000,Environmental Services,18287423
2232,Maga Design Group,1/1/2005,1838 Columbia Rd NW 1838 Columbia Rd NW,Washington,DC,20009,11.8 million,164,62,Business Products & Services,11805702
2233,Access Networks,1/1/2003,16661 Ventura Blvd. PH 900,Encino,CA,91436,14.6 million,164,25,IT Services,14583671
2234,Baldwin Risk Partners,1/1/2012,"4010 W. Boy Scout Blvd, Suite 200 4010",Tampa,FL,33607,32.9 million,163,223,Insurance,32882841
2235,Multifamily Utility Company,1/1/2007,"4850 Pacific Hwy, Ste 200 ",San Diego,CA,92110,15.2 million,163,50,Real Estate,15168737
2236,Ideosity,1/1/2009,205 W. Main Street ,West Dundee,IL,60118,3.2 million,163,17,IT Services,3242723
2237,Value Trend Solutions,1/1/2009,1641 E Osborn Road Suite 1,Phoenix,AZ,85286,12.6 million,163,30,Real Estate,12602489
2238,Sev1Tech,1/1/2010,12700 Black Forest Lane Suite 306,Woodbridge,VA,22192,33.7 million,163,185,IT Services,33686347
2239,Happys Home Centers,1/1/2010,2909 W Bay to Bay Blvd. #410 ,Tampa,FL,33629,6.1 million,163,50,Consumer Products & Services,6115536
2240,Chandra Technologies,1/1/2002,"708 Heartland Trl, Ste 3800 ",Madison,WI,53717,7.5 million,163,9,IT Services,7542343
2241,Selling Simplified,1/1/2011,7400 E Orchard Road Suite 350S,Greenwood Village,CO,80111,5.4 million,163,250,Software,5410996
2242,KPI Logistics,1/1/2010,12730 High Bluff Drive Suite 130,San Diego,CA,92130,13.5 million,163,11,Logistics & Transportation,13520806
2243,Pacific Companies,1/1/2000,75 Enterprise Suite 220,Aliso Viejo,CA,92656,9.4 million,163,32,Health,9437602
2244,ODW Logistics & Transportation Services,1/1/2009,345 High St. Suite 600,Hamilton,OH,45011,54.6 million,163,60,Logistics & Transportation,54607026
2245,Weby,1/1/2009,805 Avenue H East Suite 501,Arlington,TX,76011,28.2 million,163,37,Retail,28155447
2246,Trillion Technology Solutions,1/1/2004,1950 Roland Clarke Place Suite 410,Reston,VA,20191,7.3 million,163,65,IT Services,7339571
2247,skinnytees,1/1/2009,669 s eton st 669 s eton st,Birmingham,MI,48009,5.6 million,163,6,Retail,5600877
2248,Apeks Supercritical,1/1/2001,150 Commerce Blvd ,Johnstown,OH,43031,10 million,162,30,Manufacturing,10003651
2249,Quirk Books,1/1/2002,215 Church St Ste 1,Philadelphia,PA,19106,32.8 million,162,22,Media,32842614
2250,DMA Goodpoint,1/1/2008,233 Hwy 701 North Bypass ,Tabor City,NC,28463,17.3 million,162,43,Manufacturing,17286542
2251,Peepers by PeeperSpecs,1/1/1972,9935 E US HWY 12 ,Michigan City,IN,46360,10.4 million,162,23,Consumer Products & Services,10434509
2252,Evans,1/1/1994,3110 Fairview Park Dr Suite 1100,Falls Church,VA,22042,10.9 million,162,49,Government Services,10903420
2253,"Criteria (Los Angeles, CA)",1/1/2006,750 N. San Vicente Blvd. Suite 1500 E. Tower,West Hollywood,CA,90035,5 million,162,36,Software,5035644
2254,Relationship One,1/1/2009,8009 34th Ave S Suite 300,Minneapolis,MN,55425,5.5 million,162,45,Advertising & Marketing,5516554
2255,Genysis Labs,1/1/2008,391 S Orange St Suite F,Salt Lake City,UT,84104,3.6 million,162,22,Health,3608000
2256,Martec Construction,1/1/1998,10732 White Oak Avneue ,Granada Hills,CA,91344,5.4 million,162,10,Construction,5392502
2257,iMobile3,1/1/2009,8505 Baycenter Rd. ,Jacksonville,FL,32256,8.5 million,162,80,Software,8540904
2258,PulsePoint,1/1/2011,360 Madison Ave 14th FL,New York City,NY,10017,119.8 million,161,124,Advertising & Marketing,119760485
2259,mac of all trades,1/1/1995,14474 Carlson Circle ,Tampa,FL,33626,19.8 million,161,31,Computer Hardware,19821889
2260,Specialist ID,1/1/2001,4614 SW 74th Ave ,Miami,FL,33155,3.7 million,161,12,Business Products & Services,3710370
2261,etouches,1/1/2008,13 marshall st ,Norwalk,CT,6854,19.6 million,161,187,Software,19597157
2262,MeriEducation,1/1/2007,845 Cordova Street ,Pasadena,CA,91101,2.1 million,161,29,Education,2115726
2263,Michigan Custom Machines,1/1/1994,22750 Heslip Drive ,Novi,MI,48375,13.7 million,161,43,Manufacturing,13745082
2264,Comfort Now,1/1/2010,1830 North Kelsey Street ,Visalia,CA,93291,2.8 million,161,18,Construction,2791058
2265,DKBinnovative,1/1/2004,1701 Legacy Dr. Suite 1450,Frisco,TX,75034,2.1 million,161,13,IT Services,2075692
2266,Rigil,1/1/2005,955 Lenfant Plaza SW Suite 5400,Washington DC,DC,20024,16.8 million,161,143,IT Services,16760760
2267,PharmaLogics Recruiting,1/1/2003,2 Heritage Drive Suite 401,Quincy,MA,2171,9.8 million,161,68,Health,9767000
2268,Mediafly,1/1/2006,150 N Michigan Avenue Suite 2000,Chicago,IL,60601,6.3 million,161,34,Software,6314791
2269,gkhouses,1/1/2008,1701 Oxmoor Rd ,Birmingham,AL,35209,3 million,161,30,Real Estate,2970758
2270,Bokka Group,1/1/2001,104 Broadway Suite 300 ,Denver,CO,80203,2.2 million,161,14,Advertising & Marketing,2234089
2271,Mid-Atlantic ProTel,1/1/1996,51 Aikens Center ,Martinsburg,WV,25404,36.5 million,161,252,Retail,36532741
2272,Plasticard Locktech International,1/1/1988,605 Sweeten Creek Industrial Pk ,Asheville,NC,28803,116.1 million,160,994,Business Products & Services,116122885
2273,Legacy Air,1/1/2001,3529 East Wood Street ,Phoenix,AZ,85040,31.2 million,160,210,Business Products & Services,31159776
2274,Solution Source,1/1/2010,3801 Central Drive ,Plant City,FL,33566,4 million,160,37,Construction,4029023
2275,Dilligas,1/1/2008,134 East Misletow ,San Antonio,TX,78212,8.3 million,160,150,Human Resources,8291386
2276,Greenville Avenue Pizza Company,1/1/2007,1923 Greenville Ave ,Dallas,TX,75214,2.5 million,160,100,Food & Beverage,2496452
2277,Launch Leads,1/1/2009,4548 S Atherton Drive Suite 250,Salt Lake City,UT,84123,2.1 million,160,35,Business Products & Services,2095072
2278,BENZARA,1/1/2009,8600 MERCURY LANE ,Pico Rivera,CA,90660,15 million,160,65,Retail,15015183
2279,Diversified,1/1/1993,363 MARKET STREET ,Kenilworth,NJ,7033,458.9 million,160,1000,Business Products & Services,458886689
2280,Fisher Wallace Laboratories,1/1/2007,515 Madison Avenue ,New York City,NY,10022,4 million,159,10,Health,4008068
2281,Taradel,1/1/2003,4805 Lake Brook Dr Suite 140,Glen Allen,VA,23060,17.6 million,159,32,Advertising & Marketing,17620511
2282,Lady M Confections Co.,1/1/2001,433 Fifth Avenue 3rd Floor,New York City,NY,10016,20.4 million,159,250,Food & Beverage,20407277
2283,Human Solutions,1/1/1997,600 Maryland Ave SW Suite 800E,Washington,DC,20024,55.7 million,159,149,Business Products & Services,55724596
2284,Another Broken Egg Cafe,1/1/1994,600 Grand Blvd Suite M209,Miramar Beach,FL,32550,70.3 million,159,2050,Food & Beverage,70326112
2285,Prop & Peller Pretzels,1/1/2004,6000 S. Eastern Ave. Suite 10C,Las Vegas,NV,89119,7.3 million,159,13,Food & Beverage,7314607
2286,Herman Integration Services,1/1/2012,13400 Wright Circle Unit E 6,Tampa,FL,33626,9.8 million,159,120,Business Products & Services,9793000
2287,Arcadia Louvered Roofs,1/1/2011,154 Ethan Allen Dr. ,Dahlonega,GA,30533,5.6 million,159,40,Manufacturing,5623833
2288,OneTaste,1/1/2010,1446 Market St. ,San Francisco,CA,94102,11.2 million,159,28,Health,11165150
2289,Dixon Schwabl,1/1/1987,1595 Moseley Road ,Victor,NY,14564,75.9 million,158,123,Advertising & Marketing,75931612
2290,Pediatric Home Healthcare,1/1/2010,7800 N STEMMONS FRWY. #370 ,Dallas,TX,75247,26.2 million,158,650,Health,26184319
2291,Vantage Payments,1/1/2009,4040 e. Camelback rd Suite 215,Phoenix,AZ,85018,5.2 million,158,9,Financial Services,5230440
2292,ZIVELO,1/1/2008,"7014 E CAMELBACK RD, STE 608 ",SCOTTSDALE,AZ,85251,17.4 million,158,33,Computer Hardware,17375995
2293,Aventura Dance Cruise,1/1/2008,2875 NE 191st Suite 537,Aventura,FL,33180,2.4 million,158,12,Travel & Hospitality,2446630
2294,Threadbird,1/1/2008,3715 Vineland Rd. ,Orlando,FL,32811,9 million,158,30,Business Products & Services,8962795
2295,Serve First Solutions,1/1/2008,10938 Portal Drive ,Los Alamitos,CA,90720,3.6 million,158,19,Financial Services,3647317
2296,Benzer Pharmacy,1/1/2009,5908 Breckenridge Parkway. ,Tampa,FL,33610,162.7 million,158,459,Health,162736137
2297,Stony Point,1/1/2011,PO Box 2980 Suite 100,Winter Park,FL,32790,3.8 million,158,21,IT Services,3799272
2298,Kore1,1/1/2005,"47 Discovery, Ste 210 ",Irvine,CA,92618,13.8 million,158,100,Human Resources,13798810
2299,Lithko Contracting,1/1/1992,2958 Crescentville Rd ,West Chester,OH,45069,542.2 million,158,1400,Construction,542211329
2300,Mobile Solutions Services,1/1/2008,10731 E. Easter Ave Suite #105,Centennial,CO,80112,6.1 million,157,48,Software,6148743
2301,EmazingLights / iHeartRaves / IntoTheAM,1/1/2010,240 S Loara St ,Anaheim,CA,92802,15 million,157,52,Consumer Products & Services,15033722
2302,Captive Alternatives,1/1/1999,1155 Mt. Vernon Hwy NE Suite 800,Atlanta,GA,30338,6.5 million,157,10,Insurance,6456287
2303,Dimagi,1/1/2002,"585 Massachusetts Ave C/O Dimagi, Suite 3",Cambridge,MA,2139,11 million,157,115,Health,10981934
2304,3-GIS,1/1/2006,350 Market Street NE STE C,Decatur,AL,35601,10.9 million,157,59,Engineering,10926149
2305,Living Home Construction & Design,1/1/2007,2019 South Main Street ,Salt Lake City,UT,84115,4.9 million,157,7,Construction,4930369
2306,ESO Solutions,1/1/2004,"9020 N Capital of Texas Hwy Bldg 2, Ste 300",Austin,TX,78759,14.1 million,157,119,Software,14081112
2307,Genomind,1/1/2009,2200 Renaissance Blvd. Suite 100,King of Prussia,PA,19406,12.7 million,157,85,Health,12743038
2308,BirdDogHR,1/1/1997,4453 NW Urbandale Drive ,Des Moines,IA,50322,6 million,157,47,Software,6018389
2309,BrandNex.com,1/1/2012,8181 Commerce Park Dr Suite 700,Houston,TX,77036,2.4 million,157,30,Advertising & Marketing,2377474
2310,AG Consulting Partners,1/1/2009,2018 156th Ave NE Ste 219 ,Bellevue,WA,98059,3.3 million,157,32,Business Products & Services,3254993
2311,Full Visibility,1/1/2006,1934 Old Gallows Road #350 ,Vienna,VA,22182,6.3 million,157,43,Government Services,6276446
2312,RTM Engineering Consultants,1/1/1981,"650 E. Algonquin Road, Suite 250 ",Schaumburg,IL,60173,14 million,157,125,Engineering,14043624
2313,FlexProfessionals,1/1/2010,818 Clinton Place ,McLean,VA,22101,3.5 million,157,12,Human Resources,3468868
2314,Simple Focus,1/1/2009,2130 West Street ,Germantown,TN,38138,2.4 million,157,20,Advertising & Marketing,2363066
2315,IdeaScale,1/1/2009,548 Market Street #14277 ,San Francisco,CA,94104,5 million,157,40,Software,5044361
2316,All Things Metal,1/1/2002,23724 North Central Ave Building B,Phoenix,AZ,85024,6 million,157,39,Manufacturing,5978939
2317,Fort Collins Heating and Air Conditoning,1/1/1996,208 Commerce Dr #4 ,Fort Collins,CO,80524,8 million,157,66,Consumer Products & Services,8001433
2318,Clarion Security,1/1/2010,5496 poplar avenue suite 3 ,Memphis,TN,38119,8.7 million,157,405,Security,8680953
2319,The Revenue Optimization Companies,1/1/2000,800 S Douglas Road Suite 450,Coral Gables,FL,33134,61.6 million,156,1190,Retail,61556809
2320,Early Growth Financial Services,1/1/2010,2033 Gateway Pl ,San Jose,CA,95110,10.3 million,156,132,Financial Services,10346824
2321,eLearningBrothers,1/1/2009,732 East Utah Valley Drive Suite 400,American Fork,UT,84003,7.3 million,156,99,Education,7298928
2322,Grand Avenue Realty & Lending,1/1/2006,4420 E Miraloma Ave STE M ,Anaheim,CA,92807,5.5 million,156,350,Real Estate,5468482
2323,HLVY Group Worldwide,1/1/2008,212 E 57th Street ,New York City,NY,10022,2.1 million,156,15,Health,2134985
2324,eTERA Consulting,1/1/2004,1100 17th Street Suite 605,"Washington, DC",DC,20036,13.2 million,156,50,Business Products & Services,13181254
2325,Direct Radiology,1/1/2011,1839 N Government Way Suite B,Coeur dAlene,ID,83814,11.8 million,156,41,Health,11808636
2326,Access Information Management,1/1/2004,6818 Patterson Pass Road Suite A,Livermore,CA,94550,276.3 million,156,1712,Business Products & Services,276263578
2327,ownerIQ,1/1/2007,"27-43 Wormwood St., Floor 4 ",Boston,MA,2210,72.1 million,156,230,Advertising & Marketing,72147200
2328,Village Liquors,1/1/1983,1560 Eldridge Pkwy STE. 140 ,Houston,TX,77077,3 million,156,10,Retail,3008914
2329,Rifle Paper Co.,1/1/2009,"558 W. New England Avenue, No. 150 ",Winter Park,FL,32789,21.5 million,156,221,Consumer Products & Services,21492516
2330,Everest Escrow,1/1/2010,7545 Irvine Center Drive Suite 250,Irvine,CA,92618,10.3 million,155,70,Real Estate,10343866
2331,Accountable Healthcare Staffing,1/1/2011,999 Yamato Road Suite 210,Boca Raton,FL,33431,143 million,155,1800,Health,143049240
2332,Empire Hospitality,1/1/2008,901 officers row ,vancouver,WA,98661,13.6 million,155,57,Government Services,13629547
2333,Lumark Technologies,1/1/1999,11325 Random Hills Rd Suite 320,Fairfax,VA,22030,7 million,155,54,Government Services,6979621
2334,CLARUS Merchant Services,1/1/1999,3 East Diamond Ave ,Gatithersburg,MD,20877,9.5 million,155,45,Financial Services,9511520
2335,Horizon Roofing,1/1/1976,2010 County Road 137 ,Waite Park,MN,56387,16.4 million,155,72,Construction,16370587
2336,SocialSEO,1/1/1997,"5475 Mark Dabling Blvd, Suite 210 ",Colorado Springs,CO,80920,3.2 million,155,40,Advertising & Marketing,3235707
2337,"Bellows Plumbing, Heating & Air",1/1/2004,2652 Research Park ,Soquel,CA,95073,7.9 million,155,85,Construction,7899049
2338,PURE Group of Insurance Companies,1/1/2007,44 South Broadway Suite 301,White Plains,NY,10601,640.4 million,155,477,Insurance,640378156
2339,CIO Partners,1/1/2001,2840 Johnson Ferry Road Suite 250,Marietta,GA,30062,2.1 million,155,15,Human Resources,2120166
2340,Project Ricochet,1/1/2006,PO Box 30180 ,Walnut Creek,CA,94598,2.6 million,155,9,Business Products & Services,2595372
2341,Profuse Solutions,1/1/2001,20687-2 Amar Road ,Walnut,CA,91789,5.8 million,155,60,IT Services,5764191
