School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student/Teacher_Ratio,Percent_Free/Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Sequim Senior High,https://www.schooldigger.com/go/WA/schools/0783001289/school.aspx,Sequim School District,https://www.schooldigger.com/go/WA/district/07830/search.aspx,601 N. Sequim Ave.,Sequim,https://www.schooldigger.com/go/WA/city/Sequim/search.aspx,98382,Clallam County,(360) 582-3600,No,No,No,No,812,41.9,19.3,37.2,0.5,2,1.2,13.7,0,7,75.6,60.3
Prairie High School,https://www.schooldigger.com/go/WA/schools/0038001747/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,11311 NE 119th St,Brush Prairie,https://www.schooldigger.com/go/WA/city/Brush+Prairie/search.aspx,98662,Clark County,(360) 885-5000,No,No,No,No,1505,75.9,19.8,29.3,1.7,1.1,5.3,15.9,0.7,6,69.2,60.3
Wishkah Valley Elementary/High School,https://www.schooldigger.com/go/WA/schools/0999001679/school.aspx,Wishkah Valley School District,https://www.schooldigger.com/go/WA/district/09990/search.aspx,4640 Wishkah Rd.,Aberdeen,https://www.schooldigger.com/go/WA/city/Aberdeen/search.aspx,98520,Grays Harbor County,(360) 532-3128,Yes,No,No,No,146,15.1,9.6,61.6,0,0,0,3.4,2.1,0.7,93.8,60.2
Northport High School,https://www.schooldigger.com/go/WA/schools/0588000874/school.aspx,Northport School District,https://www.schooldigger.com/go/WA/district/05880/search.aspx,404 10th Street,Northport,https://www.schooldigger.com/go/WA/city/Northport/search.aspx,99157,Stevens County,(509) 732-4430,Yes,No,No,No,42,5.5,7.5,83.3,0,7.1,0,0,0,4.8,88.1,60.1
Kalama High School,https://www.schooldigger.com/go/WA/schools/0381003659/school.aspx,Kalama School District,https://www.schooldigger.com/go/WA/district/03810/search.aspx,548 China Garden Road,Kalama,https://www.schooldigger.com/go/WA/city/Kalama/search.aspx,98625,Cowlitz County,(360) 673-5212,No,No,No,No,332,14.9,22.2,28.3,0.3,0.6,0.6,11.1,0.6,3,83.7,59.8
Snohomish High School,https://www.schooldigger.com/go/WA/schools/0802001328/school.aspx,Snohomish School District,https://www.schooldigger.com/go/WA/district/08020/search.aspx,1316 Fifth Street,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98290,Snohomish County,(360) 563-4000,Yes,No,No,No,1599,68.9,23.1,20.1,0.4,0.5,2.4,13.9,0.2,6.2,76.4,59.2
Okanogan High School,https://www.schooldigger.com/go/WA/schools/0615000920/school.aspx,Okanogan School District,https://www.schooldigger.com/go/WA/district/06150/search.aspx,244 South 5th Street,Okanogan,https://www.schooldigger.com/go/WA/city/Okanogan/search.aspx,98840,Okanogan County,(509) 422-3770,No,No,No,No,311,15.7,19.7,51.1,0.6,8.7,0.3,28.6,0,6.4,55.3,59.2
Lynden High School,https://www.schooldigger.com/go/WA/schools/0462002259/school.aspx,Lynden School District,https://www.schooldigger.com/go/WA/district/04620/search.aspx,1201 Bradley Rd,Lynden,https://www.schooldigger.com/go/WA/city/Lynden/search.aspx,98264,Whatcom County,(360) 354-4401,No,No,No,No,986,46.9,20.9,28.7,1,0.2,2.6,26,0.4,4.7,65.1,59.1
Oakesdale High School,https://www.schooldigger.com/go/WA/schools/0597000908/school.aspx,Oakesdale School District,https://www.schooldigger.com/go/WA/district/05970/search.aspx,First & McCoy Streets,Oakesdale,https://www.schooldigger.com/go/WA/city/Oakesdale/search.aspx,99158,Whitman County,(509) 285-5281,No,No,No,No,79,5.8,13.4,34.2,0,0,0,6.3,0,2.5,91.1,58.8
Selah High School,https://www.schooldigger.com/go/WA/schools/0777001282/school.aspx,Selah School District,https://www.schooldigger.com/go/WA/district/07770/search.aspx,801 North First Street,Selah,https://www.schooldigger.com/go/WA/city/Selah/search.aspx,98942,Yakima County,(509) 698-8500,Yes,No,No,No,1066,54.6,19.4,47.9,0.7,0.6,0.7,30.5,0.1,3.6,63.6,58.6
Pomeroy Junior Senior High School,https://www.schooldigger.com/go/WA/schools/0678000994/school.aspx,Pomeroy School District,https://www.schooldigger.com/go/WA/district/06780/search.aspx,1090 Pataha St,Pomeroy,https://www.schooldigger.com/go/WA/city/Pomeroy/search.aspx,99347,Garfield County,(509) 843-1331,No,No,No,No,145,11.9,12.1,51,0.7,0,2.8,6.2,0,4.1,85.5,58.3
Mary M. Knight School,https://www.schooldigger.com/go/WA/schools/0480003571/school.aspx,Mary M Knight School District,https://www.schooldigger.com/go/WA/district/04800/search.aspx,2987 W Matlock Brady RD,Elma,https://www.schooldigger.com/go/WA/city/Elma/search.aspx,98541,Mason County,(360) 426-6767,Yes,No,No,No,156,13.9,11.1,64.7,0,1.3,0,5.8,0,12.8,80.1,58.2
East Valley High School,https://www.schooldigger.com/go/WA/schools/0228000312/school.aspx,East Valley School District (Spokane),https://www.schooldigger.com/go/WA/district/02280/search.aspx,15711 E Wellesley Ave,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99216,Spokane County,(509) 927-3200,No,No,No,No,821,49.4,16.6,45.8,1.2,1.5,1.7,10.2,1.3,5.5,78.6,57.5
Republic Senior High School,https://www.schooldigger.com/go/WA/schools/0726001089/school.aspx,Republic School District,https://www.schooldigger.com/go/WA/district/07260/search.aspx,30306 Highway 20 E,Republic,https://www.schooldigger.com/go/WA/city/Republic/search.aspx,99166,Ferry County,(509) 775-3173,No,No,No,No,100,6,16.6,63,0,8,1,3,0,9,79,57.5
Naselle-Grays River Valley Junior Senior High Schools,https://www.schooldigger.com/go/WA/schools/0552000831/school.aspx,Naselle-Grays River Valley School District,https://www.schooldigger.com/go/WA/district/05520/search.aspx,793 Sr 4,Naselle,https://www.schooldigger.com/go/WA/city/Naselle/search.aspx,98638,Pacific County,(360) 484-7121,No,No,No,No,176,10.3,17,53.4,1.1,0.6,1.7,10.8,0,5.1,80.7,57.4
White River High School,https://www.schooldigger.com/go/WA/schools/0978003153/school.aspx,White River School District,https://www.schooldigger.com/go/WA/district/09780/search.aspx,26928 120th St E,Buckley,https://www.schooldigger.com/go/WA/city/Buckley/search.aspx,98321,Pierce County,(360) 829-3352,No,No,No,No,1186,55.7,21.2,24.6,0.6,0.8,1.6,10.6,0,5,81.4,57.4
Summit Public School: Atlas,https://www.schooldigger.com/go/WA/schools/0034303611/school.aspx,Summit Public School: Atlas,https://www.schooldigger.com/go/WA/district/00343/search.aspx,9601 35th Avenue SW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98126,King County,(206) 307-7645,Yes,Yes,No,No,456,27,16.8,43,28.9,0.7,2.4,15.4,0.4,13.4,38.4,57.3
Summit Public School: Sierra,https://www.schooldigger.com/go/WA/schools/0033403510/school.aspx,Summit Public School: Sierra,https://www.schooldigger.com/go/WA/district/00334/search.aspx,1025 S King St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98104,King County,(206) 453-2520,Yes,Yes,No,No,365,23,15.8,32.1,34,0,3.8,15.3,0.3,13.7,32.9,57.3
Oak Harbor High School,https://www.schooldigger.com/go/WA/schools/0594000903/school.aspx,Oak Harbor School District,https://www.schooldigger.com/go/WA/district/05940/search.aspx,950 NW 2nd Ave.,Oak Harbor,https://www.schooldigger.com/go/WA/city/Oak+Harbor/search.aspx,98277,Island County,(360) 279-5400,No,No,No,No,1490,83,17.9,34.2,4.6,0.7,7.3,17.2,0.9,10.1,59.1,57.2
Washougal High School,https://www.schooldigger.com/go/WA/schools/0954001624/school.aspx,Washougal School District,https://www.schooldigger.com/go/WA/district/09540/search.aspx,1201 39th St,Washougal,https://www.schooldigger.com/go/WA/city/Washougal/search.aspx,98671,Clark County,(360) 954-3100,No,No,No,No,1017,47,21.5,31.9,0.7,0.6,1.3,10.9,0.1,6.9,79.5,57.2
East Valley High School,https://www.schooldigger.com/go/WA/schools/0537000805/school.aspx,East Valley School District (Yakima),https://www.schooldigger.com/go/WA/district/05370/search.aspx,1900 Beaudry Road,Yakima,https://www.schooldigger.com/go/WA/city/Yakima/search.aspx,98901,Yakima County,(509) 573-7420,No,No,No,No,907,45.4,19.9,55.9,1,1.3,0.8,49.3,0,2.4,45.1,57
Trout Lake School,https://www.schooldigger.com/go/WA/schools/0906001539/school.aspx,Trout Lake School District,https://www.schooldigger.com/go/WA/district/09060/search.aspx,2310 Hwy 141,Trout Lake,https://www.schooldigger.com/go/WA/city/Trout+Lake/search.aspx,98650,Klickitat County,(509) 395-2571,Yes,No,No,No,136,9.7,14,,0,3.7,2.9,20.6,0,5.1,66.9,56.9
The Center School,https://www.schooldigger.com/go/WA/schools/0771002842/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,305 Harrison St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98109,King County,(206) 252-9850,No,No,No,No,251,14.4,17.4,14.3,3.2,1.6,6,9.6,0.4,8.4,66.1,56.9
Arlington High School,https://www.schooldigger.com/go/WA/schools/0024000023/school.aspx,Arlington School District,https://www.schooldigger.com/go/WA/district/00240/search.aspx,18821 Crown Ridge Blvd,Arlington,https://www.schooldigger.com/go/WA/city/Arlington/search.aspx,98223,Snohomish County,(360) 618-6300,No,No,No,No,1588,78.2,20.2,29.5,0.9,1,1.9,14.9,0.2,8.2,72.9,56.7
Kentlake High School,https://www.schooldigger.com/go/WA/schools/0396002570/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,21401 SE Falcon Way,Kent,https://www.schooldigger.com/go/WA/city/Kent/search.aspx,98042,King County,(253) 373-4900,No,No,No,No,1498,72.7,20.5,43.5,9.3,0.4,11.5,21.2,1.7,8.9,46.8,56.6
Ferndale High School,https://www.schooldigger.com/go/WA/schools/0285000460/school.aspx,Ferndale School District,https://www.schooldigger.com/go/WA/district/02850/search.aspx,5830 Golden Eagle Drive,Ferndale,https://www.schooldigger.com/go/WA/city/Ferndale/search.aspx,98248,Whatcom County,(360) 383-9240,Yes,No,No,No,1344,63.5,21.1,41.2,1.6,6,4.5,21.2,0.3,7.4,59,56.6
Mid-Columbia Parent Partnership,https://www.schooldigger.com/go/WA/schools/0393003115/school.aspx,Kennewick School District,https://www.schooldigger.com/go/WA/district/03930/search.aspx,5980 W 12th Ave,Kennewick,https://www.schooldigger.com/go/WA/city/Kennewick/search.aspx,99338,Benton County,(509) 222-5036,No,No,No,No,401,9.7,41.2,22.7,0.7,0.2,0.2,14,0,7.7,77.1,56.5
Okanogan Outreach Alternative School,https://www.schooldigger.com/go/WA/schools/0615003247/school.aspx,Okanogan School District,https://www.schooldigger.com/go/WA/district/06150/search.aspx,119 N 2nd,Okanogan,https://www.schooldigger.com/go/WA/city/Okanogan/search.aspx,98840,Okanogan County,(509) 422-3629,No,No,No,No,63,2,31.5,71.4,0,17.5,0,15.9,0,19,47.6,56.5
Stevenson High School,https://www.schooldigger.com/go/WA/schools/0852001436/school.aspx,Stevenson-Carson School District,https://www.schooldigger.com/go/WA/district/08520/search.aspx,390 NW Gropper Road,Stevenson,https://www.schooldigger.com/go/WA/city/Stevenson/search.aspx,98648,Skamania County,(509) 427-5631,No,No,No,No,279,12.3,22.6,49.5,0.7,2.9,0.7,17.2,0,5,73.5,56.4
Clip,https://www.schooldigger.com/go/WA/schools/0456002644/school.aspx,Riverview School District,https://www.schooldigger.com/go/WA/district/04560/search.aspx,32302 NE 50th Street,Carnation,https://www.schooldigger.com/go/WA/city/Carnation/search.aspx,98014,King County,(425) 844-4960,No,No,No,No,44,1.4,30.3,27.3,0,0,0,20.5,0,6.8,68.2,56.3
Capital High School,https://www.schooldigger.com/go/WA/schools/0618000923/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,2707 Conger Ave NW,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98502,Thurston County,(360) 596-8000,No,No,No,No,1368,63.6,21.4,30,3.9,1.2,7.6,14,0.7,10.6,61.7,56.2
Walla Walla High School,https://www.schooldigger.com/go/WA/schools/0945001609/school.aspx,Walla Walla Public Schools,https://www.schooldigger.com/go/WA/district/09450/search.aspx,800 Abbott Rd,Walla Walla,https://www.schooldigger.com/go/WA/city/Walla+Walla/search.aspx,99362,Walla Walla County,(509) 527-3020,No,No,No,No,1523,72,21.1,46.6,0.8,0.2,1.8,40.1,0.3,3.5,53.3,55.9
Hazen Senior High School,https://www.schooldigger.com/go/WA/schools/0723001080/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,1101 Hoquiam Ave NE,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98059,King County,(425) 204-4200,No,No,No,No,1817,73.6,24.6,33.9,5.7,0.2,30.2,24.9,0.6,7.2,30.5,55.8
Goldendale High School,https://www.schooldigger.com/go/WA/schools/0309000490/school.aspx,Goldendale School District,https://www.schooldigger.com/go/WA/district/03090/search.aspx,525 Simcoe Dr.,Goldendale,https://www.schooldigger.com/go/WA/city/Goldendale/search.aspx,98620,Klickitat County,(509) 773-5846,Yes,No,No,No,285,14.3,19.8,52.6,0,2.1,0.4,12.6,0.4,4.6,80,55.8
River Ridge High School,https://www.schooldigger.com/go/WA/schools/0585001208/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,350 River Ridge Drive SE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98513,Thurston County,(360) 412-4820,No,No,No,No,1483,65.8,22.5,39.2,6.5,1.9,8.5,22.2,2.4,15.8,42.8,55.7
Enumclaw Senior High School,https://www.schooldigger.com/go/WA/schools/0000100379/school.aspx,Enumclaw School District,https://www.schooldigger.com/go/WA/district/00001/search.aspx,226 Semanski St South,Enumclaw,https://www.schooldigger.com/go/WA/city/Enumclaw/search.aspx,98022,King County,(360) 802-7669,No,No,No,No,1302,62.3,20.8,27.6,0.6,1.2,1,17.5,0.5,4.5,74.5,55.3
A G West Black Hills High School,https://www.schooldigger.com/go/WA/schools/0910002602/school.aspx,Tumwater School District,https://www.schooldigger.com/go/WA/district/09100/search.aspx,7741 Littlerock Road SW,Tumwater,https://www.schooldigger.com/go/WA/city/Tumwater/search.aspx,98512,Thurston County,(360) 709-7800,No,No,No,No,821,38.4,21.3,26.4,2.1,0.5,4.1,11.1,0.6,12.9,68.7,55
Cheney High School,https://www.schooldigger.com/go/WA/schools/0123000223/school.aspx,Cheney School District,https://www.schooldigger.com/go/WA/district/01230/search.aspx,460 N Sixth St,Cheney,https://www.schooldigger.com/go/WA/city/Cheney/search.aspx,99004,Spokane County,(509) 559-4000,No,No,No,No,1384,74.8,18.5,41.3,2,2.1,1.7,11.2,1.5,8.6,72.8,54.6
Everett High School,https://www.schooldigger.com/go/WA/schools/0267000395/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,2416 Colby Ave.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98201,Snohomish County,(425) 385-4400,No,No,No,No,1476,72.6,20.3,52.5,5.1,0.7,7,24.9,2.7,6.8,52.3,54.5
Dayton High School,https://www.schooldigger.com/go/WA/schools/0204000305/school.aspx,Dayton School District,https://www.schooldigger.com/go/WA/district/02040/search.aspx,614 S Third Street,Dayton,https://www.schooldigger.com/go/WA/city/Dayton/search.aspx,99328,Columbia County,(509) 382-4775,No,No,No,No,111,9.8,11.2,47.7,0.9,3.6,1.8,17.1,0,1.8,74.8,54.4
Jenkins Junior/Senior High,https://www.schooldigger.com/go/WA/schools/0126000230/school.aspx,Chewelah School District,https://www.schooldigger.com/go/WA/district/01260/search.aspx,E. 702 Lincoln,Chewelah,https://www.schooldigger.com/go/WA/city/Chewelah/search.aspx,99109,Stevens County,(509) 685-6800,Yes,No,No,No,259,19.8,13,50.6,0,1.5,0.4,4.6,0.4,9.7,83.4,54.1
Wilbur Secondary School,https://www.schooldigger.com/go/WA/schools/0984001668/school.aspx,Wilbur School District,https://www.schooldigger.com/go/WA/district/09840/search.aspx,202 Pope Street,Wilbur,https://www.schooldigger.com/go/WA/city/Wilbur/search.aspx,99185,Lincoln County,(509) 647-5602,No,No,No,No,138,9.7,14,45.7,0,13.8,0,8.7,0,12.3,64.5,53.9
Cle Elum Roslyn High School,https://www.schooldigger.com/go/WA/schools/0135000240/school.aspx,Cle Elum-Roslyn School District,https://www.schooldigger.com/go/WA/district/01350/search.aspx,2692 Sr 903,Cle Elum,https://www.schooldigger.com/go/WA/city/Cle+Elum/search.aspx,98922,Kittitas County,(509) 649-4900,No,No,No,No,232,14.4,16.1,33.6,0.4,0.9,1.3,13.8,0,4.7,78.4,53.9
Chelan High School,https://www.schooldigger.com/go/WA/schools/0120002058/school.aspx,Lake Chelan School District,https://www.schooldigger.com/go/WA/district/01200/search.aspx,215 Webster,Chelan,https://www.schooldigger.com/go/WA/city/Chelan/search.aspx,98816,Chelan County,(509) 682-4061,Yes,No,No,No,424,24.6,17.2,54.7,0.5,0,0.2,53.5,0,0.9,44.8,53.7
Avanti High School,https://www.schooldigger.com/go/WA/schools/0618002689/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,1113 Legion Way SE,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98501,Thurston County,(360) 596-7900,No,No,No,No,135,7.6,17.7,27.4,3,0,0,8.9,0,7.4,80,53.3
Orting High School,https://www.schooldigger.com/go/WA/schools/0645000953/school.aspx,Orting School District,https://www.schooldigger.com/go/WA/district/06450/search.aspx,320 Washington Avenue North,Orting,https://www.schooldigger.com/go/WA/city/Orting/search.aspx,98360,Pierce County,(360) 893-2246,No,No,No,No,668,38.8,17.1,29.6,1.9,0.7,2.8,14.1,0.7,9.1,70.2,53.3
Stadium,https://www.schooldigger.com/go/WA/schools/0870001502/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,111 N E St,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98403,Pierce County,(253) 571-3100,No,No,No,No,1529,68.8,22.2,32.9,9.4,1.3,8.7,16.2,1.4,14.2,48.6,53
Waitsburg High School,https://www.schooldigger.com/go/WA/schools/0939001597/school.aspx,Waitsburg School District,https://www.schooldigger.com/go/WA/district/09390/search.aspx,420 Coppei Ave,Waitsburg,https://www.schooldigger.com/go/WA/city/Waitsburg/search.aspx,99361,Walla Walla County,(509) 337-6351,Yes,No,No,No,80,6,13.2,50,0,0,0,16.3,0,5,78.8,52.6
Weston High School,https://www.schooldigger.com/go/WA/schools/0024002074/school.aspx,Arlington School District,https://www.schooldigger.com/go/WA/district/00240/search.aspx,4407 172nd Street NE,Arlington,https://www.schooldigger.com/go/WA/city/Arlington/search.aspx,98223,Snohomish County,(360) 618-6340,No,No,No,No,103,11.5,8.9,47.6,1,1,0,8.7,1,7.8,80.6,52.5
Central Valley High School,https://www.schooldigger.com/go/WA/schools/0111000191/school.aspx,Central Valley School District,https://www.schooldigger.com/go/WA/district/01110/search.aspx,821 S Sullivan Rd,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99037,Spokane County,(509) 558-5100,No,No,No,No,2285,98.6,23.1,21.8,2,0.5,3.2,2.1,1,4.5,86.6,52.1
Woodland Alternative School,https://www.schooldigger.com/go/WA/schools/1005002713/school.aspx,Woodland School District,https://www.schooldigger.com/go/WA/district/10050/search.aspx,759 3rd Street,Woodland,https://www.schooldigger.com/go/WA/city/Woodland/search.aspx,98674,Cowlitz County,(360) 841-2900,No,No,No,No,159,2,79.5,45.9,0.6,0,0,11.9,0,2.5,84.9,52
Marysville Getchell High School,https://www.schooldigger.com/go/WA/schools/0486003607/school.aspx,Marysville School District,https://www.schooldigger.com/go/WA/district/04860/search.aspx,8301 84th St. NE,Marysville,https://www.schooldigger.com/go/WA/city/Marysville/search.aspx,98270,Snohomish County,(360) 965-2602,No,No,No,No,1481,56.9,26,36.4,2.4,3,10.9,22.6,0.9,9,51.1,51.9
Ferris High School,https://www.schooldigger.com/go/WA/schools/0825001385/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,3020 E 37Th Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99223,Spokane County,(509) 354-6000,No,No,No,No,1650,80,20.6,42.5,3,0.7,3.6,10.7,0.8,10.2,70.7,51.8
Richland High School,https://www.schooldigger.com/go/WA/schools/0732001093/school.aspx,Richland School District,https://www.schooldigger.com/go/WA/district/07320/search.aspx,930 Long Ave,Richland,https://www.schooldigger.com/go/WA/city/Richland/search.aspx,99352,Benton County,(509) 967-6535,No,No,No,No,2045,86.5,23.6,6.2,1.7,0.4,3,18.8,0.2,3.7,72.2,51.6
Newport High School,https://www.schooldigger.com/go/WA/schools/0561000833/school.aspx,Newport School District,https://www.schooldigger.com/go/WA/district/05610/search.aspx,1400 W. 5th Street,Newport,https://www.schooldigger.com/go/WA/city/Newport/search.aspx,99156,Pend Oreille County,(509) 447-2481,No,No,No,No,349,21.8,15.9,55.6,0,1.1,0.9,4.9,0.6,5.2,87.4,51.2
Battle Ground High School,https://www.schooldigger.com/go/WA/schools/0038000049/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,300 W Main St,Battle Ground,https://www.schooldigger.com/go/WA/city/Battle+Ground/search.aspx,98604,Clark County,(360) 885-6500,No,No,No,No,1586,86.1,18.4,28.9,0.6,0.6,1.4,10,0.3,4,83.2,51.2
Leaders In Learning,https://www.schooldigger.com/go/WA/schools/0513002759/school.aspx,Monroe School District,https://www.schooldigger.com/go/WA/district/05130/search.aspx,639 1/2 W Main St.,Monroe,https://www.schooldigger.com/go/WA/city/Monroe/search.aspx,98272,Snohomish County,(360) 804-2800,No,No,No,No,41,4.3,9.3,61,0,4.9,0,26.8,0,4.9,63.4,51.2
Zillah High School,https://www.schooldigger.com/go/WA/schools/1017001719/school.aspx,Zillah School District,https://www.schooldigger.com/go/WA/district/10170/search.aspx,1602 Second Avenue,Zillah,https://www.schooldigger.com/go/WA/city/Zillah/search.aspx,98953,Yakima County,(509) 829-5565,No,No,No,No,443,21.4,20.6,52.8,0.2,4.7,0.5,53,0,3.4,38.1,51.1
Lakes High School,https://www.schooldigger.com/go/WA/schools/0141000261/school.aspx,Clover Park School District,https://www.schooldigger.com/go/WA/district/01410/search.aspx,10320 Farwest DR SW,Lakewood,https://www.schooldigger.com/go/WA/city/Lakewood/search.aspx,98498,Pierce County,(253) 583-5550,No,No,No,No,1220,61.5,19.8,45.5,14.1,0.7,5.6,23.3,5.1,18.1,32.7,51.1
Big Picture School,https://www.schooldigger.com/go/WA/schools/0354002976/school.aspx,Highline School District,https://www.schooldigger.com/go/WA/district/03540/search.aspx,440 S 186th St,Burien,https://www.schooldigger.com/go/WA/city/Burien/search.aspx,98148,King County,(206) 631-7700,Yes,No,No,No,218,18.4,11.8,50.9,7.3,2.3,5.5,30.3,0,11.5,40.8,50.9
Dungeness Virtual School,https://www.schooldigger.com/go/WA/schools/0783003729/school.aspx,Sequim School District,https://www.schooldigger.com/go/WA/district/07830/search.aspx,503 N. Sequim Ave,Sequim,https://www.schooldigger.com/go/WA/city/Sequim/search.aspx,98382,Clallam County,(360) 582-3433,No,No,No,Yes,53,,,39.6,3.8,0,0,7.5,3.8,17,67.9,50.8
Riverside High School,https://www.schooldigger.com/go/WA/schools/0744002013/school.aspx,Riverside School District,https://www.schooldigger.com/go/WA/district/07440/search.aspx,4120 East Deer Park-Milan Rd.,Chattaroy,https://www.schooldigger.com/go/WA/city/Chattaroy/search.aspx,99003,Spokane County,(509) 464-8550,No,No,No,No,427,22.3,19,41.2,1.2,0.7,0.7,5.9,0.2,3.3,88.1,50.7
Woodland High School,https://www.schooldigger.com/go/WA/schools/1005001682/school.aspx,Woodland School District,https://www.schooldigger.com/go/WA/district/10050/search.aspx,1500 Dike Access Road,Woodland,https://www.schooldigger.com/go/WA/city/Woodland/search.aspx,98674,Cowlitz County,(360) 841-2800,No,No,No,No,621,32.8,18.9,40.4,0.8,0.2,0.5,21.3,0,3.4,73.9,50.6
W F West High School,https://www.schooldigger.com/go/WA/schools/0117000217/school.aspx,Chehalis School District,https://www.schooldigger.com/go/WA/district/01170/search.aspx,342 SW 16th Street,Chehalis,https://www.schooldigger.com/go/WA/city/Chehalis/search.aspx,98532,Lewis County,(360) 807-7235,No,No,No,No,959,47.7,20,36.4,0.9,0.4,0.7,17.9,0.1,5,74.9,50.6
Quilcene High And Elementary,https://www.schooldigger.com/go/WA/schools/0699001045/school.aspx,Quilcene School District,https://www.schooldigger.com/go/WA/district/06990/search.aspx,294715 Highway 101,Quilcene,https://www.schooldigger.com/go/WA/city/Quilcene/search.aspx,98376,Jefferson County,(360) 765-3363,Yes,No,No,No,219,19.4,11.2,46.6,0,0.9,1.8,4.6,0,12.3,79.5,50.3
Lopez Middle High School,https://www.schooldigger.com/go/WA/schools/0453000713/school.aspx,Lopez School District,https://www.schooldigger.com/go/WA/district/04530/search.aspx,86 School Road,Lopez Island,https://www.schooldigger.com/go/WA/city/Lopez+Island/search.aspx,98261,San Juan County,(360) 468-2202,Yes,No,No,No,129,9.9,13,48.1,0,0.8,3.9,31,0,2.3,61.2,50.3
Pateros High School,https://www.schooldigger.com/go/WA/schools/0660000975/school.aspx,Pateros School District,https://www.schooldigger.com/go/WA/district/06600/search.aspx,344 W Beach St,Pateros,https://www.schooldigger.com/go/WA/city/Pateros/search.aspx,98846,Okanogan County,(509) 923-2343,Yes,No,No,No,160,11.7,13.6,73.8,0.6,1.3,1.9,63.1,0,1.9,31.3,50.3
Toledo High School,https://www.schooldigger.com/go/WA/schools/0891001527/school.aspx,Toledo School District,https://www.schooldigger.com/go/WA/district/08910/search.aspx,1242 State Route 505,Toledo,https://www.schooldigger.com/go/WA/city/Toledo/search.aspx,98591,Lewis County,(360) 864-2391,No,No,No,No,222,14.4,15.4,49.1,1.4,0.9,0,16.7,0.5,4.5,76.1,50.2
Auburn Riverside High School,https://www.schooldigger.com/go/WA/schools/0030002445/school.aspx,Auburn School District,https://www.schooldigger.com/go/WA/district/00300/search.aspx,501 Oravetz Rd SE,Auburn,https://www.schooldigger.com/go/WA/city/Auburn/search.aspx,98092,King County,(253) 804-5154,No,No,No,No,1817,79.5,22.8,38.4,5.6,0.2,12.4,28.9,4.4,9.4,39.1,50.1
Harbor High School,https://www.schooldigger.com/go/WA/schools/0003000002/school.aspx,Aberdeen School District,https://www.schooldigger.com/go/WA/district/00030/search.aspx,300 N. Williams,Aberdeen,https://www.schooldigger.com/go/WA/city/Aberdeen/search.aspx,98520,Grays Harbor County,(360) 538-2189,Yes,No,No,No,59,1.7,33.3,64.4,0,5.1,0,20.3,0,8.5,66.1,49.4
Lynnwood High School,https://www.schooldigger.com/go/WA/schools/0240000346/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,18218 North Rd,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 431-7520,No,No,No,No,1402,64.1,21.8,42.6,7.1,0.4,21,27.4,1.1,8.6,33.7,49.2
EV Online,https://www.schooldigger.com/go/WA/schools/0228003581/school.aspx,East Valley School District (Spokane),https://www.schooldigger.com/go/WA/district/02280/search.aspx,3830 N Sullivan Rd Bldg 1,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99216,Spokane County,(509) 241-5010,No,No,No,No,213,2,105.4,53.1,1.4,1.4,0.9,13.1,1.9,7,74.2,48.6
