Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
140,Charlottesville ,https://www.schooldigger.com/go/VA/schools/0078000273/school.aspx,Charlottesville City Public Schools,https://www.schooldigger.com/go/VA/district/00780/search.aspx,1400 Melbourne Road,Charlottesville,https://www.schooldigger.com/go/VA/city/Charlottesville/search.aspx,22901,Albemarle County,(434) 245-2410,No,No,No,No,1196,97.3,12.2,0.43,0.29,0,0.06,0.12,0,0.07,0.46,53.2
141,King's Fork ,https://www.schooldigger.com/go/VA/schools/0371002426/school.aspx,Suffolk City Public Schools,https://www.schooldigger.com/go/VA/district/03710/search.aspx,351 Kings Fork Road,Suffolk,https://www.schooldigger.com/go/VA/city/Suffolk/search.aspx,23434,Suffolk city,(757) 923-5240,No,No,No,No,1494,104.4,14.2,0.46,0.62,0,0.02,0.05,0,0.05,0.26,53.2
142,Patrick County ,https://www.schooldigger.com/go/VA/schools/0288001188/school.aspx,Patrick County Public Schools,https://www.schooldigger.com/go/VA/district/02880/search.aspx,215 Cougar Lane,Stuart,https://www.schooldigger.com/go/VA/city/Stuart/search.aspx,24171,Patrick County,(276) 694-7137,No,No,No,No,874,68.9,12.6,0.5,0.05,0,0.01,0.07,0,0.04,0.83,53.2
143,Charles City County ,https://www.schooldigger.com/go/VA/schools/0072000258/school.aspx,Charles City County Public Schools,https://www.schooldigger.com/go/VA/district/00720/search.aspx,10039 Courthouse Rd,Charles City,https://www.schooldigger.com/go/VA/city/Charles+City/search.aspx,23030,Charles City County,(804) 829-9249,Yes,No,No,No,303,26,11.6,0.55,0.57,0.07,0,0.02,0,0.04,0.3,52.8
144,Tucker ,https://www.schooldigger.com/go/VA/schools/0189000811/school.aspx,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,2910 Parham Rd,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,23294,Henrico County,(804) 527-4600,No,No,Yes,No,1717,99,17.3,0.5,0.25,0.01,0.14,0.2,0,0.05,0.35,52.7
145,Rappahannock ,https://www.schooldigger.com/go/VA/schools/0327001409/school.aspx,Richmond County Public Schools,https://www.schooldigger.com/go/VA/district/03270/search.aspx,6914 Richmond Rd,Warsaw,https://www.schooldigger.com/go/VA/city/Warsaw/search.aspx,22572,Richmond County,(804) 333-3551,No,No,No,No,499,34.5,14.4,0.74,0.28,0,0.01,0.09,0,0.03,0.59,52.6
146,James Wood ,https://www.schooldigger.com/go/VA/schools/0147000652/school.aspx,Frederick County Public Schools,https://www.schooldigger.com/go/VA/district/01470/search.aspx,161 Apple Pie Ridge Rd,Winchester,https://www.schooldigger.com/go/VA/city/Winchester/search.aspx,22603,Frederick County,(540) 667-5226,No,No,No,No,1330,104.1,12.7,0.25,0.02,0,0.01,0.08,0,0.02,0.87,52.6
147,Narrows ,https://www.schooldigger.com/go/VA/schools/0159000673/school.aspx,Giles County Public Schools,https://www.schooldigger.com/go/VA/district/01590/search.aspx,1 Green Wave Lane,Narrows,https://www.schooldigger.com/go/VA/city/Narrows/search.aspx,24124,Giles County,(540) 726-2384,No,No,No,No,332,26,12.7,0.49,0.01,0,0.01,0.02,0,0.01,0.96,52.5
148,James River ,https://www.schooldigger.com/go/VA/schools/0084000766/school.aspx,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,3700 James River Rd.,Midlothian,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,23113,Chesterfield County,(804) 378-2420,No,No,No,No,1986,121.7,16.3,0.25,0.15,0,0.05,0.17,0,0.05,0.58,52.4
149,Buffalo Gap ,https://www.schooldigger.com/go/VA/schools/0030000117/school.aspx,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,1800 Buffalo Gap Hwy,Swoope,https://www.schooldigger.com/go/VA/city/Swoope/search.aspx,24479,Augusta County,(540) 337-6021,No,No,No,No,485,40.5,11.9,0.34,0,0,0,0.02,0,0.01,0.97,52.4
150,Floyd County ,https://www.schooldigger.com/go/VA/schools/0135000618/school.aspx,Floyd County Public Schools,https://www.schooldigger.com/go/VA/district/01350/search.aspx,721 Baker St. SW,Floyd,https://www.schooldigger.com/go/VA/city/Floyd/search.aspx,24091,Floyd County,(540) 745-9450,No,No,No,No,791,54.4,14.5,0.41,0.02,0,0.01,0.04,0,0.03,0.9,52.3
151,Bath County ,https://www.schooldigger.com/go/VA/schools/0033000139/school.aspx,Bath County Public Schools,https://www.schooldigger.com/go/VA/district/00330/search.aspx,464 Charger Lane,Hot Springs,https://www.schooldigger.com/go/VA/city/Hot+Springs/search.aspx,24445,Bath County,(540) 839-2431,No,No,No,No,202,22.6,8.9,0.44,0.03,0.01,0.01,0.02,0.01,0.04,0.89,51.9
152,Appomattox County ,https://www.schooldigger.com/go/VA/schools/0024000076/school.aspx,Appomattox County Public Schools,https://www.schooldigger.com/go/VA/district/00240/search.aspx,198 Evergreen Avenue,Appomattox,https://www.schooldigger.com/go/VA/city/Appomattox/search.aspx,24522,Appomattox County,(434) 352-7146,No,No,No,No,689,54.8,12.5,0.4,0.21,0,0,0.02,0,0.06,0.7,51.7
153,Salem ,https://www.schooldigger.com/go/VA/schools/0346002043/school.aspx,Salem City Public Schools,https://www.schooldigger.com/go/VA/district/03460/search.aspx,400 Spartan Dr,Salem,https://www.schooldigger.com/go/VA/city/Salem/search.aspx,24153,Salem city,(540) 387-2437,No,No,No,No,1278,87.2,14.6,0.3,0.12,0,0.02,0.05,0,0.05,0.76,51.7
154,Craig County ,https://www.schooldigger.com/go/VA/schools/0102002111/school.aspx,Craig County Public Schools,https://www.schooldigger.com/go/VA/district/01020/search.aspx,25239 Craigs Creek Road,New Castle,https://www.schooldigger.com/go/VA/city/New+Castle/search.aspx,24127,Craig County,(540) 864-5185,No,No,No,No,342,27.4,12.4,0.49,0.01,0,0,0.02,0,0,0.97,51.6
155,Hurley ,https://www.schooldigger.com/go/VA/schools/0051000200/school.aspx,Buchanan County Public Schools,https://www.schooldigger.com/go/VA/district/00510/search.aspx,6339 Hurley Road,Hurley,https://www.schooldigger.com/go/VA/city/Hurley/search.aspx,24620,Buchanan County,(276) 566-7642,No,No,No,No,238,13.9,17,0.86,0,0,0,0,0,0,1,51
156,Warren County ,https://www.schooldigger.com/go/VA/schools/0387001733/school.aspx,Warren County Public Schools,https://www.schooldigger.com/go/VA/district/03870/search.aspx,155 Westminster Drive,Front Royal,https://www.schooldigger.com/go/VA/city/Front+Royal/search.aspx,22630,Warren County,(540) 635-4144,No,No,No,No,810,67.9,11.9,0.36,0.03,0,0.02,0.07,0,0.05,0.83,50.9
157,Kettle Run  School,https://www.schooldigger.com/go/VA/schools/0132002785/school.aspx,Fauquier County Public Schools,https://www.schooldigger.com/go/VA/district/01320/search.aspx,7403 Academic Avenue,Nokesville,https://www.schooldigger.com/go/VA/city/Nokesville/search.aspx,20181,Prince William County,(540) 422-7330,No,No,No,No,1211,94.9,12.7,0.09,0.05,0,0.02,0.08,0,0.03,0.82,50.7
158,Oscar F Smith ,https://www.schooldigger.com/go/VA/schools/0081000303/school.aspx,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,1994 Tiger Dr,Chesapeake,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23320,Chesapeake city,(757) 548-0696,No,No,No,No,2148,162.9,13.1,0.58,0.56,0,0.03,0.11,0,0.06,0.24,50.4
159,Thomas Walker ,https://www.schooldigger.com/go/VA/schools/0219000904/school.aspx,Lee County Public Schools,https://www.schooldigger.com/go/VA/district/02190/search.aspx,126 Blue Gray Road,Ewing,https://www.schooldigger.com/go/VA/city/Ewing/search.aspx,24248,Lee County,(276) 445-4111,No,No,No,No,310,28.3,10.9,0.94,0,0.01,0.01,0.02,0,0.01,0.95,50.4
160,Rustburg ,https://www.schooldigger.com/go/VA/schools/0060000231/school.aspx,Campbell County Public Schools,https://www.schooldigger.com/go/VA/district/00600/search.aspx,1671 Village Hwy,Rustburg,https://www.schooldigger.com/go/VA/city/Rustburg/search.aspx,24588,Campbell County,(434) 332-5171,No,No,No,No,826,56.4,14.6,0.37,0.13,0,0.01,0.02,0,0.04,0.8,50.1
161,Spotswood ,https://www.schooldigger.com/go/VA/schools/0339001872/school.aspx,Rockingham County Public Schools,https://www.schooldigger.com/go/VA/district/03390/search.aspx,368 Blazer Drive,Penn Laird,https://www.schooldigger.com/go/VA/city/Penn+Laird/search.aspx,22846,Rockingham County,(540) 289-3100,No,No,No,No,967,65.3,14.7,0.36,0.03,0,0.03,0.21,0,0.04,0.7,50
162,Nelson County ,https://www.schooldigger.com/go/VA/schools/0258001032/school.aspx,Nelson County Public Schools,https://www.schooldigger.com/go/VA/district/02580/search.aspx,6919 Thomas Nelson Hwy,Lovingston,https://www.schooldigger.com/go/VA/city/Lovingston/search.aspx,22949,Nelson County,(434) 263-8317,No,No,No,No,632,48.9,12.9,0.46,0.13,0,0.01,0.07,0,0.04,0.75,49.8
163,South County ,https://www.schooldigger.com/go/VA/schools/0126002436/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,8501 Silverbrook Road,Lorton,https://www.schooldigger.com/go/VA/city/Lorton/search.aspx,22079,Fairfax County,(703) 446-1600,No,No,No,No,2251,141.8,15.8,0.18,0.2,0,0.18,0.16,0,0.06,0.4,49.8
164,Grayson County ,https://www.schooldigger.com/go/VA/schools/0169000697/school.aspx,Grayson County Public Schools,https://www.schooldigger.com/go/VA/district/01690/search.aspx,110 Blue Devil Drive,Independence,https://www.schooldigger.com/go/VA/city/Independence/search.aspx,24348,Grayson County,(276) 773-2131,No,No,No,No,448,44.7,10,0.55,0.04,0,0,0.07,0,0,0.88,49.8
165,Millbrook ,https://www.schooldigger.com/go/VA/schools/0147002337/school.aspx,Frederick County Public Schools,https://www.schooldigger.com/go/VA/district/01470/search.aspx,251 First Woods Dr.,Winchester,https://www.schooldigger.com/go/VA/city/Winchester/search.aspx,22603,Frederick County,(540) 545-2800,No,No,No,No,1459,105.9,13.7,0.32,0.06,0,0.03,0.26,0,0.04,0.61,49.8
166,Powhatan ,https://www.schooldigger.com/go/VA/schools/0303001268/school.aspx,Powhatan County Public Schools,https://www.schooldigger.com/go/VA/district/03030/search.aspx,1800 Judes Ferry Road,Powhatan,https://www.schooldigger.com/go/VA/city/Powhatan/search.aspx,23139,Powhatan County,(804) 598-5710,No,No,Yes,No,1414,102.2,13.8,0.17,0.05,0.01,0.01,0.03,0,0.03,0.87,49.3
167,Brooke Point ,https://www.schooldigger.com/go/VA/schools/0366000591/school.aspx,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,1700 Courthouse Rd,Stafford,https://www.schooldigger.com/go/VA/city/Stafford/search.aspx,22554,Stafford County,(540) 658-6080,No,No,No,No,1877,113.9,16.4,0.27,0.24,0,0.03,0.23,0,0.07,0.42,49.3
168,Twin Valley ,https://www.schooldigger.com/go/VA/schools/0051001947/school.aspx,Buchanan County Public Schools,https://www.schooldigger.com/go/VA/district/00510/search.aspx,14449 Dismal River Road,Pilgrims Knob,https://www.schooldigger.com/go/VA/city/Pilgrims+Knob/search.aspx,24634,Buchanan County,(276) 259-7818,No,No,No,No,210,15.5,13.5,0.67,0.01,0,0,0.01,0,0.01,0.98,49.2
169,Northwood ,https://www.schooldigger.com/go/VA/schools/0352001563/school.aspx,Smyth County Public Schools,https://www.schooldigger.com/go/VA/district/03520/search.aspx,305 Panther Ln,Saltville,https://www.schooldigger.com/go/VA/city/Saltville/search.aspx,24370,Smyth County,(276) 496-7751,No,No,No,No,279,18.9,14.7,0.6,0.03,0,0.01,0.02,0,0,0.94,49.1
170,Westfield ,https://www.schooldigger.com/go/VA/schools/0126002529/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,4700 Stonecroft Bv,Chantilly,https://www.schooldigger.com/go/VA/city/Chantilly/search.aspx,20151,Fairfax County,(703) 488-6300,No,No,No,No,2706,184.9,14.6,0.25,0.12,0,0.21,0.24,0,0.05,0.38,49
171,Riverbend ,https://www.schooldigger.com/go/VA/schools/0364002462/school.aspx,Spotsylvania County Public Schools,https://www.schooldigger.com/go/VA/district/03640/search.aspx,12301 Spotswood Furnace Rd.,Fredericksburg,https://www.schooldigger.com/go/VA/city/Fredericksburg/search.aspx,22407,Spotsylvania County,(540) 548-4051,No,No,No,No,1919,110.3,17.3,0.22,0.14,0,0.03,0.12,0,0.05,0.66,49
172,Stonewall Jackson ,https://www.schooldigger.com/go/VA/schools/0351001548/school.aspx,Shenandoah County Public Schools,https://www.schooldigger.com/go/VA/district/03510/search.aspx,150 Stonewall Ln,Quicksburg,https://www.schooldigger.com/go/VA/city/Quicksburg/search.aspx,22847,Shenandoah County,(540) 477-2732,No,No,No,No,621,45.8,13.5,0.44,0.02,0.01,0,0.17,0,0.02,0.78,48.9
173,Honaker ,https://www.schooldigger.com/go/VA/schools/0342001522/school.aspx,Russell County Public Schools,https://www.schooldigger.com/go/VA/district/03420/search.aspx,1795 Thompson Creek Rd.,Honaker,https://www.schooldigger.com/go/VA/city/Honaker/search.aspx,24266,Russell County,(276) 873-6363,No,No,No,No,443,32.1,13.8,0.54,0,0.01,0.01,0.01,0,0.01,0.98,48.7
174,land ,https://www.schooldigger.com/go/VA/schools/0195000862/school.aspx,Highland County Public Schools,https://www.schooldigger.com/go/VA/district/01950/search.aspx,244 Myers/Moon Rd,Monterey,https://www.schooldigger.com/go/VA/city/Monterey/search.aspx,24465,Highland County,(540) 468-6320,Yes,No,No,No,106,18.2,5.8,0.67,0,0,0,0.02,0,0.02,0.96,48.7
175,Lafayette ,https://www.schooldigger.com/go/VA/schools/0402001773/school.aspx,Williamsburg-James City Public Schools,https://www.schooldigger.com/go/VA/district/04020/search.aspx,4460 Longhill Rd,Williamsburg,https://www.schooldigger.com/go/VA/city/Williamsburg/search.aspx,23188,James City County,(757) 565-0373,No,No,No,No,1116,74.5,14.9,0.33,0.21,0,0.03,0.15,0,0.06,0.55,48.5
176,Woodbridge ,https://www.schooldigger.com/go/VA/schools/0313001327/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,3001 Old Bridge Rd,Woodbridge,https://www.schooldigger.com/go/VA/city/Woodbridge/search.aspx,22192,Prince William County,(703) 497-8000,No,No,Yes,No,2750,154,17.8,0.42,0.22,0,0.08,0.36,0,0.06,0.27,48.4
177,Madison County ,https://www.schooldigger.com/go/VA/schools/0237000972/school.aspx,Madison County Public Schools,https://www.schooldigger.com/go/VA/district/02370/search.aspx,68 Mountaineer Lane,Madison,https://www.schooldigger.com/go/VA/city/Madison/search.aspx,22727,Madison County,(540) 948-3785,No,No,No,No,543,43.6,12.4,0.38,0.08,0,0.01,0.03,0,0.05,0.83,48.3
178,Hayfield Secondary,https://www.schooldigger.com/go/VA/schools/0126000493/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,7630 Telegraph Rd,Alexandria,https://www.schooldigger.com/go/VA/city/Alexandria/search.aspx,22315,Fairfax County,(703) 924-7400,No,No,Yes,No,3077,193.4,15.9,0.28,0.28,0,0.14,0.22,0.01,0.07,0.29,48.2
179,Middlesex ,https://www.schooldigger.com/go/VA/schools/0249001012/school.aspx,Middlesex County Public Schools,https://www.schooldigger.com/go/VA/district/02490/search.aspx,454 General Puller Highway,Saluda,https://www.schooldigger.com/go/VA/city/Saluda/search.aspx,23149,Middlesex County,(804) 758-2132,No,No,No,No,376,32.3,11.6,0.41,0.16,0,0,0.02,0,0.05,0.77,48.1
180,Woodrow Wilson ,https://www.schooldigger.com/go/VA/schools/0300001255/school.aspx,Portsmouth City Public Schools,https://www.schooldigger.com/go/VA/district/03000/search.aspx,1401 Elmhurst Ln,Portsmouth,https://www.schooldigger.com/go/VA/city/Portsmouth/search.aspx,23701,Portsmouth city,(757) 465-2907,No,No,Yes,No,1327,102.3,12.9,0.56,0.6,0,0.01,0.04,0,0.05,0.29,47.7
181,Altavista ,https://www.schooldigger.com/go/VA/schools/0060000220/school.aspx,Campbell County Public Schools,https://www.schooldigger.com/go/VA/district/00600/search.aspx,904 Bedford Avenue,Altavista,https://www.schooldigger.com/go/VA/city/Altavista/search.aspx,24517,Campbell County,(434) 369-4768,No,No,No,No,657,51.3,12.8,0.45,0.24,0.01,0.01,0.03,0,0.07,0.64,47.3
182,Christiansburg ,https://www.schooldigger.com/go/VA/schools/0252001019/school.aspx,Montgomery County Public Schools,https://www.schooldigger.com/go/VA/district/02520/search.aspx,100 Independence Blvd,Christiansburg,https://www.schooldigger.com/go/VA/city/Christiansburg/search.aspx,24073,Montgomery County,(540) 382-5178,No,No,No,No,1041,82.3,12.6,0.33,0.07,0,0.01,0.04,0,0.04,0.84,47.1
183,Edison ,https://www.schooldigger.com/go/VA/schools/0126000461/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,5801 Franconia Rd,Alexandria,https://www.schooldigger.com/go/VA/city/Alexandria/search.aspx,22310,Fairfax County,(703) 924-8000,No,No,No,No,2119,146.5,14.4,0.35,0.21,0,0.14,0.34,0,0.05,0.25,46.7
184,Manchester ,https://www.schooldigger.com/go/VA/schools/0084000056/school.aspx,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,12601 Bailey Bridge Rd.,Midlothian,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,23112,Chesterfield County,(804) 739-6275,No,No,No,No,2089,143.2,14.5,0.28,0.27,0,0.02,0.14,0,0.04,0.53,46.7
185,Caroline ,https://www.schooldigger.com/go/VA/schools/0066000238/school.aspx,Caroline County Public Schools,https://www.schooldigger.com/go/VA/district/00660/search.aspx,19155 Rodgers Clark Blvd,Milford,https://www.schooldigger.com/go/VA/city/Milford/search.aspx,22514,Caroline County,(804) 633-9886,No,No,No,No,1179,67.6,17.4,0.45,0.29,0,0.01,0.06,0,0.09,0.54,46.7
186,Tuscarora ,https://www.schooldigger.com/go/VA/schools/0225002817/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,801 North King Street,Leesburg,https://www.schooldigger.com/go/VA/city/Leesburg/search.aspx,20176,Loudoun County,(571) 252-1900,No,No,No,No,1517,122.8,12.3,0.25,0.08,0,0.07,0.28,0,0.05,0.52,46.7
187,Smithfield ,https://www.schooldigger.com/go/VA/schools/0201000875/school.aspx,Isle Of Wight County Public Schools,https://www.schooldigger.com/go/VA/district/02010/search.aspx,14171 Turner Dr,Smithfield,https://www.schooldigger.com/go/VA/city/Smithfield/search.aspx,23430,Isle of Wight County,(757) 357-3108,No,No,No,No,1245,78.7,15.8,0.27,0.32,0,0.01,0.05,0,0.05,0.57,46.7
188,Washington Liberty ,https://www.schooldigger.com/go/VA/schools/0027000112/school.aspx,Arlington County Public Schools,https://www.schooldigger.com/go/VA/district/00270/search.aspx,1301 N Stafford St,Arlington,https://www.schooldigger.com/go/VA/city/Arlington/search.aspx,22201,Arlington County,(703) 228-6200,No,No,No,No,2482,145.3,17,0.27,0.08,0,0.1,0.32,0,0.06,0.44,46.6
189,Courtland ,https://www.schooldigger.com/go/VA/schools/0364001873/school.aspx,Spotsylvania County Public Schools,https://www.schooldigger.com/go/VA/district/03640/search.aspx,6701 Smith Station Rd,Spotsylvania,https://www.schooldigger.com/go/VA/city/Spotsylvania/search.aspx,22553,Spotsylvania County,(540) 898-4445,No,No,No,No,1187,75.7,15.6,0.29,0.19,0,0.03,0.17,0,0.06,0.55,46.1
190,Colonial Heights ,https://www.schooldigger.com/go/VA/schools/0096000361/school.aspx,Colonial Heights City Public Schools,https://www.schooldigger.com/go/VA/district/00960/search.aspx,3600 Conduit Rd,Colonial Heights,https://www.schooldigger.com/go/VA/city/Colonial+Heights/search.aspx,23834,Colonial Heights city,(804) 524-3405,No,No,No,No,874,86.3,10.1,0.43,0.2,0,0.03,0.06,0,0.06,0.65,46
191,C.D. Hylton ,https://www.schooldigger.com/go/VA/schools/0313000186/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,14051 Spriggs Rd,Woodbridge,https://www.schooldigger.com/go/VA/city/Woodbridge/search.aspx,22193,Prince William County,(703) 580-4000,No,No,Yes,No,2315,130.8,17.6,0.43,0.27,0,0.08,0.4,0,0.07,0.18,45.9
192,Culpeper County ,https://www.schooldigger.com/go/VA/schools/0105000376/school.aspx,Culpeper County Public Schools,https://www.schooldigger.com/go/VA/district/01050/search.aspx,14240 Achievement Drive,Culpeper,https://www.schooldigger.com/go/VA/city/Culpeper/search.aspx,22701,Culpeper County,(540) 825-8310,No,No,No,No,1176,82.6,14.2,0.34,0.12,0,0.02,0.19,0,0.05,0.62,45.9
193,Mathews ,https://www.schooldigger.com/go/VA/schools/0243000993/school.aspx,Mathews County Public Schools,https://www.schooldigger.com/go/VA/district/02430/search.aspx,Rt 198 9889 Buckley Hall Road,Mathews,https://www.schooldigger.com/go/VA/city/Mathews/search.aspx,23109,Mathews County,(804) 725-3702,No,No,No,No,367,31.7,11.5,0.39,0.09,0.01,0.01,0.03,0,0.05,0.81,45.8
194,Lebanon ,https://www.schooldigger.com/go/VA/schools/0342002042/school.aspx,Russell County Public Schools,https://www.schooldigger.com/go/VA/district/03420/search.aspx,105 Charles C Long Drive,Lebanon,https://www.schooldigger.com/go/VA/city/Lebanon/search.aspx,24266,Russell County,(276) 889-6539,No,No,No,No,600,44.1,13.6,0.54,0.01,0,0.01,0.01,0,0.01,0.96,45.7
195,Franklin County ,https://www.schooldigger.com/go/VA/schools/0144000637/school.aspx,Franklin County Public Schools,https://www.schooldigger.com/go/VA/district/01440/search.aspx,700 Tanyard Rd,Rocky Mount,https://www.schooldigger.com/go/VA/city/Rocky+Mount/search.aspx,24151,Franklin County,(540) 483-0221,No,No,No,No,2083,160,13,0.41,0.08,0,0.01,0.06,0,0.05,0.8,45.5
196,Stafford Senior ,https://www.schooldigger.com/go/VA/schools/0366001602/school.aspx,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,63 Stafford Indian Lane,Fredericksburg,https://www.schooldigger.com/go/VA/city/Fredericksburg/search.aspx,22405,Stafford County,(540) 371-7200,No,No,No,No,1980,130.6,15.1,0.26,0.17,0.01,0.03,0.13,0,0.08,0.58,45.4
197,Eastern View ,https://www.schooldigger.com/go/VA/schools/0105002758/school.aspx,Culpeper County Public Schools,https://www.schooldigger.com/go/VA/district/01050/search.aspx,16332 Cyclone Way,Culpeper,https://www.schooldigger.com/go/VA/city/Culpeper/search.aspx,22701,Culpeper County,(540) 825-0621,No,No,No,No,1362,88.4,15.4,0.42,0.15,0,0.01,0.23,0,0.07,0.54,45.2
198,Clarke County ,https://www.schooldigger.com/go/VA/schools/0087002100/school.aspx,Clarke County Public Schools,https://www.schooldigger.com/go/VA/district/00870/search.aspx,627 Mosby Blvd.,Berryville,https://www.schooldigger.com/go/VA/city/Berryville/search.aspx,22611,Clarke County,(540) 955-6130,No,No,No,No,686,53.5,12.8,0.17,0.03,0,0.01,0.1,0,0.06,0.8,45
199,Rappahannock County ,https://www.schooldigger.com/go/VA/schools/0321001346/school.aspx,Rappahannock County Public Schools,https://www.schooldigger.com/go/VA/district/03210/search.aspx,12576 Lee Highway,Washington,https://www.schooldigger.com/go/VA/city/Washington/search.aspx,22747,Rappahannock County,(540) 227-0745,No,No,No,No,322,33.3,9.6,0.28,0.03,0.01,0,0.07,0,0.04,0.86,45
200,Galax ,https://www.schooldigger.com/go/VA/schools/0156000301/school.aspx,Galax City Public Schools,https://www.schooldigger.com/go/VA/district/01560/search.aspx,200 Maroon Tide Dr,Galax,https://www.schooldigger.com/go/VA/city/Galax/search.aspx,24333,Galax city,(276) 236-2991,No,No,No,No,450,38.7,11.6,0.62,0.07,0,0,0.28,0,0.02,0.63,44.7
201,Thomas Dale ,https://www.schooldigger.com/go/VA/schools/0084000350/school.aspx,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,3626 W. Hundred Rd.,Chester,https://www.schooldigger.com/go/VA/city/Chester/search.aspx,23831,Chesterfield County,(804) 768-6245,No,No,No,No,2401,153,15.6,0.32,0.31,0,0.04,0.17,0,0.05,0.44,44.5
202,Magna Vista ,https://www.schooldigger.com/go/VA/schools/0192002125/school.aspx,Henry County Public Schools,https://www.schooldigger.com/go/VA/district/01920/search.aspx,701 Magna Vista School Rd,Ridgeway,https://www.schooldigger.com/go/VA/city/Ridgeway/search.aspx,24148,Henry County,(276) 956-3147,No,No,No,No,1078,75.3,14.3,0.89,0.26,0,0,0.12,0,0.06,0.55,44.5
203,Woodside ,https://www.schooldigger.com/go/VA/schools/0264001453/school.aspx,Newport News City Public Schools,https://www.schooldigger.com/go/VA/district/02640/search.aspx,13450 Woodside Lane,Newport News,https://www.schooldigger.com/go/VA/city/Newport+News/search.aspx,23608,Newport News city,(757) 886-7530,No,No,No,No,1891,118.6,15.9,0.46,0.56,0,0.03,0.13,0.01,0.05,0.22,44.5
204,King George ,https://www.schooldigger.com/go/VA/schools/0210000882/school.aspx,King Geo County Public Schools,https://www.schooldigger.com/go/VA/district/02100/search.aspx,10100 Foxes Way,King George,https://www.schooldigger.com/go/VA/city/King+George/search.aspx,22485,King George County,(540) 775-3535,No,No,No,No,1341,93,14.4,0.3,0.17,0.01,0.01,0.06,0,0.07,0.68,44.4
205,Ridgeview ,https://www.schooldigger.com/go/VA/schools/0114002981/school.aspx,Dickenson County Public Schools,https://www.schooldigger.com/go/VA/district/01140/search.aspx,310 Wolfpack Way,Clintwood,https://www.schooldigger.com/go/VA/city/Clintwood/search.aspx,24228,Dickenson County,(276) 835-1600,No,No,No,No,581,48,12,0.58,0,0,0,0.01,0,0,0.99,44.3
206,York River Academy,https://www.schooldigger.com/go/VA/schools/0415002330/school.aspx,York County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,9300 Geo. Washington Mem. Hwy.,Yorktown,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,23692,York County,(757) 898-0516,No,Yes,No,No,71,12.6,5.6,,0.06,0,0.01,0.03,0,0.07,0.83,44.3
207,Rockbridge County ,https://www.schooldigger.com/go/VA/schools/0337000204/school.aspx,Rockbridge County Public Schools,https://www.schooldigger.com/go/VA/district/03370/search.aspx,143 Greenhouse Rd,Lexington,https://www.schooldigger.com/go/VA/city/Lexington/search.aspx,24450,Lexington city,(540) 463-5555,No,No,No,No,997,75.9,13.1,0.34,0.04,0,0.01,0.05,0,0.04,0.86,44.2
208,Surry County ,https://www.schooldigger.com/go/VA/schools/0375001635/school.aspx,Surry County Public Schools,https://www.schooldigger.com/go/VA/district/03750/search.aspx,1675 Hollybush Rd,Dendron,https://www.schooldigger.com/go/VA/city/Dendron/search.aspx,23839,Surry County,(757) 267-2211,No,No,No,No,236,32.5,7.2,0.56,0.64,0,0,0.01,0,0.03,0.31,44.2
209,Fauquier ,https://www.schooldigger.com/go/VA/schools/0132000607/school.aspx,Fauquier County Public Schools,https://www.schooldigger.com/go/VA/district/01320/search.aspx,705 Waterloo Rd,Warrenton,https://www.schooldigger.com/go/VA/city/Warrenton/search.aspx,20186,Fauquier County,(540) 347-6100,No,No,No,No,1313,103.5,12.6,0.17,0.08,0.01,0.03,0.14,0,0.05,0.7,44.1
