School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Northeast Dubois Junior/Senior High School,https://www.schooldigger.com/go/IN/schools/0812001393/school.aspx,Northeast Dubois County School Corp,https://www.schooldigger.com/go/IN/district/08120/search.aspx,4711 N Dubois Rd,Dubois,https://www.schooldigger.com/go/IN/city/Dubois/search.aspx,47527,Dubois County,(812) 678-2251,No,No,No,No,391,23.3,16.7,23,0,0,0.3,2,0.3,0.5,96.9,55.7
Danville Community High School,https://www.schooldigger.com/go/IN/schools/0255000304/school.aspx,Danville Community School Corp,https://www.schooldigger.com/go/IN/district/02550/search.aspx,100 Warrior Way,Danville,https://www.schooldigger.com/go/IN/city/Danville/search.aspx,46122,Hendricks County,(317) 745-6431,No,No,No,No,742,44.9,16.5,23.9,1.9,0.3,0.4,1.5,0,3.6,92.3,55.7
Hobart High School,https://www.schooldigger.com/go/IN/schools/0459000774/school.aspx,School City of Hobart,https://www.schooldigger.com/go/IN/district/04590/search.aspx,2211 E Tenth St,Hobart,https://www.schooldigger.com/go/IN/city/Hobart/search.aspx,46342,Lake County,(219) 942-8521,No,No,No,No,1265,58,21.7,46,8,0.5,0.4,27.1,0,2.3,61.7,55.3
South Adams High School,https://www.schooldigger.com/go/IN/schools/1026001642/school.aspx,South Adams Schools,https://www.schooldigger.com/go/IN/district/10260/search.aspx,1000 Parkway St,Berne,https://www.schooldigger.com/go/IN/city/Berne/search.aspx,46711,Adams County,(260) 589-3131,No,No,No,No,349,29.5,11.8,34.1,0.9,0,2,9.7,0,1.4,86,55.3
Clay City Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0084000157/school.aspx,Clay Community Schools,https://www.schooldigger.com/go/IN/district/00840/search.aspx,601 Lankford St,Clay City,https://www.schooldigger.com/go/IN/city/Clay+City/search.aspx,47841,Clay County,(812) 939-2154,No,No,No,No,379,30.7,12.3,37.5,0,0.5,0,2.6,0,0.8,96,55.2
Angola High School,https://www.schooldigger.com/go/IN/schools/1110001797/school.aspx,MSD Steuben County,https://www.schooldigger.com/go/IN/district/11100/search.aspx,350 S John McBride Ave,Angola,https://www.schooldigger.com/go/IN/city/Angola/search.aspx,46703,Steuben County,(260) 665-2186,No,No,No,No,822,48.1,17,35,0.5,0.4,1,12.7,0,1.8,83.7,55.1
Brown County High School,https://www.schooldigger.com/go/IN/schools/0096000169/school.aspx,Brown County School Corporation,https://www.schooldigger.com/go/IN/district/00960/search.aspx,235 School House Lane,Nashville,https://www.schooldigger.com/go/IN/city/Nashville/search.aspx,47448,Brown County,(812) 988-6606,No,No,No,No,549,41.1,13.3,40.3,0.2,0.7,1.1,2.9,0,2.4,92.7,55.1
Plymouth High School,https://www.schooldigger.com/go/IN/schools/0906001500/school.aspx,Plymouth Community School Corp,https://www.schooldigger.com/go/IN/district/09060/search.aspx,810 N Randolph St,Plymouth,https://www.schooldigger.com/go/IN/city/Plymouth/search.aspx,46563,Marshall County,(574) 936-2178,No,No,No,No,1095,71.8,15.2,46.1,0.9,0.2,1,29.1,0,2.6,66.2,55.1
Corydon Central High School,https://www.schooldigger.com/go/IN/schools/1036002282/school.aspx,South Harrison Com Schools,https://www.schooldigger.com/go/IN/district/10360/search.aspx,375 Country Club Rd,Corydon,https://www.schooldigger.com/go/IN/city/Corydon/search.aspx,47112,Harrison County,(812) 738-4181,No,No,No,No,728,45.1,16.1,40.4,0.5,0.1,0.3,5.8,0,5.6,87.6,55
Sullivan High School,https://www.schooldigger.com/go/IN/schools/1086001773/school.aspx,Southwest School Corporation,https://www.schooldigger.com/go/IN/district/10860/search.aspx,902 N Section,Sullivan,https://www.schooldigger.com/go/IN/city/Sullivan/search.aspx,47882,Sullivan County,(812) 268-6301,No,No,No,No,514,41,12.5,39.9,1,0.2,0.4,1.8,0,2.3,94.4,55
Milan High School,https://www.schooldigger.com/go/IN/schools/0663001168/school.aspx,Milan Community Schools,https://www.schooldigger.com/go/IN/district/06630/search.aspx,609 N Warpath Dr,Milan,https://www.schooldigger.com/go/IN/city/Milan/search.aspx,47031,Ripley County,(812) 654-3096,No,No,No,No,317,27,11.7,39.1,0,0,0.3,0.6,0,3.2,95.9,54.5
Seeger Memorial Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0608001073/school.aspx,MSD Warren County,https://www.schooldigger.com/go/IN/district/06080/search.aspx,1222 S Sr 263,West Lebanon,https://www.schooldigger.com/go/IN/city/West+Lebanon/search.aspx,47991,Warren County,(765) 893-4445,No,No,No,No,582,41.1,14.1,39.9,0.2,0,0.2,4.8,0.3,1.7,92.8,54.1
Centerville Senior High School,https://www.schooldigger.com/go/IN/schools/0156000217/school.aspx,Centerville-Abington Com Schools,https://www.schooldigger.com/go/IN/district/01560/search.aspx,507 Willow Grove Rd,Centerville,https://www.schooldigger.com/go/IN/city/Centerville/search.aspx,47330,Wayne County,(765) 855-3481,No,No,No,No,515,32,16,32.4,0.2,0,1.4,2.5,0.2,5,90.7,53.9
South Vermillion High School,https://www.schooldigger.com/go/IN/schools/1059001739/school.aspx,South Vermillion Com School Corp,https://www.schooldigger.com/go/IN/district/10590/search.aspx,770 W Wildcat Dr,Clinton,https://www.schooldigger.com/go/IN/city/Clinton/search.aspx,47842,Vermillion County,(765) 832-3551,No,No,No,No,535,37.7,14.1,48,0.7,0,0,2.2,0.2,2.2,94.6,53.8
Columbus North High School,https://www.schooldigger.com/go/IN/schools/0036000066/school.aspx,Bartholomew Con School Corp,https://www.schooldigger.com/go/IN/district/00360/search.aspx,1400 25th St,Columbus,https://www.schooldigger.com/go/IN/city/Columbus/search.aspx,47201,Bartholomew County,(812) 376-4432,No,No,No,No,2090,149.7,13.9,33.3,2.2,0.6,6.3,20.9,0,3.3,66.7,53.5
Knightstown High School,https://www.schooldigger.com/go/IN/schools/0106000189/school.aspx,C A Beard Memorial School Corp,https://www.schooldigger.com/go/IN/district/01060/search.aspx,8149 W US Hwy 40,Knightstown,https://www.schooldigger.com/go/IN/city/Knightstown/search.aspx,46148,Henry County,(765) 345-5153,No,No,No,No,354,22,16,48,0,0.6,1.1,0.6,0,2.5,95.2,53.5
Boonville High School,https://www.schooldigger.com/go/IN/schools/1239001975/school.aspx,Warrick County School Corp,https://www.schooldigger.com/go/IN/district/12390/search.aspx,300 N 1st St,Boonville,https://www.schooldigger.com/go/IN/city/Boonville/search.aspx,47601,Warrick County,(812) 897-4701,No,No,No,No,929,61.2,15.1,42.6,0.3,0.3,0.5,2.3,0,3.1,93.4,53.4
Huntington North High School,https://www.schooldigger.com/go/IN/schools/0471000786/school.aspx,Huntington County Com School Corp,https://www.schooldigger.com/go/IN/district/04710/search.aspx,450 MacGahan St,Huntington,https://www.schooldigger.com/go/IN/city/Huntington/search.aspx,46750,Huntington County,(260) 356-6104,No,No,No,No,1478,91,16.2,36.7,0.3,0.1,0.5,4.6,0.1,2.4,91.9,53
Woodlan Junior/Senior High School,https://www.schooldigger.com/go/IN/schools/0285000361/school.aspx,East Allen County Schools,https://www.schooldigger.com/go/IN/district/02850/search.aspx,17215 Woodburn Rd,Woodburn,https://www.schooldigger.com/go/IN/city/Woodburn/search.aspx,46797,Allen County,(260) 446-0290,No,No,No,No,709,40.8,17.3,25.4,2.3,0,1.6,4.1,0.1,2.8,89.1,52.4
Terre Haute South Vigo High School,https://www.schooldigger.com/go/IN/schools/1209001918/school.aspx,Vigo County School Corp,https://www.schooldigger.com/go/IN/district/12090/search.aspx,3737 S 7th St,Terre Haute,https://www.schooldigger.com/go/IN/city/Terre+Haute/search.aspx,47802,Vigo County,(812) 462-4252,No,No,No,No,1463,113.8,12.8,42.9,7.2,0.3,4.2,3.1,0,8.3,76.9,52
Maconaquah High School,https://www.schooldigger.com/go/IN/schools/0609001078/school.aspx,Maconaquah School Corp,https://www.schooldigger.com/go/IN/district/06090/search.aspx,256 E 800 S,Bunker Hill,https://www.schooldigger.com/go/IN/city/Bunker+Hill/search.aspx,46914,Miami County,(765) 689-9131,No,No,No,No,656,38.5,17,48.6,2,0,0.5,6.7,0,5.5,85.4,52
Whiteland Community High School,https://www.schooldigger.com/go/IN/schools/0189000246/school.aspx,Clark-Pleasant Community School Corp,https://www.schooldigger.com/go/IN/district/01890/search.aspx,300 Main St,Whiteland,https://www.schooldigger.com/go/IN/city/Whiteland/search.aspx,46184,Johnson County,(317) 535-7562,No,No,No,No,2012,139.5,14.4,39.9,4.3,0.3,9.6,6.7,0.1,5.3,73.7,51.6
Rising Sun High School,https://www.schooldigger.com/go/IN/schools/0960001573/school.aspx,Rising Sun-Ohio County Com,https://www.schooldigger.com/go/IN/district/09600/search.aspx,120 S Henrietta St,Rising Sun,https://www.schooldigger.com/go/IN/city/Rising+Sun/search.aspx,47040,Ohio County,(812) 438-2652,No,No,No,No,258,23,11.1,35.3,0,0,1.2,1.2,0,1.6,96.1,51.5
Connersville Senior High School,https://www.schooldigger.com/go/IN/schools/0351000498/school.aspx,Fayette County School Corporation,https://www.schooldigger.com/go/IN/district/03510/search.aspx,1100 Spartan Dr,Connersville,https://www.schooldigger.com/go/IN/city/Connersville/search.aspx,47331,Fayette County,(765) 825-1151,No,No,No,No,1034,57.1,18,50.8,0.7,0.2,0.5,1.7,0,2.8,94.1,51.3
Oak Hill High School,https://www.schooldigger.com/go/IN/schools/0834001429/school.aspx,Oak Hill United School Corp,https://www.schooldigger.com/go/IN/district/08340/search.aspx,7756 W Delhpi Pk-27,Converse,https://www.schooldigger.com/go/IN/city/Converse/search.aspx,46919,Grant County,(765) 395-3341,No,No,No,No,521,35.2,14.7,33.2,1.2,0,0,7.5,0,4.6,86.8,51.3
Loogootee High School,https://www.schooldigger.com/go/IN/schools/0606001067/school.aspx,Loogootee Community School Corp,https://www.schooldigger.com/go/IN/district/06060/search.aspx,201 Brooks Ave,Loogootee,https://www.schooldigger.com/go/IN/city/Loogootee/search.aspx,47553,Martin County,(812) 295-3254,No,No,No,No,252,22,11.4,37.3,0,0,0.4,1.6,0,1.2,96.8,51.3
Silver Creek High School,https://www.schooldigger.com/go/IN/schools/0021301536/school.aspx,Silver Creek School Corporation,https://www.schooldigger.com/go/IN/district/00213/search.aspx,557 Renz Ave,Sellersburg,https://www.schooldigger.com/go/IN/city/Sellersburg/search.aspx,47172,Clark County,(812) 246-3391,No,No,No,No,869,54.8,15.8,20.7,2.5,0.1,1,8.7,0.5,3.2,83.9,51.1
Indian Creek Senior High School,https://www.schooldigger.com/go/IN/schools/0762001303/school.aspx,Nineveh-Hensley-Jackson United,https://www.schooldigger.com/go/IN/district/07620/search.aspx,803 W Indian Creek Dr,Trafalgar,https://www.schooldigger.com/go/IN/city/Trafalgar/search.aspx,46181,Johnson County,(317) 878-2110,No,No,No,No,585,35.6,16.3,28.4,0.3,0,0.7,1.7,0,1.2,96.1,50.9
Goshen High School,https://www.schooldigger.com/go/IN/schools/0393000654/school.aspx,Goshen Community Schools,https://www.schooldigger.com/go/IN/district/03930/search.aspx,401 Lincolnway East,Goshen,https://www.schooldigger.com/go/IN/city/Goshen/search.aspx,46526,Elkhart County,(574) 533-8651,No,No,No,No,2016,128.3,15.7,52,2.5,0,1,56.2,0,3.7,36.6,50.8
South Central Junior & Senior High School,https://www.schooldigger.com/go/IN/schools/1036002285/school.aspx,South Harrison Com Schools,https://www.schooldigger.com/go/IN/district/10360/search.aspx,6675 E Hwy 11 SE,Elizabeth,https://www.schooldigger.com/go/IN/city/Elizabeth/search.aspx,47117,Harrison County,(812) 969-2941,No,No,No,No,321,34.4,9.3,39.3,0.6,0,0.3,2.5,0,2.8,93.8,50.7
South Putnam High School,https://www.schooldigger.com/go/IN/schools/1050001726/school.aspx,South Putnam Community Schools,https://www.schooldigger.com/go/IN/district/10500/search.aspx,1780 E US Hwy 40,Greencastle,https://www.schooldigger.com/go/IN/city/Greencastle/search.aspx,46135,Putnam County,(765) 653-3148,No,No,No,No,360,20.5,17.5,38.9,0,0,0,1.7,0.3,1.4,96.7,50.6
Frontier Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0381000603/school.aspx,Frontier School Corporation,https://www.schooldigger.com/go/IN/district/03810/search.aspx,109 N Sixth St,Chalmers,https://www.schooldigger.com/go/IN/city/Chalmers/search.aspx,47929,White County,(219) 984-5437,No,No,No,No,295,25.3,11.6,29.2,0.3,0.3,0,2,0,1.7,95.6,50.6
Hagerstown Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0738001261/school.aspx,Nettle Creek School Corporation,https://www.schooldigger.com/go/IN/district/07380/search.aspx,701 Baker Rd,Hagerstown,https://www.schooldigger.com/go/IN/city/Hagerstown/search.aspx,47346,Wayne County,(765) 489-4511,No,No,No,No,514,31.2,16.4,40.7,0.4,0.2,0.8,0.8,0,4.3,93.6,50.5
South Central Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0219000263/school.aspx,South Central Com School Corp,https://www.schooldigger.com/go/IN/district/02190/search.aspx,9808 S 600 W,Union Mills,https://www.schooldigger.com/go/IN/city/Union+Mills/search.aspx,46382,LaPorte County,(219) 767-2266,No,No,No,No,481,27,17.7,27.9,0.2,0.4,0.2,8.7,0,2.1,88.4,50.5
Cowan High School,https://www.schooldigger.com/go/IN/schools/0702001200/school.aspx,Cowan Community School Corp,https://www.schooldigger.com/go/IN/district/07020/search.aspx,9401 S Nottingham,Muncie,https://www.schooldigger.com/go/IN/city/Muncie/search.aspx,47302,Delaware County,(765) 289-7128,No,No,No,No,378,26,14.5,42.6,1.1,0,0.3,3.4,0,3.2,92.1,50.2
Jasper High School,https://www.schooldigger.com/go/IN/schools/0396000685/school.aspx,Greater Jasper Consolidated Schools,https://www.schooldigger.com/go/IN/district/03960/search.aspx,1600 St Charles St,Jasper,https://www.schooldigger.com/go/IN/city/Jasper/search.aspx,47546,Dubois County,(812) 482-6050,No,No,No,No,1073,62.1,17.2,28.6,0.4,0.1,1.3,16.3,0,1.4,80.5,50.1
Crawford County High School,https://www.schooldigger.com/go/IN/schools/0244000279/school.aspx,Crawford County Community School Corp,https://www.schooldigger.com/go/IN/district/02440/search.aspx,1130 S Sr 66,Marengo,https://www.schooldigger.com/go/IN/city/Marengo/search.aspx,47140,Crawford County,(812) 365-2125,Yes,No,No,No,427,30,14.2,52.9,0.2,0,0,1.4,0,2.1,96.3,50
Rushville Consolidated High School,https://www.schooldigger.com/go/IN/schools/0975001596/school.aspx,Rush County Schools,https://www.schooldigger.com/go/IN/district/09750/search.aspx,1201 Lions Path,Rushville,https://www.schooldigger.com/go/IN/city/Rushville/search.aspx,46173,Rush County,(765) 932-3901,No,No,No,No,678,48.5,13.9,52.9,0.9,0.3,0.3,2.5,0,2.4,93.7,50
South Spencer High School,https://www.schooldigger.com/go/IN/schools/1056001733/school.aspx,South Spencer County School Corp,https://www.schooldigger.com/go/IN/district/10560/search.aspx,1142 N Orchard Rd,Rockport,https://www.schooldigger.com/go/IN/city/Rockport/search.aspx,47635,Spencer County,(812) 649-9157,No,No,No,No,386,26,14.8,38.6,1.6,0.3,0.3,3.4,0,4.4,90.2,49.9
Fountain Central High School,https://www.schooldigger.com/go/IN/schools/1062001742/school.aspx,Southeast Fountain School Corp,https://www.schooldigger.com/go/IN/district/10620/search.aspx,750 E US Hwy 136,Veedersburg,https://www.schooldigger.com/go/IN/city/Veedersburg/search.aspx,47987,Fountain County,(765) 294-2206,No,No,No,No,449,27,16.6,45.7,0,0,0,8,0,1.3,90.6,49.8
Union County High School,https://www.schooldigger.com/go/IN/schools/1161001869/school.aspx,Union County/Clg Corner Joint School District,https://www.schooldigger.com/go/IN/district/11610/search.aspx,410 E Patriot Blvd,Liberty,https://www.schooldigger.com/go/IN/city/Liberty/search.aspx,47353,Union County,(765) 458-5136,No,No,No,No,434,30.2,14.3,42.4,0.5,0,0.5,1.4,0.5,1.4,95.9,49.8
South Newton Senior High School,https://www.schooldigger.com/go/IN/schools/1047001722/school.aspx,South Newton School Corp,https://www.schooldigger.com/go/IN/district/10470/search.aspx,13102 S 50 E,Kentland,https://www.schooldigger.com/go/IN/city/Kentland/search.aspx,47951,Newton County,(219) 474-5167,No,No,No,No,238,22.5,10.5,52.9,1.7,0,0,13,0,0.8,84.5,49.6
Pike Central High School,https://www.schooldigger.com/go/IN/schools/0890001482/school.aspx,Pike County School Corp,https://www.schooldigger.com/go/IN/district/08900/search.aspx,1810 E Sr 56,Petersburg,https://www.schooldigger.com/go/IN/city/Petersburg/search.aspx,47567,Pike County,(812) 354-8478,No,No,No,No,528,37.4,14,40.3,0.6,0.2,0.4,1.5,0,1.9,95.5,49.5
Franklin Community High School,https://www.schooldigger.com/go/IN/schools/0369000581/school.aspx,Franklin Community School Corp,https://www.schooldigger.com/go/IN/district/03690/search.aspx,2600 Cumberland Dr,Franklin,https://www.schooldigger.com/go/IN/city/Franklin/search.aspx,46131,Johnson County,(317) 738-5700,No,No,No,No,1582,75.6,20.9,32.9,1.8,0.2,1.4,6.1,0.1,4.2,86.2,49
South Decatur Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0261000311/school.aspx,Decatur County Community Schools,https://www.schooldigger.com/go/IN/district/02610/search.aspx,8885 S Sr 3,Greensburg,https://www.schooldigger.com/go/IN/city/Greensburg/search.aspx,47240,Decatur County,(812) 591-3330,No,No,No,No,436,50.2,8.6,47.9,0.2,0,0,3,0,1.4,95.4,48.6
North Miami Middle/High School,https://www.schooldigger.com/go/IN/schools/0789001351/school.aspx,North Miami Community Schools,https://www.schooldigger.com/go/IN/district/07890/search.aspx,570 E 900 N,Denver,https://www.schooldigger.com/go/IN/city/Denver/search.aspx,46926,Miami County,(765) 985-2931,No,No,No,No,422,28.2,14.9,38.4,0.2,0.5,0.2,4,0,3.1,91.9,48.4
Riverside High School,https://www.schooldigger.com/go/IN/schools/0018702633/school.aspx,Riverside High School,https://www.schooldigger.com/go/IN/district/00187/search.aspx,2916 W 30th St,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46222,Marion County,(317) 231-0010,Yes,Yes,No,No,437,37.6,11.6,66.1,58.6,0,1.4,16.9,0.2,4.8,18.1,48.2
Clinton Central Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0213000257/school.aspx,Clinton Central School Corporation,https://www.schooldigger.com/go/IN/district/02130/search.aspx,815 N Sr 29,Michigantown,https://www.schooldigger.com/go/IN/city/Michigantown/search.aspx,46057,Clinton County,(765) 249-2255,No,No,No,No,421,31,13.5,35.4,1,0.2,0,5.2,0,0.7,92.9,48.1
Shelbyville Senior High School,https://www.schooldigger.com/go/IN/schools/1014001631/school.aspx,Shelbyville Central Schools,https://www.schooldigger.com/go/IN/district/10140/search.aspx,2003 S Miller St,Shelbyville,https://www.schooldigger.com/go/IN/city/Shelbyville/search.aspx,46176,Shelby County,(317) 398-9731,No,No,No,No,1137,64.3,17.6,47.2,2.6,0.1,1.9,15.6,0.1,4.7,75.1,48
Wapahani High School,https://www.schooldigger.com/go/IN/schools/0588001047/school.aspx,Liberty-Perry Community School Corp,https://www.schooldigger.com/go/IN/district/05880/search.aspx,10401 E Cr 167 S,Selma,https://www.schooldigger.com/go/IN/city/Selma/search.aspx,47383,Delaware County,(765) 289-7323,No,No,No,No,376,26.1,14.4,40.2,1.9,0.3,0.3,1.1,0,4,92.6,47.9
Greensburg Community High School,https://www.schooldigger.com/go/IN/schools/0408000704/school.aspx,Greensburg Community Schools,https://www.schooldigger.com/go/IN/district/04080/search.aspx,1000 E Central Ave,Greensburg,https://www.schooldigger.com/go/IN/city/Greensburg/search.aspx,47240,Decatur County,(812) 663-7176,No,No,No,No,696,43.2,16,38.5,0.3,0.1,0.6,2.9,0.4,3.3,92.4,47.8
Winchester Community High School,https://www.schooldigger.com/go/IN/schools/0177000242/school.aspx,Randolph Central School Corp,https://www.schooldigger.com/go/IN/district/01770/search.aspx,700 Union St,Winchester,https://www.schooldigger.com/go/IN/city/Winchester/search.aspx,47394,Randolph County,(765) 584-8201,No,No,No,No,387,33,11.7,47.5,0.8,0,0.8,3.9,0,1.3,93.3,47.4
Achieve Virtual Education Academy,https://www.schooldigger.com/go/IN/schools/1281002516/school.aspx,MSD Wayne Township,https://www.schooldigger.com/go/IN/district/12810/search.aspx,1250 N High School Rd,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46214,Marion County,(317) 988-7144,No,No,No,Yes,338,49.1,6.8,35.5,20.4,0,0.6,9.5,0,5,64.5,47.3
New Castle High School,https://www.schooldigger.com/go/IN/schools/0744001290/school.aspx,New Castle Community School Corp,https://www.schooldigger.com/go/IN/district/07440/search.aspx,801 Parkview Dr,New Castle,https://www.schooldigger.com/go/IN/city/New+Castle/search.aspx,47362,Henry County,(765) 593-6670,No,No,No,No,910,78.6,11.5,47,0.9,0,0.5,3.8,0.1,4.4,90.2,47.2
LaPorte High School,https://www.schooldigger.com/go/IN/schools/0558001015/school.aspx,LaPorte Community School Corp,https://www.schooldigger.com/go/IN/district/05580/search.aspx,602 'F' St,La Porte,https://www.schooldigger.com/go/IN/city/La+Porte/search.aspx,46350,LaPorte County,(219) 362-3102,No,No,No,No,1773,112.8,15.7,43.2,3.4,0.1,0.5,16,0,4.3,75.7,46.8
Churubusco Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1023001638/school.aspx,Smith-Green Community Schools,https://www.schooldigger.com/go/IN/district/10230/search.aspx,1 Eagle Dr,Churubusco,https://www.schooldigger.com/go/IN/city/Churubusco/search.aspx,46723,Whitley County,(260) 693-2131,No,No,No,No,687,35.1,19.5,25.6,0,0.4,0.6,2,0,2.6,94.3,46.7
Rensselaer Central High School,https://www.schooldigger.com/go/IN/schools/0942001543/school.aspx,Rensselaer Central School Corp,https://www.schooldigger.com/go/IN/district/09420/search.aspx,1106 E Grace St,Rensselaer,https://www.schooldigger.com/go/IN/city/Rensselaer/search.aspx,47978,Jasper County,(219) 866-5175,No,No,No,No,496,37.4,13.2,36.9,0,0.2,0.6,14.1,0,2.4,82.7,46.6
Knox Community High School,https://www.schooldigger.com/go/IN/schools/0534000938/school.aspx,Knox Community School Corp,https://www.schooldigger.com/go/IN/district/05340/search.aspx,1 Redskin Trl,Knox,https://www.schooldigger.com/go/IN/city/Knox/search.aspx,46534,Starke County,(574) 772-1673,Yes,No,No,No,589,50,11.7,57.7,0.3,0.8,0,5.3,0,1.7,91.9,46.6
Greenfield-Central High School,https://www.schooldigger.com/go/IN/schools/0405000696/school.aspx,Greenfield-Central Com Schools,https://www.schooldigger.com/go/IN/district/04050/search.aspx,810 N Broadway,Greenfield,https://www.schooldigger.com/go/IN/city/Greenfield/search.aspx,46140,Hancock County,(317) 462-9211,No,No,No,No,1445,77.3,18.6,29.1,0.5,0.2,0.7,3.3,0,3,92.2,46.4
East Noble High School,https://www.schooldigger.com/go/IN/schools/0297000389/school.aspx,East Noble School Corporation,https://www.schooldigger.com/go/IN/district/02970/search.aspx,901 Garden St,Kendallville,https://www.schooldigger.com/go/IN/city/Kendallville/search.aspx,46755,Noble County,(260) 347-2032,No,No,No,No,1101,78.2,14,41.4,0.4,0.1,1.3,6.4,0.1,1.9,89.8,46.2
North Daviess Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0771001319/school.aspx,North Daviess Com Schools,https://www.schooldigger.com/go/IN/district/07710/search.aspx,5494 E Sr 58,Elnora,https://www.schooldigger.com/go/IN/city/Elnora/search.aspx,47529,Daviess County,(812) 636-8000,Yes,No,No,No,490,31.3,15.6,42.4,1,0.2,0.2,4.3,0,2,92.2,46.2
Career Academy High School,https://www.schooldigger.com/go/IN/schools/0010102521/school.aspx,Career Academy High School,https://www.schooldigger.com/go/IN/district/00101/search.aspx,3801 Crescent Circle,South Bend,https://www.schooldigger.com/go/IN/city/South+Bend/search.aspx,46628,St. Joseph County,(574) 299-9800,Yes,Yes,No,No,360,23.8,15.1,48.1,26.4,0.3,1.1,10.3,0,10,51.9,45.8
North Montgomery High School,https://www.schooldigger.com/go/IN/schools/0790001357/school.aspx,North Montgomery Com School Corp,https://www.schooldigger.com/go/IN/district/07900/search.aspx,5945 Us 231 N,Crawfordsville,https://www.schooldigger.com/go/IN/city/Crawfordsville/search.aspx,47933,Montgomery County,(765) 362-5140,No,No,No,No,521,41,12.6,32.4,0,0.2,1.7,3.6,0,3.1,91.4,45.7
Northview High School,https://www.schooldigger.com/go/IN/schools/0084000154/school.aspx,Clay Community Schools,https://www.schooldigger.com/go/IN/district/00840/search.aspx,3150 W Sr 340,Brazil,https://www.schooldigger.com/go/IN/city/Brazil/search.aspx,47834,Clay County,(812) 448-2661,No,No,No,No,995,74,13.4,43.8,0.8,0,0.5,1.7,0,2,95,45.7
Wawasee High School,https://www.schooldigger.com/go/IN/schools/0555001007/school.aspx,Wawasee Community School Corp,https://www.schooldigger.com/go/IN/district/05550/search.aspx,1 Warrior Path - Bldg 1,Syracuse,https://www.schooldigger.com/go/IN/city/Syracuse/search.aspx,46567,Kosciusko County,(574) 457-3147,No,No,No,No,949,66.9,14.1,38.3,0.5,0.5,0.4,11.2,0.1,2.6,84.6,45.6
North Knox Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0783001334/school.aspx,North Knox School Corp,https://www.schooldigger.com/go/IN/district/07830/search.aspx,10890 N Sr 159,Bicknell,https://www.schooldigger.com/go/IN/city/Bicknell/search.aspx,47512,Knox County,(812) 735-2990,No,No,No,No,612,36,16.9,55.4,0,0,0,4.4,0,1,94.6,45.5
North Decatur Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0261000309/school.aspx,Decatur County Community Schools,https://www.schooldigger.com/go/IN/district/02610/search.aspx,3172 N Sr 3,Greensburg,https://www.schooldigger.com/go/IN/city/Greensburg/search.aspx,47240,Decatur County,(812) 663-4204,No,No,No,No,490,48.2,10.1,40.6,0.2,0.4,0.2,1.6,0,1.6,95.9,45.3
Carroll Senior High School,https://www.schooldigger.com/go/IN/schools/0129000203/school.aspx,Carroll Consolidated School Corp,https://www.schooldigger.com/go/IN/district/01290/search.aspx,2362 E Sr 18,Flora,https://www.schooldigger.com/go/IN/city/Flora/search.aspx,46929,Carroll County,(574) 967-4157,No,No,No,No,332,31.3,10.6,34.9,0.3,0,0.6,4.5,0.3,2.1,92.2,45.2
Columbus East High School,https://www.schooldigger.com/go/IN/schools/0036000065/school.aspx,Bartholomew Con School Corp,https://www.schooldigger.com/go/IN/district/00360/search.aspx,230 S Marr Rd,Columbus,https://www.schooldigger.com/go/IN/city/Columbus/search.aspx,47201,Bartholomew County,(812) 376-4369,No,No,No,No,1565,84.5,18.5,32.1,2.6,0.3,1.5,9.3,0,4.2,82.1,45
Southern Wells Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1077001765/school.aspx,Southern Wells Com Schools,https://www.schooldigger.com/go/IN/district/10770/search.aspx,9120 S 300 W,Poneto,https://www.schooldigger.com/go/IN/city/Poneto/search.aspx,46781,Wells County,(765) 728-5534,No,No,No,No,407,29.2,13.9,36.9,0.5,0.2,0.7,1.2,0,0.2,97.1,45
Jac-Cen-Del Middle School/High School,https://www.schooldigger.com/go/IN/schools/0480000907/school.aspx,Jac-Cen-Del Community School Corp,https://www.schooldigger.com/go/IN/district/04800/search.aspx,4586 N Us 421,Osgood,https://www.schooldigger.com/go/IN/city/Osgood/search.aspx,47037,Ripley County,(812) 689-4643,No,No,No,No,403,28,14.3,39.7,0.5,0.5,0.5,0.5,0,2,96,44.8
