 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
9,56, High, Desktop app, Expert, Daily,7, High,2,2, Fast,6,2,50, High,52
11,42, Low, Web development, Advanced, Weekly,10, Medium,2,2, Slow,6,1,50, Low,41
9,66, Medium, Desktop app, Beginner, Daily,12, Low,5,1, Moderate,9,1,34, Medium,32
14,69, High, Web development, Expert, Weekly,7, High,4,1, Fast,5,1,48, High,43
6,30, Low, Web development, Expert, Daily,11, High,5,0, Fast,7,3,57, Low,71
10,58, High, Mobile app, Advanced, Weekly,9, Medium,2,1, Slow,9,2,50, High,42
5,44, Medium, Desktop app, Beginner, Daily,12, Low,5,2, Moderate,8,3,58, Medium,50
14,47, High, Web development, Expert, Weekly,8, High,4,1, Fast,10,2,41, High,36
6,69, Low, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,5,3,41, Low,55
13,78, High, Desktop app, Beginner, Weekly,14, Low,3,0, Moderate,6,1,36, High,69
5,51, Low, Web development, Expert, Daily,9, High,3,2, Fast,6,2,60, Low,72
9,45, Medium, Mobile app, Advanced, Weekly,9, Medium,3,0, Slow,8,1,53, Medium,32
8,38, Low, Web development, Expert, Daily,4, High,3,2, Fast,5,0,30, Low,46
8,32, High, Mobile app, Advanced, Weekly,8, Medium,3,2, Slow,10,1,52, High,37
5,59, Medium, Desktop app, Beginner, Daily,11, Low,4,2, Moderate,6,2,48, Medium,67
6,43, High, Web development, Expert, Weekly,5, High,2,1, Fast,5,3,58, High,63
7,80, Low, Mobile app, Advanced, Daily,10, Medium,3,0, Slow,8,1,52, Low,45
7,41, High, Desktop app, Beginner, Weekly,7, Low,5,2, Moderate,5,2,44, High,69
8,31, Low, Web development, Expert, Daily,12, High,5,2, Fast,8,3,60, Low,42
5,74, Medium, Mobile app, Advanced, Weekly,6, Medium,4,0, Slow,6,0,31, Medium,55
13,40, Low, Web development, Expert, Daily,14, High,3,2, Fast,7,1,55, Low,68
5,70, Medium, Desktop app, Beginner, Weekly,8, Low,4,1, Moderate,9,1,46, Medium,53
8,51, High, Mobile app, Advanced, Daily,5, Medium,2,1, Slow,6,2,32, High,35
9,48, Low, Web development, Expert, Weekly,9, High,3,2, Fast,5,2,58, Low,69
4,74, Medium, Desktop app, Beginner, Daily,8, Low,4,2, Moderate,5,2,56, Medium,37
10,63, Low, Mobile app, Expert, Weekly,12, High,2,2, Fast,7,3,43, Low,48
4,79, High, Web development, Advanced, Daily,4, Medium,4,0, Slow,5,0,42, High,57
10,59, Medium, Mobile app, Beginner, Weekly,10, Low,4,0, Moderate,5,1,38, Medium,55
9,39, High, Desktop app, Expert, Daily,6, High,4,2, Fast,7,3,30, High,40
9,32, Low, Web development, Advanced, Weekly,6, Medium,3,0, Slow,10,3,46, Low,47
14,45, Medium, Desktop app, Beginner, Daily,8, Low,3,0, Moderate,10,0,49, Medium,63
7,67, High, Web development, Expert, Weekly,12, High,2,2, Fast,6,3,58, High,37
8,60, Low, Web development, Expert, Daily,5, High,4,2, Fast,6,3,54, Low,56
5,59, High, Mobile app, Advanced, Weekly,5, Medium,2,2, Slow,6,1,49, High,72
6,50, Medium, Desktop app, Beginner, Daily,10, Low,3,2, Moderate,5,2,59, Medium,44
10,32, High, Web development, Expert, Weekly,11, High,3,0, Fast,5,1,41, High,69
13,72, Low, Mobile app, Advanced, Daily,4, Medium,5,1, Slow,9,2,31, Low,39
12,52, High, Desktop app, Beginner, Weekly,12, Low,4,0, Moderate,5,3,33, High,37
11,44, Low, Web development, Expert, Daily,5, High,3,0, Fast,6,0,59, Low,62
12,61, Medium, Mobile app, Advanced, Weekly,6, Medium,4,0, Slow,7,2,50, Medium,58
8,52, Low, Web development, Expert, Daily,14, High,2,0, Fast,7,3,33, Low,60
6,61, Medium, Desktop app, Beginner, Weekly,10, Low,3,0, Moderate,5,3,48, Medium,38
9,34, High, Mobile app, Advanced, Daily,11, Medium,2,2, Slow,9,2,58, High,50
14,55, Low, Web development, Expert, Weekly,11, High,2,0, Fast,9,2,60, Low,61
11,61, Medium, Desktop app, Beginner, Daily,8, Low,5,0, Moderate,9,3,58, Medium,32
8,73, Low, Mobile app, Expert, Weekly,10, High,5,1, Fast,5,1,43, Low,48
5,47, High, Web development, Advanced, Daily,11, Medium,4,1, Slow,10,3,35, High,34
8,77, Medium, Mobile app, Beginner, Weekly,4, Low,3,0, Moderate,10,0,46, Medium,32
9,62, High, Desktop app, Expert, Daily,8, High,4,1, Fast,6,0,49, High,70
4,75, Low, Web development, Advanced, Weekly,13, Medium,3,2, Slow,6,1,59, Low,56
14,36, Medium, Desktop app, Beginner, Daily,10, Low,4,0, Moderate,5,1,51, Medium,50
10,54, High, Web development, Expert, Weekly,6, High,4,2, Fast,8,3,31, High,41
14,60, Low, Web development, Expert, Daily,5, High,4,2, Fast,5,2,35, Low,64
14,49, High, Mobile app, Advanced, Weekly,12, Medium,2,0, Slow,7,2,41, High,71
14,73, Medium, Desktop app, Beginner, Daily,11, Low,5,2, Moderate,7,3,48, Medium,63
10,43, High, Web development, Expert, Weekly,4, High,3,1, Fast,7,1,41, High,45
5,61, Low, Mobile app, Advanced, Daily,12, Medium,5,1, Slow,10,2,60, Low,40
13,47, High, Desktop app, Beginner, Weekly,13, Low,5,0, Moderate,6,0,45, High,50
7,67, Low, Web development, Expert, Daily,4, High,2,0, Fast,9,0,46, Low,44
8,65, Medium, Mobile app, Advanced, Weekly,13, Medium,5,1, Slow,8,3,59, Medium,39
7,43, Low, Web development, Expert, Daily,5, High,4,1, Fast,8,2,48, Low,54
7,54, Medium, Desktop app, Beginner, Weekly,12, Low,2,1, Moderate,10,2,57, Medium,41
6,31, High, Mobile app, Advanced, Daily,6, Medium,2,2, Slow,7,2,42, High,33
12,79, Low, Web development, Expert, Weekly,10, High,5,2, Fast,10,0,40, Low,73
12,31, Medium, Desktop app, Beginner, Daily,6, Low,5,1, Moderate,9,0,48, Medium,55
9,79, Low, Mobile app, Expert, Weekly,11, High,4,2, Fast,5,0,34, Low,61
10,37, High, Web development, Advanced, Daily,10, Medium,5,1, Slow,7,2,56, High,48
4,37, Medium, Mobile app, Beginner, Weekly,10, Low,4,0, Moderate,5,1,45, Medium,55
14,42, High, Desktop app, Expert, Daily,5, High,3,0, Fast,6,1,35, High,46
13,40, Low, Web development, Advanced, Weekly,6, Medium,4,2, Slow,8,1,37, Low,55
6,53, Medium, Desktop app, Beginner, Daily,4, Low,4,1, Moderate,10,1,43, Medium,50
5,78, High, Web development, Expert, Weekly,4, High,4,2, Fast,6,3,41, High,66
10,45, Low, Web development, Expert, Daily,10, High,5,2, Fast,10,2,53, Low,33
9,62, High, Mobile app, Advanced, Weekly,11, Medium,3,0, Slow,8,2,44, High,39
7,76, Medium, Desktop app, Beginner, Daily,5, Low,3,2, Moderate,9,3,59, Medium,42
4,64, High, Web development, Expert, Weekly,5, High,3,2, Fast,10,1,47, High,43
4,65, Low, Mobile app, Advanced, Daily,10, Medium,2,0, Slow,8,3,32, Low,35
4,52, High, Desktop app, Beginner, Weekly,11, Low,5,0, Moderate,5,2,59, High,35
11,43, Low, Web development, Expert, Daily,4, High,5,0, Fast,5,1,30, Low,62
5,70, Medium, Mobile app, Advanced, Weekly,5, Medium,2,1, Slow,7,1,48, Medium,56
4,64, Low, Web development, Expert, Daily,5, High,2,1, Fast,8,3,47, Low,63
10,33, Medium, Desktop app, Beginner, Weekly,9, Low,2,2, Moderate,9,3,33, Medium,38
5,73, High, Mobile app, Advanced, Daily,12, Medium,3,2, Slow,10,1,36, High,38
13,60, Low, Web development, Expert, Weekly,4, High,4,1, Fast,6,1,30, Low,57
6,66, Medium, Desktop app, Beginner, Daily,10, Low,2,2, Moderate,9,1,34, Medium,62
8,71, Low, Mobile app, Expert, Weekly,10, High,2,1, Fast,9,3,45, Low,67
4,31, High, Web development, Advanced, Daily,6, Medium,3,1, Slow,8,0,56, High,59
13,54, Medium, Mobile app, Beginner, Weekly,5, Low,5,1, Moderate,7,0,34, Medium,58
13,54, High, Desktop app, Expert, Daily,10, High,2,2, Fast,6,3,34, High,48
12,60, Low, Web development, Advanced, Weekly,6, Medium,4,1, Slow,10,2,39, Low,49
6,78, Medium, Desktop app, Beginner, Daily,10, Low,4,0, Moderate,9,2,53, Medium,59
14,69, High, Web development, Expert, Weekly,6, High,2,1, Fast,7,0,52, High,50
6,74, Low, Web development, Expert, Daily,11, High,5,1, Fast,8,2,37, Low,54
5,35, High, Mobile app, Advanced, Weekly,12, Medium,3,0, Slow,5,1,33, High,52
14,37, Medium, Desktop app, Beginner, Daily,12, Low,4,2, Moderate,5,3,44, Medium,62
14,65, High, Web development, Expert, Weekly,10, High,4,1, Fast,9,2,36, High,51
5,77, Low, Mobile app, Advanced, Daily,13, Medium,4,2, Slow,5,0,59, Low,39
5,67, High, Desktop app, Beginner, Weekly,7, Low,4,2, Moderate,10,2,46, High,64
12,76, Low, Web development, Expert, Daily,5, High,5,2, Fast,8,0,58, Low,61
7,38, Medium, Mobile app, Advanced, Weekly,6, Medium,2,2, Slow,5,2,31, Medium,34
6,56, Low, Web development, Expert, Daily,10, High,3,0, Fast,6,2,43, Low,68
4,45, Medium, Desktop app, Beginner, Weekly,12, Low,4,0, Moderate,9,2,30, Medium,56
5,40, High, Mobile app, Advanced, Daily,4, Medium,4,1, Slow,7,3,48, High,45
8,47, Low, Web development, Expert, Weekly,14, High,5,2, Fast,6,1,44, Low,51
11,56, Medium, Desktop app, Beginner, Daily,4, Low,2,2, Moderate,7,3,38, Medium,37
12,66, Low, Mobile app, Expert, Weekly,10, High,3,1, Fast,5,0,40, Low,61
7,41, High, Web development, Advanced, Daily,4, Medium,3,2, Slow,10,0,59, High,51
9,38, Medium, Mobile app, Beginner, Weekly,4, Low,2,2, Moderate,6,0,44, Medium,39
11,43, High, Desktop app, Expert, Daily,14, High,5,0, Fast,10,2,33, High,37
8,64, Low, Web development, Advanced, Weekly,13, Medium,5,2, Slow,7,1,56, Low,69
14,49, Medium, Desktop app, Beginner, Daily,6, Low,5,0, Moderate,10,3,44, Medium,71
9,68, High, Web development, Expert, Weekly,8, High,2,1, Fast,6,3,37, High,74
10,60, Low, Web development, Expert, Daily,13, High,3,2, Fast,7,0,45, Low,66
12,58, High, Mobile app, Advanced, Weekly,9, Medium,5,1, Slow,10,0,50, High,69
8,53, Medium, Desktop app, Beginner, Daily,9, Low,4,2, Moderate,8,2,60, Medium,43
12,47, High, Web development, Expert, Weekly,14, High,2,1, Fast,8,3,41, High,35
6,30, Low, Mobile app, Advanced, Daily,7, Medium,4,1, Slow,10,2,57, Low,42
9,38, High, Desktop app, Beginner, Weekly,11, Low,2,2, Moderate,9,0,39, High,54
7,69, Low, Web development, Expert, Daily,6, High,4,2, Fast,9,0,47, Low,34
14,68, Medium, Mobile app, Advanced, Weekly,12, Medium,4,1, Slow,7,0,50, Medium,39
6,56, Low, Web development, Expert, Daily,9, High,3,0, Fast,6,3,47, Low,55
9,56, Medium, Desktop app, Beginner, Weekly,12, Low,5,0, Moderate,8,2,32, Medium,66
8,44, High, Mobile app, Advanced, Daily,7, Medium,3,0, Slow,9,3,38, High,73
10,77, Low, Web development, Expert, Weekly,11, High,2,0, Fast,5,0,37, Low,67
5,30, Medium, Desktop app, Beginner, Daily,7, Low,2,0, Moderate,8,2,45, Medium,45
8,60, Low, Mobile app, Expert, Weekly,7, High,5,2, Fast,9,2,34, Low,71
5,69, High, Web development, Advanced, Daily,5, Medium,3,1, Slow,10,1,30, High,43
9,75, Medium, Mobile app, Beginner, Weekly,9, Low,5,0, Moderate,7,3,50, Medium,57
9,67, High, Desktop app, Expert, Daily,12, High,2,1, Fast,9,3,59, High,61
4,75, Low, Web development, Advanced, Weekly,12, Medium,5,0, Slow,9,1,47, Low,34
10,37, Medium, Desktop app, Beginner, Daily,9, Low,2,2, Moderate,6,1,41, Medium,41
5,63, High, Web development, Expert, Weekly,6, High,5,2, Fast,9,1,53, High,48
7,39, Low, Web development, Expert, Daily,12, High,3,0, Fast,9,3,34, Low,51
9,30, High, Mobile app, Advanced, Weekly,5, Medium,2,0, Slow,10,2,34, High,59
10,60, Medium, Desktop app, Beginner, Daily,10, Low,4,0, Moderate,10,2,44, Medium,33
5,47, High, Web development, Expert, Weekly,6, High,4,2, Fast,5,2,43, High,48
9,64, Low, Mobile app, Advanced, Daily,10, Medium,5,0, Slow,6,2,31, Low,32
10,44, High, Desktop app, Beginner, Weekly,5, Low,5,0, Moderate,8,3,30, High,35
9,36, Low, Web development, Expert, Daily,9, High,4,2, Fast,5,2,51, Low,65
6,71, Medium, Mobile app, Advanced, Weekly,6, Medium,4,2, Slow,9,0,50, Medium,45
5,79, Low, Web development, Expert, Daily,10, High,2,0, Fast,5,3,34, Low,67
7,80, Medium, Desktop app, Beginner, Weekly,10, Low,4,2, Moderate,9,3,33, Medium,39
14,40, High, Mobile app, Advanced, Daily,9, Medium,3,0, Slow,5,3,48, High,48
7,38, Low, Web development, Expert, Weekly,12, High,4,2, Fast,8,1,33, Low,32
4,78, Medium, Desktop app, Beginner, Daily,8, Low,3,2, Moderate,8,3,33, Medium,54
9,53, Low, Mobile app, Expert, Weekly,14, High,3,2, Fast,7,0,38, Low,43
8,44, High, Web development, Advanced, Daily,8, Medium,4,2, Slow,8,0,59, High,52
13,54, Medium, Mobile app, Beginner, Weekly,14, Low,2,1, Moderate,9,3,36, Medium,46
5,50, High, Desktop app, Expert, Daily,12, High,5,1, Fast,5,2,45, High,73
6,31, Low, Web development, Advanced, Weekly,13, Medium,2,0, Slow,10,3,37, Low,72
7,47, Medium, Desktop app, Beginner, Daily,10, Low,2,0, Moderate,6,3,30, Medium,51
9,60, High, Web development, Expert, Weekly,13, High,5,1, Fast,7,2,54, High,63
14,47, Low, Web development, Expert, Daily,9, High,3,0, Fast,6,0,30, Low,47
7,49, High, Mobile app, Advanced, Weekly,6, Medium,2,0, Slow,8,0,40, High,44
5,34, Medium, Desktop app, Beginner, Daily,12, Low,3,2, Moderate,10,2,48, Medium,52
4,50, High, Web development, Expert, Weekly,5, High,4,1, Fast,9,3,52, High,69
4,36, Low, Mobile app, Advanced, Daily,11, Medium,3,1, Slow,7,2,60, Low,36
7,59, High, Desktop app, Beginner, Weekly,6, Low,2,0, Moderate,5,2,59, High,45
9,79, Low, Web development, Expert, Daily,14, High,5,0, Fast,9,0,54, Low,56
10,46, Medium, Mobile app, Advanced, Weekly,13, Medium,2,2, Slow,8,1,42, Medium,48
10,79, Low, Web development, Expert, Daily,14, High,2,1, Fast,9,2,32, Low,64
12,44, Medium, Desktop app, Beginner, Weekly,10, Low,4,2, Moderate,10,1,44, Medium,55
9,46, High, Mobile app, Advanced, Daily,10, Medium,2,1, Slow,8,3,30, High,72
12,75, Low, Web development, Expert, Weekly,14, High,3,2, Fast,9,2,47, Low,72
4,40, Medium, Desktop app, Beginner, Daily,8, Low,2,1, Moderate,10,0,38, Medium,68
14,67, Low, Mobile app, Expert, Weekly,4, High,4,1, Fast,7,2,46, Low,54
11,36, High, Web development, Advanced, Daily,5, Medium,3,2, Slow,8,1,37, High,56
13,76, Medium, Mobile app, Beginner, Weekly,5, Low,3,1, Moderate,6,1,44, Medium,62
5,67, High, Desktop app, Expert, Daily,7, High,3,1, Fast,9,0,33, High,73
11,36, Low, Web development, Advanced, Weekly,12, Medium,2,2, Slow,6,1,31, Low,46
6,63, Medium, Desktop app, Beginner, Daily,10, Low,4,0, Moderate,8,3,53, Medium,61
13,35, High, Web development, Expert, Weekly,4, High,2,2, Fast,7,2,54, High,70
6,64, Low, Web development, Expert, Daily,12, High,5,1, Fast,7,3,43, Low,57
12,36, High, Mobile app, Advanced, Weekly,11, Medium,3,2, Slow,8,2,47, High,56
4,61, Medium, Desktop app, Beginner, Daily,4, Low,4,2, Moderate,7,0,52, Medium,49
14,32, High, Web development, Expert, Weekly,5, High,5,2, Fast,5,1,35, High,66
10,68, Low, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,6,0,40, Low,54
7,35, High, Desktop app, Beginner, Weekly,9, Low,2,1, Moderate,6,2,35, High,59
4,63, Low, Web development, Expert, Daily,13, High,2,2, Fast,9,3,57, Low,74
5,78, Medium, Mobile app, Advanced, Weekly,12, Medium,2,1, Slow,6,0,32, Medium,72
11,75, Low, Web development, Expert, Daily,8, High,4,1, Fast,7,2,46, Low,50
9,69, Medium, Desktop app, Beginner, Weekly,8, Low,5,0, Moderate,8,0,36, Medium,32
4,59, High, Mobile app, Advanced, Daily,13, Medium,4,1, Slow,7,1,39, High,57
14,72, Low, Web development, Expert, Weekly,5, High,4,2, Fast,6,3,53, Low,50
8,77, Medium, Desktop app, Beginner, Daily,13, Low,3,1, Moderate,8,2,39, Medium,55
4,43, Low, Mobile app, Expert, Weekly,10, High,3,2, Fast,5,2,49, Low,64
7,69, High, Web development, Advanced, Daily,10, Medium,2,0, Slow,10,0,32, High,60
4,58, Medium, Mobile app, Beginner, Weekly,6, Low,5,2, Moderate,8,1,55, Medium,37
4,63, High, Desktop app, Expert, Daily,10, High,4,1, Fast,9,2,31, High,53
10,38, Low, Web development, Advanced, Weekly,5, Medium,2,0, Slow,7,2,32, Low,37
10,40, Medium, Desktop app, Beginner, Daily,9, Low,2,1, Moderate,8,3,43, Medium,62
9,53, High, Web development, Expert, Weekly,12, High,3,1, Fast,7,1,49, High,69
12,51, Low, Web development, Expert, Daily,8, High,5,1, Fast,7,3,31, Low,55
14,59, High, Mobile app, Advanced, Weekly,8, Medium,5,0, Slow,7,0,53, High,63
9,76, Medium, Desktop app, Beginner, Daily,7, Low,4,2, Moderate,8,2,34, Medium,50
9,63, High, Web development, Expert, Weekly,12, High,3,1, Fast,9,1,52, High,61
10,57, Low, Mobile app, Advanced, Daily,9, Medium,2,0, Slow,9,3,49, Low,42
11,56, High, Desktop app, Beginner, Weekly,5, Low,5,2, Moderate,7,2,53, High,59
8,46, Low, Web development, Expert, Daily,4, High,5,0, Fast,8,3,43, Low,45
4,59, Medium, Mobile app, Advanced, Weekly,4, Medium,3,2, Slow,9,1,44, Medium,68
12,46, Low, Web development, Expert, Daily,12, High,2,0, Fast,5,3,44, Low,53
6,71, Medium, Desktop app, Beginner, Weekly,5, Low,2,2, Moderate,5,0,53, Medium,50
10,78, High, Mobile app, Advanced, Daily,11, Medium,5,1, Slow,10,3,56, High,34
9,70, Low, Web development, Expert, Weekly,9, High,4,0, Fast,9,3,51, Low,73
6,54, Medium, Desktop app, Beginner, Daily,10, Low,5,1, Moderate,6,0,52, Medium,45
5,42, Low, Mobile app, Expert, Weekly,5, High,5,2, Fast,8,1,52, Low,37
4,41, High, Web development, Advanced, Daily,10, Medium,4,1, Slow,7,0,40, High,49
5,74, Medium, Mobile app, Beginner, Weekly,10, Low,2,2, Moderate,6,2,46, Medium,61
8,79, High, Desktop app, Expert, Daily,6, High,5,2, Fast,5,2,41, High,35
7,50, Low, Web development, Advanced, Weekly,8, Medium,4,1, Slow,10,1,52, Low,40
6,50, Medium, Desktop app, Beginner, Daily,6, Low,4,2, Moderate,5,3,49, Medium,35
11,56, High, Web development, Expert, Weekly,9, High,3,2, Fast,6,0,53, High,67
4,65, Medium, Desktop app, Beginner, Weekly,9, Low,2,1, Moderate,8,0,49, Medium,35
9,74, High, Mobile app, Advanced, Daily,10, Medium,4,1, Slow,6,0,52, High,58
7,68, Low, Web development, Expert, Weekly,5, High,2,2, Fast,6,1,44, Low,48
9,65, Medium, Desktop app, Beginner, Daily,7, Low,5,1, Moderate,10,0,39, Medium,63
14,78, Low, Mobile app, Expert, Weekly,14, High,5,2, Fast,8,3,37, Low,72
11,66, High, Web development, Advanced, Daily,12, Medium,2,2, Slow,5,1,47, High,58
4,38, Medium, Mobile app, Beginner, Weekly,5, Low,4,0, Moderate,10,0,35, Medium,67
4,57, High, Desktop app, Expert, Daily,7, High,5,0, Fast,5,2,58, High,56
10,64, Low, Web development, Advanced, Weekly,12, Medium,2,2, Slow,9,1,40, Low,51
8,68, Medium, Desktop app, Beginner, Daily,5, Low,2,0, Moderate,10,3,34, Medium,71
7,39, High, Web development, Expert, Weekly,12, High,3,1, Fast,9,1,55, High,41
5,45, Low, Web development, Expert, Daily,13, High,5,2, Fast,5,2,55, Low,74
7,55, High, Mobile app, Advanced, Weekly,10, Medium,2,1, Slow,5,0,58, High,56
8,35, Medium, Desktop app, Beginner, Daily,10, Low,5,0, Moderate,5,2,31, Medium,64
10,57, High, Web development, Expert, Weekly,7, High,3,1, Fast,8,3,37, High,34
12,47, Low, Mobile app, Advanced, Daily,9, Medium,5,2, Slow,6,3,35, Low,38
4,48, High, Desktop app, Beginner, Weekly,9, Low,2,2, Moderate,10,2,47, High,65
4,72, Low, Web development, Expert, Daily,8, High,4,1, Fast,6,0,47, Low,41
12,76, Medium, Mobile app, Advanced, Weekly,7, Medium,4,2, Slow,10,1,53, Medium,42
11,52, High, Desktop app, Beginner, Weekly,13, Low,4,1, Moderate,9,0,42, High,39
13,77, Low, Web development, Expert, Daily,9, High,2,1, Fast,6,2,37, Low,37
12,45, Medium, Mobile app, Advanced, Weekly,4, Medium,4,1, Slow,10,2,51, Medium,37
8,49, Low, Web development, Expert, Daily,8, High,4,2, Fast,7,3,33, Low,70
14,70, Medium, Desktop app, Beginner, Weekly,14, Low,3,1, Moderate,7,3,46, Medium,71
9,45, High, Mobile app, Advanced, Daily,10, Medium,2,0, Slow,10,2,52, High,54
10,50, Low, Web development, Expert, Weekly,4, High,4,0, Fast,6,3,34, Low,63
11,33, Medium, Desktop app, Beginner, Daily,7, Low,2,2, Moderate,7,0,43, Medium,73
11,49, Low, Mobile app, Expert, Weekly,5, High,2,2, Fast,5,0,48, Low,72
12,30, High, Web development, Advanced, Daily,13, Medium,2,2, Slow,5,2,33, High,60
11,79, Medium, Mobile app, Beginner, Weekly,7, Low,2,1, Moderate,9,3,30, Medium,42
11,73, High, Desktop app, Expert, Daily,8, High,4,2, Fast,6,3,50, High,39
12,36, Low, Web development, Advanced, Weekly,12, Medium,3,1, Slow,8,1,40, Low,62
8,62, Medium, Desktop app, Beginner, Daily,12, Low,5,0, Moderate,6,1,39, Medium,55
8,35, High, Web development, Expert, Weekly,6, High,4,2, Fast,8,3,58, High,42
8,40, Medium, Desktop app, Beginner, Weekly,7, Low,4,2, Moderate,5,1,33, Medium,67
4,33, High, Mobile app, Advanced, Daily,8, Medium,4,0, Slow,5,3,51, High,54
8,68, Low, Web development, Expert, Weekly,5, High,2,1, Fast,10,1,57, Low,53
13,41, Medium, Desktop app, Beginner, Daily,8, Low,2,0, Moderate,5,3,46, Medium,54
6,52, Low, Mobile app, Expert, Weekly,11, High,5,2, Fast,8,3,56, Low,34
10,56, High, Web development, Advanced, Daily,14, Medium,3,0, Slow,9,1,57, High,55
9,54, Medium, Mobile app, Beginner, Weekly,13, Low,5,2, Moderate,5,1,45, Medium,70
7,46, High, Desktop app, Expert, Daily,8, High,2,0, Fast,7,1,39, High,60
9,30, Low, Web development, Advanced, Weekly,12, Medium,2,1, Slow,5,1,60, Low,52
11,34, Medium, Desktop app, Beginner, Daily,8, Low,4,0, Moderate,7,0,35, Medium,43
5,51, High, Web development, Expert, Weekly,12, High,2,0, Fast,8,1,40, High,74
7,74, Low, Web development, Expert, Daily,8, High,3,0, Fast,10,1,56, Low,53
9,47, High, Mobile app, Advanced, Weekly,4, Medium,3,1, Slow,5,3,52, High,45
14,77, Medium, Desktop app, Beginner, Daily,13, Low,4,0, Moderate,8,0,36, Medium,47
7,78, High, Web development, Expert, Weekly,7, High,4,0, Fast,6,2,40, High,32
7,39, Low, Mobile app, Advanced, Daily,4, Medium,5,1, Slow,5,2,43, Low,41
11,38, High, Desktop app, Beginner, Weekly,9, Low,4,0, Moderate,8,1,30, High,43
10,63, Low, Web development, Expert, Daily,5, High,4,1, Fast,8,3,52, Low,37
5,54, Medium, Mobile app, Advanced, Weekly,4, Medium,3,1, Slow,6,0,35, Medium,37
6,53, Medium, Mobile app, Beginner, Weekly,10, Low,3,1, Moderate,6,2,54, Medium,32
12,78, High, Desktop app, Expert, Daily,13, High,5,0, Fast,10,2,58, High,33
5,58, Low, Web development, Advanced, Weekly,4, Medium,3,0, Slow,10,2,51, Low,40
13,56, Medium, Desktop app, Beginner, Daily,6, Low,3,1, Moderate,7,2,60, Medium,33
9,40, High, Web development, Expert, Weekly,10, High,2,0, Fast,9,2,55, High,35
8,44, Medium, Desktop app, Beginner, Weekly,6, Low,4,0, Moderate,9,3,36, Medium,72
10,65, High, Mobile app, Advanced, Daily,12, Medium,3,2, Slow,7,0,55, High,47
12,73, Low, Web development, Expert, Weekly,11, High,3,1, Fast,9,0,38, Low,61
5,41, Medium, Desktop app, Beginner, Daily,7, Low,5,1, Moderate,9,1,45, Medium,34
12,69, Low, Mobile app, Expert, Weekly,5, High,2,0, Fast,9,3,52, Low,39
11,56, High, Web development, Advanced, Daily,5, Medium,4,0, Slow,7,1,49, High,60
12,33, Medium, Mobile app, Beginner, Weekly,5, Low,3,1, Moderate,10,3,31, Medium,68
5,63, High, Desktop app, Expert, Daily,4, High,3,0, Fast,10,2,53, High,39
7,60, Low, Web development, Advanced, Weekly,13, Medium,5,0, Slow,10,1,41, Low,40
4,30, Medium, Desktop app, Beginner, Daily,6, Low,4,0, Moderate,5,3,43, Medium,32
11,44, High, Web development, Expert, Weekly,13, High,4,1, Fast,5,0,34, High,40
11,39, Low, Web development, Expert, Daily,12, High,2,0, Fast,5,0,60, Low,36
6,39, High, Mobile app, Advanced, Weekly,6, Medium,4,2, Slow,10,0,55, High,39
9,74, Medium, Desktop app, Beginner, Daily,13, Low,2,1, Moderate,10,3,55, Medium,70
11,78, High, Web development, Expert, Weekly,11, High,3,1, Fast,7,1,45, High,64
10,35, Low, Mobile app, Advanced, Daily,12, Medium,2,0, Slow,7,1,46, Low,54
10,54, High, Desktop app, Beginner, Weekly,10, Low,2,2, Moderate,10,2,60, High,64
5,32, Low, Web development, Expert, Daily,13, High,4,2, Fast,7,0,53, Low,44
11,39, Medium, Mobile app, Advanced, Weekly,6, Medium,2,0, Slow,9,1,56, Medium,55
14,37, High, Desktop app, Beginner, Weekly,4, Low,4,2, Moderate,5,1,42, High,69
4,41, Low, Web development, Expert, Daily,14, High,5,1, Fast,6,0,47, Low,43
8,33, Medium, Mobile app, Advanced, Weekly,7, Medium,2,2, Slow,10,1,32, Medium,38
11,78, Low, Web development, Expert, Daily,12, High,3,1, Fast,6,1,42, Low,50
6,45, Medium, Desktop app, Beginner, Weekly,7, Low,5,1, Moderate,6,0,40, Medium,51
8,42, High, Mobile app, Advanced, Daily,12, Medium,3,2, Slow,7,2,58, High,66
11,64, Low, Web development, Expert, Weekly,5, High,5,1, Fast,7,0,34, Low,40
4,32, Medium, Desktop app, Beginner, Daily,13, Low,3,0, Moderate,6,2,47, Medium,66
14,53, Low, Mobile app, Expert, Weekly,14, High,4,2, Fast,7,0,34, Low,72
12,42, High, Web development, Advanced, Daily,10, Medium,2,1, Slow,9,2,40, High,43
9,57, Medium, Mobile app, Beginner, Weekly,10, Low,5,2, Moderate,5,1,36, Medium,32
6,67, High, Desktop app, Expert, Daily,4, High,4,0, Fast,6,3,41, High,36
9,31, Low, Web development, Advanced, Weekly,9, Medium,4,0, Slow,5,3,45, Low,44
13,59, Medium, Desktop app, Beginner, Daily,4, Low,5,2, Moderate,6,1,38, Medium,40
14,72, High, Web development, Expert, Weekly,10, High,4,1, Fast,10,0,59, High,52
8,58, Medium, Desktop app, Beginner, Weekly,7, Low,2,2, Moderate,8,1,60, Medium,71
