School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Suncoast STEAM Academy,42,National University Academy 1001 STEAM District,San Diego,92123,San Diego County,Yes,Yes,No,Yes,113,5.5,20.5,0.77,0.35,0,0.12,0.16,0,0.12
Alisal High,41.9,Salinas Union High,Salinas,93905,Monterey County,Yes,No,No,No,2904,117,24.8,0.84,0,0,0.01,0.98,0,0
Intellectual Virtues Academy,41.9,Intellectual Virtues Academy District,Long Beach,90813,Los Angeles County,Yes,Yes,No,No,105,5.7,18.4,0.6,0.21,0,0.06,0.55,0.01,0.05
Alliance Renee and Meyer Luskin Academy High,41.9,Alliance Renee and Meyer Luskin Academy High District,Los Angeles,90043,Los Angeles County,Yes,Yes,No,No,522,23.6,22,0.92,0.16,0.01,0,0.83,0,0
Cathedral City High,41.8,Palm Springs Unified,Cathedral City,92234,Riverside County,Yes,No,No,No,1660,74.2,22.3,0.88,0.03,0,0.03,0.88,0,0.01
LIFE Academy,41.6,Oakland Unified,Oakland,94601,Alameda County,Yes,No,No,No,463,30.4,15.2,0.91,0.07,0,0.07,0.84,0,0.02
Pacific Coast Charter,41.5,Pajaro Valley Unified,Watsonville,95076,Santa Cruz County,No,Yes,No,No,217,7.8,27.6,0.66,0.01,0.01,0.01,0.68,0,0.03
Abraham Lincoln Senior High,41.4,Los Angeles Unified,Los Angeles,90031,Los Angeles County,Yes,No,Yes,No,1066,58.5,18.2,0.94,0.02,0,0.24,0.73,0,0
Mesa Verde High,41.3,San Juan Unified,Citrus Heights,95621,Sacramento County,No,No,No,No,899,44.8,20,0.65,0.04,0.01,0.04,0.37,0.01,0.05
Bell Gardens High,41.3,Montebello Unified,Bell Gardens,90201,Los Angeles County,Yes,No,No,No,2628,107.1,24.5,0.83,0,0.01,0,0.99,0,0
Carson Senior High,41.3,Los Angeles Unified,Carson,90745,Los Angeles County,Yes,No,No,No,1499,63.2,23.6,0.71,0.2,0,0.18,0.54,0.05,0
Sequoia,41.2,William S. Hart Union High,Santa Clarita,91350,Los Angeles County,Yes,No,No,No,48,5.9,8.1,0.5,0.02,0,0.04,0.4,0,0.02
Gateway to College at Laney College,41.2,Oakland Unified,Oakland,94607,Alameda County,No,No,No,No,78,,,0.47,0.36,0.01,0.04,0.41,0.03,0.06
Big Valley Junior Senior High,41.2,Big Valley Joint Unified,Bieber,96009,Lassen County,No,No,No,No,66,5.3,12.4,0.65,0,0.03,0,0.18,0,0.03
Animo Venice Charter High,41.1,Animo Venice Charter High District,Venice,90291,Los Angeles County,Yes,Yes,No,No,605,24,25.2,0.89,0.05,0,0.01,0.9,0,0.01
Susan H. Nelson,41.1,Temecula Valley Unified,Temecula,92592,Riverside County,No,No,No,No,247,10.9,22.6,0.24,0,0.01,0.04,0.35,0,0.08
Renaissance High School for the Arts,41,Long Beach Unified,Long Beach,90813,Los Angeles County,No,No,Yes,No,442,19.7,22.4,0.62,0.21,0.01,0.06,0.49,0.01,0.08
Thomas Downey High,41,Modesto City High,Modesto,95355,Stanislaus County,Yes,No,No,No,2115,87.8,24,0.74,0.02,0.01,0.02,0.65,0.01,0.05
Animo Ralph Bunche Charter High,41,Animo Ralph Bunche Charter High District,Los Angeles,90011,Los Angeles County,Yes,Yes,No,No,612,28.5,21.4,0.98,0.01,0,0,0.99,0,0
Castle Park Senior High,40.9,Sweetwater Union High,Chula Vista,91911,San Diego County,Yes,No,No,No,1675,77.7,21.5,0.78,0.02,0,0.03,0.91,0,0.01
Sun Valley Magnet,40.9,Los Angeles Unified,Sun Valley,91352,Los Angeles County,Yes,No,Yes,No,1512,71.8,21,0.92,0.02,0,0.02,0.93,0,0
Jurupa Valley High,40.8,Jurupa Unified,Riverside,91752,Riverside County,Yes,No,No,No,1671,71.5,23.3,0.72,0.01,0,0.01,0.89,0,0.01
Lucerne Valley High,40.7,Lucerne Valley Unified,Lucerne Valley,92356,San Bernardino County,Yes,No,No,No,192,13.9,13.7,0.84,0.03,0.02,0.04,0.55,0.01,0.01
San Jose High,40.6,San Jose Unified,San Jose,95116,Santa Clara County,Yes,No,No,No,1054,46.1,22.8,0.72,0.02,0,0.08,0.84,0.01,0.01
Granite Hills High,40.6,Porterville Unified,Porterville,93257,Tulare County,Yes,No,Yes,No,1348,56.6,23.7,0.84,0.01,0.01,0.01,0.88,0.01,0.01
Lifeline Education Charter,40.5,Lifeline Education Charter District,Compton,90221,Los Angeles County,Yes,Yes,No,No,702,27,26,0.95,0.15,0,0,0.84,0,0
Corning High,40.5,Corning Union High,Corning,96021,Tehama County,Yes,No,No,No,962,44,21.8,0.73,0,0.01,0.02,0.56,0,0.08
Paramount High,40.4,Paramount Unified,Paramount,90723,Los Angeles County,Yes,No,No,No,4602,182.6,25.1,0.96,0.08,0,0.01,0.88,0.01,0.01
Ukiah Independent Study Academy,40.4,Ukiah Unified,Ukiah,95482,Mendocino County,Yes,No,No,No,115,5.9,19.4,0.57,0.02,0.05,0.02,0.19,0,0.05
ARISE High,40.3,ARISE High District,Oakland,94601,Alameda County,Yes,Yes,No,No,317,15.1,20.9,0.72,0.02,0.01,0.04,0.92,0,0.02
Compass Charter Schools of Los Angeles,40.3,Compass Charter Schools of Los Angeles District,Thousand Oaks,91361,Ventura County,Yes,Yes,No,Yes,579,49.6,11.6,0.53,0.11,0.01,0.04,0.45,0,0.09
Coalinga High,40.3,Coalinga-Huron Unified,Coalinga,93210,Fresno County,Yes,No,No,No,1175,55.3,21.2,0.87,0.01,0.01,0.02,0.83,0,0.02
Mar Vista Senior High,40.3,Sweetwater Union High,Imperial Beach,91932,San Diego County,Yes,No,No,No,1585,65.7,24.1,0.66,0.02,0,0.05,0.75,0,0.06
Northwest Prep Charter,40.2,Northwest Prep Charter District,Santa Rosa,95401,Sonoma County,Yes,Yes,No,No,117,5.6,20.8,0.49,0.03,0.01,0.03,0.53,0,0.04
Eisenhower Senior High,40.1,Rialto Unified,Rialto,92376,San Bernardino County,Yes,No,No,No,2360,100.2,23.5,0.92,0.1,0,0.01,0.87,0.01,0
Delta Charter Online,40,New Jerusalem Elementary,Lathrop,95330,San Joaquin County,No,Yes,No,Yes,113,1.5,75.3,0.53,0.05,0,0.13,0.42,0.01,0.05
Options for Youth-Victorville Charter,40,Options for Youth-Victorville Charter District,Victorville,92392,San Bernardino County,(n/a),Yes,No,No,856,54.9,15.5,0.78,0.15,0.05,0.01,0.37,0,0.24
Savanna High,40,Anaheim Union High,Anaheim,92801,Orange County,Yes,No,No,No,1863,71,26.2,0.8,0.03,0,0.11,0.78,0,0.01
Desert Learning Academy,39.9,Palm Springs Unified,Palm Springs,92264,Riverside County,Yes,No,No,No,218,12.6,17.1,0.71,0.07,0.01,0.01,0.6,0.01,0.06
Ramona High,39.9,Riverside Unified,Riverside,92504,Riverside County,Yes,No,Yes,No,2157,92,23.4,0.82,0.04,0,0.02,0.81,0,0.02
Don Antonio Lugo High,39.8,Chino Valley Unified,Chino,91710,San Bernardino County,Yes,No,No,No,1660,80.7,20.5,0.67,0.02,0,0.04,0.78,0,0.04
La Puente High,39.8,Hacienda la Puente Unified,La Puente,91744,Los Angeles County,Yes,No,No,No,1071,46.5,23,0.89,0.01,0,0.03,0.95,0,0.01
North Monterey County Center for Independent Study,39.8,North Monterey County Unified,Salinas,93907,Monterey County,No,No,No,No,128,6,21.3,0.75,0,0.01,0.03,0.52,0.02,0.01
Fort Bragg High,39.7,Fort Bragg Unified,Fort Bragg,95437,Mendocino County,Yes,No,No,No,512,32.3,15.8,0.61,0.01,0.01,0.01,0.42,0,0.06
Sunset High (Continuation),39.7,San Dieguito Union High,Encinitas,92024,San Diego County,No,No,No,No,102,8,12.7,0.24,0,0.01,0.04,0.28,0.02,0.02
Valor Academy High,39.7,Valor Academy High District,North Hills,91343,Los Angeles County,Yes,Yes,No,No,500,26.3,18.9,0.92,0.01,0,0.02,0.91,0,0.04
Lompoc High,39.7,Lompoc Unified,Lompoc,93436,Santa Barbara County,Yes,No,No,No,1574,75.7,20.7,0.73,0.03,0,0.03,0.78,0,0.02
Hueneme High,39.6,Oxnard Union High,Oxnard,93033,Ventura County,Yes,No,No,No,2186,91.5,23.8,0.81,0.02,0,0.03,0.92,0,0.01
Ronald E. McNair High,39.5,Lodi Unified,Stockton,95210,San Joaquin County,Yes,No,No,No,1822,83.2,21.8,0.78,0.11,0,0.45,0.35,0.02,0.02
Herbert Hoover High,39.4,Fresno Unified,Fresno,93710,Fresno County,Yes,No,No,No,1780,87.3,20.3,0.84,0.11,0.01,0.12,0.59,0.01,0.03
San Gorgonio High,39.4,San Bernardino City Unified,San Bernardino,92404,San Bernardino County,Yes,No,No,No,1881,81.3,23.1,0.88,0.12,0.01,0.05,0.75,0.01,0.02
Sotomayor Arts and Sciences Magnet,39.4,Los Angeles Unified,Los Angeles,90065,Los Angeles County,Yes,No,Yes,No,492,29.5,16.6,0.95,0.01,0.01,0.06,0.91,0,0
Plumas Charter,39.3,Plumas Charter District,Quincy,95971,Plumas County,Yes,Yes,No,No,333,17.4,19.1,0.52,0,0.02,0,0.11,0,0.09
Alliance Morgan McKinzie High,39.3,Alliance Morgan McKinzie High District,Los Angeles,90063,Los Angeles County,Yes,Yes,No,No,438,18,24.3,0.93,0,0,0,0.99,0,0
San Diego Virtual,39.2,San Diego Virtual District,San Diego,92108,San Diego County,(n/a),Yes,No,Yes,366,25.4,14.3,0.66,0.05,0.01,0.04,0.48,0.02,0.09
Wilson Alternative,39.2,Santa Clara Unified,Santa Clara,95050,Santa Clara County,No,No,No,No,254,10,25.3,0.54,0.05,0.02,0.13,0.5,0.02,0.05
Vista Visions Academy,39.2,Vista Unified,Vista,92084,San Diego County,Yes,No,No,No,47,3,15.6,0.49,0,0,0,0.51,0,0.04
Arthur A. Benjamin Health Professions High,39.1,Sacramento City Unified,Sacramento,95818,Sacramento County,Yes,No,No,No,232,14.4,16,0.73,0.22,0.01,0.12,0.46,0.03,0.06
Anaheim High,39.1,Anaheim Union High,Anaheim,92805,Orange County,Yes,No,No,No,3099,120,25.8,0.86,0.01,0,0.02,0.94,0,0
San Fernando Senior High,39.1,Los Angeles Unified,San Fernando,91340,Los Angeles County,Yes,No,Yes,No,2080,92.5,22.4,0.89,0.02,0,0.01,0.96,0,0
Boron Junior-Senior High,39,Muroc Joint Unified,Boron,93516,Kern County,Yes,No,No,No,237,16.7,14.1,0.58,0.06,0.02,0,0.35,0.01,0.08
Indian Springs High,38.9,San Bernardino City Unified,San Bernardino,92410,San Bernardino County,Yes,No,No,No,1861,70.7,26.3,0.94,0.1,0,0.02,0.83,0,0.01
West Shores High,38.9,Coachella Valley Unified,Salton City,92275,Imperial County,Yes,No,No,No,507,25.4,19.8,0.93,0,0.01,0,0.92,0,0.02
Academies of the Antelope Valley,38.9,Antelope Valley Union High,Quartz Hill,93536,Los Angeles County,Yes,Yes,No,No,565,34.2,16.5,0.57,0.14,0.01,0.03,0.62,0,0.06
Farmersville High,38.8,Farmersville Unified,Farmersville,93223,Tulare County,Yes,No,No,No,718,32.5,22,0.91,0,0,0.01,0.95,0,0
Rosamond High Early College Campus,38.8,Southern Kern Unified,Rosamond,93560,Kern County,No,No,No,No,850,44.4,19.1,0.58,0.12,0.01,0.01,0.53,0.01,0.03
Willows High,38.7,Willows Unified,Willows,95988,Glenn County,Yes,No,No,No,466,21.8,21.3,0.57,0,0.03,0.05,0.48,0,0.02
Madera South High,38.7,Madera Unified,Madera,93637,Madera County,Yes,No,No,No,3270,130.4,25,0.92,0.02,0,0.01,0.93,0,0
Los Banos High,38.7,Los Banos Unified,Los Banos,93635,Merced County,Yes,No,No,No,1411,68,20.7,0.62,0.02,0.01,0.02,0.74,0.01,0.01
ASA Charter,38.7,ASA Charter District,San Bernardino,92405,San Bernardino County,Yes,Yes,No,No,230,16,14.3,0.97,0.23,0.01,0,0.61,0,0.04
Oxnard High,38.7,Oxnard Union High,Oxnard,93036,Ventura County,Yes,No,No,No,2727,110.2,24.7,0.63,0.02,0,0.03,0.87,0,0.02
Rio Vista High,38.6,River Delta Joint Unified,Rio Vista,94571,Solano County,No,No,No,No,413,21,19.6,0.5,0.02,0.01,0.01,0.45,0,0.06
Esparto High,38.6,Esparto Unified,Esparto,95627,Yolo County,No,No,No,No,275,13.7,20,0.72,0.02,0,0.02,0.76,0,0.01
Lemoore Online College Preparatory High,38.6,Lemoore Online College Preparatory High District,Lemoore,93245,Kings County,(n/a),Yes,No,Yes,26,0.5,44,0.42,0.04,0,0.04,0.62,0,0.04
Lighthouse Community Charter High,38.6,Lighthouse Community Charter High District,Oakland,94621,Alameda County,Yes,Yes,No,No,280,15,18.6,0.79,0.11,0,0.03,0.82,0,0
Canoga Park Senior High,38.5,Los Angeles Unified,Canoga Park,91303,Los Angeles County,Yes,No,Yes,No,1439,68.8,20.9,0.89,0.04,0,0.05,0.85,0,0
Aspire Richmond Ca. College Preparatory Academy,38.5,Aspire Richmond Ca. College Preparatory Academy District,Richmond,94806,Contra Costa County,Yes,Yes,No,No,541,18.1,29.8,0.66,0.13,0.01,0.1,0.74,0,0.02
West Valley High,38.5,Hemet Unified,Hemet,92545,Riverside County,Yes,No,No,No,1797,78.7,22.8,0.88,0.1,0.01,0.04,0.63,0.01,0.03
Sweetwater Secondary,38.5,Sweetwater Secondary District,Chula Vista,91910,San Diego County,Yes,Yes,No,No,230,7,32.8,0.72,0.02,0,0.03,0.85,0,0.06
Moreno Valley High,38.4,Moreno Valley Unified,Moreno Valley,92553,Riverside County,Yes,No,No,No,2327,101.7,22.8,0.87,0.12,0,0.02,0.8,0.01,0.01
e3 Civic High,38.4,e3 Civic High District,San Diego,92101,San Diego County,Yes,Yes,No,No,376,25.3,14.8,0.73,0.09,0.01,0.05,0.74,0,0.04
Chula Vista Senior High,38.3,Sweetwater Union High,Chula Vista,91911,San Diego County,Yes,No,Yes,No,2487,105.2,23.6,0.76,0.02,0,0.03,0.9,0,0.03
Pivot Charter School - North Bay,38.3,Pivot Charter School - North Bay District,Santa Rosa,95403,Sonoma County,(n/a),Yes,No,Yes,357,42.3,8.4,0.53,0.02,0.01,0,0.36,0,0.18
Animo Watts College Preparatory Academy,38.3,Animo Watts College Preparatory Academy District,Los Angeles,90061,Los Angeles County,Yes,Yes,No,No,567,29,19.5,0.93,0.13,0,0,0.87,0,0
Mountain Empire High,38.1,Mountain Empire Unified,Pine Valley,91962,San Diego County,Yes,No,No,No,390,23.2,16.7,0.55,0.01,0.04,0.02,0.56,0,0.03
Crossroads Charter,38,Armona Union Elementary,Hanford,93230,Kings County,Yes,Yes,No,Yes,172,8.2,20.8,0.87,0.04,0.01,0.01,0.67,0,0.03
Bullard High,38,Fresno Unified,Fresno,93704,Fresno County,Yes,No,No,No,2523,111,22.7,0.59,0.1,0.01,0.07,0.53,0.01,0.02
Lower Lake High,38,Konocti Unified,Lower Lake,95457,Lake County,Yes,No,No,No,870,40.5,21.4,0.77,0.02,0.02,0.01,0.5,0,0.09
Gompers Preparatory Academy,38,Gompers Preparatory Academy District,San Diego,92102,San Diego County,Yes,Yes,No,No,1320,79.2,16.6,0.78,0.08,0,0.04,0.87,0.01,0.01
Palomares Academy of Health Science,38,Pomona Unified,Pomona,91767,Los Angeles County,Yes,No,No,No,446,28.6,15.5,0.93,0.04,0,0.02,0.89,0,0.03
San Ysidro High,37.9,Sweetwater Union High,San Diego,92154,San Diego County,Yes,No,No,No,2426,97.8,24.7,0.77,0.02,0.01,0.03,0.91,0,0.01
Sierra Vista High (Alternative),37.9,Whittier Union High,Whittier,90605,Los Angeles County,Yes,No,No,No,236,12,19.6,0.81,0,0,0.03,0.89,0,0
Travis Education Center,37.9,Travis Unified,Fairfield,94533,Solano County,No,No,No,No,66,5,13.2,0.44,0.08,0,0.08,0.33,0,0.11
Pajaro Valley High,37.9,Pajaro Valley Unified,Watsonville,95076,Santa Cruz County,Yes,No,No,No,1436,50.1,28.6,0.91,0,0,0.02,0.95,0,0
South High,37.8,Kern High,Bakersfield,93304,Kern County,Yes,No,No,No,2161,85.5,25.2,0.94,0.08,0,0.03,0.83,0,0.01
Tioga High,37.8,Big Oak Flat-Groveland Unified,Groveland,95321,Tuolumne County,Yes,No,No,No,55,3.9,13.9,0.56,0,0.02,0.04,0.16,0,0.13
Aspire Alexander Twilight Secondary Academy,37.7,Aspire Alexander Twilight Secondary Academy District,Sacramento,95821,Sacramento County,Yes,Yes,No,No,475,15.3,31,0.88,0.18,0,0.04,0.61,0,0.1
Gonzales High,37.6,Gonzales Unified,Gonzales,93926,Monterey County,Yes,No,No,No,817,36.8,22.1,0.72,0,0.01,0.01,0.97,0,0
San Andreas High (Continuation),37.6,Tamalpais Union High,Larkspur,94939,Marin County,Yes,No,No,No,69,5.8,11.8,0.35,0.07,0,0.07,0.28,0.01,0.09
Pittsburg Senior High,37.6,Pittsburg Unified,Pittsburg,94565,Contra Costa County,No,No,No,No,3573,155.6,22.9,0.65,0.19,0,0.08,0.63,0.02,0.03
Hanford West High,37.5,Hanford Joint Union High,Hanford,93230,Kings County,Yes,No,No,No,1243,51.7,24,0.66,0.05,0,0.03,0.7,0,0.03
Options for Youth-Acton,37.5,Options for Youth-Acton District,Fontana,92337,San Bernardino County,(n/a),Yes,No,No,1357,75,18,0.62,0.07,0.02,0.01,0.42,0,0.28
Foothill High,37.4,Kern High,Bakersfield,93306,Kern County,Yes,No,No,No,2104,83,25.3,0.86,0.03,0,0.01,0.9,0,0
Woodrow Wilson Senior High,37.4,Los Angeles Unified,Los Angeles,90032,Los Angeles County,Yes,No,Yes,No,1424,72.8,19.5,0.91,0.02,0,0.03,0.93,0,0
Biggs High,37.4,Biggs Unified,Biggs,95917,Butte County,No,No,No,No,223,14.2,15.6,0.65,0.03,0.01,0.02,0.39,0,0.01
Channel Islands High,37.4,Oxnard Union High,Oxnard,93033,Ventura County,Yes,No,No,No,2596,108.6,23.9,0.82,0.01,0,0.06,0.88,0,0.02
Lakeside High,37.4,Lake Elsinore Unified,Lake Elsinore,92530,Riverside County,No,No,No,No,1840,82,22.4,0.75,0.03,0,0.03,0.73,0,0.03
De Anza High,37.3,West Contra Costa Unified,Richmond,94803,Contra Costa County,Yes,No,No,No,1368,60.8,22.4,0.72,0.22,0,0.19,0.46,0.01,0.03
Latino College Preparatory Academy,37.3,Latino College Preparatory Academy District,San Jose,95127,Santa Clara County,Yes,Yes,No,No,410,17.3,23.6,0.82,0,0,0,0.97,0,0.02
Foothills High,37.3,San Marcos Unified,San Marcos,92069,San Diego County,No,No,No,No,118,,,0.44,0.03,0.05,0.04,0.44,0,0
Southwest Senior High,37.2,Sweetwater Union High,San Diego,92154,San Diego County,Yes,No,No,No,1775,83,21.3,0.76,0.02,0,0.03,0.94,0,0.01
Visions In Education,37.2,Visions In Education District,Carmichael,95608,Sacramento County,(n/a),Yes,No,No,6089,209.3,29,0.5,0.08,0.01,0.07,0.21,0.01,0.07
Lake Balboa College Preparatory Magnet K-12,37.2,Los Angeles Unified,Lake Balboa,91406,Los Angeles County,Yes,No,Yes,No,582,28,20.7,0.76,0.03,0,0.12,0.43,0,0
Elsinore High,37.1,Lake Elsinore Unified,Wildomar,92595,Riverside County,No,No,No,No,2126,89.7,23.6,0.62,0.03,0,0.04,0.57,0,0.06
Canyon Oaks High,37,Monrovia Unified,Monrovia,91016,Los Angeles County,Yes,No,No,No,105,8.7,11.9,0.67,0.05,0.02,0.01,0.82,0,0.01
Hesperia High,37,Hesperia Unified,Hesperia,92345,San Bernardino County,Yes,No,No,No,2019,90.8,22.2,0.64,0.08,0,0.02,0.76,0,0.01
Gunderson High,37,San Jose Unified,San Jose,95136,Santa Clara County,Yes,No,No,No,1093,51.4,21.2,0.57,0.06,0.01,0.14,0.61,0,0.03
Madera High,37,Madera Unified,Madera,93637,Madera County,Yes,No,No,No,2084,85.7,24.2,0.78,0.02,0,0.02,0.85,0,0.01
Cesar Chavez High,37,Stockton Unified,Stockton,95212,San Joaquin County,Yes,No,Yes,No,2242,65.9,34,0.64,0.14,0.01,0.25,0.51,0.01,0.02
Lancaster High,36.9,Antelope Valley Union High,Lancaster,93536,Los Angeles County,Yes,No,No,No,2607,110.4,23.6,0.58,0.2,0,0.05,0.53,0,0.06
Options for Youth-San Bernardino,36.9,Options for Youth-San Bernardino District,San Bernardino,92408,San Bernardino County,(n/a),Yes,No,No,795,39,20.3,0.69,0.11,0.01,0.01,0.43,0,0.33
Azusa High,36.8,Azusa Unified,Azusa,91702,Los Angeles County,Yes,No,No,No,1196,61.7,19.3,0.79,0.01,0,0.02,0.93,0,0
Arleta High,36.8,Los Angeles Unified,Arleta,91331,Los Angeles County,Yes,No,No,No,1344,60,22.4,0.87,0.01,0,0.02,0.95,0,0
Orange High,36.7,Orange Unified,Orange,92867,Orange County,Yes,No,No,No,1727,81.5,21.1,0.74,0.01,0,0.05,0.86,0,0.01
Independence High (Alternative),36.6,Alhambra Unified,Alhambra,91801,Los Angeles County,Yes,No,No,No,76,3.1,24.2,0.66,0,0,0.13,0.82,0,0.01
Lynwood High,36.6,Lynwood Unified,Lynwood,90262,Los Angeles County,Yes,No,No,No,2154,87.1,24.7,0.86,0.06,0,0,0.94,0,0
Los Angeles Senior High,36.6,Los Angeles Unified,Los Angeles,90019,Los Angeles County,Yes,No,Yes,No,1250,64.1,19.4,0.81,0.11,0,0.05,0.81,0,0
Bert Corona Charter High,36.5,Bert Corona Charter High District,Pacoima,91331,Los Angeles County,Yes,Yes,No,No,243,14,17.3,0.81,0.01,0,0,0.98,0,0
Bloomington High,36.4,Colton Joint Unified,Bloomington,92316,San Bernardino County,Yes,No,No,No,2361,108.1,21.8,0.79,0.03,0,0.02,0.91,0,0
Avalon K-12,36.4,Long Beach Unified,Avalon,90704,Los Angeles County,No,No,No,No,543,31.5,17.2,0.71,0,0,0,0.77,0,0.02
Hamilton High,36.3,Hemet Unified,Anza,92539,Riverside County,Yes,No,No,No,275,19.9,13.8,0.67,0,0.05,0.03,0.38,0,0.03
Edward C. Merlo Institute of Environmental Studies,36.3,Stockton Unified,Stockton,95206,San Joaquin County,Yes,No,No,No,174,11.2,15.4,0.88,0.04,0.02,0.03,0.89,0,0.01
Luther Burbank High,36.3,Sacramento City Unified,Sacramento,95823,Sacramento County,Yes,No,No,No,1730,83.9,20.6,0.85,0.22,0,0.28,0.41,0.03,0.02
Independence High,36.2,Liberty Union High,Brentwood,94513,Contra Costa County,No,No,No,No,250,11.8,21.1,0.21,0.09,0,0.04,0.27,0.02,0.06
Orestimba High,36.2,Newman-Crows Landing Unified,Newman,95360,Stanislaus County,Yes,No,No,No,941,45.6,20.6,0.56,0.02,0,0.02,0.76,0,0.02
William J. (Pete) Knight High,36.1,Antelope Valley Union High,Palmdale,93552,Los Angeles County,Yes,No,No,No,2853,119.6,23.8,0.77,0.14,0,0.02,0.78,0,0.02
iQ Academy California-Los Angeles,36.1,iQ Academy California-Los Angeles District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,702,27.5,25.5,0.61,0.17,0.03,0.06,0.24,0.02,0.14
Theodore Bird High,36,Sonora Union High,Sonora,95370,Tuolumne County,No,No,No,No,49,2,24.5,0.35,0,0.02,0.02,0.14,0.02,0.08
Granite Hills High,36,Apple Valley Unified,Apple Valley,92307,San Bernardino County,Yes,No,No,No,1553,66.2,23.4,0.69,0.12,0,0.03,0.52,0,0.01
Konocti Education Center,36,Konocti Unified,Clearlake,95422,Lake County,Yes,No,Yes,No,414,17.1,24,0.8,0.03,0.03,0,0.33,0,0.06
Orange Vista High,36,Val Verde Unified,Perris,92571,Riverside County,Yes,No,No,No,2257,89.6,25.1,0.8,0.12,0,0.03,0.8,0,0.02
Ganesha High,36,Pomona Unified,Pomona,91768,Los Angeles County,Yes,No,No,No,924,49.8,18.5,0.97,0.03,0,0.02,0.94,0,0.01
Desert Mirage High,35.9,Coachella Valley Unified,Thermal,92274,Riverside County,Yes,No,No,No,1997,81,24.6,0.94,0,0.01,0,0.98,0,0
Montebello High,35.9,Montebello Unified,Montebello,90640,Los Angeles County,Yes,No,No,No,2397,94.9,25.2,0.85,0,0,0.01,0.97,0,0.01
Esteban Torres East LA Performing Arts Magnet,35.9,Los Angeles Unified,Los Angeles,90063,Los Angeles County,Yes,No,Yes,No,410,20.8,19.6,0.92,0.06,0,0.01,0.92,0,0
Taft Union High,35.9,Taft Union High,Taft,93268,Kern County,Yes,No,No,No,940,50,18.7,0.64,0,0.01,0.01,0.51,0.01,0.03
Animo Pat Brown,35.8,Animo Pat Brown District,Los Angeles,90001,Los Angeles County,Yes,Yes,No,No,600,28,21.4,0.96,0.01,0,0,0.99,0,0
East Palo Alto Academy,35.8,East Palo Alto Academy District,East Palo Alto,94303,San Mateo County,Yes,Yes,No,No,364,23.7,15.3,0.88,0.07,0,0.01,0.87,0.04,0.01
Sunnyside High,35.7,Fresno Unified,Fresno,93727,Fresno County,Yes,No,No,No,2896,122.5,23.6,0.91,0.07,0.01,0.21,0.68,0,0.01
Kelseyville High,35.7,Kelseyville Unified,Kelseyville,95451,Lake County,No,No,No,No,518,28.2,18.3,0.76,0,0.02,0,0.42,0.01,0.06
Los Angeles Academy of Arts and Enterprise,35.7,Los Angeles Academy of Arts and Enterprise District,Los Angeles,90026,Los Angeles County,Yes,Yes,No,No,287,20.2,14.1,0.96,0.01,0,0,0.97,0,0.01
Lawndale High,35.7,Centinela Valley Union High,Lawndale,90260,Los Angeles County,Yes,No,No,No,2278,116.5,19.5,0.83,0.18,0,0.03,0.72,0.01,0.04
Colton High,35.6,Colton Joint Unified,Colton,92324,San Bernardino County,Yes,No,No,No,1940,95.5,20.3,0.78,0.02,0,0,0.93,0,0.01
Cesar E. Chavez Learning Acads-Technical Prep Academy,35.6,Los Angeles Unified,San Fernando,91340,Los Angeles County,Yes,No,No,No,339,17.5,19.3,0.91,0.04,0,0,0.94,0,0
Anderson Valley Junior-Senior High,35.5,Anderson Valley Unified,Boonville,95415,Mendocino County,Yes,No,No,No,226,17.1,13.1,0.83,0,0.01,0,0.76,0,0.01
Coliseum College Prep Academy,35.5,Oakland Unified,Oakland,94621,Alameda County,Yes,No,No,No,486,32.5,14.9,0.94,0.12,0,0.03,0.83,0,0.01
Maidu Virtual Charter Academy,35.4,Placer Union High,Auburn,95603,Placer County,No,Yes,No,Yes,93,5.6,16.4,0.32,0,0.02,0,0.15,0,0.03
Golden Valley High,35.3,Merced Union High,Merced,95344,Merced County,Yes,No,No,No,1752,79.1,22.1,0.81,0.05,0,0.12,0.67,0,0.03
Evergreen High,35.2,Yosemite Unified,Oakhurst,93644,Madera County,Yes,No,No,No,48,2,24,0.67,0,0.06,0,0.06,0,0.04
Potter Valley High,35.1,Potter Valley Community Unified,Potter Valley,95469,Mendocino County,Yes,No,No,No,65,5.6,11.5,0.71,0,0.08,0,0.34,0,0.03
University Preparatory Value High,35.1,University Preparatory Value High District,Los Angeles,90006,Los Angeles County,Yes,Yes,No,No,479,22.7,21.1,0.91,0.02,0,0.03,0.95,0,0
Fairfield High,34.9,Fairfield-Suisun Unified,Fairfield,94533,Solano County,No,No,No,No,1489,60.3,24.6,0.72,0.21,0.01,0.13,0.45,0.02,0.06
Oakland High,34.9,Oakland Unified,Oakland,94610,Alameda County,Yes,No,No,No,1642,88.7,18.5,0.87,0.24,0,0.33,0.36,0.01,0.03
Norwalk High,34.8,Norwalk-La Mirada Unified,Norwalk,90650,Los Angeles County,Yes,No,No,No,2011,86.8,23.1,0.83,0.03,0,0.05,0.87,0,0.01
