Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Sales
Not Specified,0.06,3.29,1.35,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,East,New York,Bethpage,11714,3/15/2015,3/17/2015,8.53,35.97
Critical,0.08,46.89,5.1,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Central,Illinois,Woodstock,60098,3/25/2015,3/27/2015,507.633,735.7
Critical,0.05,12.98,3.14,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Central,Illinois,Woodstock,60098,3/25/2015,3/25/2015,38.23,225.59
Critical,0.03,48.58,3.99,Express Air,Corporate,Office Supplies,Appliances,Small Box,East,New York,Woodmere,11598,2/24/2015,2/26/2015,100.1328,145.12
High,0.05,6.48,2.74,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,South,North Carolina,Asheboro,27203,5/9/2015,5/9/2015,15.096,94.27
High,0.09,12.53,0.5,Regular Air,Corporate,Office Supplies,Labels,Small Box,South,North Carolina,Asheboro,27203,5/9/2015,5/10/2015,14.9124,82.21
High,0.08,65.99,8.99,Express Air,Corporate,Technology,Telephones and Communication,Small Box,South,North Carolina,Asheboro,27203,5/9/2015,5/11/2015,-135.226,417.47
Not Specified,0,101.41,35,Express Air,Corporate,Office Supplies,Storage & Organization,Large Box,West,California,Thousand Oaks,91360,1/24/2015,1/25/2015,-457.73,1104.32
Not Specified,0.1,95.99,4.9,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,California,Thousand Oaks,91360,1/24/2015,1/25/2015,-268.664,149.8
High,0.1,3.6,2.2,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,West,California,Laguna Hills,92653,2/26/2015,2/27/2015,-8.28,6.97
Low,0.03,35.41,1.99,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,South,Virginia,Blacksburg,24060,4/24/2015,4/26/2015,1912.422,367.52
Low,0,142.86,19.99,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,South,Virginia,Blacksburg,24060,4/24/2015,5/3/2015,-739.326,1576.35
Low,0.1,4.13,0.99,Regular Air,Small Business,Office Supplies,Labels,Small Box,South,Virginia,Burke,22015,2/9/2015,2/13/2015,-40.53,52.16
Critical,0.03,223.98,15.01,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,South,Virginia,Burke,22015,5/12/2015,5/13/2015,0.696,4881.84
Low,0.02,284.98,69.55,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,South,Virginia,Charlottesville,22901,6/7/2015,6/12/2015,15.528,926.3
Low,0.08,55.48,14.3,Regular Air,Small Business,Office Supplies,Paper,Small Box,South,Virginia,Charlottesville,22901,6/7/2015,6/9/2015,-225.5638,942.53
Medium,0.07,13.73,6.85,Regular Air,Consumer,Furniture,Office Furnishings,Wrap Bag,East,Ohio,Fairborn,45324,3/20/2015,3/21/2015,-22.72,276.64
Low,0.09,30.98,19.51,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,East,Ohio,Fairfield,45014,5/3/2015,5/5/2015,-163.53,514.62
Low,0.03,49.34,10.25,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,East,Ohio,Fairfield,45014,5/3/2015,5/5/2015,554.77,817.32
Not Specified,0.04,6.28,5.41,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Central,Illinois,Chicago,60611,2/14/2015,2/16/2015,-38.38,284.48
Not Specified,0.08,4.98,4.7,Regular Air,Consumer,Office Supplies,Paper,Small Box,Central,Illinois,Chicago,60611,3/14/2015,3/15/2015,-56.35,225.98
Not Specified,0.04,6.28,5.41,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,Central,Texas,Conroe,77301,2/14/2015,2/16/2015,-19.9576,72.77
Not Specified,0.08,4.98,4.7,Regular Air,Consumer,Office Supplies,Paper,Small Box,Central,Texas,Conroe,77301,3/14/2015,3/15/2015,-56.35,57.7
Low,0.08,2.08,5.33,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Central,Illinois,Elgin,60123,3/3/2015,3/10/2015,-129.01,19.67
High,0,48.91,35,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Central,Indiana,Highland,46322,3/24/2015,3/25/2015,-628.38,514.79
Low,0.05,115.99,5.26,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,East,Pennsylvania,Harrisburg,17112,1/24/2015,1/28/2015,616.5357,893.53
Not Specified,0.09,95.43,19.99,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,East,Pennsylvania,Harrisburg,17112,6/1/2015,6/2/2015,-143.235,2053.6
Not Specified,0,6.84,8.37,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Central,Kansas,Newton,67114,1/23/2015,1/24/2015,-123.1816,37.89
Not Specified,0.07,30.98,5.76,Regular Air,Consumer,Office Supplies,Paper,Small Box,South,Virginia,Reston,20190,1/23/2015,1/25/2015,-28.798,343.79
Low,0.01,15.67,1.39,Express Air,Consumer,Office Supplies,Envelopes,Small Box,South,Virginia,Reston,20190,5/11/2015,5/11/2015,-273.98,188.09
Medium,0,13.43,5.5,Regular Air,Home Office,Office Supplies,Storage & Organization,Small Box,South,Arkansas,Hot Springs,71901,1/16/2015,1/17/2015,-253.778,129.54
Low,0.05,3.98,5.26,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,Pennsylvania,Levittown,19057,3/25/2015,3/29/2015,-152.5245,49.44
Low,0.01,6.48,5.4,Regular Air,Small Business,Office Supplies,Paper,Small Box,East,Pennsylvania,Levittown,19057,3/25/2015,3/25/2015,-18.85,14.29
Medium,0.05,14.81,13.32,Regular Air,Home Office,Office Supplies,Appliances,Small Box,South,Mississippi,Meridian,39301,1/17/2015,1/20/2015,-220.052,45.28
Medium,0.05,4.2,2.26,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,South,Mississippi,Meridian,39301,1/17/2015,1/19/2015,20.39337,13.57
Medium,0.05,5.68,1.39,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,East,Ohio,Shaker Heights,44118,1/17/2015,1/18/2015,38.2812,55.48
Not Specified,0.03,205.99,3,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,East,Ohio,Shaker Heights,44118,5/20/2015,5/21/2015,3670.3515,5319.35
Not Specified,0.01,14.28,2.99,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,East,Pennsylvania,Pottstown,19464,1/21/2015,1/22/2015,21.0035,30.44
Medium,0.04,95.43,19.99,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,East,Pennsylvania,Pottstown,19464,5/10/2015,5/12/2015,13.536,3251.76
Not Specified,0.07,7.59,4,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,South,Georgia,Marietta,30062,3/16/2015,3/18/2015,-167.048,22.48
Low,0.03,11.66,7.95,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,South,Georgia,Martinez,30907,4/11/2015,4/20/2015,-31.094,267.32
High,0.01,23.99,6.3,Regular Air,Corporate,Technology,Office Machines,Medium Box,South,Georgia,Newnan,30265,5/29/2015,5/31/2015,-6.202,284.39
Low,0.01,300.98,64.73,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,South,North Carolina,Garner,27529,3/8/2015,3/15/2015,-48.874,974.14
Medium,0.06,16.48,1.99,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,South,Alabama,Northport,35473,1/17/2015,1/19/2015,-144.592,128.13
High,0.04,12.44,6.27,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,South,Arkansas,Jonesboro,72401,5/16/2015,5/17/2015,-258.566,464.94
Low,0.1,49.99,19.99,Express Air,Corporate,Technology,Computer Peripherals,Small Box,West,California,San Diego,92037,1/31/2015,2/5/2015,13.508,2188.06
Medium,0.05,6.68,5.66,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,California,San Diego,92037,2/7/2015,2/9/2015,-66.48,320.93
Medium,0.03,17.7,9.47,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,West,California,San Diego,92037,2/7/2015,2/7/2015,-52.33,261.85
High,0.04,12.44,6.27,Regular Air,Corporate,Office Supplies,Storage & Organization,Medium Box,West,California,San Diego,92037,5/16/2015,5/17/2015,-59.06,1834.61
High,0.05,35.99,1.1,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,East,Ohio,Hilliard,43026,5/7/2015,5/9/2015,149.166,261.56
Not Specified,0.1,14.98,7.69,Express Air,Small Business,Office Supplies,Storage & Organization,Small Box,East,Ohio,Kent,44240,1/21/2015,1/23/2015,-76.9,114.81
High,0.04,55.48,6.79,Regular Air,Corporate,Office Supplies,Paper,Small Box,East,Ohio,Kettering,45429,2/22/2015,2/24/2015,376.8849,546.21
High,0.1,65.99,3.99,Express Air,Small Business,Technology,Telephones and Communication,Small Box,West,Idaho,Moscow,83843,4/7/2015,4/9/2015,-88.6248,272.86
Not Specified,0.02,60.98,49,Regular Air,Small Business,Office Supplies,Appliances,Large Box,East,District of Columbia,Washington,20012,4/4/2015,4/6/2015,-662.52,2119.54
Not Specified,0.02,1270.99,19.99,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,District of Columbia,Washington,20012,4/4/2015,4/6/2015,9228.2256,45737.33
High,0.02,30.98,17.08,Regular Air,Small Business,Office Supplies,Paper,Small Box,East,District of Columbia,Washington,20012,6/28/2015,6/29/2015,-32.28,438.25
Not Specified,0.02,60.98,49,Regular Air,Small Business,Office Supplies,Appliances,Large Box,East,New York,Harrison,10528,4/4/2015,4/6/2015,-596.268,561.06
Not Specified,0.02,1270.99,19.99,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,New York,Harrison,10528,4/4/2015,4/6/2015,7889.6877,11434.33
Not Specified,0.05,205.99,8.99,Express Air,Small Business,Technology,Telephones and Communication,Small Box,East,New York,Harrison,10528,4/4/2015,4/6/2015,1545.80976,3229.24
High,0.02,30.98,17.08,Regular Air,Small Business,Office Supplies,Paper,Small Box,East,New York,Hempstead,11550,6/28/2015,6/29/2015,-16.14,101.13
Not Specified,0.09,30.93,3.92,Regular Air,Corporate,Furniture,Office Furnishings,Small Pack,South,North Carolina,Garner,27529,6/3/2015,6/5/2015,-130.424,451.83
Not Specified,0.03,1.68,0.7,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,South,North Carolina,Garner,27529,6/3/2015,6/5/2015,-106.421,20.24
Medium,0.08,175.99,4.99,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,South,North Carolina,Gastonia,28052,3/28/2015,3/28/2015,-16476.838,1486.34
Low,0.04,35.44,19.99,Regular Air,Corporate,Office Supplies,Paper,Small Box,South,North Carolina,Gastonia,28052,6/14/2015,6/21/2015,-108.2725,406.26
High,0.09,349.45,60,Delivery Truck,Corporate,Furniture,Tables,Jumbo Drum,South,North Carolina,Goldsboro,27534,5/3/2015,5/4/2015,-90.748,5835.41
Medium,0,55.99,2.5,Regular Air,Consumer,Technology,Telephones and Communication,Small Pack,Central,Texas,Friendswood,77546,2/12/2015,2/14/2015,-121.05808,52.1
Not Specified,0.02,4.13,6.89,Regular Air,Home Office,Office Supplies,Labels,Small Box,South,Georgia,Atlanta,30305,1/9/2015,1/10/2015,-51.737,45.87
Low,0.04,60.65,12.23,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,South,Georgia,Atlanta,30305,2/14/2015,2/16/2015,116.5063,256.77
High,0.04,124.49,51.94,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,South,Georgia,Atlanta,30305,6/12/2015,6/14/2015,-247.55157,605.82
High,0.1,35.99,5,Regular Air,Consumer,Technology,Telephones and Communication,Wrap Bag,South,Georgia,Atlanta,30305,6/12/2015,6/12/2015,-277.20924,1569
High,0.04,124.49,51.94,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Central,Oklahoma,Enid,73703,6/12/2015,6/14/2015,-93.0645,151.46
Not Specified,0.02,4.13,6.89,Regular Air,Home Office,Office Supplies,Labels,Small Box,Central,Oklahoma,Lawton,73505,1/9/2015,1/10/2015,-48.236,10.19
Low,0.04,60.65,12.23,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,Central,Oklahoma,Lawton,73505,2/14/2015,2/16/2015,44.2911,64.19
Low,0.04,8.5,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,West,California,Torrance,90503,2/27/2015,2/28/2015,43.2752,118.57
Low,0.1,15.99,9.4,Regular Air,Consumer,Technology,Office Machines,Small Box,West,California,Torrance,90503,2/27/2015,2/27/2015,-36.21462,79.47
Low,0.09,95.99,8.99,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,West,California,Torrance,90503,2/27/2015,3/3/2015,7.03296,627.28
High,0,115.99,5.92,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Florida,Dunedin,34698,1/22/2015,1/22/2015,-16.772,1160.42
High,0.06,19.98,10.49,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,South,Florida,Dunedin,34698,3/1/2015,3/3/2015,514.1772,103.37
High,0.08,1.76,4.86,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,South,Florida,Dunedin,34698,3/1/2015,3/2/2015,235.656,40.22
Not Specified,0,5.77,4.97,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Central,Missouri,Creve Coeur,63141,5/4/2015,5/5/2015,3.5581,52.43
Critical,0.01,50.98,6.5,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,South,Georgia,Newnan,30265,3/26/2015,3/27/2015,5.3397,818.49
Medium,0.07,60.98,49,Regular Air,Home Office,Office Supplies,Appliances,Large Box,Central,Illinois,Freeport,61032,3/6/2015,3/7/2015,-807.89,410.17
Low,0.09,12.95,4.98,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Central,Indiana,South Bend,46614,6/14/2015,6/21/2015,123.89175,269.54
Not Specified,0.08,5.78,5.67,Regular Air,Consumer,Office Supplies,Paper,Small Box,Central,Indiana,Terre Haute,47802,2/4/2015,2/5/2015,-53.898,106.57
Low,0.07,5.43,0.95,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Central,Indiana,Valparaiso,46383,4/22/2015,4/26/2015,26.5029,38.41
Low,0.02,10.06,2.06,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Central,Indiana,Valparaiso,46383,1/3/2015,1/8/2015,90.6246,131.34
Not Specified,0.03,19.99,11.17,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,Central,Indiana,Valparaiso,46383,4/2/2015,4/3/2015,-20.8764,251.61
High,0.06,13.99,7.51,Regular Air,Consumer,Technology,Office Machines,Medium Box,Central,Indiana,West Lafayette,47906,5/10/2015,5/12/2015,6.48324,287.99
High,0.06,15.04,1.97,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Central,Indiana,West Lafayette,47906,5/10/2015,5/10/2015,2.332,46.86
High,0,55.48,14.3,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,California,San Carlos,94070,6/12/2015,6/14/2015,454.4478,658.62
Low,0.03,5.08,2.03,Regular Air,Home Office,Furniture,Office Furnishings,Wrap Bag,West,California,San Carlos,94070,1/7/2015,1/12/2015,15.1524,21.96
High,0.03,3.28,3.97,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,San Clemente,92672,1/6/2015,1/8/2015,-90.7556,24.57
Critical,0.04,205.99,8.99,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Georgia,Woodstock,30188,1/21/2015,1/22/2015,960.984,1008.53
Critical,0.04,880.98,44.55,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,Central,Illinois,Galesburg,61401,1/6/2015,1/7/2015,-13706.464,6968.9
Critical,0.04,3.68,1.32,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,South,Florida,Dunedin,34698,6/1/2015,6/2/2015,300.9258,41.29
Medium,0.01,8.12,2.83,Express Air,Home Office,Technology,Computer Peripherals,Small Pack,East,West Virginia,Parkersburg,26101,3/17/2015,3/18/2015,-40.76,88.64
Not Specified,0.09,77.51,4,Express Air,Home Office,Technology,Computer Peripherals,Small Box,South,Mississippi,Olive Branch,38654,5/23/2015,5/25/2015,-986.524,1300.54
Not Specified,0,2.88,0.7,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,South,Mississippi,Olive Branch,38654,5/23/2015,5/25/2015,-141.666,38.06
Medium,0.06,90.97,14,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,South,Mississippi,Pearl,39208,2/11/2015,2/12/2015,47.334,1263.35
Low,0.01,10.48,2.89,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,Central,Michigan,Canton,48187,2/5/2015,2/7/2015,60.5616,202.38
Not Specified,0.06,17.98,8.51,Regular Air,Consumer,Technology,Office Machines,Medium Box,Central,Michigan,Dearborn,48126,4/15/2015,4/17/2015,-47.243088,56.38
Not Specified,0.1,9.99,4.78,Express Air,Consumer,Office Supplies,Paper,Small Box,Central,Michigan,Dearborn,48126,4/15/2015,4/18/2015,9.154,119.13
Low,0.01,10.48,2.89,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,East,New York,New York City,10177,2/5/2015,2/7/2015,40.92,809.51
Not Specified,0.07,18.65,3.77,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,East,New York,New York City,10177,4/15/2015,4/16/2015,149.72,643.64
Not Specified,0.06,17.98,8.51,Regular Air,Consumer,Technology,Office Machines,Medium Box,East,New York,New York City,10177,4/15/2015,4/17/2015,-52.49232,244.31
Not Specified,0.1,9.99,4.78,Express Air,Consumer,Office Supplies,Paper,Small Box,East,New York,New York City,10177,4/15/2015,4/18/2015,7.96,466.58
Not Specified,0.08,175.99,8.99,Express Air,Consumer,Technology,Telephones and Communication,Small Box,East,New York,New York City,10177,4/15/2015,4/16/2015,-459.0828,2290.69
Medium,0.1,52.99,19.99,Express Air,Corporate,Office Supplies,Storage & Organization,Small Box,Central,Iowa,Bettendorf,52722,4/18/2015,4/19/2015,-517.17,337.59
Medium,0,9.27,4.39,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Central,Iowa,Bettendorf,52722,5/12/2015,5/14/2015,-7.61,10.65
Not Specified,0,5.98,0.96,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Iowa,Burlington,52601,2/19/2015,2/20/2015,38.0397,55.13
Medium,0.07,100.98,57.38,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,Central,Iowa,Burlington,52601,4/18/2015,4/21/2015,-429.86,215.32
Medium,0.03,85.99,0.99,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Central,Iowa,Burlington,52601,4/18/2015,4/20/2015,264.1665,382.85
Not Specified,0.02,5.98,5.46,Regular Air,Corporate,Office Supplies,Paper,Small Box,Central,Iowa,Cedar Falls,50613,2/19/2015,2/20/2015,-47.12,44.8
Low,0.05,7.1,6.05,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Iowa,Cedar Falls,50613,1/6/2015,1/6/2015,-101.246,100.99
Low,0.04,20.95,4,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Central,Iowa,Cedar Falls,50613,1/6/2015,1/11/2015,-1.88,142.06
Critical,0.01,10.64,5.16,Express Air,Corporate,Furniture,Office Furnishings,Small Box,Central,Iowa,Cedar Rapids,52402,3/25/2015,3/27/2015,-11.69,58.52
Low,0.05,39.06,10.55,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/13/2015,250.9806,363.74
Low,0.04,3.52,6.83,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/15/2015,-57.753,15.93
Low,0.02,15.51,17.78,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Central,Iowa,Cedar Rapids,52402,1/6/2015,1/13/2015,-47.97,21.28
High,0.01,155.99,8.99,Express Air,Corporate,Technology,Telephones and Communication,Small Box,West,California,San Francisco,94110,4/19/2015,4/20/2015,-219.07908,675.83
High,0.01,5.98,5.46,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,California,San Gabriel,91776,4/19/2015,4/21/2015,-18.8784,28
Not Specified,0.07,40.98,2.99,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,East,Massachusetts,Townsend,1469,3/30/2015,4/1/2015,369.2052,535.08
High,0.09,35.99,1.1,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Alabama,Enterprise,36330,4/1/2015,4/3/2015,19.35,222.71
High,0.01,125.99,2.5,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Alabama,Enterprise,36330,4/1/2015,4/2/2015,-967.834,220.52
Not Specified,0.06,6.48,5.14,Express Air,Home Office,Office Supplies,Paper,Small Box,West,California,Carlsbad,92008,3/19/2015,3/21/2015,-28.45,68.34
Not Specified,0.02,30.73,4,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,East,Connecticut,Seymour,6478,3/19/2015,3/22/2015,72.78,522.22
Critical,0.09,5.98,1.49,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,East,Massachusetts,Webster,1570,6/15/2015,6/17/2015,13.2294,28.01
Not Specified,0.08,8.09,7.96,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,West,New Mexico,Alamogordo,88310,5/3/2015,5/4/2015,-88.82,80.35
Medium,0.03,90.48,19.99,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,South,Florida,Palm Beach Gardens,33403,1/17/2015,1/19/2015,15.354,99.69
Medium,0.06,22.84,8.18,Regular Air,Corporate,Office Supplies,Paper,Small Box,South,Florida,Palm Beach Gardens,33403,1/17/2015,1/17/2015,-357.924,152.49
Critical,0.09,95.99,4.9,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Virginia,Chesapeake,23320,1/29/2015,1/31/2015,34.302,320.75
Not Specified,0.09,5.78,5.67,Regular Air,Home Office,Office Supplies,Paper,Small Box,East,New Jersey,Linden,7036,3/1/2015,3/3/2015,-7.96,11.35
Not Specified,0.05,535.64,14.7,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,East,Rhode Island,Barrington,2806,3/1/2015,3/3/2015,4407.44,7029.1
Low,0.09,78.8,35,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,East,Ohio,Kettering,45429,4/17/2015,4/21/2015,-1025.0172,1059.38
Not Specified,0.03,320.64,29.2,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,East,Ohio,Lima,45801,4/5/2015,4/7/2015,429.754356,2233.46
Low,0.03,180.98,26.2,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Missouri,Webster Groves,63119,4/26/2015,4/30/2015,588.54,928.92
Critical,0,300.98,164.73,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Wisconsin,Appleton,54915,2/24/2015,2/25/2015,2653.2915,3845.35
Critical,0.09,2.94,0.96,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Wisconsin,Appleton,54915,2/24/2015,2/26/2015,-1.84,3.77
High,0.01,26.17,1.39,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Central,Wisconsin,Appleton,54915,3/18/2015,3/19/2015,237.0426,343.54
Low,0.07,172.99,19.99,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,East,Ohio,Lima,45801,5/17/2015,5/17/2015,2502.6852,3627.08
Low,0.09,7.64,1.39,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,East,Ohio,Lorain,44052,5/17/2015,5/26/2015,0.688,8.34
Not Specified,0.02,29.17,6.27,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,South,Georgia,Peachtree City,30269,1/1/2015,1/2/2015,36.906,63.32
Critical,0.03,11.99,5.99,Regular Air,Home Office,Technology,Office Machines,Medium Box,South,Arkansas,Little Rock,72209,2/27/2015,2/28/2015,-216.0298,83.72
High,0.01,125.99,8.99,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,South,Arkansas,Little Rock,72209,4/16/2015,4/18/2015,-45.472,1011.44
Medium,0.08,18.7,8.99,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,South,Arkansas,North Little Rock,72113,3/27/2015,3/28/2015,16.1364,132.23
High,0.08,22.23,3.63,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,South,Arkansas,North Little Rock,72113,3/1/2015,3/3/2015,-29.61,210.33
Low,0.1,10.44,5.75,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,South,Arkansas,Paragould,72450,4/4/2015,4/11/2015,125.724,168.04
High,0,195.99,8.99,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,South,Arkansas,Pine Bluff,71603,2/24/2015,2/25/2015,114.882,882.93
High,0.02,259.71,66.67,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,South,South Carolina,Greenville,29611,2/6/2015,2/6/2015,-14.448,1757.15
Not Specified,0.1,1889.99,19.99,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,South,South Carolina,Greer,29651,1/21/2015,1/21/2015,-42.546,1786.04
Low,0.06,3.58,1.63,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,Central,Texas,Garland,75043,4/19/2015,4/23/2015,14,34.76
Low,0.04,180.98,30,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Texas,Georgetown,78626,5/30/2015,5/30/2015,52.988,561.65
Critical,0.01,42.98,4.62,Express Air,Corporate,Office Supplies,Appliances,Small Box,Central,Texas,Grand Prairie,75051,4/8/2015,4/10/2015,285.4737,413.73
Low,0.06,3.25,49,Regular Air,Home Office,Office Supplies,Appliances,Large Box,Central,Texas,Grand Prairie,75051,5/30/2015,6/5/2015,10.508,55.6
Low,0.01,110.98,13.99,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,Central,Texas,Grand Prairie,75051,5/30/2015,6/4/2015,1448.7309,2099.61
Low,0.05,3.95,2,Express Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Central,Texas,Grand Prairie,75051,5/30/2015,6/7/2015,1.004,96.6
Medium,0.1,152.48,4,Express Air,Corporate,Technology,Computer Peripherals,Small Box,Central,Kansas,Emporia,66801,3/22/2015,3/23/2015,-521.09,558.17
Medium,0.08,6.84,8.37,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,West,Utah,Draper,84020,3/22/2015,3/24/2015,-29.49,8.39
Low,0,78.65,13.99,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,West,Utah,Draper,84020,4/19/2015,4/26/2015,386.0067,559.43
Low,0.08,122.99,70.2,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,West,Utah,Draper,84020,4/19/2015,4/24/2015,-1867.97,1216.52
Medium,0.08,90.98,56.2,Regular Air,Consumer,Furniture,Office Furnishings,Medium Box,East,Pennsylvania,Mount Lebanon,15228,1/26/2015,1/28/2015,-1920.9336,1058.36
Medium,0.07,5.98,5.35,Regular Air,Consumer,Office Supplies,Paper,Small Box,East,Pennsylvania,Mount Lebanon,15228,1/26/2015,1/28/2015,-37.1752,18.31
