Monthly Hours,Department,Salary,Number_of_Projects,Tenure,Filed Complaint,Recently_Promoted,Last_Evaluation,Employee_Satisfaction,Status
133,Support,Low,5,3,0,0,0.49,0.92,Employed
267,Support,Low,5,6,0,0,0.9,0.81,Left
162,Sales,High,2,3,1,0,,0.48,Employed
138,Engineering,Medium,4,2,0,0,0.74,0.91,Employed
244,Sales,Medium,5,5,0,0,0.99,0.84,Left
154,Support,Low,2,3,0,0,0.48,0.49,Left
268,Sales,Low,4,4,0,0,0.86,0.93,Employed
215,Sales,Medium,6,5,0,0,0.35,0.49,Employed
216,Sales,Low,4,3,0,0,0.98,0.71,Employed
232,Management,Low,4,2,0,0,,0.81,Employed
184,Sales,Low,4,3,0,0,0.93,0.87,Employed
210,Sales,Low,2,5,0,0,0.43,0.96,Employed
135,Finance,Medium,2,3,0,0,0.53,0.49,Left
246,Support,Low,3,3,0,0,,0.97,Employed
251,Finance,Medium,5,2,0,0,0.99,0.99,Employed
192,Finance,Medium,3,3,0,0,0.71,0.92,Employed
189,Engineering,Medium,5,2,0,0,0.92,0.86,Employed
139,It,Low,4,3,0,0,0.71,0.85,Employed
113,Support,Low,3,2,0,0,0.69,0.41,Employed
160,Sales,High,5,3,1,0,0.72,0.8,Employed
245,Support,Medium,4,5,1,0,0.94,0.89,Left
165,,Low,6,5,0,0,0.57,0.24,Employed
185,Management,Low,4,3,0,0,0.61,0.49,Employed
282,Engineering,Medium,4,6,0,0,0.65,0.56,Employed
228,Engineering,Medium,3,3,0,0,,0.83,Employed
186,It,Medium,2,2,0,0,0.44,0.45,Employed
227,Engineering,Medium,3,2,0,0,0.78,0.64,Employed
260,It,Medium,3,3,0,0,0.55,0.56,Employed
136,Engineering,Medium,2,3,0,0,0.55,0.45,Left
178,Sales,Low,4,2,0,0,0.52,0.83,Employed
230,Management,High,5,10,0,0,0.84,0.57,Employed
260,Product,High,5,2,0,0,0.66,0.52,Employed
158,Engineering,Low,2,3,0,0,0.61,0.38,Left
161,Engineering,High,5,5,0,0,0.57,0.64,Left
267,Engineering,Low,5,5,0,0,0.95,0.78,Left
229,It,Medium,3,3,0,0,0.85,0.72,Employed
131,It,Low,2,3,0,0,,0.39,Left
274,Sales,Low,4,3,0,0,0.42,0.67,Employed
287,Engineering,Low,6,4,0,0,0.89,0.08,Left
241,Sales,High,6,6,0,0,0.63,0.21,Employed
137,Support,Low,2,3,0,0,0.56,0.44,Left
137,Sales,Medium,2,3,0,0,0.45,0.37,Left
135,Sales,Low,2,3,0,0,0.43,0.48,Left
137,Finance,Medium,2,3,0,0,0.59,0.36,Left
290,Support,Low,6,4,0,0,0.87,0.15,Left
270,Sales,Medium,4,5,0,0,0.91,0.73,Left
160,Sales,Low,2,3,0,0,0.51,0.52,Left
149,Product,Medium,2,4,0,0,0.89,0.45,Employed
137,Sales,Medium,2,5,0,0,0.61,0.65,Employed
159,Support,Low,4,5,0,0,0.77,0.41,Employed
136,Temp,Medium,2,,1,0,,,Employed
82,Temp,Low,1,,0,0,,,Employed
267,Engineering,Medium,5,3,0,0,0.75,0.46,Employed
147,Sales,High,3,7,0,0,0.51,0.65,Employed
238,Finance,Medium,4,2,0,0,0.55,0.27,Left
98,,Low,3,3,1,0,,0.77,Employed
249,Marketing,Medium,3,5,0,0,0.7,0.78,Left
233,Sales,Low,5,3,0,0,0.91,0.89,Employed
196,Support,Medium,5,3,0,0,0.71,0.68,Employed
170,It,Low,3,3,1,0,0.56,0.39,Employed
202,It,Low,5,2,0,0,0.97,0.6,Employed
219,It,Low,3,8,1,0,0.8,0.82,Employed
255,Product,Medium,3,2,0,0,0.81,1,Employed
104,Engineering,Low,3,4,0,0,0.88,0.82,Employed
131,Sales,Low,2,3,0,0,0.46,0.37,Left
271,Management,Low,2,3,0,0,0.79,0.8,Employed
217,,Low,4,3,0,0,1,0.53,Employed
267,Product,Low,4,5,0,0,0.99,0.9,Left
133,It,Medium,3,3,1,0,0.82,0.81,Employed
140,Sales,Medium,4,3,0,0,0.62,0.77,Employed
153,Sales,Medium,4,2,0,0,0.37,0.38,Employed
154,Engineering,High,3,4,0,0,0.91,0.66,Employed
229,Finance,Medium,3,5,0,0,0.55,0.19,Employed
174,Support,Medium,4,2,0,0,0.46,0.51,Employed
212,Sales,High,5,6,0,0,0.59,0.99,Employed
215,Sales,Low,3,4,1,0,0.58,0.84,Employed
135,Support,Medium,5,3,0,0,0.69,0.81,Employed
204,Marketing,Low,3,3,0,0,0.66,0.67,Employed
255,,Low,4,4,0,0,0.64,0.85,Employed
199,Management,Low,3,3,1,0,0.9,0.78,Employed
221,Support,Low,5,5,0,0,1,0.96,Left
190,Engineering,Low,3,3,0,0,,0.63,Employed
249,Engineering,Low,2,3,0,0,0.55,0.97,Employed
177,Admin,Low,4,3,0,0,0.95,0.99,Employed
223,Sales,High,3,7,0,0,0.9,0.73,Employed
132,Product,Medium,4,2,0,0,1,1,Employed
282,Support,Low,5,5,0,0,0.93,0.38,Employed
296,Engineering,Medium,7,4,0,0,0.93,0.05,Left
122,Engineering,Medium,5,5,0,0,0.44,0.6,Employed
137,Engineering,Low,5,3,0,0,0.98,0.57,Employed
121,Sales,Medium,4,2,0,0,,0.56,Employed
229,Sales,Low,4,3,0,0,0.7,0.57,Employed
133,Engineering,Low,2,3,0,0,0.59,0.42,Left
142,Finance,Low,3,3,0,0,,0.94,Employed
202,Sales,Low,2,3,0,0,,0.77,Employed
130,Information_Technology,Medium,4,3,0,0,0.47,0.51,Employed
275,Support,Medium,6,5,1,1,0.68,0.29,Employed
140,Support,Medium,2,2,0,0,0.69,0.32,Employed
181,Finance,Medium,4,3,0,0,,0.7,Employed
155,Support,Low,2,3,0,0,0.59,0.35,Left
156,Information_Technology,Low,5,2,1,0,0.57,1,Employed
129,Sales,Low,2,3,0,0,0.52,0.46,Left
166,Finance,Low,5,2,0,0,0.71,0.53,Employed
129,Engineering,Medium,2,3,0,0,0.46,0.44,Left
264,Sales,Low,4,3,0,0,0.69,0.59,Employed
241,Marketing,Medium,4,4,1,0,0.66,0.72,Employed
108,Sales,Low,4,6,0,0,0.48,0.18,Employed
140,,Low,3,5,1,0,0.69,0.63,Employed
240,Marketing,Medium,5,6,1,0,0.86,0.75,Left
255,Sales,Medium,2,5,0,0,0.56,0.24,Employed
225,Product,Low,3,4,0,0,0.9,0.77,Employed
275,Sales,Low,5,5,0,0,1,0.74,Left
268,Sales,Low,4,3,0,0,0.93,0.84,Employed
218,Engineering,Medium,4,6,0,0,0.87,0.15,Employed
237,Sales,Low,4,3,1,0,0.78,0.66,Employed
269,It,Medium,4,3,0,0,,0.61,Employed
137,Sales,Medium,3,3,0,0,,0.5,Employed
145,Sales,High,3,2,0,0,0.64,0.57,Employed
147,Sales,Low,2,3,0,0,0.5,0.49,Left
180,Sales,Medium,3,7,0,0,0.87,0.75,Employed
140,Sales,High,5,4,0,1,0.68,0.69,Employed
251,,Medium,4,6,0,0,0.82,0.86,Left
129,Sales,Low,2,3,0,0,,0.51,Left
278,Engineering,Medium,6,2,0,0,0.6,0.51,Employed
150,Sales,Low,3,2,0,0,0.66,1,Employed
193,Support,High,4,2,0,0,0.61,0.91,Employed
266,Finance,Medium,5,5,0,0,0.86,0.74,Left
160,Marketing,High,3,2,0,0,,0.57,Employed
191,Product,High,3,3,0,0,0.58,0.42,Employed
266,Management,High,4,3,0,1,0.75,0.82,Employed
275,Marketing,Low,5,6,0,0,0.85,0.89,Left
266,Management,High,5,10,0,1,0.94,0.79,Employed
147,Sales,Low,2,3,0,0,0.48,0.41,Left
157,It,Low,2,3,0,0,0.5,0.52,Left
238,Finance,Low,2,3,0,0,0.44,0.94,Employed
145,Support,Low,2,3,0,0,0.48,0.43,Left
209,Product,Medium,3,3,0,0,0.57,0.78,Employed
166,Engineering,Medium,2,3,0,0,0.85,0.85,Employed
168,It,Medium,3,3,0,0,,0.52,Employed
196,Support,Medium,4,3,0,0,1,0.73,Employed
135,Marketing,Medium,4,3,1,0,0.64,0.92,Employed
247,Engineering,Low,5,5,0,0,0.99,0.86,Left
228,Sales,Low,5,4,0,0,0.71,0.96,Employed
136,,High,3,2,0,0,0.68,0.79,Employed
261,Engineering,Medium,3,4,0,1,0.48,0.9,Employed
199,Sales,Low,5,4,0,0,0.55,0.23,Employed
257,Support,Medium,3,2,0,0,0.95,0.52,Employed
236,Sales,Low,5,2,0,0,0.78,0.43,Employed
197,Engineering,Low,5,4,0,0,1,0.71,Employed
243,,Low,3,2,1,0,0.62,0.75,Employed
159,It,High,3,2,0,0,0.89,0.76,Employed
138,Support,Low,2,3,0,0,0.54,0.52,Left
153,Sales,Medium,4,7,0,0,0.87,0.83,Employed
254,Engineering,Medium,5,2,0,0,0.9,0.55,Employed
248,Support,Low,2,3,0,0,0.73,0.69,Employed
189,It,Medium,3,3,0,0,0.76,0.7,Employed
222,Engineering,Low,5,2,0,0,0.81,0.57,Employed
156,Admin,Low,3,2,0,0,0.7,0.56,Employed
255,Finance,Low,4,6,0,0,0.72,0.11,Employed
179,Support,Low,3,3,0,0,0.58,0.7,Employed
133,,High,4,4,0,0,0.8,0.73,Employed
143,Support,Low,5,2,0,0,,0.81,Employed
258,Support,Medium,4,3,0,0,0.97,0.64,Employed
254,Management,High,4,10,0,0,0.73,0.5,Employed
204,Management,Low,3,2,0,0,0.91,1,Employed
193,Engineering,High,3,3,0,0,,0.45,Employed
216,Engineering,Low,4,6,0,0,1,0.8,Left
139,Engineering,Low,3,2,0,0,0.69,0.81,Employed
269,Support,Medium,3,8,0,0,0.9,0.58,Employed
149,Management,Low,4,3,0,0,0.78,0.82,Employed
111,It,High,6,6,0,0,0.63,0.79,Employed
235,Support,Low,3,2,0,0,0.81,0.99,Employed
179,Sales,Medium,4,2,0,0,0.9,0.65,Employed
238,Sales,Medium,4,2,0,0,0.64,0.5,Employed
173,Sales,Low,4,2,0,0,0.49,0.5,Employed
257,Support,Medium,6,4,0,0,0.91,0.07,Left
156,Sales,Medium,3,3,1,0,0.54,0.6,Employed
84,Temp,Low,1,,0,0,,,Employed
237,,Medium,3,3,0,0,0.64,0.65,Employed
249,,Low,4,5,0,0,0.87,0.8,Left
147,Sales,Low,4,3,0,0,0.94,0.55,Employed
272,Sales,Medium,7,4,0,0,0.93,0.09,Left
153,Engineering,Low,3,2,0,0,,0.95,Employed
229,Support,Low,5,6,0,0,0.92,0.75,Left
237,It,Low,5,2,0,0,0.55,0.57,Employed
243,Finance,Low,4,2,1,0,0.58,0.88,Employed
214,Support,Low,5,6,1,0,0.69,0.25,Employed
137,Support,Low,5,4,0,0,0.96,0.4,Left
159,Engineering,Low,5,3,0,0,0.91,0.93,Employed
205,It,Low,5,2,0,0,0.9,0.68,Employed
234,Sales,Medium,5,6,0,0,0.69,0.09,Employed
215,Management,High,5,7,0,0,0.55,0.96,Employed
130,Sales,Low,2,3,0,0,,0.39,Left
196,It,Low,5,3,0,0,0.51,0.84,Employed
253,Admin,Medium,6,4,0,0,0.48,0.95,Employed
272,Sales,Low,6,3,0,0,0.69,0.71,Employed
151,It,Medium,4,3,1,0,0.87,0.8,Employed
137,Information_Technology,Medium,4,4,0,1,0.49,0.55,Employed
139,Sales,Low,4,3,0,0,,0.62,Employed
251,Marketing,Medium,4,4,0,0,0.72,0.58,Employed
223,Finance,Medium,5,6,0,0,0.95,0.73,Left
196,Admin,Medium,3,2,0,1,0.53,0.98,Employed
149,It,Low,5,3,0,0,0.96,0.68,Employed
237,Support,Low,4,5,0,0,0.86,0.8,Left
245,Sales,Medium,3,3,0,0,0.52,0.75,Employed
173,,Low,5,2,0,0,0.93,0.61,Employed
231,,Medium,4,5,0,0,0.96,0.75,Left
216,Support,Low,3,3,0,0,0.58,0.73,Employed
180,Product,Medium,4,4,0,0,1,0.6,Employed
286,It,Medium,6,4,0,0,0.99,0.17,Left
184,Engineering,Low,3,3,0,0,0.7,0.88,Employed
260,Support,Medium,5,2,0,0,0.57,0.86,Employed
203,,Low,4,3,0,0,0.75,0.94,Employed
102,Sales,Medium,3,3,0,0,0.84,0.49,Employed
184,Support,Low,4,3,0,0,0.65,0.87,Employed
137,,Medium,5,3,0,0,0.46,0.95,Employed
165,Engineering,Medium,3,2,0,0,0.76,0.61,Employed
145,,Low,2,3,0,0,0.51,0.42,Left
290,,Low,6,4,0,0,0.91,0.08,Left
184,Engineering,Low,4,3,0,0,0.7,0.65,Employed
226,Management,Medium,5,5,0,0,0.91,0.89,Left
173,Support,Low,4,3,0,0,0.46,0.9,Employed
177,Engineering,Low,4,3,0,0,0.52,0.7,Employed
149,Sales,Medium,5,7,1,0,0.66,0.18,Employed
246,,Low,3,3,0,0,0.98,0.78,Employed
249,Sales,Medium,5,4,0,0,0.64,0.19,Employed
257,Engineering,Medium,6,4,0,0,0.77,0.77,Employed
254,Engineering,Medium,5,5,0,0,0.98,0.96,Left
192,Product,Low,2,3,0,0,0.9,0.74,Employed
257,Support,Medium,3,5,0,0,0.92,0.85,Employed
247,Sales,Medium,5,5,0,0,1,0.9,Left
242,It,Low,3,2,0,0,0.54,0.86,Employed
211,Sales,Medium,4,4,0,0,0.61,0.87,Employed
146,Finance,Medium,3,2,1,0,0.45,0.58,Employed
176,,Medium,4,3,0,0,0.59,0.64,Employed
245,Support,Low,6,4,0,0,0.8,0.13,Left
259,Engineering,Low,5,4,0,0,0.51,0.63,Employed
216,Information_Technology,Medium,4,4,0,0,0.74,0.86,Employed
229,,Medium,4,6,0,0,1,0.85,Left
144,Support,Low,3,2,0,0,0.69,0.66,Employed
146,Admin,Low,2,3,0,0,0.55,0.34,Employed
126,Support,Low,3,5,0,0,0.83,0.78,Employed
227,Product,Low,4,2,0,0,0.86,0.9,Employed
136,Product,Low,4,3,0,0,0.83,0.86,Employed
231,Sales,Low,4,2,0,0,0.77,0.86,Employed
186,Engineering,Medium,5,2,0,0,0.32,0.89,Employed
225,Engineering,Low,3,2,0,0,0.54,0.48,Employed
266,Support,Low,3,3,1,0,0.94,0.7,Employed
239,Management,Medium,3,2,0,0,0.8,0.73,Employed
174,Engineering,Low,6,5,0,0,0.46,0.49,Employed
135,Product,Medium,2,3,0,0,0.51,0.45,Left
150,Engineering,Medium,3,3,0,0,0.96,0.81,Employed
171,Sales,Low,4,3,0,0,0.88,0.81,Employed
128,Temp,Medium,2,,0,0,,,Employed
187,Management,Low,4,2,0,0,0.62,0.82,Employed
153,Sales,Low,2,3,0,0,0.52,0.4,Left
194,,Low,5,3,0,0,,0.87,Employed
221,Sales,Medium,5,6,0,0,1,0.9,Left
202,Engineering,Low,3,6,0,0,0.48,0.99,Employed
271,Sales,Low,5,4,0,0,0.86,0.06,Left
231,Sales,Low,4,3,0,0,,0.19,Employed
208,Support,Medium,4,3,1,0,0.98,0.86,Employed
255,Support,Medium,3,3,0,0,0.56,0.8,Employed
232,Sales,Medium,4,3,0,0,0.77,0.84,Employed
275,Support,Medium,7,4,0,0,0.87,0.12,Left
247,Sales,Medium,3,10,0,0,0.52,0.7,Employed
270,Sales,Low,3,4,1,0,0.57,0.69,Employed
191,Engineering,Medium,3,3,0,0,0.97,0.69,Employed
136,Marketing,Low,3,3,0,0,0.46,0.55,Employed
275,Engineering,Medium,4,6,0,0,0.76,0.62,Left
230,Engineering,Low,4,3,0,0,0.57,0.57,Employed
97,Support,Medium,5,3,0,0,0.98,0.38,Employed
243,,Low,3,2,1,0,0.61,0.78,Employed
157,,Medium,3,4,0,0,0.89,0.57,Employed
161,Engineering,Low,2,3,0,0,,0.51,Left
167,Engineering,Low,3,2,0,0,0.8,0.88,Employed
135,Support,Low,6,5,0,0,0.65,0.35,Left
255,Engineering,Low,4,5,1,0,1,0.82,Employed
220,Engineering,Low,3,2,0,0,0.91,0.91,Employed
146,Support,Low,4,8,1,0,0.91,0.78,Employed
159,It,Medium,5,2,0,0,0.53,0.58,Employed
288,Support,Medium,7,4,0,0,0.99,0.08,Left
225,Sales,Medium,4,4,0,0,0.71,0.29,Employed
254,Support,Low,6,4,0,0,0.74,0.12,Left
254,Marketing,Medium,5,2,0,0,0.9,0.93,Employed
260,Engineering,Low,5,2,1,0,0.74,0.54,Employed
179,Sales,Low,3,3,1,0,0.57,0.76,Employed
130,,Low,2,3,0,0,,0.38,Left
161,Sales,Low,3,3,0,0,0.65,0.69,Employed
247,Engineering,Medium,6,4,0,0,0.73,0.14,Left
241,,Medium,4,4,0,1,0.75,0.7,Employed
147,Sales,Medium,3,3,0,0,0.53,0.84,Employed
273,Sales,Low,5,4,1,0,0.78,0.13,Employed
247,Procurement,Medium,2,2,1,0,,0.74,Employed
187,Support,Low,5,3,0,0,0.98,0.76,Employed
190,Engineering,High,3,5,0,0,1,0.86,Employed
179,Sales,Medium,3,3,0,0,0.92,1,Employed
191,Management,Low,2,3,1,0,0.57,0.56,Employed
130,Engineering,Medium,2,3,1,0,,0.38,Left
201,Engineering,Medium,6,5,0,0,0.83,0.51,Employed
271,Sales,Low,4,3,0,0,0.51,0.68,Employed
293,Support,Low,6,4,0,0,0.9,0.11,Left
208,It,High,3,2,0,0,0.91,0.93,Employed
244,Sales,Medium,4,3,0,0,0.54,0.72,Employed
211,Support,Medium,2,2,0,0,0.95,0.26,Employed
177,Finance,Low,4,3,0,0,1,0.72,Employed
129,Sales,Low,2,3,0,0,0.5,0.47,Left
145,Finance,Medium,2,3,0,0,,0.45,Left
137,It,Low,4,3,0,0,,0.8,Employed
269,Support,Low,3,4,0,0,0.86,0.61,Employed
240,Sales,Low,3,3,0,0,0.92,0.48,Employed
179,Engineering,High,4,3,0,0,0.66,0.86,Employed
170,Sales,Medium,4,2,0,0,0.76,0.57,Employed
231,Information_Technology,Medium,5,3,0,0,0.89,0.45,Employed
229,Sales,Low,4,2,1,0,0.53,0.97,Employed
203,Sales,Low,3,3,0,0,0.52,0.7,Employed
275,Sales,Medium,3,3,1,0,0.96,1,Employed
246,Product,Medium,2,2,0,0,0.77,0.45,Employed
138,Procurement,Low,4,2,0,0,0.87,0.77,Employed
265,Finance,Low,4,2,0,0,0.85,0.69,Employed
245,Marketing,Medium,3,4,0,0,0.63,0.5,Employed
211,Sales,Medium,3,7,0,0,0.49,0.75,Employed
135,Support,Low,6,5,0,0,0.59,0.34,Left
245,Support,Medium,4,5,0,0,1,0.75,Left
240,Support,Low,2,3,1,0,0.57,1,Employed
265,Sales,Low,6,4,0,0,0.75,0.09,Left
141,It,Medium,3,3,0,0,0.47,0.75,Employed
140,Engineering,Low,5,5,0,0,0.46,0.51,Employed
201,Support,Medium,4,3,0,0,0.63,0.51,Employed
271,Engineering,Low,4,4,0,0,0.66,0.56,Employed
201,Sales,Medium,5,3,0,0,,0.65,Employed
254,Support,Medium,3,2,0,0,0.69,0.7,Employed
213,Sales,Low,3,5,1,1,0.36,0.73,Employed
183,Engineering,Low,3,3,0,0,0.64,0.19,Employed
275,Sales,Low,5,5,0,0,0.97,0.76,Left
225,Engineering,Low,4,5,0,0,1,0.86,Left
142,Sales,Medium,5,6,0,0,0.88,0.29,Employed
55,Temp,Medium,1,,0,0,,,Employed
239,Engineering,Low,4,3,0,0,0.67,0.71,Employed
189,Sales,Low,4,2,0,0,0.84,0.79,Employed
157,Engineering,Medium,2,3,0,0,0.48,0.35,Left
197,Engineering,Low,4,2,0,0,0.73,0.15,Employed
140,Finance,High,6,2,0,0,0.76,0.87,Employed
271,Engineering,Medium,6,4,0,0,0.82,0.14,Left
193,Product,Medium,5,3,0,0,0.87,0.5,Employed
154,Sales,Medium,3,2,0,0,0.62,0.57,Employed
54,Temp,High,1,,0,0,,,Employed
183,Finance,Low,5,3,0,0,0.47,0.5,Employed
173,Sales,Medium,4,2,0,0,,0.54,Employed
240,,Medium,4,3,0,0,0.78,0.91,Employed
242,Support,Medium,3,5,1,0,0.66,0.81,Employed
215,It,Medium,4,4,0,0,0.51,0.45,Employed
186,Finance,Medium,3,2,0,0,0.72,0.46,Employed
173,Finance,Medium,4,5,0,0,0.55,0.22,Employed
160,Sales,Low,2,3,0,0,0.57,0.36,Left
255,Sales,Medium,4,3,0,0,0.75,0.54,Employed
158,Engineering,Low,2,3,0,0,,0.49,Left
134,Support,Low,2,3,0,0,0.54,0.37,Left
273,Admin,Medium,4,5,0,0,0.86,0.83,Left
191,Product,Medium,4,3,0,0,0.71,0.63,Employed
226,Sales,Medium,5,5,0,0,0.89,0.76,Left
199,Management,Low,3,2,0,0,0.48,0.2,Employed
265,Engineering,Low,4,3,0,0,,0.64,Employed
167,Marketing,Medium,5,3,0,0,0.78,0.71,Employed
159,Sales,Low,4,4,0,0,0.49,0.51,Employed
139,Sales,Low,3,10,1,0,0.5,0.67,Employed
163,Engineering,High,3,3,1,0,0.89,0.62,Employed
248,It,Medium,3,3,0,0,0.93,0.76,Employed
246,Support,Medium,5,3,0,0,0.98,0.83,Employed
222,Finance,Medium,5,2,0,0,0.73,0.99,Employed
183,Support,Low,3,5,0,0,0.89,0.71,Left
300,Sales,Medium,7,4,0,0,0.84,0.11,Left
247,Sales,Medium,2,4,0,0,0.58,0.06,Left
309,Engineering,Medium,6,4,0,0,0.92,0.07,Left
229,Product,Medium,4,4,0,0,0.77,0.2,Employed
191,Sales,Medium,4,3,0,0,0.56,0.77,Employed
248,Engineering,Low,4,3,0,0,0.82,0.89,Employed
133,Sales,Low,4,3,0,0,0.56,0.98,Employed
229,,Medium,3,2,1,0,,0.92,Employed
143,Support,Medium,4,2,0,0,0.48,0.93,Employed
221,Support,Low,4,3,1,0,,0.68,Employed
153,Sales,Low,2,3,0,0,0.46,0.45,Left
151,Sales,Low,2,3,0,0,0.58,0.39,Left
129,Sales,Low,2,3,0,0,0.54,0.43,Left
153,Product,Medium,4,2,0,0,0.74,0.66,Employed
187,It,Medium,2,2,0,0,0.74,0.91,Employed
267,Support,Low,6,4,1,0,0.92,0.11,Left
286,Product,Low,6,4,0,0,0.83,0.08,Left
238,It,Low,4,3,0,0,0.7,0.98,Employed
142,Engineering,Low,4,2,0,0,0.68,0.64,Employed
293,Sales,Low,6,5,0,0,0.82,0.07,Left
136,,High,3,2,0,0,0.69,0.79,Employed
131,Sales,Low,2,3,0,0,0.44,0.41,Left
143,Sales,Medium,3,4,0,0,0.72,0.48,Employed
159,Engineering,Low,4,3,0,0,0.87,0.91,Employed
271,Procurement,Medium,5,2,0,1,0.94,0.88,Employed
240,Marketing,Medium,5,6,1,0,0.85,0.77,Left
286,Engineering,Medium,6,4,0,0,0.96,0.09,Left
270,Marketing,Low,3,2,1,0,0.77,0.81,Employed
181,It,Low,3,2,0,0,0.37,0.44,Employed
260,Support,Low,2,2,0,0,,0.85,Employed
266,It,Low,5,7,0,0,0.63,0.17,Employed
148,Support,Low,2,3,0,0,0.57,0.37,Left
224,Sales,Low,2,2,0,0,0.99,0.95,Employed
206,Support,Medium,5,2,0,0,0.64,0.71,Employed
139,Procurement,Low,4,2,0,0,0.43,0.79,Employed
242,Sales,Low,5,2,0,0,0.45,0.55,Employed
153,Sales,Low,3,2,0,0,,0.95,Employed
159,Engineering,High,2,3,0,0,0.6,0.44,Left
262,Sales,Low,5,5,0,0,0.88,0.82,Left
188,Engineering,Low,4,2,0,0,,0.63,Employed
249,Support,Medium,4,3,0,0,0.51,0.55,Employed
153,Product,Medium,2,3,0,0,,0.45,Left
139,Marketing,High,3,3,0,0,0.67,0.78,Employed
132,Admin,Low,2,3,0,0,0.56,0.46,Left
243,It,High,4,3,0,0,,0.84,Employed
216,Sales,Low,3,3,1,0,0.58,0.72,Employed
185,Procurement,High,4,3,0,0,0.81,0.56,Employed
190,Sales,Medium,3,10,0,0,0.63,0.66,Employed
135,Engineering,Low,4,3,0,0,0.82,0.67,Employed
153,Engineering,Low,3,5,0,0,0.64,0.78,Left
273,,Low,4,2,0,0,0.87,1,Employed
167,Engineering,High,3,2,0,0,,0.7,Employed
253,Management,High,4,10,0,1,0.51,0.66,Employed
151,Engineering,Low,3,2,0,0,0.93,0.9,Employed
195,It,Medium,3,2,0,0,0.65,0.76,Employed
228,Sales,Low,4,5,0,0,0.87,0.89,Left
240,It,Medium,5,5,0,0,0.9,0.93,Left
257,Sales,Low,4,2,0,0,0.9,0.89,Employed
180,Support,Low,3,3,0,0,0.61,0.28,Employed
194,Finance,Medium,4,3,0,0,0.8,0.82,Employed
200,It,Low,5,2,1,0,0.51,0.76,Employed
160,Engineering,Low,2,3,0,0,,0.49,Left
257,Sales,Medium,4,10,1,0,0.75,0.66,Employed
249,Sales,Medium,3,2,0,0,0.65,0.61,Employed
246,Finance,Low,4,2,0,0,0.59,0.64,Employed
150,Sales,Low,3,2,0,0,0.68,0.93,Employed
272,Sales,Low,5,3,0,0,0.5,0.89,Employed
186,Admin,Medium,3,2,1,0,,0.79,Employed
170,Product,Low,4,3,0,0,0.66,0.89,Employed
149,Sales,Medium,3,4,1,0,0.51,0.72,Employed
220,Management,Medium,4,3,0,1,0.67,0.46,Employed
244,Sales,Low,4,3,0,0,,0.57,Employed
173,Support,Low,4,3,0,0,,0.81,Employed
235,Support,Medium,5,3,0,0,0.97,0.88,Employed
173,Engineering,Low,4,2,0,0,0.48,0.86,Employed
169,Product,Low,3,2,1,0,0.56,0.98,Employed
146,Sales,Low,5,2,0,0,1,0.73,Employed
307,Engineering,Low,3,5,0,0,0.86,0.83,Left
172,Management,High,3,10,0,1,0.77,0.52,Employed
151,Sales,Low,3,2,0,0,0.6,0.98,Employed
302,Sales,Low,7,4,0,0,0.83,0.15,Left
269,Sales,Medium,2,2,1,0,0.54,0.51,Employed
97,Temp,Low,2,,1,0,,,Employed
199,Finance,High,3,3,1,0,0.95,0.65,Employed
169,Information_Technology,Medium,5,5,0,0,0.54,0.27,Employed
226,Management,Medium,5,5,0,0,0.9,0.87,Left
259,Product,Medium,5,5,0,0,0.53,0.11,Employed
189,Finance,Low,3,3,0,0,0.84,0.74,Employed
234,Engineering,Medium,3,3,1,0,,0.59,Employed
197,,Low,3,2,0,0,0.78,1,Employed
289,Support,Medium,6,5,0,0,1,0.13,Left
141,Sales,Medium,5,2,1,0,,0.94,Employed
255,Engineering,High,3,5,0,0,0.52,0.87,Left
226,,Low,3,2,0,0,0.87,0.76,Employed
164,,Low,4,2,0,0,0.71,0.54,Employed
162,Sales,Low,4,3,0,0,0.84,0.28,Employed
228,Sales,Medium,4,3,0,0,,0.65,Employed
269,Sales,Low,6,4,0,0,0.82,0.06,Left
214,It,Low,3,3,0,0,0.85,0.73,Employed
257,Sales,Low,3,4,1,0,0.95,0.2,Employed
148,Engineering,Medium,4,3,0,0,0.93,0.97,Employed
248,Sales,Low,5,5,0,0,0.86,0.83,Left
291,Marketing,Low,6,4,0,0,0.76,0.16,Left
133,Support,Low,2,3,0,0,0.55,0.39,Left
267,Support,Low,5,2,1,0,0.77,0.7,Employed
239,Management,Medium,3,2,0,0,0.94,0.76,Employed
187,Sales,Medium,5,2,0,0,0.67,0.67,Employed
245,It,Low,5,5,0,0,0.97,0.92,Left
266,Engineering,Medium,3,2,0,0,0.53,0.56,Employed
217,Support,Medium,3,3,0,0,0.5,0.78,Employed
232,Management,High,6,5,0,0,0.9,0.84,Employed
225,Support,Medium,3,2,0,0,,1,Employed
152,Support,Low,6,2,0,0,0.77,0.13,Left
286,,Low,6,4,0,0,0.82,0.07,Left
135,Finance,Low,2,3,0,0,0.46,0.37,Left
181,Marketing,Low,4,4,0,0,0.79,0.75,Employed
125,,Low,4,3,0,0,0.99,0.48,Employed
269,Finance,Medium,6,4,0,0,0.83,0.12,Left
129,Marketing,Medium,2,5,0,0,0.86,0.9,Employed
156,Sales,Medium,4,2,0,0,0.81,0.98,Employed
209,Sales,High,3,3,0,0,0.97,0.61,Employed
268,Support,Medium,5,3,1,0,0.92,0.44,Employed
245,Product,Medium,4,3,0,0,,0.54,Employed
