Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
135,Shawsheen Valley Vocational Technical High School,https://www.schooldigger.com/go/MA/schools/1061501701/school.aspx,Shawsheen Valley Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/10615/search.aspx,100 Cook Street,Billerica,https://www.schooldigger.com/go/MA/city/Billerica/search.aspx,1821,Middlesex County,(978) 667-2111,9,12,Yes,No,No,No,1317,129.6,10.1,,1.1%,0.2%,0.9%,6.5%,0.1%,1.7%,89.3%,64.4
136,Nipmuc Regional High,https://www.schooldigger.com/go/MA/schools/0768001202/school.aspx,Mendon-Upton,https://www.schooldigger.com/go/MA/district/07680/search.aspx,90 Pleasant Street,Upton,https://www.schooldigger.com/go/MA/city/Upton/search.aspx,1568,Worcester County,(508) 529-2130,9,12,No,No,No,No,635,45.7,13.8,,0.9%,0.0%,2.0%,5.0%,0.0%,2.4%,89.4%,63.9
137,West Bridgewater Junior/Senior,https://www.schooldigger.com/go/MA/schools/1242002039/school.aspx,West Bridgewater,https://www.schooldigger.com/go/MA/district/12420/search.aspx,155 West Center,West Bridgewater,https://www.schooldigger.com/go/MA/city/West+Bridgewater/search.aspx,2379,Plymouth County,(508) 894-1220,7,12,No,No,No,No,622,46.7,13.3,,7.1%,0.3%,0.6%,6.3%,0.2%,4.2%,81.4%,63.9
138,Plymouth South High,https://www.schooldigger.com/go/MA/schools/0972000325/school.aspx,Plymouth,https://www.schooldigger.com/go/MA/district/09720/search.aspx,490 Long Pond Road,Plymouth,https://www.schooldigger.com/go/MA/city/Plymouth/search.aspx,2360,Plymouth County,(508) 224-7512,9,12,No,No,No,No,1049,104.4,10,,1.0%,0.4%,0.4%,4.0%,0.0%,4.0%,90.1%,63.6
139,North Attleboro High,https://www.schooldigger.com/go/MA/schools/0873001405/school.aspx,North Attleborough,https://www.schooldigger.com/go/MA/district/08730/search.aspx,1 Wilson Whitty Way,Plainville,https://www.schooldigger.com/go/MA/city/Plainville/search.aspx,2760,Bristol County,(508) 643-2115,9,12,No,No,No,No,1136,76,14.9,,4.8%,0.1%,7.7%,5.2%,0.3%,3.1%,78.3%,63.2
140,Hudson High,https://www.schooldigger.com/go/MA/schools/0639000926/school.aspx,Hudson,https://www.schooldigger.com/go/MA/district/06390/search.aspx,69 Brigham Street,Hudson,https://www.schooldigger.com/go/MA/city/Hudson/search.aspx,1749,Middlesex County,(978) 567-6250,8,12,No,No,No,No,836,78.9,10.5,,2.6%,0.1%,1.6%,12.8%,0.0%,2.8%,79.8%,63.1
141,East Longmeadow High,https://www.schooldigger.com/go/MA/schools/0450000603/school.aspx,East Longmeadow,https://www.schooldigger.com/go/MA/district/04500/search.aspx,180 Maple Street,East Longmeadow,https://www.schooldigger.com/go/MA/city/East+Longmeadow/search.aspx,1028,Hampden County,(413) 525-5460,9,12,No,No,No,No,816,63.7,12.7,,3.8%,0.0%,6.0%,8.5%,0.0%,2.5%,79.3%,62.8
142,Community Charter School of Cambridge,https://www.schooldigger.com/go/MA/schools/0008601996/school.aspx,Community Charter School of Cambridge (District),https://www.schooldigger.com/go/MA/district/00086/search.aspx,245 Bent Street,Cambridge,https://www.schooldigger.com/go/MA/city/Cambridge/search.aspx,2141,Middlesex County,(617) 354-0047,6,12,Yes,Yes,No,No,288,31.9,9,,70.8%,0.3%,4.2%,15.6%,0.0%,3.8%,5.2%,62.8
143,Cambridge Rindge and Latin,https://www.schooldigger.com/go/MA/schools/0327000436/school.aspx,Cambridge,https://www.schooldigger.com/go/MA/district/03270/search.aspx,459 Broadway Ave,Cambridge,https://www.schooldigger.com/go/MA/city/Cambridge/search.aspx,2138,Middlesex County,(617) 349-6630,9,12,No,No,No,No,1867,217.5,8.5,,27.3%,0.2%,10.3%,15.1%,0.3%,9.4%,36.9%,62.2
144,Innovation Academy Charter School,https://www.schooldigger.com/go/MA/schools/0002500524/school.aspx,Innovation Academy Charter (District),https://www.schooldigger.com/go/MA/district/00025/search.aspx,72 Tyng Road,Tyngsboro,https://www.schooldigger.com/go/MA/city/Tyngsboro/search.aspx,1879,Middlesex County,(978) 649-0432,5,12,Yes,Yes,No,No,776,67.2,11.5,,7.7%,0.4%,8.9%,10.7%,0.0%,6.1%,65.7%,62
145,Mt Everett Regional,https://www.schooldigger.com/go/MA/schools/1104001774/school.aspx,Southern Berkshire,https://www.schooldigger.com/go/MA/district/11040/search.aspx,491 Berkshire School Road,Sheffield,https://www.schooldigger.com/go/MA/city/Sheffield/search.aspx,1257,Berkshire County,(413) 229-8734,6,12,No,No,No,No,304,42.7,7.1,,1.6%,0.3%,0.3%,9.2%,0.0%,5.3%,82.9%,60.7
146,Stoneham High,https://www.schooldigger.com/go/MA/schools/1122002295/school.aspx,Stoneham,https://www.schooldigger.com/go/MA/district/11220/search.aspx,149 Franklin Street,Stoneham,https://www.schooldigger.com/go/MA/city/Stoneham/search.aspx,2180,Middlesex County,(781) 279-3810,9,12,No,No,No,No,579,56.2,10.2,,2.6%,0.5%,5.7%,10.4%,0.0%,4.0%,76.9%,60.4
147,Hampden Charter School of Science East,https://www.schooldigger.com/go/MA/schools/0052202680/school.aspx,Hampden Charter School of Science East (District),https://www.schooldigger.com/go/MA/district/00522/search.aspx,20 Johnson Rd,Chicopee,https://www.schooldigger.com/go/MA/city/Chicopee/search.aspx,1022,Hampden County,(413) 593-9090,6,12,Yes,Yes,No,No,554,42.8,12.9,,28.7%,1.3%,2.9%,39.2%,0.0%,2.9%,24.9%,59.3
148,Tewksbury Memorial High,https://www.schooldigger.com/go/MA/schools/1158001926/school.aspx,Tewksbury,https://www.schooldigger.com/go/MA/district/11580/search.aspx,320 Pleasant Street,Tewksbury,https://www.schooldigger.com/go/MA/city/Tewksbury/search.aspx,1876,Middlesex County,(978) 640-7825,9,12,No,No,No,No,802,66.5,12,,4.0%,0.1%,5.4%,6.6%,0.0%,1.5%,82.0%,59.3
149,Westport Junior/Senior High School,https://www.schooldigger.com/go/MA/schools/1278002861/school.aspx,Westport,https://www.schooldigger.com/go/MA/district/12780/search.aspx,19 Main Road,Westport,https://www.schooldigger.com/go/MA/city/Westport/search.aspx,2790,Bristol County,(508) 636-1050,5,12,Yes,No,No,No,828,71.1,11.6,,0.6%,0.1%,1.1%,4.1%,0.0%,3.6%,90.2%,59.2
150,Worcester Technical High,https://www.schooldigger.com/go/MA/schools/1323002305/school.aspx,Worcester,https://www.schooldigger.com/go/MA/district/13230/search.aspx,1 Skyline Drive,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1605,Worcester County,(508) 799-1940,9,12,Yes,No,No,No,1476,127.4,11.5,,18.6%,0.2%,7.7%,38.3%,0.1%,3.6%,31.4%,59.2
151,Fairhaven High,https://www.schooldigger.com/go/MA/schools/0480000642/school.aspx,Fairhaven,https://www.schooldigger.com/go/MA/district/04800/search.aspx,12 Huttleston Avenue,Fairhaven,https://www.schooldigger.com/go/MA/city/Fairhaven/search.aspx,2719,Bristol County,(508) 979-4052,9,12,No,No,No,No,631,50.9,12.3,,2.1%,0.5%,2.4%,5.1%,0.0%,3.2%,86.8%,58.9
152,Danvers High,https://www.schooldigger.com/go/MA/schools/0399000529/school.aspx,Danvers,https://www.schooldigger.com/go/MA/district/03990/search.aspx,60 Cabot Road,Danvers,https://www.schooldigger.com/go/MA/city/Danvers/search.aspx,1923,Essex County,(978) 777-8925,9,12,No,No,No,No,807,75.9,10.6,,2.9%,0.0%,2.5%,9.2%,0.0%,3.3%,81.7%,58.3
153,Attleboro High,https://www.schooldigger.com/go/MA/schools/0219000084/school.aspx,Attleboro,https://www.schooldigger.com/go/MA/district/02190/search.aspx,100 Rathbun Willard Drive,Attleboro,https://www.schooldigger.com/go/MA/city/Attleboro/search.aspx,2703,Bristol County,(508) 222-5150,9,12,No,No,No,No,1769,115.5,15.3,,7.5%,0.3%,4.8%,16.4%,0.1%,4.9%,65.9%,58.2
154,Smith Academy,https://www.schooldigger.com/go/MA/schools/0594000845/school.aspx,Hatfield,https://www.schooldigger.com/go/MA/district/05940/search.aspx,34 School Street,Hatfield,https://www.schooldigger.com/go/MA/city/Hatfield/search.aspx,1038,Hampshire County,(413) 247-5641,7,12,No,No,No,No,175,20.1,8.7,,0.6%,0.0%,1.7%,4.6%,0.0%,2.3%,89.7%,58.1
155,Somerset Berkley Regional High School,https://www.schooldigger.com/go/MA/schools/0054102728/school.aspx,Somerset Berkley Regional School District,https://www.schooldigger.com/go/MA/district/00541/search.aspx,625 County Street,Somerset,https://www.schooldigger.com/go/MA/city/Somerset/search.aspx,2726,Bristol County,(508) 324-3115,9,12,Yes,No,No,No,996,76.4,13,,1.3%,0.2%,1.0%,5.2%,0.1%,1.3%,90.8%,58
156,Oakmont Regional High School,https://www.schooldigger.com/go/MA/schools/0204000069/school.aspx,Ashburnham-Westminster,https://www.schooldigger.com/go/MA/district/02040/search.aspx,9 Oakmont Drive,Ashburnham,https://www.schooldigger.com/go/MA/city/Ashburnham/search.aspx,1430,Worcester County,(978) 827-5907,9,12,No,No,No,No,625,47.8,13,,1.0%,0.2%,1.1%,5.6%,0.0%,1.6%,89.3%,57.8
157,Quaboag Regional High,https://www.schooldigger.com/go/MA/schools/1210001994/school.aspx,Quaboag Regional,https://www.schooldigger.com/go/MA/district/12100/search.aspx,284 Old West Brookfield Road,Warren,https://www.schooldigger.com/go/MA/city/Warren/search.aspx,1083,Worcester County,(413) 436-5991,9,12,Yes,No,No,No,341,33.6,10.1,,0.9%,0.0%,0.3%,8.5%,0.0%,4.7%,84.8%,57.7
158,Woburn High,https://www.schooldigger.com/go/MA/schools/1320002193/school.aspx,Woburn,https://www.schooldigger.com/go/MA/district/13200/search.aspx,88 Montvale Avenue,Woburn,https://www.schooldigger.com/go/MA/city/Woburn/search.aspx,1801,Middlesex County,(781) 937-8210,9,12,No,No,No,No,1225,108.7,11.2,,6.5%,0.3%,6.4%,13.6%,0.2%,2.4%,70.4%,57.7
159,Norwood High,https://www.schooldigger.com/go/MA/schools/0906001466/school.aspx,Norwood,https://www.schooldigger.com/go/MA/district/09060/search.aspx,245 Nichols Street,Norwood,https://www.schooldigger.com/go/MA/city/Norwood/search.aspx,2062,Norfolk County,(781) 769-2333,9,12,No,No,No,No,987,81.6,12,,13.1%,0.1%,5.5%,16.6%,0.3%,2.3%,61.7%,57.7
160,Norfolk County Agricultural,https://www.schooldigger.com/go/MA/schools/0865001386/school.aspx,Norfolk County Agricultural,https://www.schooldigger.com/go/MA/district/08650/search.aspx,400 Main Street,Walpole,https://www.schooldigger.com/go/MA/city/Walpole/search.aspx,2081,Norfolk County,(508) 668-0268,9,12,Yes,No,No,No,588,57,10.3,,1.9%,0.9%,0.9%,0.9%,0.3%,4.3%,90.5%,57.4
161,Bridgewater-Raynham Regional,https://www.schooldigger.com/go/MA/schools/0303000380/school.aspx,Bridgewater-Raynham,https://www.schooldigger.com/go/MA/district/03030/search.aspx,415 Center Street,Bridgewater,https://www.schooldigger.com/go/MA/city/Bridgewater/search.aspx,2324,Plymouth County,(508) 697-6902,9,12,No,No,No,No,1368,86.7,15.7,,8.5%,0.1%,2.0%,2.6%,0.2%,5.6%,81.0%,56.9
162,Hampshire Regional High,https://www.schooldigger.com/go/MA/schools/0574000825/school.aspx,Hampshire,https://www.schooldigger.com/go/MA/district/05740/search.aspx,19 Stage Rd,Westhampton,https://www.schooldigger.com/go/MA/city/Westhampton/search.aspx,1027,Hampshire County,(413) 527-7680,7,12,Yes,No,No,No,685,75.2,9.1,,0.3%,0.3%,1.2%,4.2%,0.0%,3.2%,90.5%,56.8
163,Silver Lake Regional High,https://www.schooldigger.com/go/MA/schools/1083001722/school.aspx,Silver Lake,https://www.schooldigger.com/go/MA/district/10830/search.aspx,260 Pembroke Street,Kingston,https://www.schooldigger.com/go/MA/city/Kingston/search.aspx,2364,Plymouth County,(781) 585-3844,9,12,Yes,No,No,No,1182,92.4,12.7,,1.5%,0.3%,0.9%,2.8%,0.0%,1.1%,93.2%,56.5
164,Narragansett Regional High,https://www.schooldigger.com/go/MA/schools/0828001285/school.aspx,Narragansett,https://www.schooldigger.com/go/MA/district/08280/search.aspx,464 Baldwinville Rd,Baldwinville,https://www.schooldigger.com/go/MA/city/Baldwinville/search.aspx,1436,Worcester County,(978) 939-5388,8,12,No,No,No,No,421,35.2,11.9,,0.5%,0.2%,0.7%,9.3%,0.2%,4.0%,84.8%,56.5
165,Abby Kelley Foster Charter Public School,https://www.schooldigger.com/go/MA/schools/0005101247/school.aspx,Abby Kelley Foster Charter Public (District),https://www.schooldigger.com/go/MA/district/00051/search.aspx,10 New Bond Street,Worcester,https://www.schooldigger.com/go/MA/city/Worcester/search.aspx,1606,Worcester County,(508) 854-8400,KG,12,Yes,Yes,No,No,1426,119.6,11.9,,54.6%,0.5%,3.0%,20.5%,0.1%,5.3%,16.0%,56.4
166,Uxbridge High,https://www.schooldigger.com/go/MA/schools/1185001938/school.aspx,Uxbridge,https://www.schooldigger.com/go/MA/district/11850/search.aspx,300 Quaker Highway,Uxbridge,https://www.schooldigger.com/go/MA/city/Uxbridge/search.aspx,1569,Worcester County,(508) 278-8633,8,12,No,No,No,No,553,53,10.4,,1.1%,0.9%,2.2%,6.0%,0.0%,2.5%,87.3%,55.9
167,Abington High,https://www.schooldigger.com/go/MA/schools/0165000001/school.aspx,Abington,https://www.schooldigger.com/go/MA/district/01650/search.aspx,201 Gliniewicz Way,Abington,https://www.schooldigger.com/go/MA/city/Abington/search.aspx,2351,Plymouth County,(781) 982-2160,9,12,No,No,No,No,586,40.6,14.4,,4.9%,0.0%,2.9%,11.8%,0.0%,1.2%,78.8%,55.7
168,Nantucket High,https://www.schooldigger.com/go/MA/schools/0825001282/school.aspx,Nantucket,https://www.schooldigger.com/go/MA/district/08250/search.aspx,10 Surfside Road,Nantucket,https://www.schooldigger.com/go/MA/city/Nantucket/search.aspx,2554,Nantucket County,(508) 228-7280,9,12,No,No,No,No,554,48.2,11.4,,10.3%,0.4%,1.6%,35.4%,0.0%,4.2%,48.2%,54.8
169,Northbridge High,https://www.schooldigger.com/go/MA/schools/0894001445/school.aspx,Northbridge,https://www.schooldigger.com/go/MA/district/08940/search.aspx,427 Linwood Avenue,Whitinsville,https://www.schooldigger.com/go/MA/city/Whitinsville/search.aspx,1588,Worcester County,(508) 234-6221,9,12,No,No,No,No,513,47.7,10.7,,1.9%,0.0%,1.4%,9.7%,0.0%,4.9%,82.1%,54
170,Plymouth North High,https://www.schooldigger.com/go/MA/schools/0972000320/school.aspx,Plymouth,https://www.schooldigger.com/go/MA/district/09720/search.aspx,41 Obery Street,Plymouth,https://www.schooldigger.com/go/MA/city/Plymouth/search.aspx,2360,Plymouth County,(508) 830-4400,9,12,No,No,No,No,1310,104.5,12.5,,3.1%,0.1%,1.7%,7.5%,0.1%,4.2%,83.2%,53.9
171,Shepherd Hill Regional High,https://www.schooldigger.com/go/MA/schools/0436000591/school.aspx,Dudley-Charlton Regional,https://www.schooldigger.com/go/MA/district/04360/search.aspx,68 Dudley Oxford Road,Dudley,https://www.schooldigger.com/go/MA/city/Dudley/search.aspx,1571,Worcester County,(508) 943-6700,9,12,No,No,No,No,930,73.1,12.7,,1.8%,0.0%,1.6%,9.5%,0.1%,1.8%,85.1%,53.4
172,Diman Regional Vocational Technical High,https://www.schooldigger.com/go/MA/schools/0548502269/school.aspx,Greater Fall River Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/05485/search.aspx,251 Stonehaven Rd,Fall River,https://www.schooldigger.com/go/MA/city/Fall+River/search.aspx,2723,Bristol County,(508) 678-2891,9,12,Yes,No,No,No,1421,128.7,11,,3.2%,0.7%,2.0%,14.4%,0.0%,5.9%,73.4%,53.3
173,Dennis-Yarmouth Regional High,https://www.schooldigger.com/go/MA/schools/0414000558/school.aspx,Dennis-Yarmouth,https://www.schooldigger.com/go/MA/district/04140/search.aspx,210 Station Avenue,South Yarmouth,https://www.schooldigger.com/go/MA/city/South+Yarmouth/search.aspx,2664,Barnstable County,(508) 398-7636,8,12,No,No,No,No,900,81.3,11,,12.3%,2.2%,2.2%,14.3%,0.0%,4.8%,63.8%,53.1
174,Beverly High,https://www.schooldigger.com/go/MA/schools/0264000164/school.aspx,Beverly,https://www.schooldigger.com/go/MA/district/02640/search.aspx,100 Sohier Rd,Beverly,https://www.schooldigger.com/go/MA/city/Beverly/search.aspx,1915,Essex County,(978) 921-6132,9,12,No,No,No,No,1299,94,13.8,,3.5%,0.1%,2.9%,16.3%,0.1%,3.1%,73.8%,53
175,East Bridgewater Junior/Senior High School,https://www.schooldigger.com/go/MA/schools/0444000597/school.aspx,East Bridgewater,https://www.schooldigger.com/go/MA/district/04440/search.aspx,143 Plymouth Street,East Bridgewater,https://www.schooldigger.com/go/MA/city/East+Bridgewater/search.aspx,2333,Plymouth County,(508) 378-8214,7,12,No,No,No,No,931,72.2,12.8,,4.8%,0.5%,0.6%,3.9%,0.1%,3.0%,86.9%,52.3
176,Tri-County Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/1173501931/school.aspx,Tri-County Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/11735/search.aspx,147 Pond Street,Franklin,https://www.schooldigger.com/go/MA/city/Franklin/search.aspx,2038,Norfolk County,(508) 528-5400,9,12,Yes,No,No,No,939,86.8,10.8,,1.2%,0.1%,0.7%,8.6%,0.1%,4.7%,83.8%,52.1
177,Quincy High,https://www.schooldigger.com/go/MA/schools/0987001579/school.aspx,Quincy,https://www.schooldigger.com/go/MA/district/09870/search.aspx,100 Coddington Street,Quincy,https://www.schooldigger.com/go/MA/city/Quincy/search.aspx,2169,Norfolk County,(617) 984-8751,9,12,No,No,No,No,1465,120.7,12.1,,12.8%,0.3%,21.4%,11.3%,0.3%,3.8%,49.9%,51.8
178,Joseph Case High,https://www.schooldigger.com/go/MA/schools/1146001893/school.aspx,Swansea,https://www.schooldigger.com/go/MA/district/11460/search.aspx,70 School Street,Swansea,https://www.schooldigger.com/go/MA/city/Swansea/search.aspx,2777,Bristol County,(508) 675-7483,9,12,No,No,No,No,544,47.3,11.4,,1.3%,0.0%,0.4%,3.7%,0.0%,0.4%,94.3%,51.4
179,Gr New Bedford Vocational Technical,https://www.schooldigger.com/go/MA/schools/0844002266/school.aspx,Greater New Bedford Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/08440/search.aspx,1121 Ashley Blvd,New Bedford,https://www.schooldigger.com/go/MA/city/New+Bedford/search.aspx,2745,Bristol County,(508) 998-3321,9,12,Yes,No,No,No,2110,195.1,10.8,,8.5%,0.2%,1.2%,26.4%,0.1%,5.7%,57.7%,51.3
180,Quabbin Regional High School,https://www.schooldigger.com/go/MA/schools/0000101558/school.aspx,Quabbin,https://www.schooldigger.com/go/MA/district/00001/search.aspx,800 South Street,Barre,https://www.schooldigger.com/go/MA/city/Barre/search.aspx,1005,Worcester County,(978) 355-4651,9,12,No,No,No,No,619,42.8,14.4,,1.0%,0.0%,1.8%,5.5%,0.0%,1.8%,89.7%,51.3
181,Watertown High,https://www.schooldigger.com/go/MA/schools/1218002005/school.aspx,Watertown,https://www.schooldigger.com/go/MA/district/12180/search.aspx,50 Columbia Street,Watertown,https://www.schooldigger.com/go/MA/city/Watertown/search.aspx,2472,Middlesex County,(617) 926-7760,9,12,No,No,No,No,705,74.1,9.5,,4.1%,0.6%,8.4%,20.4%,0.0%,4.3%,61.8%,51
182,Weymouth High School,https://www.schooldigger.com/go/MA/schools/1284002123/school.aspx,Weymouth,https://www.schooldigger.com/go/MA/district/12840/search.aspx,1 Wildcat Way,Weymouth,https://www.schooldigger.com/go/MA/city/Weymouth/search.aspx,2190,Norfolk County,(781) 337-7500,8,12,No,No,No,No,2264,180,12.5,,7.9%,0.2%,5.4%,11.5%,0.1%,4.0%,70.7%,51
183,Triton Regional High School,https://www.schooldigger.com/go/MA/schools/1174001932/school.aspx,Triton,https://www.schooldigger.com/go/MA/district/11740/search.aspx,112 Elm Street,Byfield,https://www.schooldigger.com/go/MA/city/Byfield/search.aspx,1922,Essex County,(978) 462-8171,9,12,No,No,No,No,647,53.9,11.9,,1.1%,0.0%,3.1%,4.0%,0.2%,1.7%,89.6%,50.8
184,Avon Middle High School,https://www.schooldigger.com/go/MA/schools/0225001295/school.aspx,Avon,https://www.schooldigger.com/go/MA/district/02250/search.aspx,287 West Main Street,Avon,https://www.schooldigger.com/go/MA/city/Avon/search.aspx,2322,Norfolk County,(508) 583-4822,7,12,No,No,No,No,316,35.1,8.9,,34.2%,1.3%,5.1%,12.3%,0.0%,6.3%,40.8%,50.6
185,Bay Path Regional Vocational Technical High School,https://www.schooldigger.com/go/MA/schools/1105001779/school.aspx,Southern Worcester County Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/11050/search.aspx,57 Old Muggett Hill Road,Charlton,https://www.schooldigger.com/go/MA/city/Charlton/search.aspx,1507,Worcester County,(508) 248-5971,9,12,Yes,No,No,No,1173,114,10.2,,1.1%,0.1%,1.0%,10.7%,0.0%,3.0%,83.9%,49.9
186,Dracut Senior High,https://www.schooldigger.com/go/MA/schools/0432000579/school.aspx,Dracut,https://www.schooldigger.com/go/MA/district/04320/search.aspx,1540 Lakeview Avenue,Dracut,https://www.schooldigger.com/go/MA/city/Dracut/search.aspx,1826,Middlesex County,(978) 957-1500,9,12,No,No,No,No,876,60.6,14.4,,8.4%,0.7%,9.4%,8.8%,0.0%,2.4%,69.7%,49.6
187,Agawam High,https://www.schooldigger.com/go/MA/schools/0180000024/school.aspx,Agawam,https://www.schooldigger.com/go/MA/district/01800/search.aspx,760 Cooper Street,Agawam,https://www.schooldigger.com/go/MA/city/Agawam/search.aspx,1001,Hampden County,(413) 821-0521,9,12,No,No,No,No,1017,97.1,10.4,,2.7%,0.1%,3.4%,8.3%,0.0%,3.0%,82.4%,49.5
188,Framingham High School,https://www.schooldigger.com/go/MA/schools/0498002573/school.aspx,Framingham,https://www.schooldigger.com/go/MA/district/04980/search.aspx,115 A Street,Framingham,https://www.schooldigger.com/go/MA/city/Framingham/search.aspx,1701,Middlesex County,(508) 620-4963,9,12,No,No,No,No,2422,175.2,13.8,,6.4%,0.0%,4.7%,35.8%,0.1%,4.0%,48.8%,49.3
189,Whitman Hanson Regional,https://www.schooldigger.com/go/MA/schools/1293002135/school.aspx,Whitman-Hanson,https://www.schooldigger.com/go/MA/district/12930/search.aspx,600 Franklin Street,Whitman,https://www.schooldigger.com/go/MA/city/Whitman/search.aspx,2382,Plymouth County,(781) 618-7020,9,12,No,No,No,No,1087,72.5,14.9,,4.5%,0.7%,1.4%,5.7%,0.1%,2.7%,84.8%,49.1
190,Middleborough High,https://www.schooldigger.com/go/MA/schools/0777001227/school.aspx,Middleborough,https://www.schooldigger.com/go/MA/district/07770/search.aspx,71 East Grove Street,Middleboro,https://www.schooldigger.com/go/MA/city/Middleboro/search.aspx,2346,Plymouth County,(508) 946-2010,9,12,No,No,No,No,884,62.7,14,,3.1%,1.0%,1.5%,4.0%,0.0%,3.8%,86.4%,47.8
191,Rising Tide Charter Public School,https://www.schooldigger.com/go/MA/schools/0005701271/school.aspx,Rising Tide Charter Public (District),https://www.schooldigger.com/go/MA/district/00057/search.aspx,59 Armstrong Road,Plymouth,https://www.schooldigger.com/go/MA/city/Plymouth/search.aspx,2360,Plymouth County,(508) 747-2620,5,12,Yes,Yes,No,No,655,56.6,11.5,,1.1%,1.1%,1.7%,4.3%,0.0%,6.9%,84.7%,47.7
192,Ludlow Senior High,https://www.schooldigger.com/go/MA/schools/0705001056/school.aspx,Ludlow,https://www.schooldigger.com/go/MA/district/07050/search.aspx,500 Chapin Street,Ludlow,https://www.schooldigger.com/go/MA/city/Ludlow/search.aspx,1056,Hampden County,(413) 589-9001,9,12,No,No,No,No,827,78.3,10.5,,2.1%,0.0%,0.5%,8.3%,0.1%,3.5%,85.2%,47.6
193,West Springfield High,https://www.schooldigger.com/go/MA/schools/1251002052/school.aspx,West Springfield,https://www.schooldigger.com/go/MA/district/12510/search.aspx,425 Piper Road,West Springfield,https://www.schooldigger.com/go/MA/city/West+Springfield/search.aspx,1089,Hampden County,(413) 263-3400,9,12,No,No,No,No,1185,96.3,12.3,,4.1%,0.2%,8.4%,20.8%,0.1%,3.1%,63.1%,47
194,Blue Hills Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/0274000193/school.aspx,Blue Hills Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/02740/search.aspx,800 Randolph Street,Canton,https://www.schooldigger.com/go/MA/city/Canton/search.aspx,2021,Norfolk County,(781) 828-5800,9,12,Yes,No,No,No,917,79.9,11.4,,20.1%,0.5%,2.2%,16.6%,0.0%,6.9%,53.8%,46.7
195,Medford High,https://www.schooldigger.com/go/MA/schools/0756001176/school.aspx,Medford,https://www.schooldigger.com/go/MA/district/07560/search.aspx,489 Winthrop Street,Medford,https://www.schooldigger.com/go/MA/city/Medford/search.aspx,2155,Middlesex County,(781) 393-2301,9,12,No,No,No,No,1207,125.6,9.6,,14.0%,0.1%,9.9%,14.4%,0.0%,3.9%,57.4%,46.2
196,Pioneer Valley Regional,https://www.schooldigger.com/go/MA/schools/0960001515/school.aspx,Pioneer Valley,https://www.schooldigger.com/go/MA/district/09600/search.aspx,97 F Sumner Turner Rd,Northfield,https://www.schooldigger.com/go/MA/city/Northfield/search.aspx,1360,Franklin County,(413) 498-2931,7,12,No,No,No,No,265,24.6,10.7,,0.8%,0.0%,0.8%,3.0%,0.0%,5.3%,90.2%,45.9
197,Somerville High,https://www.schooldigger.com/go/MA/schools/1089001745/school.aspx,Somerville,https://www.schooldigger.com/go/MA/district/10890/search.aspx,81 Highland Avenue,Somerville,https://www.schooldigger.com/go/MA/city/Somerville/search.aspx,2143,Middlesex County,(617) 625-6600,9,12,No,No,No,No,1304,119.8,10.8,,10.9%,0.2%,5.8%,47.3%,0.2%,2.0%,33.2%,45.9
198,Southwick Regional School,https://www.schooldigger.com/go/MA/schools/0001301782/school.aspx,Southwick-Tolland-Granville Regional School District,https://www.schooldigger.com/go/MA/district/00013/search.aspx,93 Feeding Hills Rd,Southwick,https://www.schooldigger.com/go/MA/city/Southwick/search.aspx,1077,Hampden County,(413) 569-6171,7,12,No,No,No,No,658,60.6,10.8,,1.7%,0.3%,1.2%,4.7%,0.0%,2.0%,90.0%,45.8
199,Winthrop High School,https://www.schooldigger.com/go/MA/schools/1317002180/school.aspx,Winthrop,https://www.schooldigger.com/go/MA/district/13170/search.aspx,400 Main Street,Winthrop,https://www.schooldigger.com/go/MA/city/Winthrop/search.aspx,2152,Suffolk County,(617) 846-5505,9,12,Yes,No,No,No,564,42.2,13.3,,1.2%,0.0%,1.1%,18.3%,0.0%,1.1%,78.2%,45.5
200,South Shore Charter Public School,https://www.schooldigger.com/go/MA/schools/0004000600/school.aspx,South Shore Charter Public (District),https://www.schooldigger.com/go/MA/district/00040/search.aspx,100 Longwater Circle,Norwell,https://www.schooldigger.com/go/MA/city/Norwell/search.aspx,2061,Plymouth County,(781) 982-4202,KG,12,Yes,Yes,No,No,1050,95.4,11,,35.9%,0.4%,7.0%,6.9%,0.0%,5.9%,43.5%,45.1
