School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Lincoln Heights Elementary,https://www.schooldigger.com/go/WA/schools/0825001391/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,3322 E 22Nd Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99223,Spokane County,(509) 354-3300,PK,6,Yes,No,No,No,465,29.1,15.9,54.8,3.2,1.1,1.7,9.9,0,14.8,69.2,47.1
Bowman Creek Elementary,https://www.schooldigger.com/go/WA/schools/0030003744/school.aspx,Auburn School District,https://www.schooldigger.com/go/WA/district/00300/search.aspx,5701 Kersey Way SE,Auburn,https://www.schooldigger.com/go/WA/city/Auburn/search.aspx,98092,King County,(253) 931-4900,PK,5,No,No,No,No,390,30.5,12.7,33.8,5.6,0.5,17.7,19,9,11.3,36.9,46.9
Ridgeview Elementary,https://www.schooldigger.com/go/WA/schools/0825001403/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,5610 N. Maple,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99205,Spokane County,(509) 354-4000,PK,6,Yes,No,No,No,313,23.6,13.2,59.1,1.6,1.3,1.3,10.5,1.6,17.9,65.8,46.9
Daffodil Valley Elementary,https://www.schooldigger.com/go/WA/schools/0861002744/school.aspx,Sumner School District,https://www.schooldigger.com/go/WA/district/08610/search.aspx,1509 Valley Avenue,Sumner,https://www.schooldigger.com/go/WA/city/Sumner/search.aspx,98390,Pierce County,(253) 891-4600,PK,5,Yes,No,No,No,494,25.8,19.1,45.1,1,0.2,3.2,29.6,1.4,10.1,54.3,46.9
Beacon Hill International School,https://www.schooldigger.com/go/WA/schools/0771001140/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2025 14 Av S,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98144,King County,(206) 252-2700,KG,5,Yes,No,No,No,388,26.5,14.6,49.7,6.4,0.3,26.3,33.8,0.3,15.5,17.5,46.7
York Elementary School,https://www.schooldigger.com/go/WA/schools/0270003159/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,9301 NE 152nd Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98682,Clark County,(360) 604-3975,PK,5,No,No,No,No,403,27.4,14.6,42.9,0.7,0.7,5.5,18.9,0.2,6.5,67.2,46.7
Larchmont,https://www.schooldigger.com/go/WA/schools/0870001475/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,8601 E B St,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98445,Pierce County,(253) 571-6200,PK,5,Yes,No,No,No,295,19.9,14.7,68.5,7.1,0.3,11.9,31.9,8.1,20.3,20.3,46.4
Wing Luke Elementary School,https://www.schooldigger.com/go/WA/schools/0771001267/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3701 S Kenyon St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98118,King County,(206) 252-7630,KG,5,Yes,No,No,No,306,27.4,11.1,69.9,55.2,0,23.5,5.9,1.6,4.6,8.8,46.3
Julia Butler Hansen Elementary,https://www.schooldigger.com/go/WA/schools/0618001736/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,1919 Road Sixty Five NW,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98502,Thurston County,(360) 596-7400,PK,5,Yes,No,No,No,475,31.7,14.9,45.3,6.5,0.2,6.5,16.8,0,17.9,52,46.2
Rosalia Elementary & Secondary School,https://www.schooldigger.com/go/WA/schools/0756002422/school.aspx,Rosalia School District,https://www.schooldigger.com/go/WA/district/07560/search.aspx,916 South Josephine,Rosalia,https://www.schooldigger.com/go/WA/city/Rosalia/search.aspx,99170,Whitman County,(509) 523-3061,PK,12,Yes,No,No,No,184,15.9,11.5,63,0,0.5,0.5,3.8,0,4.3,90.8,46
Viewlands Elementary School,https://www.schooldigger.com/go/WA/schools/0771003356/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,10525 3 Av NW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98177,King County,(206) 252-4400,PK,5,No,No,No,No,350,26.3,13.2,31.1,12.9,0.6,10.9,14.3,1.7,11.4,48,46
Homelink,https://www.schooldigger.com/go/WA/schools/0420002670/school.aspx,Lake Stevens School District,https://www.schooldigger.com/go/WA/district/04200/search.aspx,2202 123rd Ave NE,Lake Stevens,https://www.schooldigger.com/go/WA/city/Lake+Stevens/search.aspx,98258,Snohomish County,(425) 335-1594,KG,12,No,No,No,No,8,3.3,2.3,,0,12.5,0,37.5,0,12.5,37.5,45.9
Sultan Elementary School,https://www.schooldigger.com/go/WA/schools/0855001438/school.aspx,Sultan School District,https://www.schooldigger.com/go/WA/district/08550/search.aspx,501 Date St.,Sultan,https://www.schooldigger.com/go/WA/city/Sultan/search.aspx,98294,Snohomish County,(360) 793-9830,KG,5,Yes,No,No,No,457,33.7,13.5,43.5,2.8,0.9,3.9,18.2,0.9,4.2,69.1,45.9
Lincoln Elementary School,https://www.schooldigger.com/go/WA/schools/0927001575/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,4200 Daniels St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98660,Clark County,(360) 313-2300,KG,5,Yes,No,No,No,352,27.6,12.7,52,6,0.3,1.4,21.3,2.3,9.7,59.1,45.8
Karshner Elementary,https://www.schooldigger.com/go/WA/schools/0696001033/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,1328 8th Ave NW,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98371,Pierce County,(253) 841-8736,PK,6,Yes,No,No,No,338,23.7,14.2,47.3,5.6,4.7,7.4,34.6,1.5,7.7,38.5,45.6
Harmony Elementary School,https://www.schooldigger.com/go/WA/schools/0270002429/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,17404A NE 18th Street,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98684,Clark County,(360) 604-6600,PK,5,No,No,No,No,495,36.5,13.5,38,2.8,0.2,6.5,18.2,1.6,9.7,61,45.6
Brookdale Elementary,https://www.schooldigger.com/go/WA/schools/0294000470/school.aspx,Franklin Pierce School District,https://www.schooldigger.com/go/WA/district/02940/search.aspx,11213 S Sheridan Ave,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98444,Pierce County,(253) 298-3105,PK,5,No,No,No,No,467,29,16.1,64.9,8.4,0.6,5.1,30.8,7.5,19.3,28.3,45.5
Central Elementary School,https://www.schooldigger.com/go/WA/schools/0774000141/school.aspx,Sedro-Woolley School District,https://www.schooldigger.com/go/WA/district/07740/search.aspx,601 Talcott Street,Sedro Woolley,https://www.schooldigger.com/go/WA/city/Sedro+Woolley/search.aspx,98284,Skagit County,(360) 855-3560,KG,6,Yes,No,No,No,442,28.8,15.3,55.4,0.7,0.7,0.7,26.7,0,5.2,66.1,45.5
Wildwood Elementary,https://www.schooldigger.com/go/WA/schools/0696001043/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,1601 26th Ave SE,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98374,Pierce County,(253) 841-8746,PK,6,Yes,No,No,No,404,30.2,13.3,52.2,5.2,2,5.4,19.3,0.7,15.1,52.2,45.4
Mesa Elementary,https://www.schooldigger.com/go/WA/schools/0573000849/school.aspx,North Franklin School District,https://www.schooldigger.com/go/WA/district/05730/search.aspx,200 Pepiot Road,Mesa,https://www.schooldigger.com/go/WA/city/Mesa/search.aspx,99343,Franklin County,(509) 265-4229,KG,6,Yes,No,No,No,187,12.5,14.9,76.5,0,0,0,67.4,0,1.6,31,45.4
Naval Avenue Elementary School,https://www.schooldigger.com/go/WA/schools/0066000143/school.aspx,Bremerton School District,https://www.schooldigger.com/go/WA/district/00660/search.aspx,900 Olympic Avenue,Bremerton,https://www.schooldigger.com/go/WA/city/Bremerton/search.aspx,98312,Kitsap County,(360) 473-4400,PK,3,Yes,No,No,No,272,22.9,11.8,54,6.6,0.4,1.8,33.1,1.5,17.6,39,45.3
Silver Lake Elementary,https://www.schooldigger.com/go/WA/schools/0267000409/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,12815 Bothell-Everett Hwy.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98208,Snohomish County,(425) 385-6900,PK,5,No,No,No,No,578,34.8,16.6,51.4,7.6,0,15.4,25.8,2.1,10.2,38.9,45.3
Basin City Elementary,https://www.schooldigger.com/go/WA/schools/0573000846/school.aspx,North Franklin School District,https://www.schooldigger.com/go/WA/district/05730/search.aspx,303 Bailie Boulevard,Mesa,https://www.schooldigger.com/go/WA/city/Mesa/search.aspx,99343,Franklin County,(509) 269-4669,KG,6,Yes,No,No,No,315,22.7,13.8,82.2,0,0,0,84.1,0,0.3,15.6,45.2
Stanwood Elementary School,https://www.schooldigger.com/go/WA/schools/0834001425/school.aspx,Stanwood-Camano School District,https://www.schooldigger.com/go/WA/district/08340/search.aspx,10227 273rd Pl NW,Stanwood,https://www.schooldigger.com/go/WA/city/Stanwood/search.aspx,98292,Snohomish County,(360) 629-1250,PK,5,Yes,No,No,No,423,26.5,15.9,26.7,0.5,1.2,0.9,9.2,0,6.1,82,45.2
Reardan Elementary School,https://www.schooldigger.com/go/WA/schools/0721001062/school.aspx,Reardan-Edwall School District,https://www.schooldigger.com/go/WA/district/07210/search.aspx,250 S Aspen,Reardan,https://www.schooldigger.com/go/WA/city/Reardan/search.aspx,99029,Lincoln County,(509) 796-2511,PK,5,Yes,No,No,No,312,16.5,18.9,45.2,0.3,5.4,0.3,2.9,0,3.8,87.2,45.2
Garfield Elementary School,https://www.schooldigger.com/go/WA/schools/0267000398/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,2215 Pine St.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98201,Snohomish County,(425) 385-4700,PK,5,Yes,No,No,No,383,25.8,14.8,61.9,2.1,1.3,3.7,30.8,2.1,11.2,48.8,45.1
Manchester Elementary School,https://www.schooldigger.com/go/WA/schools/0816001350/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,1901 California Ave E,Port Orchard,https://www.schooldigger.com/go/WA/city/Port+Orchard/search.aspx,98366,Kitsap County,(360) 443-3230,PK,5,No,No,No,No,413,26.9,15.3,31,0.7,0.5,1.2,10.9,1.2,11.6,73.8,45.1
La Center Elementary,https://www.schooldigger.com/go/WA/schools/0417000650/school.aspx,La Center School District,https://www.schooldigger.com/go/WA/district/04170/search.aspx,700 East 4th Street,La Center,https://www.schooldigger.com/go/WA/city/La+Center/search.aspx,98629,Clark County,(360) 263-2134,PK,5,Yes,No,No,No,628,43.7,14.3,22.8,0,0.2,1,7.6,0.5,4.3,85.4,44.8
Kittitas Elementary School,https://www.schooldigger.com/go/WA/schools/0405000642/school.aspx,Kittitas School District,https://www.schooldigger.com/go/WA/district/04050/search.aspx,501 N. Pierce Avenue,Kittitas,https://www.schooldigger.com/go/WA/city/Kittitas/search.aspx,98934,Kittitas County,(855) 380-8843,KG,5,Yes,No,No,No,240,17,14.1,47.5,0.8,0,0.4,20,0,0.8,77.9,44.8
Gause Elementary,https://www.schooldigger.com/go/WA/schools/0954001623/school.aspx,Washougal School District,https://www.schooldigger.com/go/WA/district/09540/search.aspx,1100 34th St,Washougal,https://www.schooldigger.com/go/WA/city/Washougal/search.aspx,98671,Clark County,(360) 954-3700,PK,5,No,No,No,No,283,19.2,14.7,35,0.7,0.4,0.7,8.1,0,7.8,82.3,44.8
Kapowsin Elementary,https://www.schooldigger.com/go/WA/schools/0048000124/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,10412 264th Street East,Graham,https://www.schooldigger.com/go/WA/city/Graham/search.aspx,98338,Pierce County,(253) 800-8600,KG,5,No,No,No,No,339,24.7,13.6,39.5,2.1,2.7,1.2,18.3,0.9,10,64.9,44.7
Martha Lake Elementary,https://www.schooldigger.com/go/WA/schools/0240002089/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,17500 Larch Way,Lynnwood,https://www.schooldigger.com/go/WA/city/Lynnwood/search.aspx,98037,Snohomish County,(425) 431-7766,KG,6,Yes,No,No,No,443,31,14.2,40.2,6.8,0,21.2,28.7,2,9.3,32.1,44.6
Olympic View Elementary School,https://www.schooldigger.com/go/WA/schools/0771001229/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,504 NE 95 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-5500,KG,5,No,No,No,No,397,28.7,13.8,36,17.6,0,10.1,15.6,0.5,9.6,46.3,44.5
Sierra Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0723001084/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,9901 132nd Ave SE,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98059,King County,(425) 204-4650,KG,5,No,No,No,No,458,30.5,14.9,43,6.1,0.7,25.3,31,0.9,11.8,24.2,44.2
Lake Stickney Elementary School,https://www.schooldigger.com/go/WA/schools/0543003577/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,1625 Madison Way,Lynnwood,https://www.schooldigger.com/go/WA/city/Lynnwood/search.aspx,98087,Snohomish County,(425) 366-3600,KG,5,Yes,No,Yes,No,597,39.9,14.9,53.9,12.1,0.3,19.4,21.8,0.5,7.5,38.4,44.1
Horizon Elementary School,https://www.schooldigger.com/go/WA/schools/0396002310/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,27641 144th Ave SE,Kent,https://www.schooldigger.com/go/WA/city/Kent/search.aspx,98042,King County,(253) 373-7313,PK,6,Yes,No,No,No,404,24.5,16.4,48.3,11.6,0.2,20.8,19.8,1.5,8.9,37.1,44.1
Seven Oaks Elementary,https://www.schooldigger.com/go/WA/schools/0585002327/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,1800 Seven Oaks Dr SE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98503,Thurston County,(360) 412-4700,PK,5,Yes,No,No,No,411,29.3,13.9,41.4,6.1,0.5,5.4,22.9,4.1,14.1,47,44
Nelson Elementary School,https://www.schooldigger.com/go/WA/schools/0048003288/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,22109 108th Ave E,Graham,https://www.schooldigger.com/go/WA/city/Graham/search.aspx,98338,Pierce County,(253) 800-6400,KG,5,No,No,No,No,684,44.9,15.2,33.9,6.3,1.5,6.3,17.7,5.4,14.8,48.1,44
Seth Woodard Elementary,https://www.schooldigger.com/go/WA/schools/0969002419/school.aspx,West Valley School District (Spokane),https://www.schooldigger.com/go/WA/district/09690/search.aspx,7401 E Mission,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99212,Spokane County,(509) 921-2160,KG,5,Yes,No,No,No,234,18.9,12.3,56.8,1.3,0,0,15,0.4,7.3,76.1,44
Woodmont K-8 School,https://www.schooldigger.com/go/WA/schools/0282000456/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,26454 16th Av S,Des Moines,https://www.schooldigger.com/go/WA/city/Des+Moines/search.aspx,98198,King County,(253) 945-4500,KG,8,Yes,No,No,No,433,26.3,16.4,56.4,18.2,0,12,32.8,3.5,9.9,23.6,43.8
Olympic View Elementary,https://www.schooldigger.com/go/WA/schools/0585000870/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,1330 Horne Ave NE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98516,Thurston County,(360) 412-4660,KG,5,No,No,No,No,558,34.6,16,38.7,4.1,0.7,6.5,25.8,2.5,16.5,43.9,43.8
Terrace Heights Elementary,https://www.schooldigger.com/go/WA/schools/0537000808/school.aspx,East Valley School District (Yakima),https://www.schooldigger.com/go/WA/district/05370/search.aspx,101 N 41st St,Yakima,https://www.schooldigger.com/go/WA/city/Yakima/search.aspx,98901,Yakima County,(509) 573-7800,KG,5,Yes,No,No,No,438,28,15.6,56.6,0.2,1.4,0.7,47.3,0,4.6,45.9,43.7
Lynndale Elementary,https://www.schooldigger.com/go/WA/schools/0240000343/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,9521 240th St SW,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98020,Snohomish County,(425) 431-7365,KG,6,Yes,No,No,No,420,28.3,14.8,38.3,8.8,0.5,8.3,31.7,0.7,10.7,39.3,43.6
Green Mountain School,https://www.schooldigger.com/go/WA/schools/0330000509/school.aspx,Green Mountain School District,https://www.schooldigger.com/go/WA/district/03300/search.aspx,13105 NE Grinnell Rd,Woodland,https://www.schooldigger.com/go/WA/city/Woodland/search.aspx,98674,Clark County,(360) 225-7366,KG,8,Yes,No,No,No,153,10.9,14,34.6,0.7,1.3,2,2.6,0,2,91.5,43.5
Northern Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0042002939/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,4000 Magrath Rd,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98226,Whatcom County,(360) 647-6820,PK,5,No,No,No,No,359,23.7,15.1,29.2,1.1,2.8,5.3,15.3,0.6,15.3,59.3,43.5
Peter G Schmidt Elementary,https://www.schooldigger.com/go/WA/schools/0910001543/school.aspx,Tumwater School District,https://www.schooldigger.com/go/WA/district/09100/search.aspx,237 Dennis Street SE,Tumwater,https://www.schooldigger.com/go/WA/city/Tumwater/search.aspx,98501,Thurston County,(360) 709-7200,KG,5,Yes,No,No,No,569,36.4,15.6,39,1.8,0.5,1.2,16.7,0.7,14.2,64.9,43.5
Dungeness Virtual School,https://www.schooldigger.com/go/WA/schools/0783003729/school.aspx,Sequim School District,https://www.schooldigger.com/go/WA/district/07830/search.aspx,503 N. Sequim Ave,Sequim,https://www.schooldigger.com/go/WA/city/Sequim/search.aspx,98382,Clallam County,(360) 582-3433,KG,12,No,No,No,Yes,53,,,39.6,3.8,0,0,7.5,3.8,17,67.9,43.5
Garfield Elementary,https://www.schooldigger.com/go/WA/schools/0825001375/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,222 W Knox Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99205,Spokane County,(509) 354-2700,PK,6,Yes,No,No,No,376,26.5,14.1,69.1,4.8,1.1,0.5,11.4,2.1,17,63,43.4
Twin Lakes Elementary School,https://www.schooldigger.com/go/WA/schools/0282000453/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,4400 SW 320th St,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98023,King County,(253) 945-4200,PK,5,Yes,No,No,No,322,21.5,14.9,59,18.3,0,4.3,25.8,6.8,14,30.1,43.4
Acme Elementary,https://www.schooldigger.com/go/WA/schools/0531000799/school.aspx,Mount Baker School District,https://www.schooldigger.com/go/WA/district/05310/search.aspx,5200 Turkington Rd,Acme,https://www.schooldigger.com/go/WA/city/Acme/search.aspx,98220,Whatcom County,(360) 383-2045,KG,6,Yes,No,No,No,175,13.1,13.3,52,0.6,13.7,0.6,12,0.6,14.9,57.7,43.4
Blaine Elementary School,https://www.schooldigger.com/go/WA/schools/0057000130/school.aspx,Blaine School District,https://www.schooldigger.com/go/WA/district/00570/search.aspx,836 Mitchell Ave,Blaine,https://www.schooldigger.com/go/WA/city/Blaine/search.aspx,98230,Whatcom County,(360) 332-5213,3,5,Yes,No,No,No,472,27.7,16.9,47,1.9,0.4,3.6,17.4,0.6,7.4,68.6,43.4
Louisa Boren STEM K-8,https://www.schooldigger.com/go/WA/schools/0771003426/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,5950 Delridge Way SW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98106,King County,(206) 252-8450,PK,8,No,No,Yes,No,545,38.1,14.2,33.9,20.2,0,7.5,15.8,0,10.5,45.9,43.3
Orin C Smith Elementary School,https://www.schooldigger.com/go/WA/schools/0117003655/school.aspx,Chehalis School District,https://www.schooldigger.com/go/WA/district/01170/search.aspx,1240 Bishop Rd,Chehalis,https://www.schooldigger.com/go/WA/city/Chehalis/search.aspx,98532,Lewis County,(360) 807-7220,3,5,Yes,No,No,No,657,37.5,17.5,50.1,1.1,0.2,1.1,18.6,0,6.2,72.9,43.2
Ritzville Grade School,https://www.schooldigger.com/go/WA/schools/0738001109/school.aspx,Ritzville School District,https://www.schooldigger.com/go/WA/district/07380/search.aspx,401 E 6th Ave.,Ritzville,https://www.schooldigger.com/go/WA/city/Ritzville/search.aspx,99169,Adams County,(509) 659-0232,PK,5,Yes,No,No,No,164,10.7,15.2,51.2,0,2.4,2.4,15.2,0,3.7,76.2,43.2
Lowell Elementary School,https://www.schooldigger.com/go/WA/schools/0771001205/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1058 E Mercer St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98102,King County,(206) 252-3020,PK,5,Yes,No,No,No,278,31.5,8.8,59.7,29.9,0.4,17.3,15.5,0.7,14.7,21.2,43.2
Foothills Elementary,https://www.schooldigger.com/go/WA/schools/0978002245/school.aspx,White River School District,https://www.schooldigger.com/go/WA/district/09780/search.aspx,10621 234th Ave E.,Buckley,https://www.schooldigger.com/go/WA/city/Buckley/search.aspx,98321,Pierce County,(360) 829-3355,1,5,No,No,No,No,459,25.9,17.6,34.9,0.9,0.7,2.2,18.7,1.5,5.2,70.8,43.1
Woodland Elementary,https://www.schooldigger.com/go/WA/schools/0585001857/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,4630 Carpenter Rd SE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98503,Thurston County,(360) 412-4680,KG,5,No,No,No,No,440,28.9,15.1,37.5,4.3,1.1,3.4,20.7,3.9,16.1,50.5,42.9
Nautilus K-8 School,https://www.schooldigger.com/go/WA/schools/0282000444/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,1000 S 289th St,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98003,King County,(253) 945-3400,KG,8,Yes,No,No,No,491,28.5,17.2,57.8,10.8,0,12.2,27.3,6.5,17.7,25.5,42.9
Willapa Elementary,https://www.schooldigger.com/go/WA/schools/0987001672/school.aspx,Willapa Valley School District,https://www.schooldigger.com/go/WA/district/09870/search.aspx,845 Willapa 4th Street,Raymond,https://www.schooldigger.com/go/WA/city/Raymond/search.aspx,98577,Pacific County,(360) 942-3311,PK,5,Yes,No,No,No,185,9.1,20.2,39.5,0,0,0,10.3,0,10.8,78.9,42.8
Black Lake Elementary,https://www.schooldigger.com/go/WA/schools/0910001889/school.aspx,Tumwater School District,https://www.schooldigger.com/go/WA/district/09100/search.aspx,6345 Belmore-Black Lake Road,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98512,Thurston County,(360) 709-7350,KG,5,No,No,No,No,359,25.9,13.8,25.3,0.8,0.3,1.9,10,1.4,12.5,73,42.7
Jefferson Elementary,https://www.schooldigger.com/go/WA/schools/0732001097/school.aspx,Richland School District,https://www.schooldigger.com/go/WA/district/07320/search.aspx,1550 George Washington Way,Richland,https://www.schooldigger.com/go/WA/city/Richland/search.aspx,99352,Benton County,(509) 967-6250,PK,5,Yes,No,No,No,430,29.5,14.5,7,4.2,0.2,2.1,28.8,0.2,6.3,58.1,42.7
Elma Elementary School,https://www.schooldigger.com/go/WA/schools/0249000371/school.aspx,Elma School District,https://www.schooldigger.com/go/WA/district/02490/search.aspx,1235 Monte-Elma Rd,Elma,https://www.schooldigger.com/go/WA/city/Elma/search.aspx,98541,Grays Harbor County,(360) 482-2632,PK,5,Yes,No,No,No,642,42.3,15.1,59.7,0.3,0.9,0.9,23.5,0,7.5,66.8,42.7
David Wolfle Elementary,https://www.schooldigger.com/go/WA/schools/0576000856/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,27089 Highland Rd NE,Kingston,https://www.schooldigger.com/go/WA/city/Kingston/search.aspx,98346,Kitsap County,(360) 396-3700,PK,5,Yes,No,No,No,288,20.4,14,49.7,0.7,24.7,0.3,11.5,0.3,14.6,47.9,42.6
Warren Hunt Elementary,https://www.schooldigger.com/go/WA/schools/0696002341/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,12801 144th St E,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98374,Pierce County,(253) 841-8690,PK,6,Yes,No,No,No,710,43.2,16.4,37.3,4.4,1.5,5.5,19,1.7,14.1,53.8,42.6
Oakesdale Elementary School,https://www.schooldigger.com/go/WA/schools/0597000907/school.aspx,Oakesdale School District,https://www.schooldigger.com/go/WA/district/05970/search.aspx,First & McCoy Streets,Oakesdale,https://www.schooldigger.com/go/WA/city/Oakesdale/search.aspx,99158,Whitman County,(509) 285-5296,PK,5,Yes,No,No,No,74,5.9,12.4,31.1,0,0,0,1.4,0,6.8,91.9,42.4
Lowell Elementary,https://www.schooldigger.com/go/WA/schools/0267000403/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,5010 View Dr.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98203,Snohomish County,(425) 385-5300,PK,5,Yes,No,No,No,545,33.2,16.3,59.6,7.2,0.6,6.6,27,1.5,12.3,45,42.4
Methow Valley Elementary,https://www.schooldigger.com/go/WA/schools/0502002526/school.aspx,Methow Valley School District,https://www.schooldigger.com/go/WA/district/05020/search.aspx,18 Twin Lakes Rd.,Winthrop,https://www.schooldigger.com/go/WA/city/Winthrop/search.aspx,98862,Okanogan County,(509) 996-2186,PK,6,Yes,No,No,No,343,23.6,14.5,34.4,0,0.6,0,9,0,4.4,86,42.3
Cle Elum Roslyn Elementary,https://www.schooldigger.com/go/WA/schools/0135000241/school.aspx,Cle Elum-Roslyn School District,https://www.schooldigger.com/go/WA/district/01350/search.aspx,2696 Sr 903,Cle Elum,https://www.schooldigger.com/go/WA/city/Cle+Elum/search.aspx,98922,Kittitas County,(509) 649-4700,PK,5,Yes,No,No,No,362,23,15.7,38.4,0,1.4,1.1,7.5,0,6.9,82.9,42.3
Wahitis Elementary School,https://www.schooldigger.com/go/WA/schools/0648003393/school.aspx,Othello School District,https://www.schooldigger.com/go/WA/district/06480/search.aspx,905 South 14th Avenue,Othello,https://www.schooldigger.com/go/WA/city/Othello/search.aspx,99344,Adams County,(509) 488-2659,KG,6,Yes,No,No,No,605,37.8,15.9,77.4,0,0,0.2,91.2,0,0.3,8.3,42.3
