Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
126,Limon Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0528000871/school.aspx,Limon School District No. Re 4J,https://www.schooldigger.com/go/CO/district/05280/search.aspx,874 F Avenue,Limon,https://www.schooldigger.com/go/CO/city/Limon/search.aspx,80828,Lincoln County,(719) 775-2350,6,12,No,No,No,No,233,15.7,14.8,43.80%,1.30%,0.00%,0.40%,20.20%,0.40%,3.00%,74.70%,59.5
127,Otis Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0594001017/school.aspx,Otis School District No. R-3,https://www.schooldigger.com/go/CO/district/05940/search.aspx,518 Dungan,Otis,https://www.schooldigger.com/go/CO/city/Otis/search.aspx,80743,Washington County,(970) 246-3486,6,12,No,No,No,No,102,7.8,12.9,55.90%,2.00%,1.00%,0.00%,10.80%,0.00%,0.00%,86.30%,59.2
128,North Fork High School,https://www.schooldigger.com/go/CO/schools/0333000300/school.aspx,Delta County Joint District No. 50,https://www.schooldigger.com/go/CO/district/03330/search.aspx,438 Bulldog St,Hotchkiss,https://www.schooldigger.com/go/CO/city/Hotchkiss/search.aspx,81419,Delta County,(970) 872-3882,9,12,No,No,No,No,265,18.8,14,45.30%,0.00%,0.80%,0.00%,20.00%,0.00%,4.50%,74.70%,58.8
129,CIVA Charter Academy,https://www.schooldigger.com/go/CO/schools/0306001589/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,4635 Northpark Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80918,El Paso County,(719) 633-1306,9,12,No,Yes,No,No,174,15.8,10.9,39.10%,2.30%,0.00%,0.60%,23.60%,0.00%,7.50%,66.10%,58.8
130,Elizabeth High School,https://www.schooldigger.com/go/CO/schools/0372000483/school.aspx,Elizabeth School District,https://www.schooldigger.com/go/CO/district/03720/search.aspx,34500 County Road 13,Elizabeth,https://www.schooldigger.com/go/CO/city/Elizabeth/search.aspx,80107,Elbert County,(303) 646-4616,9,12,No,No,No,No,668,41.9,15.9,22.60%,0.30%,0.10%,0.40%,16.20%,0.00%,2.80%,80.10%,58.5
131,Jefferson County Open Secondary,https://www.schooldigger.com/go/CO/schools/0480000765/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,7655 West 10th Avenue,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80214,Jefferson County,(303) 982-7045,7,12,No,No,No,No,315,21,15,,0.00%,0.30%,0.60%,17.10%,0.30%,8.30%,73.30%,58.4
132,Academy of Charter Schools,https://www.schooldigger.com/go/CO/schools/0002000727/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,11800 Lowell Blvd,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80031,Adams County,(303) 289-8088,PK,12,No,Yes,No,No,1887,100.2,18.8,33.90%,1.00%,0.30%,6.40%,31.70%,0.10%,5.70%,54.90%,57.1
133,PSD Global Academy,https://www.schooldigger.com/go/CO/schools/0399006431/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,703 East Prospect Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 490-3086,KG,12,No,No,No,Yes,259,22.9,11.3,49.00%,1.90%,0.00%,2.30%,20.80%,0.00%,3.50%,71.00%,56.7
134,Calhan Secondary School,https://www.schooldigger.com/go/CO/schools/0273000168/school.aspx,Calhan District No. RJ1,https://www.schooldigger.com/go/CO/district/02730/search.aspx,800 Bulldog Drive,Calhan,https://www.schooldigger.com/go/CO/city/Calhan/search.aspx,80808,El Paso County,(719) 347-2766,6,12,No,No,No,No,213,22.5,9.4,49.80%,4.70%,0.50%,0.90%,8.50%,0.00%,0.90%,84.50%,56.4
135,Dove Creek High School,https://www.schooldigger.com/go/CO/schools/0342000429/school.aspx,Dolores County School District Re-2j,https://www.schooldigger.com/go/CO/district/03420/search.aspx,525 North Main Street,Dove Creek,https://www.schooldigger.com/go/CO/city/Dove+Creek/search.aspx,81324,Dolores County,(970) 677-2237,6,12,No,No,No,No,138,11.5,11.9,60.10%,0.00%,0.00%,0.00%,7.20%,0.00%,2.20%,90.60%,55.7
136,Standley Lake High School,https://www.schooldigger.com/go/CO/schools/0480001487/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,9300 West 104th Avenue,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80021,Jefferson County,(303) 982-3311,9,12,No,No,No,No,1123,57.6,19.4,32.70%,1.10%,0.40%,5.30%,27.30%,0.20%,6.40%,59.20%,55.5
137,Primero Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0726001255/school.aspx,Primero Reorganized School District No. 2,https://www.schooldigger.com/go/CO/district/07260/search.aspx,20200 State Highway 12,Weston,https://www.schooldigger.com/go/CO/city/Weston/search.aspx,81091,Las Animas County,(719) 868-2715,6,12,No,No,No,No,102,8.7,11.6,26.50%,0.00%,1.00%,1.00%,63.70%,0.00%,3.90%,30.40%,54.7
138,DSST: Montview High School,https://www.schooldigger.com/go/CO/schools/0336001833/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,2000 Valentia Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(303) 320-5570,9,12,Yes,Yes,No,No,562,45.6,12.3,69.90%,38.30%,0.40%,3.40%,40.00%,0.20%,4.80%,12.80%,54.3
139,DSST: Green Valley Ranch High School,https://www.schooldigger.com/go/CO/schools/0336006450/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,4800 Telluride Street #2,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80249,Denver County,(303) 524-6300,9,12,Yes,Yes,No,No,562,48,11.7,73.80%,25.40%,0.00%,10.50%,55.90%,1.80%,3.20%,3.20%,54
140,Rye High School,https://www.schooldigger.com/go/CO/schools/0615001082/school.aspx,Pueblo County School District 70,https://www.schooldigger.com/go/CO/district/06150/search.aspx,1 High School Drive,Rye,https://www.schooldigger.com/go/CO/city/Rye/search.aspx,81069,Pueblo County,(719) 489-2271,9,12,No,No,No,No,250,15.8,15.7,41.20%,1.60%,0.40%,1.60%,15.20%,0.00%,4.40%,76.80%,54
141,Loveland High School,https://www.schooldigger.com/go/CO/schools/0540000935/school.aspx,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,920 West 29th Avenue,Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80538,Larimer County,(970) 613-5200,9,12,No,No,No,No,1354,71.6,18.8,27.30%,1.30%,0.70%,0.70%,25.80%,0.10%,3.80%,67.70%,53.4
142,Windsor High School,https://www.schooldigger.com/go/CO/schools/0735001264/school.aspx,Weld County Reorganized School District No. Re-4,https://www.schooldigger.com/go/CO/district/07350/search.aspx,1100 West Main Street,Windsor,https://www.schooldigger.com/go/CO/city/Windsor/search.aspx,80550,Weld County,(970) 686-8100,9,12,No,No,No,No,1094,57,19.1,19.20%,1.30%,0.40%,0.50%,17.60%,0.10%,3.40%,76.80%,51.7
143,Sangre de Cristo Undivided High School,https://www.schooldigger.com/go/CO/schools/0642001116/school.aspx,Sangre de Cristo School District No. Re-22J,https://www.schooldigger.com/go/CO/district/06420/search.aspx,8751 Lane 7 N,Mosca,https://www.schooldigger.com/go/CO/city/Mosca/search.aspx,81146,Alamosa County,(719) 378-2321,6,12,Yes,No,No,No,146,15.6,9.3,63.70%,0.00%,2.70%,0.00%,21.20%,0.70%,1.40%,74.00%,51.4
144,Wheat Ridge High School,https://www.schooldigger.com/go/CO/schools/0480000803/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,9505 West 32nd Avenue,Wheat Ridge,https://www.schooldigger.com/go/CO/city/Wheat+Ridge/search.aspx,80033,Jefferson County,(303) 982-7695,9,12,No,No,No,No,932,51.6,18,42.20%,2.90%,0.60%,0.90%,37.20%,0.10%,4.30%,54.00%,51.4
145,Longmont High School,https://www.schooldigger.com/go/CO/schools/0537000909/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,1040 Sunset Street,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80501,Boulder County,(303) 776-6014,9,12,No,No,No,No,1268,62.7,20.2,47.90%,0.60%,0.30%,1.50%,41.20%,0.20%,3.50%,52.60%,51.3
146,Sanford Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0639001114/school.aspx,Sanford School District No. 6,https://www.schooldigger.com/go/CO/district/06390/search.aspx,755 Second Street,Sanford,https://www.schooldigger.com/go/CO/city/Sanford/search.aspx,81151,Conejos County,(719) 274-5167,7,12,No,No,No,No,166,11.6,14.2,57.20%,0.00%,0.00%,0.00%,29.50%,0.00%,0.60%,69.90%,51.2
147,Buena Vista High School,https://www.schooldigger.com/go/CO/schools/0264000157/school.aspx,Buena Vista School District No. R-31,https://www.schooldigger.com/go/CO/district/02640/search.aspx,559 Railroad,Buena Vista,https://www.schooldigger.com/go/CO/city/Buena+Vista/search.aspx,81211,Chaffee County,(719) 395-7100,9,12,No,No,No,No,256,22.6,11.3,35.20%,0.80%,1.20%,1.60%,15.60%,0.00%,2.00%,78.90%,51.1
148,Grand Junction High School,https://www.schooldigger.com/go/CO/schools/0435000612/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,1400 N 5th St,Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81501,Mesa County,(970) 254-6900,9,12,No,No,No,No,1832,91.4,20,43.10%,1.00%,0.60%,1.30%,23.30%,0.00%,4.50%,69.20%,50.9
149,Bear Creek High School,https://www.schooldigger.com/go/CO/schools/0480000697/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,9800 West Dartmouth Place,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80227,Jefferson County,(303) 982-8855,9,12,No,No,No,No,1344,70.2,19.1,48.70%,1.90%,0.40%,6.60%,47.50%,0.40%,3.30%,39.70%,50.8
150,Middle Park High School,https://www.schooldigger.com/go/CO/schools/0432000596/school.aspx,East Grand School District No. 2,https://www.schooldigger.com/go/CO/district/04320/search.aspx,765 North 2nd Street,Granby,https://www.schooldigger.com/go/CO/city/Granby/search.aspx,80446,Grand County,(970) 887-2104,9,12,No,No,No,No,413,27.7,14.8,27.40%,0.70%,0.50%,1.00%,20.80%,0.50%,0.50%,76.00%,50.6
151,Sargent Senior High School,https://www.schooldigger.com/go/CO/schools/0645001118/school.aspx,Sargent School District No. Re-33J,https://www.schooldigger.com/go/CO/district/06450/search.aspx,7090 North County Road 2 East,Monte Vista,https://www.schooldigger.com/go/CO/city/Monte+Vista/search.aspx,81144,Rio Grande County,(719) 852-4025,9,12,No,No,No,No,81,8.6,9.3,43.20%,1.20%,2.50%,0.00%,28.40%,0.00%,2.50%,65.40%,50.3
152,Montrose High School,https://www.schooldigger.com/go/CO/schools/0579000992/school.aspx,Montrose County School District Re-1J,https://www.schooldigger.com/go/CO/district/05790/search.aspx,600 South Selig Avenue,Montrose,https://www.schooldigger.com/go/CO/city/Montrose/search.aspx,81401,Montrose County,(970) 249-6636,9,12,No,No,No,No,1279,66.1,19.3,45.30%,0.50%,0.60%,0.40%,36.60%,0.20%,3.00%,58.70%,50.1
153,Banning Lewis Ranch Academy,https://www.schooldigger.com/go/CO/schools/0387002027/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,7094 Cottonwood Tree Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80927,El Paso County,(719) 570-0075,KG,12,No,Yes,No,No,1697,115.5,14.6,15.50%,5.00%,0.40%,3.60%,23.90%,0.40%,10.80%,55.90%,49.8
154,Fowler High School,https://www.schooldigger.com/go/CO/schools/0411000568/school.aspx,Fowler School District No. R4J,https://www.schooldigger.com/go/CO/district/04110/search.aspx,600 West Grant,Fowler,https://www.schooldigger.com/go/CO/city/Fowler/search.aspx,81039,Otero County,(719) 263-4279,9,12,No,No,No,No,101,11.8,8.5,46.50%,0.00%,1.00%,0.00%,33.70%,0.00%,2.00%,63.40%,49.4
155,Platte Valley High School,https://www.schooldigger.com/go/CO/schools/0495000821/school.aspx,Weld County School District No. Re-7,https://www.schooldigger.com/go/CO/district/04950/search.aspx,901 Campbell,Kersey,https://www.schooldigger.com/go/CO/city/Kersey/search.aspx,80644,Weld County,(970) 336-8700,9,12,No,No,No,No,331,25.7,12.8,49.80%,0.30%,0.30%,0.90%,43.20%,0.00%,1.80%,53.50%,49.2
156,Merino Junior Senior High School,https://www.schooldigger.com/go/CO/schools/0564000970/school.aspx,School District No. Re-4 Buffalo,https://www.schooldigger.com/go/CO/district/05640/search.aspx,315 Lee,Merino,https://www.schooldigger.com/go/CO/city/Merino/search.aspx,80741,Logan County,(970) 522-7424,7,12,No,No,No,No,155,9.2,16.7,32.30%,0.60%,0.00%,0.60%,11.00%,0.00%,1.30%,86.50%,48.7
157,Two Roads Charter School,https://www.schooldigger.com/go/CO/schools/0480006466/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,6980 Pierce Street,Arvada,https://www.schooldigger.com/go/CO/city/Arvada/search.aspx,80003,Jefferson County,(303) 423-3377,PK,12,No,Yes,No,No,345,37.5,9.1,,1.20%,0.00%,1.40%,31.00%,0.00%,4.90%,61.40%,48.3
158,Palisade High School,https://www.schooldigger.com/go/CO/schools/0435000620/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,3679 G Road,Palisade,https://www.schooldigger.com/go/CO/city/Palisade/search.aspx,81526,Mesa County,(970) 254-4800,9,12,No,No,No,No,1073,58.6,18.3,50.90%,0.80%,0.60%,0.70%,28.10%,0.40%,3.40%,66.10%,48.3
159,Springs Studio for Academic Excellence,https://www.schooldigger.com/go/CO/schools/0387006462/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,6113 Constitution Ave,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80915,El Paso County,(719) 494-8940,6,12,No,No,No,Yes,442,20,22,,3.20%,0.20%,1.10%,18.10%,0.00%,9.50%,67.90%,48.1
160,Wray Junior Senior High School,https://www.schooldigger.com/go/CO/schools/0001701818/school.aspx,Wray Rd-2 School District,https://www.schooldigger.com/go/CO/district/00017/search.aspx,30160 County Road 35,Wray,https://www.schooldigger.com/go/CO/city/Wray/search.aspx,80758,Yuma County,(970) 332-5764,7,12,Yes,No,No,No,322,21.4,15,56.20%,0.00%,0.60%,0.00%,39.10%,0.00%,0.30%,59.90%,47.7
161,Thomas Jefferson High School,https://www.schooldigger.com/go/CO/schools/0336000417/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,3950 South Holly Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80237,Denver County,(720) 423-7000,9,12,No,No,No,No,1390,70.9,19.6,50.90%,16.60%,0.50%,3.70%,40.90%,0.30%,5.00%,31.80%,47.6
162,Roaring Fork High School,https://www.schooldigger.com/go/CO/schools/0426000590/school.aspx,Roaring Fork School District No. Re-1,https://www.schooldigger.com/go/CO/district/04260/search.aspx,2270 Highway 133,Carbondale,https://www.schooldigger.com/go/CO/city/Carbondale/search.aspx,81623,Garfield County,(970) 384-5757,9,12,No,No,No,No,472,27.3,17.2,43.00%,0.80%,0.60%,0.00%,47.90%,0.00%,3.40%,47.20%,47.6
163,Vista Ridge High School,https://www.schooldigger.com/go/CO/schools/0387006408/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,6888 Black Forest Road,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80923,El Paso County,(719) 494-8800,9,12,No,No,No,No,1473,74.1,19.8,37.90%,7.80%,0.20%,4.30%,28.90%,0.70%,11.50%,46.60%,47.3
164,Colorado Connections @ 27J,https://www.schooldigger.com/go/CO/schools/0258006488/school.aspx,School District 27J,https://www.schooldigger.com/go/CO/district/02580/search.aspx,8 Inverness Drive E Suite 240,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Arapahoe County,(303) 794-2302,KG,12,(n/a),No,(n/a),Yes,2042,91.6,22.2,,6.10%,1.00%,1.70%,31.60%,0.80%,6.40%,52.30%,46.7
165,Simla High School,https://www.schooldigger.com/go/CO/schools/0660001139/school.aspx,Big Sandy School District No. 100J,https://www.schooldigger.com/go/CO/district/06600/search.aspx,18091 County Road 125,Simla,https://www.schooldigger.com/go/CO/city/Simla/search.aspx,80835,Elbert County,(719) 541-2291,9,12,No,No,No,No,101,9.6,10.5,49.50%,0.00%,0.00%,0.00%,11.90%,0.00%,1.00%,87.10%,46.6
166,Dolores High School,https://www.schooldigger.com/go/CO/schools/0339000432/school.aspx,Dolores School District No. Re-4A,https://www.schooldigger.com/go/CO/district/03390/search.aspx,1301 Central Avenue,Dolores,https://www.schooldigger.com/go/CO/city/Dolores/search.aspx,81323,Montezuma County,(970) 882-7288,9,12,No,No,No,No,186,16.1,11.5,48.40%,0.00%,4.30%,0.00%,15.60%,0.00%,1.60%,78.50%,46.5
167,Flagler Public School,https://www.schooldigger.com/go/CO/schools/0226000509/school.aspx,Arriba-Flagler Consolidated School District No. 20,https://www.schooldigger.com/go/CO/district/02260/search.aspx,421 Julian,Flagler,https://www.schooldigger.com/go/CO/city/Flagler/search.aspx,80815,Kit Carson County,(719) 765-4684,PK,12,Yes,No,No,No,186,16.6,11.1,41.40%,0.00%,0.00%,0.50%,5.90%,0.50%,3.20%,89.80%,46.5
168,Frederick Senior High School,https://www.schooldigger.com/go/CO/schools/0537000902/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,5960 Tipple Parkway,Frederick,https://www.schooldigger.com/go/CO/city/Frederick/search.aspx,80514,Weld County,(303) 833-3533,9,12,No,No,No,No,1491,66.5,22.4,40.60%,1.10%,0.50%,1.90%,38.70%,0.10%,3.50%,54.20%,46.3
169,Idalia Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0001801742/school.aspx,Idalia Rj-3 School District,https://www.schooldigger.com/go/CO/district/00018/search.aspx,26845 County Road 9.2,Idalia,https://www.schooldigger.com/go/CO/city/Idalia/search.aspx,80735,Yuma County,(970) 354-7298,7,12,No,No,No,No,79,7.2,10.9,59.50%,0.00%,0.00%,0.00%,21.50%,0.00%,0.00%,78.50%,46.2
170,Coal Ridge High School,https://www.schooldigger.com/go/CO/schools/0624001906/school.aspx,Garfield School District No. Re-2,https://www.schooldigger.com/go/CO/district/06240/search.aspx,35947 Highway 6,New Castle,https://www.schooldigger.com/go/CO/city/New+Castle/search.aspx,81647,Garfield County,(970) 625-6700,9,12,No,No,No,No,578,29.2,19.7,40.10%,0.20%,0.30%,0.20%,49.70%,0.00%,2.10%,47.60%,46.1
171,Severance High School,https://www.schooldigger.com/go/CO/schools/0735006783/school.aspx,Weld County Reorganized School District No. Re-4,https://www.schooldigger.com/go/CO/district/07350/search.aspx,1200 Hidden Valley Parkway,Severance,https://www.schooldigger.com/go/CO/city/Severance/search.aspx,80550,Weld County,(970) 833-7100,9,12,No,No,No,No,943,52.8,17.8,28.30%,1.60%,0.70%,1.40%,27.50%,0.00%,2.40%,66.40%,45.8
172,Colorado Preparatory Academy High School,https://www.schooldigger.com/go/CO/schools/0028206600/school.aspx,Education Reenvisioned BOCES,https://www.schooldigger.com/go/CO/district/00282/search.aspx,8601 Turnpike Dr. Suite 100,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80031,Adams County,(720) 381-2047,9,12,No,No,No,Yes,823,29.9,27.4,,6.70%,1.00%,1.20%,32.60%,0.10%,7.80%,50.70%,45.4
173,Roosevelt High School,https://www.schooldigger.com/go/CO/schools/0483000810/school.aspx,Weld County School District No. Re-5J,https://www.schooldigger.com/go/CO/district/04830/search.aspx,3349 Roosevelt Parkway,Johnstown,https://www.schooldigger.com/go/CO/city/Johnstown/search.aspx,80534,Weld County,(970) 587-4633,9,12,No,No,No,No,1184,59.4,19.9,31.50%,0.60%,0.30%,1.00%,33.30%,0.30%,2.90%,61.70%,44.9
174,Smoky Hill High School,https://www.schooldigger.com/go/CO/schools/0291000203/school.aspx,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,16100 East Smoky Hill Road,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80015,Arapahoe County,(720) 886-5300,9,12,No,No,No,No,2297,115,19.9,48.60%,16.30%,0.30%,5.50%,33.30%,0.50%,9.50%,34.20%,44.6
175,Eaton High School,https://www.schooldigger.com/go/CO/schools/0360000476/school.aspx,Weld County School District No. Re-2,https://www.schooldigger.com/go/CO/district/03600/search.aspx,1661 Collins Street,Eaton,https://www.schooldigger.com/go/CO/city/Eaton/search.aspx,80615,Weld County,(970) 454-3374,9,12,No,No,No,No,567,31.2,18.1,31.40%,0.40%,0.00%,0.20%,22.80%,0.00%,2.50%,74.30%,44.3
176,Victory Preparatory Academy High State Charter School,https://www.schooldigger.com/go/CO/schools/0002006585/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,5701 Quebec Street,Commerce City,https://www.schooldigger.com/go/CO/city/Commerce+City/search.aspx,80022,Adams County,(303) 288-6111,9,12,Yes,Yes,No,No,118,8.9,13.1,83.10%,0.00%,0.00%,0.00%,93.20%,0.00%,0.80%,5.90%,43.9
177,Central High School,https://www.schooldigger.com/go/CO/schools/0435000600/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,3130 E1/2 Road,Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81504,Mesa County,(970) 254-6200,9,12,No,No,No,No,1352,79.5,16.9,58.30%,0.40%,0.40%,0.80%,37.00%,0.40%,3.80%,57.10%,43.8
178,Kiowa High School,https://www.schooldigger.com/go/CO/schools/0501000825/school.aspx,School District No. C-2,https://www.schooldigger.com/go/CO/district/05010/search.aspx,525 Commanche St,Kiowa,https://www.schooldigger.com/go/CO/city/Kiowa/search.aspx,80117,Elbert County,(303) 621-2115,9,12,No,No,No,No,67,5.5,12.1,43.30%,3.00%,1.50%,0.00%,19.40%,0.00%,1.50%,74.60%,43.4
179,Thompson Valley High School,https://www.schooldigger.com/go/CO/schools/0540000938/school.aspx,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,1669 Eagle Drive,Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80537,Larimer County,(970) 613-7900,9,12,No,No,No,No,1005,51.9,19.3,31.50%,0.70%,1.10%,1.10%,23.20%,0.00%,3.60%,70.30%,43.4
180,South Park High School,https://www.schooldigger.com/go/CO/schools/0384000503/school.aspx,Park County School District No. Re-2,https://www.schooldigger.com/go/CO/district/03840/search.aspx,640 Hathaway Street,Fairplay,https://www.schooldigger.com/go/CO/city/Fairplay/search.aspx,80440,Park County,(719) 836-4410,9,12,No,No,No,No,121,6.7,17.8,44.60%,0.00%,1.70%,3.30%,16.50%,0.00%,5.80%,72.70%,43.3
181,Mountain View High School,https://www.schooldigger.com/go/CO/schools/0540001786/school.aspx,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,3500 Mountain Lion Drive,Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80537,Larimer County,(970) 613-7800,9,12,No,No,No,No,1074,57.9,18.5,34.30%,1.50%,0.80%,1.60%,31.40%,0.10%,5.10%,59.50%,43
182,Akron High School,https://www.schooldigger.com/go/CO/schools/0204000025/school.aspx,Akron School District No. R-1,https://www.schooldigger.com/go/CO/district/02040/search.aspx,600 Elm Avenue,Akron,https://www.schooldigger.com/go/CO/city/Akron/search.aspx,80720,Washington County,(970) 345-2268,9,12,No,No,No,No,110,11.1,9.9,44.50%,0.00%,0.90%,3.60%,20.90%,0.00%,1.80%,72.70%,42.9
183,Union Colony Preparatory School,https://www.schooldigger.com/go/CO/schools/0441001615/school.aspx,GreeleySchool District No. 6,https://www.schooldigger.com/go/CO/district/04410/search.aspx,2000 Clubhouse Drive,Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80634,Weld County,(970) 673-4546,6,12,No,Yes,No,No,333,16.4,20.2,61.30%,2.40%,0.60%,2.70%,60.70%,1.80%,1.80%,30.00%,42.8
184,Coronado High School,https://www.schooldigger.com/go/CO/schools/0306000228/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,1590 West Fillmore Street,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80904,El Paso County,(719) 328-3600,9,12,No,No,No,No,1279,54.9,23.2,48.30%,3.60%,0.60%,1.60%,29.50%,0.20%,8.90%,55.50%,42.6
185,Eagle Ridge Academy,https://www.schooldigger.com/go/CO/schools/0258006474/school.aspx,School District 27J,https://www.schooldigger.com/go/CO/district/02580/search.aspx,3551 Southern Street,Brighton,https://www.schooldigger.com/go/CO/city/Brighton/search.aspx,80601,Adams County,(303) 345-4380,9,12,No,Yes,No,No,593,23.5,25.2,40.60%,2.50%,0.30%,1.50%,49.40%,0.00%,2.40%,43.80%,42
186,Delta High School,https://www.schooldigger.com/go/CO/schools/0333000297/school.aspx,Delta County Joint District No. 50,https://www.schooldigger.com/go/CO/district/03330/search.aspx,1400 Pioneer Road,Delta,https://www.schooldigger.com/go/CO/city/Delta/search.aspx,81416,Delta County,(970) 874-8031,9,12,No,No,No,No,626,39.1,16,51.90%,0.30%,0.00%,2.90%,34.30%,0.00%,4.00%,58.50%,41.9
187,Grand River Academy,https://www.schooldigger.com/go/CO/schools/0435006498/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,600 N 14th St,Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81501,Mesa County,(970) 254-5343,KG,12,No,No,No,Yes,461,30.7,14.9,60.70%,0.00%,0.20%,0.20%,18.90%,0.20%,4.60%,75.90%,41.7
188,Pueblo County High School,https://www.schooldigger.com/go/CO/schools/0615001079/school.aspx,Pueblo County School District 70,https://www.schooldigger.com/go/CO/district/06150/search.aspx,1050  35th Lane,Pueblo,https://www.schooldigger.com/go/CO/city/Pueblo/search.aspx,81006,Pueblo County,(719) 948-3352,9,12,No,No,No,No,1148,58.1,19.7,51.80%,0.30%,0.10%,0.30%,47.30%,0.00%,4.20%,47.80%,41.6
189,Pueblo West High School,https://www.schooldigger.com/go/CO/schools/0615001613/school.aspx,Pueblo County School District 70,https://www.schooldigger.com/go/CO/district/06150/search.aspx,661 Capistrano Drive,Pueblo West,https://www.schooldigger.com/go/CO/city/Pueblo+West/search.aspx,81007,Pueblo County,(719) 547-8050,9,12,No,No,No,No,1540,72.5,21.2,43.40%,0.80%,0.20%,0.80%,38.30%,0.20%,7.10%,52.50%,41.5
