School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
Haworth High School,https://www.schooldigger.com/go/OK/schools/1408000663/school.aspx,Haworth,https://www.schooldigger.com/go/OK/district/14080/search.aspx,409 N  Elm Street,Haworth,https://www.schooldigger.com/go/OK/city/Haworth/search.aspx,74740,McCurtain County,(580) 245-1460,9,12,Yes,No,(n/a),No,164,9.1,17.8,65.9,11,22,1.2,5.5,0,6.1,54.3,52.4
Watonga High School,https://www.schooldigger.com/go/OK/schools/3177001758/school.aspx,Watonga,https://www.schooldigger.com/go/OK/district/31770/search.aspx,1200 Eagle Lane,Watonga,https://www.schooldigger.com/go/OK/city/Watonga/search.aspx,73772,Blaine County,(580) 623-7362,9,12,Yes,No,(n/a),No,188,15.4,12.1,71.8,5.3,8,0,19.7,0,12.2,54.8,51.7
Blair High School,https://www.schooldigger.com/go/OK/schools/0465000158/school.aspx,Blair,https://www.schooldigger.com/go/OK/district/04650/search.aspx,610 Zinn Street,Blair,https://www.schooldigger.com/go/OK/city/Blair/search.aspx,73526,Jackson County,(580) 563-2486,9,12,No,No,(n/a),No,76,6.2,12,40.8,1.3,3.9,1.3,25,0,1.3,67.1,51.5
Minco High School,https://www.schooldigger.com/go/OK/schools/2010029671/school.aspx,Minco,https://www.schooldigger.com/go/OK/district/20100/search.aspx,701 SW 3rd Street,Minco,https://www.schooldigger.com/go/OK/city/Minco/search.aspx,73059,Grady County,(405) 352-4377,9,12,No,No,(n/a),No,172,13.7,12.5,34.9,0.6,2.9,0,12.2,0,14.5,69.8,51.5
Guthrie High School,https://www.schooldigger.com/go/OK/schools/1356000633/school.aspx,Guthrie,https://www.schooldigger.com/go/OK/district/13560/search.aspx,200 North Crooks Drive,Guthrie,https://www.schooldigger.com/go/OK/city/Guthrie/search.aspx,73044,Logan County,(405) 282-5906,9,12,Yes,No,(n/a),No,845,57.3,14.7,43.9,7.2,3.4,0.1,16.9,0,12.7,59.6,51.3
Duncan High School,https://www.schooldigger.com/go/OK/schools/1029000446/school.aspx,Duncan,https://www.schooldigger.com/go/OK/district/10290/search.aspx,515 North 19th,Duncan,https://www.schooldigger.com/go/OK/city/Duncan/search.aspx,73533,Stephens County,(580) 255-0700,9,12,No,No,(n/a),No,895,52.2,17.1,52.6,3.7,5,1.2,20.9,0.1,8.6,60.4,51.2
Silo High School,https://www.schooldigger.com/go/OK/schools/2764001470/school.aspx,Silo,https://www.schooldigger.com/go/OK/district/27640/search.aspx,122 West Bourne Street,Durant,https://www.schooldigger.com/go/OK/city/Durant/search.aspx,74701,Bryan County,(580) 924-7000,9,12,No,No,(n/a),No,211,16.5,12.7,60.2,1.4,13.7,0,4.3,0,15.2,65.4,51.2
MacArthur High School,https://www.schooldigger.com/go/OK/schools/1725000822/school.aspx,Lawton,https://www.schooldigger.com/go/OK/district/17250/search.aspx,4402 East Gore Boulevard,Lawton,https://www.schooldigger.com/go/OK/city/Lawton/search.aspx,73501,Comanche County,(580) 355-5230,9,12,Yes,No,(n/a),No,1002,58.5,17.1,42.4,19.3,5.2,1.8,18.8,1,10.2,43.8,50.8
Vinita High School,https://www.schooldigger.com/go/OK/schools/3129001729/school.aspx,Vinita,https://www.schooldigger.com/go/OK/district/31290/search.aspx,801 North Adair,Vinita,https://www.schooldigger.com/go/OK/city/Vinita/search.aspx,74301,Craig County,(918) 256-6777,9,12,No,No,(n/a),No,350,24.2,14.4,53.7,3.1,38.9,1.7,4,0,12.9,39.4,50.7
Poteau High School,https://www.schooldigger.com/go/OK/schools/2487001310/school.aspx,Poteau,https://www.schooldigger.com/go/OK/district/24870/search.aspx,100 Mockingbird Lane,Poteau,https://www.schooldigger.com/go/OK/city/Poteau/search.aspx,74953,Le Flore County,(918) 647-7716,9,12,Yes,No,(n/a),No,626,36.2,17.2,53.4,0.2,12.5,0.8,20,0,16.6,50,50.3
Hooker High School,https://www.schooldigger.com/go/OK/schools/1509029763/school.aspx,Hooker,https://www.schooldigger.com/go/OK/district/15090/search.aspx,301 N Broadway,Hooker,https://www.schooldigger.com/go/OK/city/Hooker/search.aspx,73945,Texas County,(580) 652-2516,9,12,No,No,(n/a),No,173,14.1,12.2,49.7,0,0,1.2,56.6,0,1.7,40.5,50.1
Meeker High School,https://www.schooldigger.com/go/OK/schools/1968000938/school.aspx,Meeker,https://www.schooldigger.com/go/OK/district/19680/search.aspx,214 E Carl Hubbell Blvd,Meeker,https://www.schooldigger.com/go/OK/city/Meeker/search.aspx,74855,Lincoln County,(405) 788-4540,9,12,Yes,No,(n/a),No,233,17.2,13.4,59.2,1.7,7.7,0,4.7,0,18,67.8,49.9
Bridge Creek High School,https://www.schooldigger.com/go/OK/schools/0540029677/school.aspx,Bridge Creek,https://www.schooldigger.com/go/OK/district/05400/search.aspx,2209 East Sooner Road,Blanchard,https://www.schooldigger.com/go/OK/city/Blanchard/search.aspx,73010,Grady County,(405) 387-3981,9,12,No,No,(n/a),No,463,25.2,18.3,30.5,0.9,4.3,0,9.7,0,7.1,78,49.8
Fort Cobb-Broxton High School,https://www.schooldigger.com/go/OK/schools/3360229844/school.aspx,Fort Cobb-Broxton,https://www.schooldigger.com/go/OK/district/33602/search.aspx,514 W Towakonie Ave,Fort Cobb,https://www.schooldigger.com/go/OK/city/Fort+Cobb/search.aspx,73038,Caddo County,(405) 643-2820,9,12,No,No,(n/a),No,75,6.8,10.8,65.3,0,25.3,0,5.3,0,9.3,60,49.7
Union High School,https://www.schooldigger.com/go/OK/schools/3060001704/school.aspx,Union,https://www.schooldigger.com/go/OK/district/30600/search.aspx,6636 South Mingo Road,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74133,Tulsa County,(918) 357-4323,10,12,No,No,(n/a),No,3304,153.7,21.4,49,15.6,4.7,7.6,35.7,0.2,8.4,27.7,49.4
Cushing High School,https://www.schooldigger.com/go/OK/schools/0924000387/school.aspx,Cushing,https://www.schooldigger.com/go/OK/district/09240/search.aspx,1700 East Walnut Street,Cushing,https://www.schooldigger.com/go/OK/city/Cushing/search.aspx,74023,Payne County,(918) 225-6622,9,12,No,No,(n/a),No,474,37.5,12.6,34,1.3,13.1,1.1,6.3,0,13.7,64.6,49.1
Byng High School,https://www.schooldigger.com/go/OK/schools/0606029752/school.aspx,Byng,https://www.schooldigger.com/go/OK/district/06060/search.aspx,214 Stokes Drive,Ada,https://www.schooldigger.com/go/OK/city/Ada/search.aspx,74820,Pontotoc County,(580) 310-6733,10,12,Yes,No,(n/a),No,298,23.7,12.5,40.6,2.3,30.2,1,5.4,0,16.8,44.3,48.7
Pauls Valley High School,https://www.schooldigger.com/go/OK/schools/2355001870/school.aspx,Pauls Valley,https://www.schooldigger.com/go/OK/district/23550/search.aspx,601 North Street,Pauls Valley,https://www.schooldigger.com/go/OK/city/Pauls+Valley/search.aspx,73075,Garvin County,(405) 238-6497,10,12,Yes,No,(n/a),No,273,21.9,12.4,47.6,5.5,15.4,1.1,24.9,0.4,0.4,52.4,48.1
Durant High School,https://www.schooldigger.com/go/OK/schools/1035000456/school.aspx,Durant,https://www.schooldigger.com/go/OK/district/10350/search.aspx,950 Gerlach Drive,Durant,https://www.schooldigger.com/go/OK/city/Durant/search.aspx,74701,Bryan County,(580) 924-4424,9,12,No,No,(n/a),No,886,58,15.2,54.2,2.3,23.4,1.4,15,0.3,8.8,48.9,47.8
Tecumseh High School,https://www.schooldigger.com/go/OK/schools/2961001555/school.aspx,Tecumseh,https://www.schooldigger.com/go/OK/district/29610/search.aspx,901 North Thirteenth Street,Tecumseh,https://www.schooldigger.com/go/OK/city/Tecumseh/search.aspx,74873,Pottawatomie County,(405) 598-2113,9,12,No,No,(n/a),No,594,41.1,14.4,51.7,2,19.4,0,6.9,0,10.6,61.1,47.1
Kingfisher High School,https://www.schooldigger.com/go/OK/schools/1656000771/school.aspx,Kingfisher,https://www.schooldigger.com/go/OK/district/16560/search.aspx,1500 South 13th Street,Kingfisher,https://www.schooldigger.com/go/OK/city/Kingfisher/search.aspx,73750,Kingfisher County,(405) 375-4191,9,12,Yes,No,(n/a),No,414,29.5,14,46.1,0.2,5.1,0,23.4,0,9.9,61.4,46.7
Sperry High School,https://www.schooldigger.com/go/OK/schools/2817001490/school.aspx,Sperry,https://www.schooldigger.com/go/OK/district/28170/search.aspx,400 West Main Street,Sperry,https://www.schooldigger.com/go/OK/city/Sperry/search.aspx,74073,Tulsa County,(918) 288-7213,9,12,No,No,(n/a),No,272,15.6,17.3,29.8,0.7,29,0.7,9.2,0,7.7,52.6,46.3
Barnsdall High School,https://www.schooldigger.com/go/OK/schools/0357029727/school.aspx,Barnsdall,https://www.schooldigger.com/go/OK/district/03570/search.aspx,200 S  8th St,Barnsdall,https://www.schooldigger.com/go/OK/city/Barnsdall/search.aspx,74002,Osage County,(918) 847-2721,9,12,No,No,(n/a),No,105,8,13,54.3,0,38.1,0,1.9,0,7.6,52.4,46.3
Chelsea High School,https://www.schooldigger.com/go/OK/schools/0738000293/school.aspx,Chelsea,https://www.schooldigger.com/go/OK/district/07380/search.aspx,801 W 6th,Chelsea,https://www.schooldigger.com/go/OK/city/Chelsea/search.aspx,74016,Rogers County,(918) 789-2533,9,12,No,No,(n/a),No,221,16.6,13.2,71,1.8,56.1,0.9,0.9,0,3.2,37.1,46.2
Tulsa School Arts Sciences High School,https://www.schooldigger.com/go/OK/schools/0077402862/school.aspx,School Arts/Sci (Charter),https://www.schooldigger.com/go/OK/district/00774/search.aspx,1202 W Easton,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74127,Tulsa County,(405) 828-7727,9,12,Yes,Yes,(n/a),No,295,19,15.4,56.9,18.6,7.1,0.3,15.9,0,12.5,45.4,46.1
Spiro High School,https://www.schooldigger.com/go/OK/schools/2820001493/school.aspx,Spiro,https://www.schooldigger.com/go/OK/district/28200/search.aspx,600 West Broadway Street,Spiro,https://www.schooldigger.com/go/OK/city/Spiro/search.aspx,74959,Le Flore County,(918) 962-2493,9,12,No,No,(n/a),No,303,18.4,16.4,58.4,7.6,29.7,0.7,4.6,0,1.3,56.1,45.7
Cheyenne High School,https://www.schooldigger.com/go/OK/schools/0750000300/school.aspx,Cheyenne,https://www.schooldigger.com/go/OK/district/07500/search.aspx,910 E Buster Avenue,Cheyenne,https://www.schooldigger.com/go/OK/city/Cheyenne/search.aspx,73628,Roger Mills County,(580) 497-3371,9,12,No,No,(n/a),No,77,8.5,9,40.3,0,0,0,13,0,7.8,79.2,45.5
Kingston High School,https://www.schooldigger.com/go/OK/schools/1659000774/school.aspx,Kingston,https://www.schooldigger.com/go/OK/district/16590/search.aspx,400 NE 3rd,Kingston,https://www.schooldigger.com/go/OK/city/Kingston/search.aspx,73439,Marshall County,(580) 564-2384,9,12,Yes,No,(n/a),No,335,25.3,13.1,82.7,0.6,39.4,0,5.1,0,4.5,50.4,44.5
Davis High School,https://www.schooldigger.com/go/OK/schools/0951000410/school.aspx,Davis,https://www.schooldigger.com/go/OK/district/09510/search.aspx,400 East Atlanta Avenue,Davis,https://www.schooldigger.com/go/OK/city/Davis/search.aspx,73030,Murray County,(580) 369-5541,9,12,No,No,(n/a),No,245,18.6,13.1,46.5,1.2,27.8,0,6.1,0,1.2,63.7,44.4
Eisenhower High School,https://www.schooldigger.com/go/OK/schools/1725000809/school.aspx,Lawton,https://www.schooldigger.com/go/OK/district/17250/search.aspx,5202 West Gore Boulevard,Lawton,https://www.schooldigger.com/go/OK/city/Lawton/search.aspx,73505,Comanche County,(580) 355-9144,9,12,Yes,No,(n/a),No,1160,66.1,17.5,51,28,5.5,4.2,16.6,1.2,10.6,33.8,44.1
Noble High School,https://www.schooldigger.com/go/OK/schools/2163001064/school.aspx,Noble,https://www.schooldigger.com/go/OK/district/21630/search.aspx,4601 East Etowah Road,Noble,https://www.schooldigger.com/go/OK/city/Noble/search.aspx,73068,Cleveland County,(405) 872-3441,9,12,Yes,No,(n/a),No,760,43.9,17.2,54.7,1.8,13.8,0.4,6.4,0.1,2.8,74.6,43.8
Central High School,https://www.schooldigger.com/go/OK/schools/0714000280/school.aspx,Central,https://www.schooldigger.com/go/OK/district/07140/search.aspx,108089 South 4670 Road,Sallisaw,https://www.schooldigger.com/go/OK/city/Sallisaw/search.aspx,74955,Sequoyah County,(918) 775-5525,9,12,No,No,(n/a),No,179,11.8,15,65.4,1.7,41.9,0,7.3,0,21.8,27.4,43.3
Vian High School,https://www.schooldigger.com/go/OK/schools/3114001725/school.aspx,Vian,https://www.schooldigger.com/go/OK/district/31140/search.aspx,301 West Hunter,Vian,https://www.schooldigger.com/go/OK/city/Vian/search.aspx,74962,Sequoyah County,(918) 773-5475,9,12,No,No,(n/a),No,224,19.5,11.4,72.8,5.4,57.1,0,1.3,0,2.2,33.9,43.2
Mounds High School,https://www.schooldigger.com/go/OK/schools/2055001019/school.aspx,Mounds,https://www.schooldigger.com/go/OK/district/20550/search.aspx,1603 Russell Ave,Mounds,https://www.schooldigger.com/go/OK/city/Mounds/search.aspx,74047,Creek County,(918) 827-6100,9,12,No,No,(n/a),No,182,11.7,15.5,53.3,2.2,19.8,0,8.2,0,9.9,59.9,42.6
Yale High School,https://www.schooldigger.com/go/OK/schools/3336029743/school.aspx,Yale,https://www.schooldigger.com/go/OK/district/33360/search.aspx,315 East Chicago Avenue,Yale,https://www.schooldigger.com/go/OK/city/Yale/search.aspx,74085,Payne County,(918) 387-2434,9,12,Yes,No,(n/a),No,125,8.6,14.4,43.2,0,25.6,0,4,0,4.8,65.6,42.6
Mannford High School,https://www.schooldigger.com/go/OK/schools/1884000894/school.aspx,Mannford,https://www.schooldigger.com/go/OK/district/18840/search.aspx,220 Evans Avenue,Mannford,https://www.schooldigger.com/go/OK/city/Mannford/search.aspx,74044,Creek County,(918) 865-3841,9,12,No,No,(n/a),No,427,29.7,14.3,40.3,0.5,17.8,0.7,4,0,2.6,74.5,42.4
Wilburton High School,https://www.schooldigger.com/go/OK/schools/3279001811/school.aspx,Wilburton,https://www.schooldigger.com/go/OK/district/32790/search.aspx,1201 West Blair Avenue,Wilburton,https://www.schooldigger.com/go/OK/city/Wilburton/search.aspx,74578,Latimer County,(918) 465-2882,9,12,Yes,No,(n/a),No,223,15.8,14.1,51.6,1.3,30.5,0.4,6.3,0,6.3,55.2,42.3
Hobart High School,https://www.schooldigger.com/go/OK/schools/1470000691/school.aspx,Hobart,https://www.schooldigger.com/go/OK/district/14700/search.aspx,400 N Jefferson Street,Hobart,https://www.schooldigger.com/go/OK/city/Hobart/search.aspx,73651,Kiowa County,(580) 726-5611,9,12,No,No,(n/a),No,188,17.5,10.7,55.9,8.5,2.7,1.6,12.8,0,11.7,62.8,42.2
Blackwell High School,https://www.schooldigger.com/go/OK/schools/0463000151/school.aspx,Blackwell,https://www.schooldigger.com/go/OK/district/04630/search.aspx,303 East Coolidge Avenue,Blackwell,https://www.schooldigger.com/go/OK/city/Blackwell/search.aspx,74631,Kay County,(580) 363-3553,9,12,No,No,(n/a),No,317,22.5,14,74.1,0.3,19.9,0,13.9,0,6.6,59.3,41.9
Crescent High School,https://www.schooldigger.com/go/OK/schools/0900029697/school.aspx,Crescent,https://www.schooldigger.com/go/OK/district/09000/search.aspx,106 North Magnola,Crescent,https://www.schooldigger.com/go/OK/city/Crescent/search.aspx,73028,Logan County,(405) 969-2545,9,12,No,No,(n/a),No,179,12.4,14.3,45.3,5,13.4,0,2.2,0,3.9,75.4,41.7
Stroud High School,https://www.schooldigger.com/go/OK/schools/2907001528/school.aspx,Stroud,https://www.schooldigger.com/go/OK/district/29070/search.aspx,1096 E 7th Street,Stroud,https://www.schooldigger.com/go/OK/city/Stroud/search.aspx,74079,Lincoln County,(918) 968-2542,9,12,No,No,(n/a),No,210,18.1,11.5,38.6,5.7,12.4,0,4.8,0.5,8.1,68.6,41.4
Roland High School,https://www.schooldigger.com/go/OK/schools/2631001385/school.aspx,Roland,https://www.schooldigger.com/go/OK/district/26310/search.aspx,300 Ranger Boulevard,Roland,https://www.schooldigger.com/go/OK/city/Roland/search.aspx,74954,Sequoyah County,(918) 427-4601,9,12,Yes,No,(n/a),No,311,23.6,13.1,67.5,3.9,19,0,7.4,0,24.1,45.7,41.4
Grove High School,https://www.schooldigger.com/go/OK/schools/1353000626/school.aspx,Grove,https://www.schooldigger.com/go/OK/district/13530/search.aspx,300 Ford Road,Grove,https://www.schooldigger.com/go/OK/city/Grove/search.aspx,74344,Delaware County,(918) 786-3003,9,12,No,No,(n/a),No,699,41.5,16.8,52.5,0.9,33,0.3,6.3,0.1,2.3,57.1,41.4
Hilldale High School,https://www.schooldigger.com/go/OK/schools/1452001898/school.aspx,Hilldale,https://www.schooldigger.com/go/OK/district/14520/search.aspx,300 East Smith Ferry Road,Muskogee,https://www.schooldigger.com/go/OK/city/Muskogee/search.aspx,74403,Muskogee County,(918) 683-3253,9,12,No,No,(n/a),No,541,28.2,19.1,54.2,4.6,45.3,1.1,5.5,0.4,3.3,39.7,41.4
Howe High School,https://www.schooldigger.com/go/OK/schools/1512000709/school.aspx,Howe,https://www.schooldigger.com/go/OK/district/15120/search.aspx,21444 E N  Railroad Street,Howe,https://www.schooldigger.com/go/OK/city/Howe/search.aspx,74940,Le Flore County,(918) 658-3368,9,12,No,No,(n/a),No,214,14.5,14.6,50.9,1.4,28.5,0.9,10.3,0,3.3,55.6,40.6
Wright City High School,https://www.schooldigger.com/go/OK/schools/3321029702/school.aspx,Wright City,https://www.schooldigger.com/go/OK/district/33210/search.aspx,701 School St,Wright City,https://www.schooldigger.com/go/OK/city/Wright+City/search.aspx,74766,McCurtain County,(580) 981-2558,9,12,Yes,No,(n/a),No,134,9.8,13.6,64.2,2.2,34.3,0,0,0,2.2,61.2,40.5
Caddo High School,https://www.schooldigger.com/go/OK/schools/0615029619/school.aspx,Caddo,https://www.schooldigger.com/go/OK/district/06150/search.aspx,600 S  McPherren,Caddo,https://www.schooldigger.com/go/OK/city/Caddo/search.aspx,74729,Bryan County,(580) 367-2208,9,12,No,No,(n/a),No,134,12.8,10.4,64.9,0,32.1,0,0.7,0,10.4,56.7,40.4
Leflore High School,https://www.schooldigger.com/go/OK/schools/1728000841/school.aspx,Le Flore,https://www.schooldigger.com/go/OK/district/17280/search.aspx,43172 South Booth Avenue,Leflore,https://www.schooldigger.com/go/OK/city/Leflore/search.aspx,74942,Le Flore County,(918) 753-2345,9,12,No,No,(n/a),No,70,6.9,10.1,91.4,0,48.6,0,0,0,0,51.4,39.3
Altus High School,https://www.schooldigger.com/go/OK/schools/0285000030/school.aspx,Altus,https://www.schooldigger.com/go/OK/district/02850/search.aspx,400 North Park Avenue,Altus,https://www.schooldigger.com/go/OK/city/Altus/search.aspx,73521,Jackson County,(580) 481-2167,9,12,Yes,No,(n/a),No,829,49.8,16.6,36.6,6.8,1.4,1.6,39.3,0.8,7.2,42.8,39
Sapulpa High School,https://www.schooldigger.com/go/OK/schools/2691001422/school.aspx,Sapulpa,https://www.schooldigger.com/go/OK/district/26910/search.aspx,3 South Mission Street,Sapulpa,https://www.schooldigger.com/go/OK/city/Sapulpa/search.aspx,74066,Creek County,(918) 224-6560,10,12,Yes,No,(n/a),No,872,53.9,16.1,42.5,4.6,17.7,0.6,8.8,0.2,17,51.1,38.5
Luther High School,https://www.schooldigger.com/go/OK/schools/1863000883/school.aspx,Luther,https://www.schooldigger.com/go/OK/district/18630/search.aspx,18001 Luther Rd,Luther,https://www.schooldigger.com/go/OK/city/Luther/search.aspx,73054,Oklahoma County,(405) 277-3263,9,12,No,No,(n/a),No,242,15.8,15.3,32.6,7,8.3,0.8,11.6,0,11.2,61.2,38
Collinsville High School,https://www.schooldigger.com/go/OK/schools/0837000349/school.aspx,Collinsville,https://www.schooldigger.com/go/OK/district/08370/search.aspx,2400 West Broadway Street,Collinsville,https://www.schooldigger.com/go/OK/city/Collinsville/search.aspx,74021,Tulsa County,(918) 371-3382,9,12,No,No,(n/a),No,797,46.9,16.9,43.4,0.5,18.7,3.5,6.5,0,17.1,53.7,37.2
Dibble High School,https://www.schooldigger.com/go/OK/schools/0987029698/school.aspx,Dibble,https://www.schooldigger.com/go/OK/district/09870/search.aspx,22092 Old Town 1st,Blanchard,https://www.schooldigger.com/go/OK/city/Blanchard/search.aspx,73010,McClain County,(405) 344-6380,9,12,No,No,(n/a),No,185,13.7,13.4,41.6,2.2,3.8,0,16.8,0,9.2,68.1,37.2
Soper High School,https://www.schooldigger.com/go/OK/schools/2796001485/school.aspx,Soper,https://www.schooldigger.com/go/OK/district/27960/search.aspx,901 St  Louis St,Soper,https://www.schooldigger.com/go/OK/city/Soper/search.aspx,74759,Choctaw County,(580) 345-2211,9,12,Yes,No,(n/a),No,105,9.2,11.4,56.2,0,52.4,1.9,2.9,0,0,42.9,37.1
Woodland High School,https://www.schooldigger.com/go/OK/schools/3004829730/school.aspx,Woodland,https://www.schooldigger.com/go/OK/district/30048/search.aspx,100 North 6th Street,Fairfax,https://www.schooldigger.com/go/OK/city/Fairfax/search.aspx,74637,Osage County,(918) 642-3295,9,12,Yes,No,(n/a),No,106,7.9,13.3,54.7,0.9,55.7,0,2.8,0,1.9,38.7,36.5
Indianola High School,https://www.schooldigger.com/go/OK/schools/1545029746/school.aspx,Indianola,https://www.schooldigger.com/go/OK/district/15450/search.aspx,900 South Hwy 113,Indianola,https://www.schooldigger.com/go/OK/city/Indianola/search.aspx,74442,Pittsburg County,(918) 558-0800,9,12,Yes,No,(n/a),No,77,6.2,12.4,98.7,0,33.8,0,2.6,0,9.1,54.5,36.2
Wister High School,https://www.schooldigger.com/go/OK/schools/3297001818/school.aspx,Wister,https://www.schooldigger.com/go/OK/district/32970/search.aspx,201 Logan Street,Wister,https://www.schooldigger.com/go/OK/city/Wister/search.aspx,74966,Le Flore County,(918) 655-7276,9,12,No,No,(n/a),No,158,10.3,15.3,59.5,0,29.7,1.3,5.1,0.6,2.5,60.8,36
Agra High School,https://www.schooldigger.com/go/OK/schools/0255000016/school.aspx,Agra,https://www.schooldigger.com/go/OK/district/02550/search.aspx,516 Lincoln,Agra,https://www.schooldigger.com/go/OK/city/Agra/search.aspx,74824,Lincoln County,(918) 375-2261,9,12,No,No,(n/a),No,81,5.5,14.7,77.8,0,27.2,0,6.2,0,0,66.7,35.3
Cleveland High School,https://www.schooldigger.com/go/OK/schools/0804000332/school.aspx,Cleveland,https://www.schooldigger.com/go/OK/district/08040/search.aspx,323 North Gilbert Ave,Cleveland,https://www.schooldigger.com/go/OK/city/Cleveland/search.aspx,74020,Pawnee County,(918) 358-2210,9,12,Yes,No,(n/a),No,473,27.4,17.2,55.2,1.7,14.4,1.1,3.2,0,1.7,78,34.9
Enid High School,https://www.schooldigger.com/go/OK/schools/1092000513/school.aspx,Enid,https://www.schooldigger.com/go/OK/district/10920/search.aspx,611 West Wabash Avenue,Enid,https://www.schooldigger.com/go/OK/city/Enid/search.aspx,73701,Garfield County,(580) 366-8300,9,12,No,No,(n/a),No,2090,108.7,19.2,61.9,2.9,2.1,1.2,26.9,12,7.8,47.2,34.5
Bennington High School,https://www.schooldigger.com/go/OK/schools/0393000124/school.aspx,Bennington,https://www.schooldigger.com/go/OK/district/03930/search.aspx,729 North Perry Street,Bennington,https://www.schooldigger.com/go/OK/city/Bennington/search.aspx,74723,Bryan County,(580) 847-2310,9,12,No,No,(n/a),No,88,7.2,12.2,78.4,1.1,42,0,1.1,0,1.1,54.5,34.1
Dimensions Academy,https://www.schooldigger.com/go/OK/schools/2172002710/school.aspx,Norman,https://www.schooldigger.com/go/OK/district/21720/search.aspx,809 N Findlay,Norman,https://www.schooldigger.com/go/OK/city/Norman/search.aspx,73071,Cleveland County,(405) 579-1880,9,12,No,No,(n/a),No,424,16.2,26.1,55.9,8,5.9,2.6,14.2,0,12,57.3,34
Broken Bow High School,https://www.schooldigger.com/go/OK/schools/0552000209/school.aspx,Broken Bow,https://www.schooldigger.com/go/OK/district/05520/search.aspx,108 West Fifth Street,Broken Bow,https://www.schooldigger.com/go/OK/city/Broken+Bow/search.aspx,74728,McCurtain County,(580) 584-3365,9,12,Yes,No,(n/a),No,611,39.1,15.6,48.4,4.7,29,1,11,3.6,1.5,49.3,33.7
Seminole High School,https://www.schooldigger.com/go/OK/schools/2730029757/school.aspx,Seminole,https://www.schooldigger.com/go/OK/district/27300/search.aspx,2703 Hwy  9 West,Seminole,https://www.schooldigger.com/go/OK/city/Seminole/search.aspx,74818,Seminole County,(405) 382-1415,9,12,No,No,(n/a),No,416,29,14.3,63.9,4.3,16.1,0.2,10.8,0.2,20.9,47.4,33.4
Idabel High School,https://www.schooldigger.com/go/OK/schools/1537000723/school.aspx,Idabel,https://www.schooldigger.com/go/OK/district/15370/search.aspx,901 Lincoln Road,Idabel,https://www.schooldigger.com/go/OK/city/Idabel/search.aspx,74745,McCurtain County,(580) 286-7693,9,12,No,No,(n/a),No,377,27.8,13.5,76.4,20.2,10.9,1.3,14.1,3.2,18.6,31.8,33
Prue High School,https://www.schooldigger.com/go/OK/schools/2517001319/school.aspx,Prue,https://www.schooldigger.com/go/OK/district/25170/search.aspx,104 Broadway,Prue,https://www.schooldigger.com/go/OK/city/Prue/search.aspx,74060,Osage County,(918) 242-3351,9,12,No,No,(n/a),No,99,6.6,14.8,74.7,2,13.1,0,5.1,0,10.1,69.7,32.9
Epic Blended Charter Tulsa High School,https://www.schooldigger.com/go/OK/schools/0080002869/school.aspx,Epic Blended Learning Charter,https://www.schooldigger.com/go/OK/district/00800/search.aspx,1900 NW Expy Floor R3,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73118,Tulsa County,(405) 749-4550,9,12,Yes,Yes,(n/a),Yes,2494,2.2,1108.4,55.7,7.3,5.1,0.5,18.4,0.1,18.3,50.3,32.4
Lawton High School,https://www.schooldigger.com/go/OK/schools/1725000819/school.aspx,Lawton,https://www.schooldigger.com/go/OK/district/17250/search.aspx,601 NW Fort Sill Blvd,Lawton,https://www.schooldigger.com/go/OK/city/Lawton/search.aspx,73507,Comanche County,(580) 355-5170,9,12,Yes,No,(n/a),No,1466,132.3,11,62.1,23,6.2,1.2,23.2,0.8,12.6,33.1,32.3
Kiefer High School,https://www.schooldigger.com/go/OK/schools/1650000768/school.aspx,Kiefer,https://www.schooldigger.com/go/OK/district/16500/search.aspx,4600 West 151st Street South,Kiefer,https://www.schooldigger.com/go/OK/city/Kiefer/search.aspx,74041,Creek County,(918) 321-3533,9,12,No,No,(n/a),No,276,13.4,20.5,30.1,1.4,23.2,0,8.7,0,10.5,56.2,32.2
Walters High School,https://www.schooldigger.com/go/OK/schools/3147001743/school.aspx,Walters,https://www.schooldigger.com/go/OK/district/31470/search.aspx,418 South Broadway Street,Walters,https://www.schooldigger.com/go/OK/city/Walters/search.aspx,73572,Cotton County,(580) 875-3257,9,12,No,No,(n/a),No,164,13.5,12,47.6,0.6,15.9,0.6,6.1,1.2,14,61.6,32.1
Frederick High School,https://www.schooldigger.com/go/OK/schools/1215000569/school.aspx,Frederick,https://www.schooldigger.com/go/OK/district/12150/search.aspx,312 N  15th,Frederick,https://www.schooldigger.com/go/OK/city/Frederick/search.aspx,73542,Tillman County,(580) 335-5521,9,12,Yes,No,(n/a),No,242,16.8,14.3,68.6,10.3,1.7,0.8,42.1,0,4.1,40.9,32
