School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Whitehall Senior High School,https://www.schooldigger.com/go/MI/schools/3630007219/school.aspx,Whitehall District Schools,https://www.schooldigger.com/go/MI/district/36300/search.aspx,3100 White Lake Dr,Whitehall,https://www.schooldigger.com/go/MI/city/Whitehall/search.aspx,49461,Muskegon County,(231) 893-1020,No,No,No,No,700,31.2,22.4,49.6,6.1,1.4,1,2.7,0.3,1.4,87,45.2
Woodhaven High School,https://www.schooldigger.com/go/MI/schools/3648507242/school.aspx,Woodhaven-Brownstown School District,https://www.schooldigger.com/go/MI/district/36485/search.aspx,24787 Van Horn Rd,Flat Rock,https://www.schooldigger.com/go/MI/city/Flat+Rock/search.aspx,48134,Wayne County,(734) 783-3333,No,No,No,No,1243,55.4,22.4,33.2,14.9,0.1,6.7,9.4,0,3.4,65.6,45.1
Lake Fenton High School,https://www.schooldigger.com/go/MI/schools/2067005730/school.aspx,Lake Fenton Community Schools,https://www.schooldigger.com/go/MI/district/20670/search.aspx,4070 Lahring Rd,Linden,https://www.schooldigger.com/go/MI/city/Linden/search.aspx,48451,Genesee County,(810) 591-9591,No,No,No,No,670,32.4,20.6,21.8,0.7,0.3,0.3,2.8,0,2.5,93.3,45
Inland Lakes Secondary School,https://www.schooldigger.com/go/MI/schools/1917005599/school.aspx,Inland Lakes Schools,https://www.schooldigger.com/go/MI/district/19170/search.aspx,4363 South Straits Hwy,Indian River,https://www.schooldigger.com/go/MI/city/Indian+River/search.aspx,49749,Cheboygan County,(231) 238-6868,No,No,No,No,336,20.7,16.2,56.8,0.3,1.5,0.3,2.1,0,4.8,91.1,44.9
Fordson High School,https://www.schooldigger.com/go/MI/schools/1160004591/school.aspx,Dearborn City School District,https://www.schooldigger.com/go/MI/district/11600/search.aspx,13800 Ford Rd,Dearborn,https://www.schooldigger.com/go/MI/city/Dearborn/search.aspx,48126,Wayne County,(313) 827-1400,Yes,No,No,No,2595,124,20.9,80.2,1.4,0,0.4,0.7,0,0.1,97.4,44.7
McBain High School,https://www.schooldigger.com/go/MI/schools/2331006016/school.aspx,McBain Rural Agricultural Schools,https://www.schooldigger.com/go/MI/district/23310/search.aspx,107 East Maple St,Mc Bain,https://www.schooldigger.com/go/MI/city/Mc+Bain/search.aspx,49657,Missaukee County,(231) 825-2412,No,No,No,No,298,13.7,21.7,33.9,0,0.3,0,6.7,0,2,90.9,44.6
Melvindale High School,https://www.schooldigger.com/go/MI/schools/2346006021/school.aspx,Melvindale-North Allen Park Schools,https://www.schooldigger.com/go/MI/district/23460/search.aspx,18656 Prospect St,Melvindale,https://www.schooldigger.com/go/MI/city/Melvindale/search.aspx,48122,Wayne County,(313) 389-3320,Yes,No,No,No,998,41.4,24,74.8,7.4,0.2,0.8,28.5,0,0.2,62.9,44.5
Summit Academy North High School,https://www.schooldigger.com/go/MI/schools/0022501195/school.aspx,Summit Academy North,https://www.schooldigger.com/go/MI/district/00225/search.aspx,18601 Middlebelt Rd,Flat Rock,https://www.schooldigger.com/go/MI/city/Flat+Rock/search.aspx,48174,Wayne County,(734) 955-1730,Yes,Yes,No,No,645,25.6,25.1,57.7,51.9,0.2,1.9,6.7,0,2.3,37.1,44.5
Huron High School,https://www.schooldigger.com/go/MI/schools/1893005567/school.aspx,Huron School District,https://www.schooldigger.com/go/MI/district/18930/search.aspx,32044 Huron River Dr,New Boston,https://www.schooldigger.com/go/MI/city/New+Boston/search.aspx,48164,Wayne County,(734) 782-1436,No,No,No,No,815,45.2,18,24.4,2,0.5,1.7,6.1,0,3.7,86,44.5
Tri County Senior High School,https://www.schooldigger.com/go/MI/schools/3393006961/school.aspx,Tri County Area Schools,https://www.schooldigger.com/go/MI/district/33930/search.aspx,21338 Kendaville Rd,Howard City,https://www.schooldigger.com/go/MI/city/Howard+City/search.aspx,49329,Montcalm County,(231) 937-4338,No,No,No,No,562,31.9,17.6,54.4,1.2,0.2,0.2,4.8,0,3.2,90.4,44.3
NexTech High School of Lansing,https://www.schooldigger.com/go/MI/schools/0101908370/school.aspx,NexTech High School of Lansing,https://www.schooldigger.com/go/MI/district/01019/search.aspx,2175 University Park Drive,Okemos,https://www.schooldigger.com/go/MI/city/Okemos/search.aspx,48864,Ingham County,(517) 347-7793,Yes,Yes,No,No,88,6,14.6,56.8,11.4,2.3,1.1,10.2,0,11.4,63.6,44.2
HillMcCloy High School,https://www.schooldigger.com/go/MI/schools/2442006104/school.aspx,Montrose Community Schools,https://www.schooldigger.com/go/MI/district/24420/search.aspx,301 Nanita Dr,Montrose,https://www.schooldigger.com/go/MI/city/Montrose/search.aspx,48457,Genesee County,(810) 591-8821,No,No,No,No,458,23.8,19.2,55.2,2.2,1.1,0.2,4.6,0,3.1,88.9,44.1
Heritage High School,https://www.schooldigger.com/go/MI/schools/3045006701/school.aspx,Saginaw Township Community Schools,https://www.schooldigger.com/go/MI/district/30450/search.aspx,3465 North Center Rd,Saginaw,https://www.schooldigger.com/go/MI/city/Saginaw/search.aspx,48603,Saginaw County,(989) 799-5790,No,No,No,No,1440,71.3,20.1,34,18.3,0.2,4.3,12.9,0.2,4,60,44.1
Lapeer High School,https://www.schooldigger.com/go/MI/schools/2118005840/school.aspx,Lapeer Community Schools,https://www.schooldigger.com/go/MI/district/21180/search.aspx,933 South Saginaw St,Lapeer,https://www.schooldigger.com/go/MI/city/Lapeer/search.aspx,48446,Lapeer County,(810) 667-2418,No,No,No,No,1266,52,24.3,36.7,0.6,0.4,1.1,2.9,0.1,3.1,91.9,44
Rogers City High School,https://www.schooldigger.com/go/MI/schools/3006006594/school.aspx,Rogers City Area Schools,https://www.schooldigger.com/go/MI/district/30060/search.aspx,1033 W Huron Ave,Rogers City,https://www.schooldigger.com/go/MI/city/Rogers+City/search.aspx,49779,Presque Isle County,(989) 734-9170,No,No,No,No,298,18.2,16.3,61.1,0.3,0.3,0.3,3,0,1,95,43.8
Hastings High School,https://www.schooldigger.com/go/MI/schools/1797005473/school.aspx,Hastings Area School District,https://www.schooldigger.com/go/MI/district/17970/search.aspx,520 West South St,Hastings,https://www.schooldigger.com/go/MI/city/Hastings/search.aspx,49058,Barry County,(269) 948-4409,No,No,No,No,800,39.4,20.3,40.6,0.1,0.9,0.3,5.3,0.1,1.1,92.3,43.7
Bullock Creek High School,https://www.schooldigger.com/go/MI/schools/0732004320/school.aspx,Bullock Creek School District,https://www.schooldigger.com/go/MI/district/07320/search.aspx,1420 South Badour Rd,Midland,https://www.schooldigger.com/go/MI/city/Midland/search.aspx,48640,Midland County,(989) 631-2340,No,No,No,No,552,26.8,20.5,30.6,0.7,0.5,0.7,2.2,0.2,1.3,94.4,43.7
Cheboygan Area High School,https://www.schooldigger.com/go/MI/schools/0891004432/school.aspx,Cheboygan Area Schools,https://www.schooldigger.com/go/MI/district/08910/search.aspx,801 West Lincoln Ave,Cheboygan,https://www.schooldigger.com/go/MI/city/Cheboygan/search.aspx,49721,Cheboygan County,(231) 627-7191,No,No,No,No,641,37,17.3,62.7,0.9,0.9,0.2,1.2,0,11.5,85.2,43
West Iron County High School,https://www.schooldigger.com/go/MI/schools/3291006842/school.aspx,West Iron County Public Schools,https://www.schooldigger.com/go/MI/district/32910/search.aspx,701 Garfield Ave,Iron River,https://www.schooldigger.com/go/MI/city/Iron+River/search.aspx,49935,Iron County,(906) 265-5184,No,No,No,No,256,15,17,67.6,0.4,2.3,0,5.1,0,2.3,89.8,43
CroswellLexington High School,https://www.schooldigger.com/go/MI/schools/1114004565/school.aspx,Croswell-Lexington Community Schools,https://www.schooldigger.com/go/MI/district/11140/search.aspx,5461 Peck Rd,Croswell,https://www.schooldigger.com/go/MI/city/Croswell/search.aspx,48422,Sanilac County,(810) 679-1500,No,No,No,No,649,29.2,22.1,39.6,0.3,0,0.5,6.8,0.2,2,90.3,43
Perry High School,https://www.schooldigger.com/go/MI/schools/2790006365/school.aspx,Perry Public Schools,https://www.schooldigger.com/go/MI/district/27900/search.aspx,2555 W Britton Rd,Perry,https://www.schooldigger.com/go/MI/city/Perry/search.aspx,48872,Shiawassee County,(517) 625-3104,No,No,No,Yes,348,18,19.3,37.6,0,0,1.1,1.1,0,5.2,92.5,42.5
Napoleon High School,https://www.schooldigger.com/go/MI/schools/2496006174/school.aspx,Napoleon Community Schools,https://www.schooldigger.com/go/MI/district/24960/search.aspx,201 West Avenue,Napoleon,https://www.schooldigger.com/go/MI/city/Napoleon/search.aspx,49261,Jackson County,(517) 536-8667,No,No,No,No,378,14.6,25.8,26.2,0,0.5,0,2.4,0.3,3.2,93.7,42.4
Richmond Community High School,https://www.schooldigger.com/go/MI/schools/2967006549/school.aspx,Richmond Community Schools,https://www.schooldigger.com/go/MI/district/29670/search.aspx,35320 Division Rd,Richmond,https://www.schooldigger.com/go/MI/city/Richmond/search.aspx,48062,Macomb County,(586) 727-3225,No,No,No,No,470,25,18.7,30.4,1.3,0.2,0.4,7.2,0.2,3.6,87,42.4
Taylor High School,https://www.schooldigger.com/go/MI/schools/3354006910/school.aspx,Taylor School District,https://www.schooldigger.com/go/MI/district/33540/search.aspx,11211 Beech Daly Rd,Taylor,https://www.schooldigger.com/go/MI/city/Taylor/search.aspx,48180,Wayne County,(734) 946-6551,Yes,No,No,No,1494,65,22.9,80.9,28.3,0.4,1.8,10.4,0,5.6,53.4,42.3
Iron Mountain High School,https://www.schooldigger.com/go/MI/schools/1941005611/school.aspx,Iron Mountain Public Schools,https://www.schooldigger.com/go/MI/district/19410/search.aspx,300 West B St,Iron Mountain,https://www.schooldigger.com/go/MI/city/Iron+Mountain/search.aspx,49801,Dickinson County,(906) 779-2610,No,No,No,No,262,11.4,22.8,33.2,1.1,0.4,1.1,3.8,0,5.7,87.8,42.3
Mason County Eastern Junior HighHigh School,https://www.schooldigger.com/go/MI/schools/2316006008/school.aspx,Mason County Eastern Schools,https://www.schooldigger.com/go/MI/district/23160/search.aspx,18 South Main St,Custer,https://www.schooldigger.com/go/MI/city/Custer/search.aspx,49405,Mason County,(231) 757-3733,No,No,No,No,184,10.1,18.1,72.3,1.6,1.1,0.5,5.4,0,6.5,84.8,42.3
Clio Area High School,https://www.schooldigger.com/go/MI/schools/1011004498/school.aspx,Clio Area School District,https://www.schooldigger.com/go/MI/district/10110/search.aspx,1 Mustang Dr,Clio,https://www.schooldigger.com/go/MI/city/Clio/search.aspx,48420,Genesee County,(810) 591-1358,No,No,No,No,846,33.3,25.4,40.5,2.1,0,0.1,4.3,0.1,3.7,89.7,42
LAnse Creuse High School,https://www.schooldigger.com/go/MI/schools/2187005912/school.aspx,L'Anse Creuse Public Schools,https://www.schooldigger.com/go/MI/district/21870/search.aspx,38495 Lanse Creuse St,Harrison Township,https://www.schooldigger.com/go/MI/city/Harrison+Township/search.aspx,48045,Macomb County,(586) 783-6400,No,No,Yes,No,1335,55.3,24.1,45.1,19.4,0.2,1,2.3,0.1,6.6,70.3,42
Hopkins High School,https://www.schooldigger.com/go/MI/schools/1857005542/school.aspx,Hopkins Public Schools,https://www.schooldigger.com/go/MI/district/18570/search.aspx,333 S Clark St,Hopkins,https://www.schooldigger.com/go/MI/city/Hopkins/search.aspx,49328,Allegan County,(269) 793-7616,No,No,No,No,522,26,20,29.7,1,1,0.4,3.8,0.2,2.1,91.6,41.9
Munising High and Middle School,https://www.schooldigger.com/go/MI/schools/2481006140/school.aspx,Munising Public Schools,https://www.schooldigger.com/go/MI/district/24810/search.aspx,810 East State Highway M28,Munising,https://www.schooldigger.com/go/MI/city/Munising/search.aspx,49862,Alger County,(906) 387-2103,No,No,No,No,344,19.1,18,53.2,0.6,15.1,0,2,0,0.9,81.4,41.7
CarsonvillePort Sanilac High School,https://www.schooldigger.com/go/MI/schools/0816004387/school.aspx,Carsonville-Port Sanilac School District,https://www.schooldigger.com/go/MI/district/08160/search.aspx,100 North Goetze Rd,Carsonville,https://www.schooldigger.com/go/MI/city/Carsonville/search.aspx,48419,Sanilac County,(810) 657-9394,No,No,No,No,183,9.2,19.7,58.5,1.1,0,0,1.1,0,1.1,96.7,41.7
Oakridge High School,https://www.schooldigger.com/go/MI/schools/2622006276/school.aspx,Oakridge Public Schools,https://www.schooldigger.com/go/MI/district/26220/search.aspx,5493 Hall Rd,Muskegon,https://www.schooldigger.com/go/MI/city/Muskegon/search.aspx,49442,Muskegon County,(231) 788-7300,No,No,No,Yes,533,29.2,18.2,53.1,2.4,1.1,0.2,11.3,0,3,82,41.6
Roosevelt High School,https://www.schooldigger.com/go/MI/schools/3654007252/school.aspx,Wyandotte School District of the City of,https://www.schooldigger.com/go/MI/district/36540/search.aspx,540 Eureka,Wyandotte,https://www.schooldigger.com/go/MI/city/Wyandotte/search.aspx,48192,Wayne County,(734) 759-5010,No,No,No,No,1342,65.4,20.5,45,4.2,0.8,0.3,12.7,0.2,3.3,78.5,41.4
ReethsPuffer High School,https://www.schooldigger.com/go/MI/schools/2954006544/school.aspx,Reeths-Puffer Schools,https://www.schooldigger.com/go/MI/district/29540/search.aspx,1545 N Roberts Rd,Muskegon,https://www.schooldigger.com/go/MI/city/Muskegon/search.aspx,49445,Muskegon County,(231) 744-1647,No,No,No,No,1122,53.6,20.9,50.1,4.7,0.3,0.4,4.3,0.1,3.2,87,41.2
Pinconning High School,https://www.schooldigger.com/go/MI/schools/2817006391/school.aspx,Pinconning Area Schools,https://www.schooldigger.com/go/MI/district/28170/search.aspx,605 West 5th St,Pinconning,https://www.schooldigger.com/go/MI/city/Pinconning/search.aspx,48650,Bay County,(989) 308-0531,No,No,No,No,384,17.3,22.1,53.9,0,0,0.5,4.2,0,2.3,93,41.2
Manistique Middle and High School,https://www.schooldigger.com/go/MI/schools/2247005963/school.aspx,Manistique Area Schools,https://www.schooldigger.com/go/MI/district/22470/search.aspx,100 North Cedar St,Manistique,https://www.schooldigger.com/go/MI/city/Manistique/search.aspx,49854,Schoolcraft County,(906) 252-4300,No,No,No,No,418,21.1,19.8,49.3,0,21.8,0.2,1.7,0,0.2,76.1,41.1
East Jordan MiddleHigh School,https://www.schooldigger.com/go/MI/schools/1256004969/school.aspx,East Jordan Public Schools,https://www.schooldigger.com/go/MI/district/12560/search.aspx,101 Maple St,East Jordan,https://www.schooldigger.com/go/MI/city/East+Jordan/search.aspx,49727,Charlevoix County,(231) 536-2259,No,No,No,No,378,21.6,17.4,53.7,0.5,1.1,0,3.7,0,2.9,91.8,41.1
Grant High School,https://www.schooldigger.com/go/MI/schools/1650005387/school.aspx,Grant Public School District,https://www.schooldigger.com/go/MI/district/16500/search.aspx,331 East State Rd,Grant,https://www.schooldigger.com/go/MI/city/Grant/search.aspx,49327,Newaygo County,(231) 834-5622,No,No,No,No,589,24.3,24.2,48,0.3,0.5,0.2,14.4,0,3.6,81,41.1
Forest Park School,https://www.schooldigger.com/go/MI/schools/1119004569/school.aspx,Forest Park School District,https://www.schooldigger.com/go/MI/district/11190/search.aspx,801 Forest Pkwy,Crystal Falls,https://www.schooldigger.com/go/MI/city/Crystal+Falls/search.aspx,49920,Iron County,(906) 214-4695,Yes,No,No,No,443,29.7,14.8,55.1,0.2,0.2,0.7,1.4,0,3.6,93.9,41
Northwest High School,https://www.schooldigger.com/go/MI/schools/2601006255/school.aspx,Northwest Community Schools,https://www.schooldigger.com/go/MI/district/26010/search.aspx,4200 Van Horn Rd,Jackson,https://www.schooldigger.com/go/MI/city/Jackson/search.aspx,49201,Jackson County,(517) 817-4702,No,No,No,No,1018,49.2,20.6,44.9,4.2,0.2,0.5,6.3,0.1,6.3,82.4,40.9
Chippewa Hills High School,https://www.schooldigger.com/go/MI/schools/0956004452/school.aspx,Chippewa Hills School District,https://www.schooldigger.com/go/MI/district/09560/search.aspx,3226 Arthur Rd,Remus,https://www.schooldigger.com/go/MI/city/Remus/search.aspx,49340,Mecosta County,(989) 967-2100,No,No,No,No,528,25.5,20.6,57.6,1.1,1.9,0,3.8,0.2,6.4,86.6,40.8
Almont High School,https://www.schooldigger.com/go/MI/schools/0267003982/school.aspx,Almont Community Schools,https://www.schooldigger.com/go/MI/district/02670/search.aspx,4701 Howland Rd,Almont,https://www.schooldigger.com/go/MI/city/Almont/search.aspx,48003,Lapeer County,(810) 798-8595,No,No,No,No,446,20.7,21.5,22,0.2,0.7,0.2,4.5,0,0.7,93.7,40.7
Airport Senior High School,https://www.schooldigger.com/go/MI/schools/0198003939/school.aspx,Airport Community Schools,https://www.schooldigger.com/go/MI/district/01980/search.aspx,11330 Grafton Rd,Carleton,https://www.schooldigger.com/go/MI/city/Carleton/search.aspx,48117,Monroe County,(734) 654-6208,No,No,No,No,759,39,19.4,47,3.6,0.7,0.3,4.5,0,0.1,90.9,40.6
Hemlock High School,https://www.schooldigger.com/go/MI/schools/1818005487/school.aspx,Hemlock Public School District,https://www.schooldigger.com/go/MI/district/18180/search.aspx,733 North Hemlock Rd,Hemlock,https://www.schooldigger.com/go/MI/city/Hemlock/search.aspx,48626,Saginaw County,(989) 642-5287,No,No,No,No,373,18.3,20.3,24.7,0,0,0,5.9,0,1.3,92.8,40.5
East Jackson Secondary School,https://www.schooldigger.com/go/MI/schools/1254004967/school.aspx,East Jackson Community Schools,https://www.schooldigger.com/go/MI/district/12540/search.aspx,1566 North Sutton Rd,Jackson,https://www.schooldigger.com/go/MI/city/Jackson/search.aspx,49202,Jackson County,(517) 764-1700,No,No,No,No,364,22.3,16.2,62.9,3.3,0,0.5,6.3,0,6.3,83.5,40.4
South Haven High School,https://www.schooldigger.com/go/MI/schools/3230006770/school.aspx,South Haven Public Schools,https://www.schooldigger.com/go/MI/district/32300/search.aspx,600 Elkenburg St,South Haven,https://www.schooldigger.com/go/MI/city/South+Haven/search.aspx,49090,Van Buren County,(269) 637-0500,No,No,No,No,553,28.5,19.3,65.1,10.5,0.4,1.1,20.3,0,6.9,60.9,40.3
DeltonKellogg High School,https://www.schooldigger.com/go/MI/schools/1191004631/school.aspx,Delton Kellogg Schools,https://www.schooldigger.com/go/MI/district/11910/search.aspx,10425 Panther Pride,Delton,https://www.schooldigger.com/go/MI/city/Delton/search.aspx,49046,Barry County,(269) 623-1525,No,No,No,No,344,27.5,12.5,33.7,0,0.6,0.3,2.3,0,2.3,94.5,40.3
Algonac JuniorSenior High School,https://www.schooldigger.com/go/MI/schools/0219003960/school.aspx,Algonac Community School District,https://www.schooldigger.com/go/MI/district/02190/search.aspx,5200 Taft Rd,Clay,https://www.schooldigger.com/go/MI/city/Clay/search.aspx,48001,St. Clair County,(810) 794-4911,No,No,Yes,No,677,30,22.5,39.6,0.4,0.6,0.3,0.6,0,0.4,97.6,40.2
Imlay City High School,https://www.schooldigger.com/go/MI/schools/1910005589/school.aspx,Imlay City Community Schools,https://www.schooldigger.com/go/MI/district/19100/search.aspx,1001 Norlin Dr,Imlay City,https://www.schooldigger.com/go/MI/city/Imlay+City/search.aspx,48444,Lapeer County,(810) 724-9810,No,No,No,No,601,23,26,44.4,1,0.3,0.7,27.1,0,1.3,69.6,40.1
Bay City Central High School,https://www.schooldigger.com/go/MI/schools/0426004094/school.aspx,Bay City School District,https://www.schooldigger.com/go/MI/district/04260/search.aspx,1624 Columbus Ave,Bay City,https://www.schooldigger.com/go/MI/city/Bay+City/search.aspx,48708,Bay County,(989) 893-9541,No,No,No,No,1137,58.6,19.4,59.9,7.3,1,0.9,12.6,0.1,6.3,71.9,40
Dundee Community High School,https://www.schooldigger.com/go/MI/schools/1230004929/school.aspx,Dundee Community Schools,https://www.schooldigger.com/go/MI/district/12300/search.aspx,130 Viking Dr,Dundee,https://www.schooldigger.com/go/MI/city/Dundee/search.aspx,48131,Monroe County,(734) 529-7008,No,No,No,No,488,21.5,22.6,38.3,0.2,0.4,0.4,2.7,0,0.6,95.7,39.9
Caro High School,https://www.schooldigger.com/go/MI/schools/0804004376/school.aspx,Caro Community Schools,https://www.schooldigger.com/go/MI/district/08040/search.aspx,301 North Hooper St,Caro,https://www.schooldigger.com/go/MI/city/Caro/search.aspx,48723,Tuscola County,(989) 673-3165,No,No,Yes,No,436,24.3,17.9,46.6,0.5,1.1,0.9,6,0,1.8,89.7,39.8
CamdenFrontier K12 School,https://www.schooldigger.com/go/MI/schools/0771004355/school.aspx,Camden-Frontier School,https://www.schooldigger.com/go/MI/district/07710/search.aspx,4971 West Montgomery Rd,Camden,https://www.schooldigger.com/go/MI/city/Camden/search.aspx,49232,Hillsdale County,(517) 368-5255,Yes,No,No,No,495,30,16.5,61.8,0.6,0,0,1.4,0,0.8,97.2,39.7
Three Rivers High School,https://www.schooldigger.com/go/MI/schools/3384006930/school.aspx,Three Rivers Community Schools,https://www.schooldigger.com/go/MI/district/33840/search.aspx,700 6th Ave,Three Rivers,https://www.schooldigger.com/go/MI/city/Three+Rivers/search.aspx,49093,St. Joseph County,(269) 279-1120,No,No,No,No,702,31.7,22.1,43,5.6,0.3,0.7,7.8,0.3,9,76.4,39.6
Warren Woods Tower High School,https://www.schooldigger.com/go/MI/schools/3522007124/school.aspx,Warren Woods Public Schools,https://www.schooldigger.com/go/MI/district/35220/search.aspx,27900 Bunert Rd,Warren,https://www.schooldigger.com/go/MI/city/Warren/search.aspx,48088,Macomb County,(586) 439-4402,No,No,No,No,1144,53.1,21.5,47.4,21.9,0.1,9.7,3.1,0,5.3,59.9,39.4
Mason County Central High School,https://www.schooldigger.com/go/MI/schools/2313006003/school.aspx,Mason County Central Schools,https://www.schooldigger.com/go/MI/district/23130/search.aspx,300 West Broadway Ave,Scottville,https://www.schooldigger.com/go/MI/city/Scottville/search.aspx,49454,Mason County,(231) 757-4748,Yes,No,No,No,377,18.4,20.3,57.3,1.3,0.8,0.5,7.4,0,2.4,87.5,39.3
Manistee Middle High School,https://www.schooldigger.com/go/MI/schools/2241005957/school.aspx,Manistee Area Public Schools,https://www.schooldigger.com/go/MI/district/22410/search.aspx,525 12th St,Manistee,https://www.schooldigger.com/go/MI/city/Manistee/search.aspx,49660,Manistee County,(231) 723-2547,No,No,No,No,783,36.9,21.1,46.6,1.9,4.1,0.8,3.7,0,2.7,86.8,39.2
North Central Area Senior High School,https://www.schooldigger.com/go/MI/schools/2922006506/school.aspx,North Central Area Schools,https://www.schooldigger.com/go/MI/district/29220/search.aspx,3795 Hwy Us 2  41,Powers,https://www.schooldigger.com/go/MI/city/Powers/search.aspx,49874,Menominee County,(906) 497-5226,No,No,No,No,117,8.6,13.5,40.2,0.9,0.9,0,0.9,0,0,97.4,39
Hillsdale High School,https://www.schooldigger.com/go/MI/schools/1839005507/school.aspx,Hillsdale Community Schools,https://www.schooldigger.com/go/MI/district/18390/search.aspx,30 South Norwood Ave,Hillsdale,https://www.schooldigger.com/go/MI/city/Hillsdale/search.aspx,49242,Hillsdale County,(517) 439-4320,No,No,No,No,453,18.8,23.9,41.7,0.7,0,0.9,3.1,0,2.4,92.9,39
OvidElsie High School,https://www.schooldigger.com/go/MI/schools/2715006325/school.aspx,Ovid-Elsie Area Schools,https://www.schooldigger.com/go/MI/district/27150/search.aspx,8989 East Colony Rd,Elsie,https://www.schooldigger.com/go/MI/city/Elsie/search.aspx,48831,Clinton County,(989) 834-2271,No,No,No,No,466,24.6,18.9,27.9,0.6,0,0,4.3,0.2,1.5,93.3,38.9
Allegan High School,https://www.schooldigger.com/go/MI/schools/0222003966/school.aspx,Allegan Public Schools,https://www.schooldigger.com/go/MI/district/02220/search.aspx,1560 M40 N,Allegan,https://www.schooldigger.com/go/MI/city/Allegan/search.aspx,49010,Allegan County,(269) 673-7002,No,No,No,No,581,29,19.9,38.7,1.9,0.2,1.4,6.7,0.2,2.1,87.6,38.8
Columbia Central High School,https://www.schooldigger.com/go/MI/schools/0699004300/school.aspx,Columbia School District,https://www.schooldigger.com/go/MI/district/06990/search.aspx,11775 Hewitt Rd,Brooklyn,https://www.schooldigger.com/go/MI/city/Brooklyn/search.aspx,49230,Jackson County,(517) 592-6634,No,No,No,No,639,29.3,21.7,34.4,0.9,0.3,0.6,3.4,0,4.4,90.3,38.7
Onsted Community High School,https://www.schooldigger.com/go/MI/schools/2652006295/school.aspx,Onsted Community Schools,https://www.schooldigger.com/go/MI/district/26520/search.aspx,10109 Slee Rd,Onsted,https://www.schooldigger.com/go/MI/city/Onsted/search.aspx,49265,Lenawee County,(517) 467-2171,No,No,No,No,435,17.7,24.5,36.6,0.7,1.6,0,5.5,0.2,1.4,90.6,38.7
Corunna High School,https://www.schooldigger.com/go/MI/schools/1086004554/school.aspx,Corunna Public Schools,https://www.schooldigger.com/go/MI/district/10860/search.aspx,417 East King St,Corunna,https://www.schooldigger.com/go/MI/city/Corunna/search.aspx,48817,Shiawassee County,(989) 743-3441,No,No,No,No,684,34.8,19.6,42.1,0.1,0.1,0.3,4.1,0,3.4,92,37.4
Quincy High School,https://www.schooldigger.com/go/MI/schools/2925006511/school.aspx,Quincy Community Schools,https://www.schooldigger.com/go/MI/district/29250/search.aspx,18 Colfax St,Quincy,https://www.schooldigger.com/go/MI/city/Quincy/search.aspx,49082,Branch County,(517) 639-9245,No,No,No,No,381,13.4,28.4,41.2,1,0,1,4.7,0,0.5,92.7,37.3
Summerfield JuniorSenior High School,https://www.schooldigger.com/go/MI/schools/3312006868/school.aspx,Summerfield Schools,https://www.schooldigger.com/go/MI/district/33120/search.aspx,17555 Ida West Rd,Petersburg,https://www.schooldigger.com/go/MI/city/Petersburg/search.aspx,49270,Monroe County,(734) 279-1012,Yes,No,No,No,272,13.3,20.4,27.6,1.1,0,0,3.7,0,1.1,94.1,37.2
Michigan Virtual Charter Academy,https://www.schooldigger.com/go/MI/schools/0097208180/school.aspx,Michigan Virtual Charter Academy,https://www.schooldigger.com/go/MI/district/00972/search.aspx,1620 E Elza Ave,Hazel Park,https://www.schooldigger.com/go/MI/city/Hazel+Park/search.aspx,48030,Oakland County,(616) 309-1600,Yes,Yes,No,Yes,3157,163.1,19.3,78,23.9,0.6,1.5,8.2,0.1,8.1,57.6,37.2
Britton Deerfield SchoolsBritton Building,https://www.schooldigger.com/go/MI/schools/0693008119/school.aspx,Britton Deerfield Schools,https://www.schooldigger.com/go/MI/district/06930/search.aspx,201 College Avenue,Britton,https://www.schooldigger.com/go/MI/city/Britton/search.aspx,49229,Lenawee County,(517) 451-4581,Yes,No,No,No,277,16.8,16.4,44,0,0.4,0.7,5.1,0,2.5,91.3,37.2
Kingsley Area High School,https://www.schooldigger.com/go/MI/schools/2038005722/school.aspx,Kingsley Area Schools,https://www.schooldigger.com/go/MI/district/20380/search.aspx,7475 Kingsley Rd,Kingsley,https://www.schooldigger.com/go/MI/city/Kingsley/search.aspx,49649,Grand Traverse County,(231) 263-5262,No,No,No,No,490,23.9,20.4,38.4,1.2,0.6,0.4,2.7,0.2,1.4,93.5,37
Swartz Creek High School,https://www.schooldigger.com/go/MI/schools/3342006881/school.aspx,Swartz Creek Community Schools,https://www.schooldigger.com/go/MI/district/33420/search.aspx,1 Dragon Dr,Swartz Creek,https://www.schooldigger.com/go/MI/city/Swartz+Creek/search.aspx,48473,Genesee County,(810) 591-1801,No,No,No,No,1045,50.1,20.8,37.7,10.1,0.4,1,4.8,0,6.3,77.4,36.7
Dryden High School,https://www.schooldigger.com/go/MI/schools/1224004926/school.aspx,Dryden Community Schools,https://www.schooldigger.com/go/MI/district/12240/search.aspx,3866 Rochester Rd,Dryden,https://www.schooldigger.com/go/MI/city/Dryden/search.aspx,48428,Lapeer County,(810) 448-4042,No,No,No,No,213,11,19.3,27.2,0,0,0,2.3,0,0.9,96.7,36.6
